from_route_family_ref,to_route_family_ref,shell_slug,adjacency_type,history_policy,anchor_disposition_ref,focus_disposition_ref,default_return_posture,source_refs
rf_patient_health_record,rf_patient_messages,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_health_record,rf_intake_self_service,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_health_record,rf_intake_telephony_capture,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_health_record,rf_patient_secure_link_recovery,patient-web,same_shell_object_switch,push,preserve_stub_and_fallback,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_health_record,rf_patient_embedded_channel,patient-web,same_shell_object_switch,push,preserve_stub_and_fallback,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_messages,rf_patient_home,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_patient_messages,rf_patient_requests,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_patient_messages,rf_patient_appointments,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_messages,rf_patient_health_record,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_messages,rf_patient_messages,patient-web,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_messages,rf_intake_self_service,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_messages,rf_intake_telephony_capture,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_messages,rf_patient_secure_link_recovery,patient-web,same_object_peer,push,preserve,restore_selected_anchor,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_messages,rf_patient_embedded_channel,patient-web,same_shell_object_switch,push,preserve_stub_and_fallback,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_intake_self_service,rf_patient_home,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_intake_self_service,rf_patient_requests,patient-web,same_object_child,replace,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_intake_self_service,rf_patient_appointments,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_intake_self_service,rf_patient_health_record,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_self_service,rf_patient_messages,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_self_service,rf_intake_self_service,patient-web,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_self_service,rf_intake_telephony_capture,patient-web,same_object_child,replace,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_self_service,rf_patient_secure_link_recovery,patient-web,same_shell_object_switch,push,preserve_stub_and_fallback,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_intake_self_service,rf_patient_embedded_channel,patient-web,same_shell_object_switch,push,preserve_stub_and_fallback,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_intake_telephony_capture,rf_patient_home,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_intake_telephony_capture,rf_patient_requests,patient-web,same_object_child,replace,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_intake_telephony_capture,rf_patient_appointments,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_intake_telephony_capture,rf_patient_health_record,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_telephony_capture,rf_patient_messages,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_telephony_capture,rf_intake_self_service,patient-web,same_object_child,replace,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_telephony_capture,rf_intake_telephony_capture,patient-web,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_telephony_capture,rf_patient_secure_link_recovery,patient-web,same_shell_object_switch,push,preserve_stub_and_fallback,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_intake_telephony_capture,rf_patient_embedded_channel,patient-web,same_shell_object_switch,push,preserve_stub_and_fallback,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_secure_link_recovery,rf_patient_home,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_patient_secure_link_recovery,rf_patient_requests,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_patient_secure_link_recovery,rf_patient_appointments,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_secure_link_recovery,rf_patient_health_record,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_secure_link_recovery,rf_patient_messages,patient-web,same_object_peer,push,preserve,restore_selected_anchor,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_secure_link_recovery,rf_intake_self_service,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_secure_link_recovery,rf_intake_telephony_capture,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_secure_link_recovery,rf_patient_secure_link_recovery,patient-web,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_secure_link_recovery,rf_patient_embedded_channel,patient-web,same_shell_object_switch,push,preserve_stub_and_fallback,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_embedded_channel,rf_patient_home,patient-web,same_object_peer,push,preserve,restore_selected_anchor,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_patient_embedded_channel,rf_patient_requests,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_patient_embedded_channel,rf_patient_appointments,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_embedded_channel,rf_patient_health_record,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_embedded_channel,rf_patient_messages,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_embedded_channel,rf_intake_self_service,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_embedded_channel,rf_intake_telephony_capture,patient-web,same_shell_object_switch,push,replace_with_acknowledgement,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_embedded_channel,rf_patient_secure_link_recovery,patient-web,same_shell_object_switch,push,preserve_stub_and_fallback,focus_invalidated_stub,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_embedded_channel,rf_patient_embedded_channel,patient-web,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_staff_workspace,rf_staff_workspace,clinical-workspace,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_staff_workspace,rf_staff_workspace_child,clinical-workspace,same_object_peer,push,preserve,restore_selected_anchor,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/forensic-audit-findings.md
rf_staff_workspace_child,rf_staff_workspace,clinical-workspace,same_object_peer,push,preserve,restore_selected_anchor,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
