effectFamilyId,effectFamilyLabel,adapterContractProfileId,adapterCode,dependencyCode,bindingFamily,bindingRef,supportedActionScopes,integrationWorkloadFamilyRef,requiredTrustZoneBoundaryRef,authoritativeProofRulesRef,simulatorContractRef,liveCutoverChecklistRef,sourceRefs
fxf_network_capacity_feed_import,Network and hub partner capacity feeds,ACP_057_DEP_NETWORK_CAPACITY_PARTNER_FEEDS_V1,adp_network_capacity_feed,dep_network_capacity_partner_feeds,BookingProviderAdapterBinding,BIND_057_DEP_NETWORK_CAPACITY_PARTNER_FEEDS_V1,manage_booking; accept_waitlist_offer; accept_network_alternative,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_CAPACITY_SNAPSHOT_FRESHNESS_V1,sim_booking_capacity_feed_twin,LCC_057_DEP_NETWORK_CAPACITY_PARTNER_FEEDS_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/36_gp_system_pathways_actual_strategy.md; blueprint/phase-5-the-network-horizon.md; data/analysis/route_to_scope_requirements.csv#rf_hub_queue; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_mesh_secure_message_dispatch,Cross-organisation secure message dispatch,ACP_057_DEP_CROSS_ORG_SECURE_MESSAGING_MESH_V1,adp_mesh_secure_message,dep_cross_org_secure_messaging_mesh,PartnerMessageBinding,BIND_057_DEP_CROSS_ORG_SECURE_MESSAGING_MESH_V1,reply_message; respond_more_info; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_MESH_DELIVERY_EVIDENCE_V1,sim_mesh_message_path_twin,LCC_057_DEP_CROSS_ORG_SECURE_MESSAGING_MESH_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/28_mesh_message_route_and_proof_matrix.md; blueprint/phase-0-the-foundation-protocol.md#1.11 PharmacyDispatchEnvelope; data/analysis/route_to_scope_requirements.csv#rf_patient_messages; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_origin_practice_acknowledgement,Origin-practice acknowledgement boundary,ACP_057_DEP_ORIGIN_PRACTICE_ACK_RAIL_V1,adp_origin_practice_ack,dep_origin_practice_ack_rail,PartnerMessageBinding,BIND_057_DEP_ORIGIN_PRACTICE_ACK_RAIL_V1,reply_message; respond_more_info; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_ORIGIN_ACK_CALLBACK_PARITY_V1,sim_booking_provider_confirmation_twin,LCC_057_DEP_ORIGIN_PRACTICE_ACK_RAIL_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/28_mesh_message_route_and_proof_matrix.md; docs/external/36_gp_system_pathways_actual_strategy.md; blueprint/phase-4-the-booking-engine.md; data/analysis/route_to_scope_requirements.csv#rf_patient_appointments; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_pharmacy_directory_lookup,Pharmacy directory and choice lookup,ACP_057_DEP_PHARMACY_DIRECTORY_DOHS_V1,adp_pharmacy_directory_lookup,dep_pharmacy_directory_dohs,PharmacyChoiceAdapterBinding,BIND_057_DEP_PHARMACY_DIRECTORY_DOHS_V1,pharmacy_choice; pharmacy_consent; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_PHARMACY_CHOICE_PROOF_V1,sim_pharmacy_directory_choice_twin,LCC_057_DEP_PHARMACY_DIRECTORY_DOHS_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/37_pharmacy_access_paths_actual_strategy.md; docs/external/37_pharmacy_access_paths_mock_strategy.md; data/analysis/route_to_scope_requirements.csv#rf_pharmacy_console; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_pharmacy_dispatch_transport,Pharmacy dispatch transport,ACP_057_DEP_PHARMACY_REFERRAL_TRANSPORT_V1,adp_pharmacy_referral_transport,dep_pharmacy_referral_transport,PharmacyDispatchAdapterBinding,BIND_057_DEP_PHARMACY_REFERRAL_TRANSPORT_V1,pharmacy_choice; pharmacy_consent; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_PHARMACY_DISPATCH_PROOF_V1,sim_pharmacy_dispatch_transport_twin,LCC_057_DEP_PHARMACY_REFERRAL_TRANSPORT_V1,"prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/37_pharmacy_access_paths_actual_strategy.md; blueprint/phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; data/analysis/route_to_scope_requirements.csv#rf_pharmacy_console; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint"
fxf_pharmacy_outcome_observation,Pharmacy outcome observation,ACP_057_DEP_PHARMACY_OUTCOME_OBSERVATION_V1,adp_pharmacy_outcome_observation,dep_pharmacy_outcome_observation,PharmacyDispatchAdapterBinding,BIND_057_DEP_PHARMACY_OUTCOME_OBSERVATION_V1,pharmacy_choice; pharmacy_consent; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_PHARMACY_OUTCOME_OBSERVATION_V1,sim_pharmacy_visibility_update_record_twin,LCC_057_DEP_PHARMACY_OUTCOME_OBSERVATION_V1,"prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/37_pharmacy_access_paths_actual_strategy.md; blueprint/phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; data/analysis/route_to_scope_requirements.csv#rf_pharmacy_console; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint"
fxf_pharmacy_urgent_return_contact,Pharmacy urgent-return professional contact,ACP_057_DEP_PHARMACY_URGENT_RETURN_PROFESSIONAL_ROUTES_V1,adp_pharmacy_urgent_return_contact,dep_pharmacy_urgent_return_professional_routes,PharmacyDispatchAdapterBinding,BIND_057_DEP_PHARMACY_URGENT_RETURN_PROFESSIONAL_ROUTES_V1,pharmacy_choice; pharmacy_consent; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_PHARMACY_URGENT_RETURN_REHEARSAL_V1,sim_pharmacy_dispatch_transport_twin,LCC_057_DEP_PHARMACY_URGENT_RETURN_PROFESSIONAL_ROUTES_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/37_pharmacy_access_paths_actual_strategy.md; data/analysis/route_to_scope_requirements.csv#rf_pharmacy_console; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_nhs_app_embedded_channel_bridge,NHS App embedded bridge boundary,ACP_057_DEP_NHS_APP_EMBEDDED_CHANNEL_ECOSYSTEM_V1,adp_nhs_app_embedded_bridge,dep_nhs_app_embedded_channel_ecosystem,EmbeddedChannelAdapterBinding,BIND_057_DEP_NHS_APP_EMBEDDED_CHANNEL_ECOSYSTEM_V1,claim; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_EMBEDDED_CHANNEL_CONTINUITY_V1,sim_nhs_app_embedded_bridge_twin,LCC_057_DEP_NHS_APP_EMBEDDED_CHANNEL_ECOSYSTEM_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/29_nhs_app_sandpit_to_aos_progression_pack.md; docs/external/30_real_registration_and_hosting_strategy.md; data/analysis/route_to_scope_requirements.csv#rf_patient_embedded_channel; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_assistive_vendor_watch,Assistive model vendor watch and quarantine,ACP_057_DEP_ASSISTIVE_MODEL_VENDOR_FAMILY_V1,adp_assistive_model_vendor_watch,dep_assistive_model_vendor_family,AssuranceWatchAdapterBinding,BIND_057_DEP_ASSISTIVE_MODEL_VENDOR_FAMILY_V1,ops_resilience_action,wf_integration_dispatch,tzb_integration_perimeter_to_assurance_security,APR_057_ASSISTIVE_VENDOR_QUARANTINE_V1,sim_assistive_vendor_watch_shadow_twin,LCC_057_DEP_ASSISTIVE_MODEL_VENDOR_FAMILY_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; blueprint/platform-runtime-and-release-blueprint.md; blueprint/forensic-audit-findings.md; data/analysis/route_to_scope_requirements.csv#rf_operations_board; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_assurance_standards_watch,NHS standards and assurance source watch,ACP_057_DEP_NHS_ASSURANCE_AND_STANDARDS_SOURCES_V1,adp_standards_source_watch,dep_nhs_assurance_and_standards_sources,AssuranceWatchAdapterBinding,BIND_057_DEP_NHS_ASSURANCE_AND_STANDARDS_SOURCES_V1,ops_resilience_action,wf_integration_dispatch,tzb_integration_perimeter_to_assurance_security,APR_057_STANDARDS_WATCH_DIGEST_V1,sim_assurance_source_watch_cache_twin,LCC_057_DEP_NHS_ASSURANCE_AND_STANDARDS_SOURCES_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; blueprint/platform-runtime-and-release-blueprint.md; blueprint/forensic-audit-findings.md; data/analysis/route_to_scope_requirements.csv#rf_operations_board; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
