obligation_id,dependency_id,dependency_name,dependency_class,baseline_scope,obligation_type,obligation_statement,manual_blocker,future_task_refs,browser_automation_required,candidate_portal_or_console,source_refs
dep_malware_scanning_provider_obl_01,dep_malware_scanning_provider,Malware and artifact scanning provider,malware_scanning,baseline_required,assurance,"Document quarantine policy, scanner revision, and operator response before live artifact intake.",yes,seq_021; seq_022; seq_023; seq_034; seq_035; seq_039; seq_040,yes,Artifact scanning vendor console or cloud project setup,"phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review; phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"
dep_malware_scanning_provider_obl_02,dep_malware_scanning_provider,Malware and artifact scanning provider,malware_scanning,baseline_required,assurance,Prove that unsafe or unreadable evidence routes to fallback review rather than disappearing.,yes,seq_021; seq_022; seq_023; seq_034; seq_035; seq_039; seq_040,yes,Artifact scanning vendor console or cloud project setup,"phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review; phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"
dep_malware_scanning_provider_obl_03,dep_malware_scanning_provider,Malware and artifact scanning provider,malware_scanning,baseline_required,assurance_watch,Track scanning as an explicit dependency-health signal for restore and fail-soft posture.,yes,seq_021; seq_022; seq_023; seq_034; seq_035; seq_039; seq_040,yes,Artifact scanning vendor console or cloud project setup,"phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review; phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"
dep_im1_pairing_programme_obl_01,dep_im1_pairing_programme,IM1 Pairing programme and prerequisite path,gp_system,baseline_required,assurance_watch,"Track prerequisites, SCAL, supported test, assurance, and live rollout as explicit blockers rather than prose assumptions.",yes,seq_021; seq_022; seq_023; seq_026; seq_036; seq_039; seq_040,yes,"IM1 Pairing prerequisite forms, supplier prerequisite portals, and SCAL evidence trackers",phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4E Commit path; blueprint-init.md#1. Product definition
dep_im1_pairing_programme_obl_02,dep_im1_pairing_programme,IM1 Pairing programme and prerequisite path,gp_system,baseline_required,assurance,Bind pairing stage to supplier-specific capability resolution and adapter publication.,yes,seq_021; seq_022; seq_023; seq_026; seq_036; seq_039; seq_040,yes,"IM1 Pairing prerequisite forms, supplier prerequisite portals, and SCAL evidence trackers",phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4E Commit path; blueprint-init.md#1. Product definition
dep_im1_pairing_programme_obl_03,dep_im1_pairing_programme,IM1 Pairing programme and prerequisite path,gp_system,baseline_required,assurance,Keep IM1 out of the Phase 2 identity critical path even though it is baseline for later booking scope.,yes,seq_021; seq_022; seq_023; seq_026; seq_036; seq_039; seq_040,yes,"IM1 Pairing prerequisite forms, supplier prerequisite portals, and SCAL evidence trackers",phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4E Commit path; blueprint-init.md#1. Product definition
dep_gp_system_supplier_paths_obl_01,dep_gp_system_supplier_paths,Principal GP-system supplier integration paths,gp_system,baseline_required,contract_and_release,Publish supplier capability matrices and binding hashes before exposing supplier-specific CTAs.,yes,seq_021; seq_022; seq_023; seq_026; seq_036; seq_038; seq_039; seq_040,no,,"phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4C Slot search; phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation"
dep_gp_system_supplier_paths_obl_02,dep_gp_system_supplier_paths,Principal GP-system supplier integration paths,gp_system,baseline_required,assurance,"Separate linkage, local-consumer, and authoritative-read prerequisites from UI assumptions.",yes,seq_021; seq_022; seq_023; seq_026; seq_036; seq_038; seq_039; seq_040,no,,"phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4C Slot search; phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation"
dep_gp_system_supplier_paths_obl_03,dep_gp_system_supplier_paths,Principal GP-system supplier integration paths,gp_system,baseline_required,assurance,Keep supplier variability explicit in both booking and pharmacy outcome ingest.,yes,seq_021; seq_022; seq_023; seq_026; seq_036; seq_038; seq_039; seq_040,no,,"phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4C Slot search; phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation"
dep_local_booking_supplier_adapters_obl_01,dep_local_booking_supplier_adapters,Local booking supplier adapter family,booking_supplier,baseline_required,contract_and_release,"Require published provider capability matrices and adapter bindings before routes expose book, cancel, or reschedule controls.",yes,seq_021; seq_022; seq_036; seq_038; seq_039; seq_040,no,,phase-4-the-booking-engine.md#4C Slot search; phase-4-the-booking-engine.md#4E Commit path; phase-4-the-booking-engine.md#4F Manage flows
dep_local_booking_supplier_adapters_obl_02,dep_local_booking_supplier_adapters,Local booking supplier adapter family,booking_supplier,baseline_required,assurance,Keep authoritative read-after-write proof separate from transport or provider processing acceptance.,yes,seq_021; seq_022; seq_036; seq_038; seq_039; seq_040,no,,phase-4-the-booking-engine.md#4C Slot search; phase-4-the-booking-engine.md#4E Commit path; phase-4-the-booking-engine.md#4F Manage flows
dep_local_booking_supplier_adapters_obl_03,dep_local_booking_supplier_adapters,Local booking supplier adapter family,booking_supplier,baseline_required,assurance,"Bind waitlist, callback, and hub fallback to the same confirmation truth rather than supplier optimism.",yes,seq_021; seq_022; seq_036; seq_038; seq_039; seq_040,no,,phase-4-the-booking-engine.md#4C Slot search; phase-4-the-booking-engine.md#4E Commit path; phase-4-the-booking-engine.md#4F Manage flows
dep_network_capacity_partner_feeds_obl_01,dep_network_capacity_partner_feeds,Network and hub partner capacity feeds,booking_supplier,baseline_required,assurance,"Bind every feed to a capacity-ingestion policy that can admit, degrade, or quarantine it.",yes,seq_021; seq_022; seq_038; seq_039; seq_040,no,,"phase-5-the-network-horizon.md#5C. Enhanced Access policy engine and network capacity ingestion; phase-5-the-network-horizon.md#Network coordination contract, case model, and state machine; phase-9-the-assurance-ledger.md#9B. Essential-functions health, queues, and assurance operations boards"
dep_network_capacity_partner_feeds_obl_02,dep_network_capacity_partner_feeds,Network and hub partner capacity feeds,booking_supplier,baseline_required,assurance,Keep patient-visible alternatives subordinate to current trusted frontier proof.,yes,seq_021; seq_022; seq_038; seq_039; seq_040,no,,"phase-5-the-network-horizon.md#5C. Enhanced Access policy engine and network capacity ingestion; phase-5-the-network-horizon.md#Network coordination contract, case model, and state machine; phase-9-the-assurance-ledger.md#9B. Essential-functions health, queues, and assurance operations boards"
dep_network_capacity_partner_feeds_obl_03,dep_network_capacity_partner_feeds,Network and hub partner capacity feeds,booking_supplier,baseline_required,assurance,Expose partner-feed staleness and dependency health on the assurance surface before live rollout.,yes,seq_021; seq_022; seq_038; seq_039; seq_040,no,,"phase-5-the-network-horizon.md#5C. Enhanced Access policy engine and network capacity ingestion; phase-5-the-network-horizon.md#Network coordination contract, case model, and state machine; phase-9-the-assurance-ledger.md#9B. Essential-functions health, queues, and assurance operations boards"
dep_cross_org_secure_messaging_mesh_obl_01,dep_cross_org_secure_messaging_mesh,Cross-organisation secure messaging rail including MESH,messaging_transport,baseline_required,assurance,Request secure mailbox or message access before enabling real cross-organisation transport.,yes,seq_021; seq_023; seq_028; seq_038; seq_039; seq_040,yes,MESH or equivalent secure-message onboarding portal and mailbox administration surfaces,"blueprint-init.md#1. Product definition; phase-5-the-network-horizon.md#Hub commit algorithm; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract"
dep_cross_org_secure_messaging_mesh_obl_02,dep_cross_org_secure_messaging_mesh,Cross-organisation secure messaging rail including MESH,messaging_transport,baseline_required,assurance,"Separate transport acceptance, delivery evidence, and current-generation acknowledgement facts.",yes,seq_021; seq_023; seq_028; seq_038; seq_039; seq_040,yes,MESH or equivalent secure-message onboarding portal and mailbox administration surfaces,"blueprint-init.md#1. Product definition; phase-5-the-network-horizon.md#Hub commit algorithm; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract"
dep_cross_org_secure_messaging_mesh_obl_03,dep_cross_org_secure_messaging_mesh,Cross-organisation secure messaging rail including MESH,messaging_transport,baseline_required,assurance,Bind every transport route to data-minimisation and retry-safe correlation rules.,yes,seq_021; seq_023; seq_028; seq_038; seq_039; seq_040,yes,MESH or equivalent secure-message onboarding portal and mailbox administration surfaces,"blueprint-init.md#1. Product definition; phase-5-the-network-horizon.md#Hub commit algorithm; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract"
dep_origin_practice_ack_rail_obl_01,dep_origin_practice_ack_rail,Origin-practice acknowledgement rail,messaging_transport,baseline_required,assurance,Keep acknowledgement debt explicit and generation-bound in every practice-visibility flow.,yes,seq_021; seq_023; seq_028; seq_039; seq_040,no,,"phase-5-the-network-horizon.md#PracticeAcknowledgementRecord; phase-5-the-network-horizon.md#Hub commit algorithm; phase-5-the-network-horizon.md#Manage, reminders, and practice visibility after hub booking"
dep_origin_practice_ack_rail_obl_02,dep_origin_practice_ack_rail,Origin-practice acknowledgement rail,messaging_transport,baseline_required,assurance,Map transport rails to the current hub practice-visibility policy and truth tuple.,yes,seq_021; seq_023; seq_028; seq_039; seq_040,no,,"phase-5-the-network-horizon.md#PracticeAcknowledgementRecord; phase-5-the-network-horizon.md#Hub commit algorithm; phase-5-the-network-horizon.md#Manage, reminders, and practice visibility after hub booking"
dep_origin_practice_ack_rail_obl_03,dep_origin_practice_ack_rail,Origin-practice acknowledgement rail,messaging_transport,baseline_required,operations,Document escalation when current-generation acknowledgement is overdue or disputed.,yes,seq_021; seq_023; seq_028; seq_039; seq_040,no,,"phase-5-the-network-horizon.md#PracticeAcknowledgementRecord; phase-5-the-network-horizon.md#Hub commit algorithm; phase-5-the-network-horizon.md#Manage, reminders, and practice visibility after hub booking"
dep_pharmacy_directory_dohs_obl_01,dep_pharmacy_directory_dohs,Pharmacy directory and discovery dependency,pharmacy_directory,baseline_required,assurance_watch,Track Service Search / DoHS as the strategic source and watch EPS DoS deprecation risk explicitly.,yes,seq_021; seq_022; seq_023; seq_037; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; blueprint-init.md#7. Pharmacy First pathway"
dep_pharmacy_directory_dohs_obl_02,dep_pharmacy_directory_dohs,Pharmacy directory and discovery dependency,pharmacy_directory,baseline_required,assurance,Prove full-choice and warning posture before live patient exposure.,yes,seq_021; seq_022; seq_023; seq_037; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; blueprint-init.md#7. Pharmacy First pathway"
dep_pharmacy_directory_dohs_obl_03,dep_pharmacy_directory_dohs,Pharmacy directory and discovery dependency,pharmacy_directory,baseline_required,assurance,Keep provider capability snapshots explicit rather than inferred from ranking hints.,yes,seq_021; seq_022; seq_023; seq_037; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; blueprint-init.md#7. Pharmacy First pathway"
dep_pharmacy_referral_transport_obl_01,dep_pharmacy_referral_transport,Pharmacy referral transport dependency,pharmacy_transport,baseline_required,contract_and_release,Publish transport assurance profiles and proof thresholds before any live dispatch.,yes,seq_021; seq_022; seq_023; seq_037; seq_038; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; phase-0-the-foundation-protocol.md#Pharmacy dispatch and confirmation gate algorithm"
dep_pharmacy_referral_transport_obl_02,dep_pharmacy_referral_transport,Pharmacy referral transport dependency,pharmacy_transport,baseline_required,assurance,"Bind every dispatch attempt to the exact provider, package, consent checkpoint, and route tuple.",yes,seq_021; seq_022; seq_023; seq_037; seq_038; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; phase-0-the-foundation-protocol.md#Pharmacy dispatch and confirmation gate algorithm"
dep_pharmacy_referral_transport_obl_03,dep_pharmacy_referral_transport,Pharmacy referral transport dependency,pharmacy_transport,baseline_required,assurance,"Keep transport acceptance, provider acceptance, and authoritative proof as separate evidence lanes.",yes,seq_021; seq_022; seq_023; seq_037; seq_038; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; phase-0-the-foundation-protocol.md#Pharmacy dispatch and confirmation gate algorithm"
dep_pharmacy_outcome_observation_obl_01,dep_pharmacy_outcome_observation,Pharmacy outcome observation and reconciliation path,pharmacy_outcome,baseline_required,assurance,Respect supplier-specific evidence shapes and assured system combinations for Update Record observation.,yes,seq_021; seq_022; seq_023; seq_037; seq_038; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; forensic-audit-findings.md#Finding 79 - weak-source matching did not clearly stop at a case-local review state; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics"
dep_pharmacy_outcome_observation_obl_02,dep_pharmacy_outcome_observation,Pharmacy outcome observation and reconciliation path,pharmacy_outcome,baseline_required,assurance,Keep weak-match review case-local and closure-blocking until explicitly resolved.,yes,seq_021; seq_022; seq_023; seq_037; seq_038; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; forensic-audit-findings.md#Finding 79 - weak-source matching did not clearly stop at a case-local review state; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics"
dep_pharmacy_outcome_observation_obl_03,dep_pharmacy_outcome_observation,Pharmacy outcome observation and reconciliation path,pharmacy_outcome,baseline_required,assurance,"Treat absence of Update Record or email as no evidence, not as completion proof.",yes,seq_021; seq_022; seq_023; seq_037; seq_038; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; forensic-audit-findings.md#Finding 79 - weak-source matching did not clearly stop at a case-local review state; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics"
dep_pharmacy_urgent_return_professional_routes_obl_01,dep_pharmacy_urgent_return_professional_routes,Pharmacy urgent-return and professional-contact routes,messaging_transport,baseline_required,clinical_safety,Record the practice professional number and dedicated monitored email or equivalent safety-net route per tenant.,yes,seq_021; seq_023; seq_037; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics; blueprint-init.md#7. Pharmacy First pathway"
dep_pharmacy_urgent_return_professional_routes_obl_02,dep_pharmacy_urgent_return_professional_routes,Pharmacy urgent-return and professional-contact routes,messaging_transport,baseline_required,assurance,Keep urgent-return handling separate from Update Record and ordinary outcome observation.,yes,seq_021; seq_023; seq_037; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics; blueprint-init.md#7. Pharmacy First pathway"
dep_pharmacy_urgent_return_professional_routes_obl_03,dep_pharmacy_urgent_return_professional_routes,Pharmacy urgent-return and professional-contact routes,messaging_transport,baseline_required,assurance,Document how overdue or unacknowledged urgent returns escalate immediately.,yes,seq_021; seq_023; seq_037; seq_039; seq_040,no,,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics; blueprint-init.md#7. Pharmacy First pathway"
dep_nhs_app_embedded_channel_ecosystem_obl_01,dep_nhs_app_embedded_channel_ecosystem,NHS App embedded-channel ecosystem,embedded_channel,deferred_phase7,onboarding,"Treat Sandpit, AOS, SCAL, accessibility audit, and demo-environment readiness as explicit onboarding gates.",yes,seq_021; seq_023; seq_029; seq_030; seq_039; seq_040,yes,"NHS App Sandpit, AOS, SCAL, and site-link onboarding portals","phase-7-inside-the-nhs-app.md#7A. Integration manifest and route inventory; phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline; phase-cards.md#Phase 7 - Inside the NHS App"
dep_nhs_app_embedded_channel_ecosystem_obl_02,dep_nhs_app_embedded_channel_ecosystem,NHS App embedded-channel ecosystem,embedded_channel,deferred_phase7,contract_and_release,"Version manifest, route exposure, and bridge capabilities under the same release tuple as the wider platform.",yes,seq_021; seq_023; seq_029; seq_030; seq_039; seq_040,yes,"NHS App Sandpit, AOS, SCAL, and site-link onboarding portals","phase-7-inside-the-nhs-app.md#7A. Integration manifest and route inventory; phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline; phase-cards.md#Phase 7 - Inside the NHS App"
dep_nhs_app_embedded_channel_ecosystem_obl_03,dep_nhs_app_embedded_channel_ecosystem,NHS App embedded-channel ecosystem,embedded_channel,deferred_phase7,assurance,"Keep NHS App entry, standalone web entry, and secure-link recovery on the same backend contracts.",yes,seq_021; seq_023; seq_029; seq_030; seq_039; seq_040,yes,"NHS App Sandpit, AOS, SCAL, and site-link onboarding portals","phase-7-inside-the-nhs-app.md#7A. Integration manifest and route inventory; phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline; phase-cards.md#Phase 7 - Inside the NHS App"
