traceRef,environment,routeFamilyRef,audienceSurfaceRef,traceFamily,traceCorrelationState,traceDisclosureState,traceReplayState,hopSequence,hopKind,serviceRef,eventName,eventFamily,correlationState,disclosureState,replayState,settlementState,note
trace_ops_missing_correlation,local,rf_operations_board,audsurf_ops_console,ops_guardrail,missing,verified,live,3,command_handler,command-api,command.accepted,structured_log,verified,verified,live,accepted,Command ingress accepts with a valid chain.
trace_ops_missing_correlation,local,rf_operations_board,audsurf_ops_console,ops_guardrail,missing,verified,live,4,event_bus,event-spine,event_spine.publish.latency_ms,metric,missing,verified,live,blocked,The event bus sees a missing propagated context and blocks the chain.
trace_ops_missing_correlation,local,rf_operations_board,audsurf_ops_console,ops_guardrail,missing,verified,live,5,worker,projection-worker,projection.worker.applied,structured_log,missing,verified,live,blocked,Downstream worker remains blocked because continuity is no longer provable.
trace_ops_missing_correlation,local,rf_operations_board,audsurf_ops_console,ops_guardrail,missing,verified,live,6,audit,audit-ledger,audit.correlation.bound,audit,missing,verified,live,blocked,"Audit stores the refusal, not a fake successful settlement."
trace_governance_blocked_disclosure,preprod,rf_governance_shell,audsurf_governance_console,governance_disclosure,verified,blocked,stale,1,browser,governance-console,ui.freshness.stale_visible,ui_event,verified,verified,stale,accepted,Governance surface is already stale-aware.
trace_governance_blocked_disclosure,preprod,rf_governance_shell,audsurf_governance_console,governance_disclosure,verified,blocked,stale,2,gateway,api-gateway,gateway.request.accepted,structured_log,verified,verified,stale,accepted,Ingress remains correlated.
trace_governance_blocked_disclosure,preprod,rf_governance_shell,audsurf_governance_console,governance_disclosure,verified,blocked,stale,3,command_handler,command-api,command.accepted,structured_log,verified,verified,stale,accepted,Command ingress still has valid correlation.
trace_governance_blocked_disclosure,preprod,rf_governance_shell,audsurf_governance_console,governance_disclosure,verified,blocked,stale,4,event_bus,event-spine,event_spine.publish.latency_ms,metric,verified,verified,stale,accepted,Event bus remains healthy.
trace_governance_blocked_disclosure,preprod,rf_governance_shell,audsurf_governance_console,governance_disclosure,verified,blocked,stale,5,worker,projection-worker,projection.worker.applied,structured_log,verified,verified,stale,projection_visible,Worker applies projection update.
trace_governance_blocked_disclosure,preprod,rf_governance_shell,audsurf_governance_console,governance_disclosure,verified,blocked,stale,6,projection,projection-store,projection.materialized,structured_log,verified,blocked,stale,blocked,A blocked disclosure fence stops raw PHI from being emitted.
trace_governance_blocked_disclosure,preprod,rf_governance_shell,audsurf_governance_console,governance_disclosure,verified,blocked,stale,7,ui_visibility_receipt,governance-console,ui.disclosure.blocked,structured_log,verified,blocked,stale,blocked,"The UI surfaces a blocked-disclosure posture, not calm success."
trace_governance_blocked_disclosure,preprod,rf_governance_shell,audsurf_governance_console,governance_disclosure,verified,blocked,stale,8,audit,audit-ledger,audit.correlation.bound,audit,verified,blocked,stale,blocked,Audit joins the blocked state to the same correlation chain.
