component_id,display_name,primitive_family,atlas_section,surface_role,shell_types,route_family_refs,specimen_ids,token_refs,kernel_binding_refs,api_signature,visualization_parity
SelectedAnchorStub,Selected Anchor Stub,semantic-working,semantic-working,artifact,staff|operations|governance,rf_staff_workspace|rf_operations_board|rf_governance_shell,Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.inset|ref.type.role.body.sm|ref.radius.md|ref.color.border.default,PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"SelectedAnchorStub({ markerRef, label, detail })",not_applicable
BoardSurface,Board Surface,surface-role,board,board,patient|staff|operations,rf_patient_home|rf_staff_workspace|rf_operations_board,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview,ref.color.surface.shell|ref.space.24|ref.radius.lg|ref.color.border.default,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1,"BoardSurface({ eyebrow, title, summary, children })",not_applicable
CardSurface,Card Surface,surface-role,card,card,patient|staff|governance,rf_patient_home|rf_staff_workspace|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Governance_Approval_Frame,comp.card.surface|ref.radius.md|ref.space.16|ref.color.border.default,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"CardSurface({ eyebrow, title, summary, children, tone })",not_applicable
TaskSurface,Task Surface,surface-role,task,task,staff|operations|governance,rf_staff_workspace|rf_operations_board|rf_governance_shell,Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.panel|ref.radius.md|ref.space.16|ref.color.border.default,PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"TaskSurface({ eyebrow, title, summary, children, tone })",not_applicable
RailSurface,Rail Surface,surface-role,rail,rail,staff|operations|governance,rf_staff_workspace|rf_operations_board|rf_governance_shell,Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.inset|ref.radius.lg|ref.space.16|ref.color.border.default,PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"RailSurface({ eyebrow, title, children })",not_applicable
DrawerSurface,Drawer Surface,surface-role,drawer,drawer,staff|operations,rf_staff_workspace|rf_operations_board,Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview,ref.radius.lg|ref.color.surface.panel|ref.space.24|ref.motion.duration.overlay,PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1,"DrawerSurface({ eyebrow, title, summary, children })",not_applicable
FormSurface,Form Surface,surface-role,form,form,patient|governance,rf_patient_home|rf_governance_shell|rf_intake_self_service,Patient_Mission_Frame|Governance_Approval_Frame,ref.color.surface.panel|ref.radius.md|ref.space.16|ref.color.border.default,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1|PSR_050_PATIENT_V1|dcpb::patient_public_entry::planned|SSKB_050_RF_INTAKE_SELF_SERVICE_V1|AAM_050_RF_INTAKE_SELF_SERVICE_V1|ASCP_050_RF_INTAKE_SELF_SERVICE_V1,"FormSurface({ eyebrow, title, summary, children, errorSummary })",not_applicable
ListSurface,List Surface,surface-role,list,list,patient|staff|support,rf_patient_home|rf_staff_workspace|rf_support_ticket_workspace,Patient_Mission_Frame|Workspace_Quiet_Mission_Control,ref.color.surface.panel|ref.space.12|ref.color.border.default|ref.type.role.body.sm,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_SUPPORT_V1|dcpb::support_workspace::planned|SSKB_050_RF_SUPPORT_TICKET_WORKSPACE_V1|AAM_050_RF_SUPPORT_TICKET_WORKSPACE_V1|ASCP_050_RF_SUPPORT_TICKET_WORKSPACE_V1,"ListSurface({ eyebrow, title, rows })",not_applicable
TableSurface,Table Surface,surface-role,table,table,operations|governance|pharmacy,rf_operations_board|rf_governance_shell|rf_pharmacy_console,Operations_Control_Room_Preview|Governance_Approval_Frame,comp.table.header|ref.radius.sm|ref.space.8|ref.color.border.default,PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1|PSR_050_PHARMACY_V1|dcpb::pharmacy_console::planned|SSKB_050_RF_PHARMACY_CONSOLE_V1|AAM_050_RF_PHARMACY_CONSOLE_V1|ASCP_050_RF_PHARMACY_CONSOLE_V1,"TableSurface({ caption, columns, rows, summary })",not_applicable
ArtifactSurface,Artifact Surface,surface-role,artifact,artifact,patient|operations|governance,rf_patient_home|rf_operations_board|rf_governance_shell,Patient_Mission_Frame|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.inset|ref.type.role.mono.sm|ref.radius.lg|ref.color.border.default,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"ArtifactSurface({ title, posture, metadata, children })",not_applicable
QuietPrimaryButton,Quiet Primary Button,control,controls,control,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.accent.active|ref.type.role.label|ref.radius.pill|ref.density.control.public,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"QuietPrimaryButton({ children, markerRef, disabled })",not_applicable
SecondaryButton,Secondary Button,control,controls,control,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.panel|ref.color.border.default|ref.radius.pill|ref.density.control.professional,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"SecondaryButton({ children, disabled })",not_applicable
InlineUtilityButton,Inline Utility Button,control,controls,control,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview,ref.type.role.label|ref.color.text.muted|ref.motion.duration.attention|ref.radius.sm,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1,InlineUtilityButton({ children }),not_applicable
SegmentedTabs,Segmented Tabs,control,controls,control,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview,ref.radius.pill|ref.color.surface.inset|ref.color.border.default|ref.motion.duration.attention,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1,"SegmentedTabs({ items, activeItem })",not_applicable
QuietChip,Quiet Chip,control,controls,control,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview,ref.radius.pill|ref.color.surface.panel|ref.color.border.default|ref.type.role.label,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1,"QuietChip({ label, tone })",not_applicable
FilterPill,Filter Pill,control,controls,control,staff|hub|operations|support,rf_staff_workspace|rf_operations_board|rf_support_ticket_workspace,Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview,ref.radius.pill|ref.color.surface.inset|ref.color.border.default|ref.type.role.label,PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_SUPPORT_V1|dcpb::support_workspace::planned|SSKB_050_RF_SUPPORT_TICKET_WORKSPACE_V1|AAM_050_RF_SUPPORT_TICKET_WORKSPACE_V1|ASCP_050_RF_SUPPORT_TICKET_WORKSPACE_V1,"FilterPill({ label, count, selected })",not_applicable
