event_name,namespace_code,owning_context,governing_object_type,event_purpose,compatibility_mode,replay_semantics,schema_version_ref,defect_state,active_producer_context_refs,active_producer_service_refs,legacy_alias_refs,route_family_refs
intake.ingress.superseded,intake,intake_safety,SubmissionIngressRecord,lifecycle,additive_only,superseding,CESV_INTAKE_INGRESS_SUPERSEDED_V1,declared,intake_safety; communications; support,service_command_api,ingest.ingress.superseded,rf_intake_self_service; rf_intake_telephony_capture; rf_support_ticket_workspace
intake.attachment.added,intake,intake_safety,SubmissionEnvelope,lifecycle,additive_only,append_only,CESV_INTAKE_ATTACHMENT_ADDED_V1,declared,intake_safety; communications; support,service_command_api,ingest.attachment.added,rf_intake_self_service; rf_intake_telephony_capture; rf_support_ticket_workspace
intake.attachment.quarantined,intake,intake_safety,SubmissionEnvelope,blocker,additive_only,append_only,CESV_INTAKE_ATTACHMENT_QUARANTINED_V1,declared,intake_safety; communications; support,service_command_api,ingest.attachment.quarantined; object_store.attachment.quarantined,rf_intake_self_service; rf_intake_telephony_capture; rf_support_ticket_workspace
intake.normalized,intake,intake_safety,NormalizedSubmission,lifecycle,additive_only,append_only,CESV_INTAKE_NORMALIZED_V1,declared,intake_safety; communications; support,service_command_api,ingest.normalized,rf_intake_self_service; rf_intake_telephony_capture; rf_support_ticket_workspace
intake.promotion.settled,intake,intake_safety,SubmissionPromotionRecord,settlement,new_version_required,append_only,CESV_INTAKE_PROMOTION_SETTLED_V1,declared,intake_safety; communications; support,service_command_api,ingest.promotion.settled,rf_intake_self_service; rf_intake_telephony_capture; rf_support_ticket_workspace
intake.resume.continuity.updated,intake,intake_safety,DraftContinuityEvidenceProjection,continuity,new_version_required,idempotent_replace,CESV_INTAKE_RESUME_CONTINUITY_UPDATED_V1,declared,intake_safety; communications; support,service_command_api,ingest.resume.continuity.updated,rf_intake_self_service; rf_intake_telephony_capture; rf_support_ticket_workspace
identity.binding.created,identity,identity_access,IdentityBinding,lifecycle,additive_only,append_only,CESV_IDENTITY_BINDING_CREATED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.binding.settled,identity,identity_access,IdentityBinding,settlement,new_version_required,append_only,CESV_IDENTITY_BINDING_SETTLED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.binding.verified,identity,identity_access,IdentityBinding,lifecycle,additive_only,append_only,CESV_IDENTITY_BINDING_VERIFIED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.binding.superseded,identity,identity_access,IdentityBinding,lifecycle,additive_only,superseding,CESV_IDENTITY_BINDING_SUPERSEDED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.binding.corrected,identity,identity_access,IdentityBinding,lifecycle,additive_only,append_only,CESV_IDENTITY_BINDING_CORRECTED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.binding.revoked,identity,identity_access,IdentityBinding,lifecycle,additive_only,superseding,CESV_IDENTITY_BINDING_REVOKED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.repair_signal.recorded,identity,identity_access,IdentityRepairSignal,lifecycle,additive_only,append_only,CESV_IDENTITY_REPAIR_SIGNAL_RECORDED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.repair_case.opened,identity,identity_access,IdentityRepairCase,recovery,additive_only,append_only,CESV_IDENTITY_REPAIR_CASE_OPENED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.repair_case.freeze_committed,identity,identity_access,IdentityRepairCase,recovery,additive_only,append_only,CESV_IDENTITY_REPAIR_CASE_FREEZE_COMMITTED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.repair_branch.quarantined,identity,identity_access,IdentityRepairBranchDisposition,recovery,additive_only,append_only,CESV_IDENTITY_REPAIR_BRANCH_QUARANTINED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.repair_case.corrected,identity,identity_access,IdentityRepairCase,recovery,additive_only,append_only,CESV_IDENTITY_REPAIR_CASE_CORRECTED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.repair_release.settled,identity,identity_access,IdentityRepairReleaseSettlement,settlement,new_version_required,append_only,CESV_IDENTITY_REPAIR_RELEASE_SETTLED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.repair_case.closed,identity,identity_access,IdentityRepairCase,recovery,additive_only,append_only,CESV_IDENTITY_REPAIR_CASE_CLOSED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.session.established,identity,identity_access,Session,lifecycle,additive_only,append_only,CESV_IDENTITY_SESSION_ESTABLISHED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.session.rotated,identity,identity_access,Session,lifecycle,additive_only,superseding,CESV_IDENTITY_SESSION_ROTATED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
identity.session.terminated,identity,identity_access,Session,lifecycle,additive_only,append_only,CESV_IDENTITY_SESSION_TERMINATED_V1,declared,identity_access; support; patient_experience; platform_runtime,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_staff_workspace; rf_support_replay_observe
access.grant.issued,access,identity_access,AccessGrant,settlement,new_version_required,append_only,CESV_ACCESS_GRANT_ISSUED_V1,declared,identity_access; support; patient_experience,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_support_replay_observe
access.grant.redeemed,access,identity_access,AccessGrant,lifecycle,additive_only,append_only,CESV_ACCESS_GRANT_REDEEMED_V1,declared,identity_access; support; patient_experience,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_support_replay_observe
access.grant.rotated,access,identity_access,AccessGrant,lifecycle,additive_only,superseding,CESV_ACCESS_GRANT_ROTATED_V1,declared,identity_access; support; patient_experience,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_support_replay_observe
access.grant.superseded,access,identity_access,AccessGrant,lifecycle,additive_only,superseding,CESV_ACCESS_GRANT_SUPERSEDED_V1,declared,identity_access; support; patient_experience,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_support_replay_observe
access.grant.revoked,access,identity_access,AccessGrant,lifecycle,additive_only,superseding,CESV_ACCESS_GRANT_REVOKED_V1,declared,identity_access; support; patient_experience,service_command_api,,rf_patient_secure_link_recovery; rf_patient_embedded_channel; rf_support_replay_observe
telephony.call.started,telephony,communications,CallSession,lifecycle,additive_only,append_only,CESV_TELEPHONY_CALL_STARTED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.menu.selected,telephony,communications,CallSession,lifecycle,additive_only,append_only,CESV_TELEPHONY_MENU_SELECTED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.identity.captured,telephony,communications,CallSession,lifecycle,additive_only,append_only,CESV_TELEPHONY_IDENTITY_CAPTURED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.recording.ready,telephony,communications,TranscriptArtifact,lifecycle,additive_only,append_only,CESV_TELEPHONY_RECORDING_READY_V1,watch,communications; intake_safety; platform_integration; support,,R_TEL.recording.ready; ivr.recording.complete,rf_intake_telephony_capture
telephony.urgent_live.assessed,telephony,communications,TelephonyUrgentLiveAssessment,lifecycle,additive_only,append_only,CESV_TELEPHONY_URGENT_LIVE_ASSESSED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.transcript.readiness.updated,telephony,communications,TelephonyTranscriptReadinessRecord,lifecycle,additive_only,idempotent_replace,CESV_TELEPHONY_TRANSCRIPT_READINESS_UPDATED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.evidence.pending,telephony,communications,TelephonyEvidenceReadinessAssessment,blocker,additive_only,append_only,CESV_TELEPHONY_EVIDENCE_PENDING_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.evidence.readiness.assessed,telephony,communications,TelephonyEvidenceReadinessAssessment,evidence,additive_only,append_only,CESV_TELEPHONY_EVIDENCE_READINESS_ASSESSED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.evidence.ready,telephony,communications,TelephonyEvidenceReadinessAssessment,evidence,additive_only,append_only,CESV_TELEPHONY_EVIDENCE_READY_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.manual_review.required,telephony,communications,TelephonyManualReviewDisposition,blocker,additive_only,append_only,CESV_TELEPHONY_MANUAL_REVIEW_REQUIRED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.continuation.eligibility.settled,telephony,communications,TelephonyContinuationEligibility,settlement,new_version_required,append_only,CESV_TELEPHONY_CONTINUATION_ELIGIBILITY_SETTLED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.sms_link.sent,telephony,communications,CommunicationEnvelope,lifecycle,additive_only,append_only,CESV_TELEPHONY_SMS_LINK_SENT_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.request.seeded,telephony,communications,SubmissionEnvelope,lifecycle,additive_only,append_only,CESV_TELEPHONY_REQUEST_SEEDED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.continuation.context.created,telephony,communications,TelephonyContinuationContext,lifecycle,additive_only,append_only,CESV_TELEPHONY_CONTINUATION_CONTEXT_CREATED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
telephony.continuation.context.resolved,telephony,communications,TelephonyContinuationContext,settlement,new_version_required,append_only,CESV_TELEPHONY_CONTINUATION_CONTEXT_RESOLVED_V1,watch,communications; intake_safety; platform_integration; support,,,rf_intake_telephony_capture
safety.screened,safety,intake_safety,SafetyDecisionRecord,evidence,additive_only,append_only,CESV_SAFETY_SCREENED_V1,declared,intake_safety; triage_workspace,service_command_api,,rf_intake_self_service; rf_intake_telephony_capture; rf_staff_workspace
safety.classified,safety,intake_safety,SafetyDecisionRecord,evidence,additive_only,append_only,CESV_SAFETY_CLASSIFIED_V1,declared,intake_safety; triage_workspace,service_command_api,,rf_intake_self_service; rf_intake_telephony_capture; rf_staff_workspace
safety.preempted,safety,intake_safety,SafetyDecisionRecord,lifecycle,additive_only,append_only,CESV_SAFETY_PREEMPTED_V1,declared,intake_safety; triage_workspace,service_command_api,,rf_intake_self_service; rf_intake_telephony_capture; rf_staff_workspace
safety.reassessed,safety,intake_safety,SafetyDecisionRecord,lifecycle,additive_only,append_only,CESV_SAFETY_REASSESSED_V1,declared,intake_safety; triage_workspace,service_command_api,,rf_intake_self_service; rf_intake_telephony_capture; rf_staff_workspace
safety.decision_settled,safety,intake_safety,SafetyDecisionRecord,settlement,new_version_required,append_only,CESV_SAFETY_DECISION_SETTLED_V1,declared,intake_safety; triage_workspace,service_command_api,,rf_intake_self_service; rf_intake_telephony_capture; rf_staff_workspace
safety.urgent_diversion.required,safety,intake_safety,SafetyDecisionRecord,recovery,additive_only,append_only,CESV_SAFETY_URGENT_DIVERSION_REQUIRED_V1,declared,intake_safety; triage_workspace,service_command_api,,rf_intake_self_service; rf_intake_telephony_capture; rf_staff_workspace
safety.urgent_diversion.issued,safety,intake_safety,SafetyDecisionRecord,recovery,additive_only,append_only,CESV_SAFETY_URGENT_DIVERSION_ISSUED_V1,declared,intake_safety; triage_workspace,service_command_api,,rf_intake_self_service; rf_intake_telephony_capture; rf_staff_workspace
safety.urgent_diversion.completed,safety,intake_safety,SafetyDecisionRecord,recovery,additive_only,append_only,CESV_SAFETY_URGENT_DIVERSION_COMPLETED_V1,declared,intake_safety; triage_workspace,service_command_api,,rf_intake_self_service; rf_intake_telephony_capture; rf_staff_workspace
triage.task.created,triage,triage_workspace,TriageTask,lifecycle,additive_only,append_only,CESV_TRIAGE_TASK_CREATED_V1,declared,triage_workspace; support,service_command_api,tasks.created,rf_staff_workspace; rf_staff_workspace_child
triage.task.claimed,triage,triage_workspace,TriageTask,lifecycle,additive_only,append_only,CESV_TRIAGE_TASK_CLAIMED_V1,declared,triage_workspace; support,service_command_api,tasks.claimed,rf_staff_workspace; rf_staff_workspace_child
triage.task.resumed,triage,triage_workspace,TriageTask,lifecycle,additive_only,append_only,CESV_TRIAGE_TASK_RESUMED_V1,declared,triage_workspace; support,service_command_api,tasks.resumed,rf_staff_workspace; rf_staff_workspace_child
triage.task.settled,triage,triage_workspace,TriageTask,settlement,new_version_required,append_only,CESV_TRIAGE_TASK_SETTLED_V1,declared,triage_workspace; support,service_command_api,tasks.settled,rf_staff_workspace; rf_staff_workspace_child
triage.task_completion.continuity.updated,triage,triage_workspace,WorkspaceContinuityEvidenceProjection,continuity,new_version_required,idempotent_replace,CESV_TRIAGE_TASK_COMPLETION_CONTINUITY_UPDATED_V1,declared,triage_workspace; support,service_command_api,,rf_staff_workspace; rf_staff_workspace_child
booking.capability.resolved,booking,booking,BookingCase,settlement,new_version_required,append_only,CESV_BOOKING_CAPABILITY_RESOLVED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.slots.fetched,booking,booking,CapacityReservation,lifecycle,additive_only,append_only,CESV_BOOKING_SLOTS_FETCHED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.offers.created,booking,booking,CapacityReservation,lifecycle,additive_only,append_only,CESV_BOOKING_OFFERS_CREATED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.slot.selected,booking,booking,CapacityReservation,lifecycle,additive_only,append_only,CESV_BOOKING_SLOT_SELECTED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.slot.revalidated,booking,booking,CapacityReservation,lifecycle,additive_only,append_only,CESV_BOOKING_SLOT_REVALIDATED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.slot.revalidation.failed,booking,booking,CapacityReservation,blocker,additive_only,append_only,CESV_BOOKING_SLOT_REVALIDATION_FAILED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.commit.started,booking,booking,BookingCase,lifecycle,additive_only,append_only,CESV_BOOKING_COMMIT_STARTED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.commit.confirmation_pending,booking,booking,BookingCase,blocker,additive_only,append_only,CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.commit.reconciliation_pending,booking,booking,BookingCase,blocker,additive_only,append_only,CESV_BOOKING_COMMIT_RECONCILIATION_PENDING_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.commit.confirmed,booking,booking,BookingCase,settlement,new_version_required,append_only,CESV_BOOKING_COMMIT_CONFIRMED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.commit.ambiguous,booking,booking,BookingCase,lifecycle,additive_only,append_only,CESV_BOOKING_COMMIT_AMBIGUOUS_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
