track_id,track_title,phase_ref,baseline_scope,milestone_ref,task_ranges,track_class,long_lead_state,dependency_refs,notes,source_task_refs,task_span_label,first_task_ref,last_task_ref
TRK_P1_BACKEND_INTAKE,Phase 1 backend intake stack,phase_1,current,MS_P1_PARALLEL_INTAKE_IMPLEMENTATION,"[(144, 154)]",backend,near_path,[],"Drafts, promotion, safety screening, and receipts.","['par_144', 'par_145', 'par_146', 'par_147', 'par_148', 'par_149', 'par_150', 'par_151', 'par_152', 'par_153', 'par_154']",par_144 -> par_154,par_144,par_154
TRK_P1_FRONTEND_INTAKE,Phase 1 patient intake surfaces,phase_1,current,MS_P1_PARALLEL_INTAKE_IMPLEMENTATION,"[(155, 163)]",frontend,near_path,[],Patient intake and same-shell receipt journey.,"['par_155', 'par_156', 'par_157', 'par_158', 'par_159', 'par_160', 'par_161', 'par_162', 'par_163']",par_155 -> par_163,par_155,par_163
TRK_P2_IDENTITY,Phase 2 identity authority track,phase_2,current,MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY,"[(175, 186)]",backend,near_path,"['dep_nhs_login_rail', 'dep_pds_fhir_enrichment']",Identity authority and session model.,"['par_175', 'par_176', 'par_177', 'par_178', 'par_179', 'par_180', 'par_181', 'par_182', 'par_183', 'par_184', 'par_185', 'par_186']",par_175 -> par_186,par_175,par_186
TRK_P2_TELEPHONY,Phase 2 telephony convergence track,phase_2,current,MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY,"[(187, 194)]",backend,near_path,"['dep_telephony_ivr_recording_provider', 'dep_transcription_processing_provider']","Telephony, continuation, and callback evidence.","['par_187', 'par_188', 'par_189', 'par_190', 'par_191', 'par_192', 'par_193', 'par_194']",par_187 -> par_194,par_187,par_194
TRK_P2_FRONTEND,Phase 2 authenticated patient surfaces,phase_2,current,MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY,"[(195, 201)]",frontend,near_path,[],"Sign-in, claim, and channel parity surfaces.","['par_195', 'par_196', 'par_197', 'par_198', 'par_199', 'par_200', 'par_201']",par_195 -> par_201,par_195,par_201
TRK_XC_PATIENT_ACCOUNT,Cross-phase patient account projections,cross_phase_controls,current,MS_XC_PARALLEL_PATIENT_ACCOUNT_AND_SUPPORT,"[(210, 217)]",cross_phase,near_path,[],"Patient account, record, and thread continuity.","['par_210', 'par_211', 'par_212', 'par_213', 'par_214', 'par_215', 'par_216', 'par_217']",par_210 -> par_217,par_210,par_217
TRK_XC_SUPPORT,Cross-phase support workspace spine,cross_phase_controls,current,MS_XC_PARALLEL_PATIENT_ACCOUNT_AND_SUPPORT,"[(218, 222)]",cross_phase,near_path,[],"Support replay, masking, and support shell continuity.","['par_218', 'par_219', 'par_220', 'par_221', 'par_222']",par_218 -> par_222,par_218,par_222
TRK_P3_TRIAGE_CORE,Phase 3 triage and queue core,phase_3,current,MS_P3_PARALLEL_TRIAGE_AND_CALLBACK,"[(231, 242)]",backend,near_path,[],"Triage queue, decision, and next-task settlement.","['par_231', 'par_232', 'par_233', 'par_234', 'par_235', 'par_236', 'par_237', 'par_238', 'par_239', 'par_240', 'par_241', 'par_242']",par_231 -> par_242,par_231,par_242
TRK_P3_CALLBACK,Phase 3 callback and messaging,phase_3,current,MS_P3_PARALLEL_TRIAGE_AND_CALLBACK,"[(243, 248)]",backend,near_path,"['dep_telephony_ivr_recording_provider', 'dep_sms_notification_provider']",Callback and clinician messaging repair loops.,"['par_243', 'par_244', 'par_245', 'par_246', 'par_247', 'par_248']",par_243 -> par_248,par_243,par_248
TRK_P3_SELFCARE,Phase 3 self-care and admin resolution,phase_3,current,MS_P3_PARALLEL_TRIAGE_AND_CALLBACK,"[(249, 254)]",backend,near_path,[],"Advice, admin resolution, and reopen flows.","['par_249', 'par_250', 'par_251', 'par_252', 'par_253', 'par_254']",par_249 -> par_254,par_249,par_254
TRK_P3_WORKSPACE,Phase 3 workspace and support UI,phase_3,current,MS_P3_PARALLEL_TRIAGE_AND_CALLBACK,"[(255, 269)]",frontend,near_path,[],Clinical workspace and continuity-aware support surfaces.,"['par_255', 'par_256', 'par_257', 'par_258', 'par_259', 'par_260', 'par_261', 'par_262', 'par_263', 'par_264', 'par_265', 'par_266', 'par_267', 'par_268', 'par_269']",par_255 -> par_269,par_255,par_269
TRK_P4_BOOKING_BACKEND,Phase 4 local booking backend,phase_4,current,MS_P4_PARALLEL_BOOKING_IMPLEMENTATION,"[(282, 292)]",backend,near_path,['dep_local_booking_supplier_adapters'],"Booking authority, holds, commit, waitlist, and reconciliation.","['par_282', 'par_283', 'par_284', 'par_285', 'par_286', 'par_287', 'par_288', 'par_289', 'par_290', 'par_291', 'par_292']",par_282 -> par_292,par_282,par_292
TRK_P4_BOOKING_FRONTEND,Phase 4 local booking frontend,phase_4,current,MS_P4_PARALLEL_BOOKING_IMPLEMENTATION,"[(293, 303)]",frontend,near_path,[],Patient and staff booking flows with truthful hold posture.,"['par_293', 'par_294', 'par_295', 'par_296', 'par_297', 'par_298', 'par_299', 'par_300', 'par_301', 'par_302', 'par_303']",par_293 -> par_303,par_293,par_303
TRK_P5_NETWORK_BACKEND,Phase 5 network coordination backend,phase_5,current,MS_P5_PARALLEL_NETWORK_IMPLEMENTATION,"[(315, 325)]",backend,near_path,"['dep_network_capacity_partner_feeds', 'dep_cross_org_secure_messaging_mesh']","Hub coordination, cross-org booking, messaging, and bounce-back.","['par_315', 'par_316', 'par_317', 'par_318', 'par_319', 'par_320', 'par_321', 'par_322', 'par_323', 'par_324', 'par_325']",par_315 -> par_325,par_315,par_325
TRK_P5_NETWORK_FRONTEND,Phase 5 network coordination frontend,phase_5,current,MS_P5_PARALLEL_NETWORK_IMPLEMENTATION,"[(326, 334)]",frontend,near_path,[],"Hub desk, patient alternatives, and org-aware controls.","['par_326', 'par_327', 'par_328', 'par_329', 'par_330', 'par_331', 'par_332', 'par_333', 'par_334']",par_326 -> par_334,par_326,par_334
TRK_P6_PHARMACY_BACKEND,Phase 6 pharmacy backend,phase_6,current,MS_P6_PARALLEL_PHARMACY_IMPLEMENTATION,"[(346, 356)]",backend,near_path,"['dep_pharmacy_directory_dohs', 'dep_pharmacy_referral_transport', 'dep_pharmacy_outcome_observation']","Eligibility, dispatch, outcome, and urgent return loop.","['par_346', 'par_347', 'par_348', 'par_349', 'par_350', 'par_351', 'par_352', 'par_353', 'par_354', 'par_355', 'par_356']",par_346 -> par_356,par_346,par_356
TRK_P6_PHARMACY_FRONTEND,Phase 6 pharmacy frontend,phase_6,current,MS_P6_PARALLEL_PHARMACY_IMPLEMENTATION,"[(357, 365)]",frontend,near_path,[],"Pharmacy console, patient visibility, and exception handling.","['par_357', 'par_358', 'par_359', 'par_360', 'par_361', 'par_362', 'par_363', 'par_364', 'par_365']",par_357 -> par_365,par_357,par_365
TRK_P7_EMBEDDED_BACKEND,Phase 7 NHS App backend,phase_7,deferred,MS_P7_PARALLEL_EMBEDDED_CHANNEL,"[(377, 385)]",backend,off_path,['dep_nhs_app_embedded_channel_ecosystem'],Deferred embedded-channel backend services.,"['par_377', 'par_378', 'par_379', 'par_380', 'par_381', 'par_382', 'par_383', 'par_384', 'par_385']",par_377 -> par_385,par_377,par_385
TRK_P7_EMBEDDED_FRONTEND,Phase 7 NHS App frontend,phase_7,deferred,MS_P7_PARALLEL_EMBEDDED_CHANNEL,"[(386, 393)]",frontend,off_path,[],Deferred embedded shell and bridge behaviors.,"['par_386', 'par_387', 'par_388', 'par_389', 'par_390', 'par_391', 'par_392', 'par_393']",par_386 -> par_393,par_386,par_393
TRK_P7_EMBEDDED_ONBOARDING,Phase 7 NHS App onboarding and validation,phase_7,deferred,MS_P7_PARALLEL_EMBEDDED_CHANNEL,"[(394, 396)]",dependency,off_path,['dep_nhs_app_embedded_channel_ecosystem'],"Deferred manifest, site link, and bridge validation.","['par_394', 'par_395', 'par_396']",par_394 -> par_396,par_394,par_396
TRK_P8_ASSISTIVE_BACKEND,Phase 8 assistive backend,phase_8,current,MS_P8_PARALLEL_ASSISTIVE_IMPLEMENTATION,"[(406, 417)]",backend,near_path,['dep_assistive_model_vendor_family'],"Assistive corpus, trust envelope, kill switch, and feedback chain.","['par_406', 'par_407', 'par_408', 'par_409', 'par_410', 'par_411', 'par_412', 'par_413', 'par_414', 'par_415', 'par_416', 'par_417']",par_406 -> par_417,par_406,par_417
TRK_P8_ASSISTIVE_FRONTEND,Phase 8 assistive frontend,phase_8,current,MS_P8_PARALLEL_ASSISTIVE_IMPLEMENTATION,"[(418, 424)]",frontend,near_path,[],"Assistive panel, diff, provenance, and freeze surfaces.","['par_418', 'par_419', 'par_420', 'par_421', 'par_422', 'par_423', 'par_424']",par_418 -> par_424,par_418,par_424
TRK_P8_ASSISTIVE_VENDOR,Phase 8 assistive vendor onboarding,phase_8,optional,MS_P8_PARALLEL_ASSISTIVE_IMPLEMENTATION,"[(425, 426)]",dependency,off_path,['dep_assistive_model_vendor_family'],Provisioning and vendor safety settings.,"['par_425', 'par_426']",par_425 -> par_426,par_425,par_426
TRK_P9_ASSURANCE_BACKEND,Phase 9 assurance backend,phase_9,current,MS_P9_PARALLEL_ASSURANCE_IMPLEMENTATION,"[(435, 449)]",backend,on_path,[],"Evidence graph, resilience tuple, governance, and conformance APIs.","['par_435', 'par_436', 'par_437', 'par_438', 'par_439', 'par_440', 'par_441', 'par_442', 'par_443', 'par_444', 'par_445', 'par_446', 'par_447', 'par_448', 'par_449']",par_435 -> par_449,par_435,par_449
TRK_P9_ASSURANCE_FRONTEND,Phase 9 assurance frontend,phase_9,current,MS_P9_PARALLEL_ASSURANCE_IMPLEMENTATION,"[(450, 460)]",frontend,on_path,[],"Operations, governance, assurance, and conformance boards.","['par_450', 'par_451', 'par_452', 'par_453', 'par_454', 'par_455', 'par_456', 'par_457', 'par_458', 'par_459', 'par_460']",par_450 -> par_460,par_450,par_460
TRK_P9_PLATFORM_BINDINGS,Phase 9 platform bindings,phase_9,current,MS_P9_PARALLEL_ASSURANCE_IMPLEMENTATION,"[(461, 463)]",dependency,on_path,[],"Alerting, backups, and compliance destinations.","['par_461', 'par_462', 'par_463']",par_461 -> par_463,par_461,par_463
