synthetic_recovery_coverage_record_id,release_ref,verification_scenario_ref,release_contract_verification_matrix_ref,release_contract_matrix_hash,release_watch_tuple_ref,runtime_publication_bundle_ref,release_publication_parity_ref,watch_tuple_hash,ring_code,audience_scope,journey_code,route_family_ref,required_continuity_control_refs,continuity_evidence_contract_refs,recovery_disposition_refs,route_intent_evidence_refs,command_settlement_evidence_refs,posture_type,coverage_state,evidence_ref,result_state,executed_at
SRCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,pharmacy_console,pharmacy_settlement,rf_pharmacy_console,pharmacy_console_settlement,CEC_058_PHARMACY_CONSOLE_SETTLEMENT_V1,RRD_PHARMACY_DISPATCH_RECOVERY; RRD_PHARMACY_READ_ONLY,RIB_058_rf_pharmacy_console_preprod_v1,CSEV_058_rf_pharmacy_console_preprod_v1,ordinary_live,blocked,SREC_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PREPROD_MORE_INFO_REPLY_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,patient_support,more_info_reply,rf_patient_messages,more_info_reply,CEC_058_MORE_INFO_REPLY_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_messages_preprod_v1,CSEV_058_rf_patient_messages_preprod_v1,constrained,blocked,SREC_058_PREPROD_MORE_INFO_REPLY_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,conversation_runtime,conversation_settlement,rf_patient_messages,conversation_settlement,CEC_058_CONVERSATION_SETTLEMENT_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_messages_preprod_v1,CSEV_058_rf_patient_messages_preprod_v1,constrained,blocked,SREC_058_PREPROD_CONVERSATION_SETTLEMENT_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PREPROD_BOOKING_MANAGE_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,patient_authenticated,booking_manage,rf_patient_appointments,booking_manage,CEC_058_BOOKING_MANAGE_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_appointments_preprod_v1,CSEV_058_rf_patient_appointments_preprod_v1,constrained,blocked,SREC_058_PREPROD_BOOKING_MANAGE_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,support_workspace,support_replay_restore,rf_support_replay_observe,support_replay_restore,CEC_058_SUPPORT_REPLAY_RESTORE_V1,RRD_SUPPORT_CAPTURE_READ_ONLY; RRD_SUPPORT_CAPTURE_RECOVERY; RRD_SUPPORT_REPLAY_MASKED; RRD_SUPPORT_REPLAY_RESTORE_FROZEN; RRD_SUPPORT_WORKSPACE_READ_ONLY,RIB_058_rf_support_replay_observe_preprod_v1,CSEV_058_rf_support_replay_observe_preprod_v1,frozen,blocked,SREC_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PREPROD_INTAKE_RESUME_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,patient_public_entry,intake_resume,rf_intake_self_service,intake_resume,CEC_058_INTAKE_RESUME_V1,RRD_PATIENT_INTAKE_RECOVERY; RRD_PATIENT_PUBLIC_PLACEHOLDER; RRD_TELEPHONY_CAPTURE_RECOVERY,RIB_058_rf_intake_self_service_preprod_v1,CSEV_058_rf_intake_self_service_preprod_v1,read_only_recovery,blocked,SREC_058_PREPROD_INTAKE_RESUME_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PREPROD_HUB_BOOKING_MANAGE_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,hub_workspace,hub_booking_manage,rf_hub_case_management,hub_booking_manage,CEC_058_HUB_BOOKING_MANAGE_V1,RRD_HUB_CASE_READ_ONLY; RRD_HUB_CASE_RECOVERY_ONLY; RRD_HUB_QUEUE_READ_ONLY; RRD_HUB_QUEUE_SUMMARY_ONLY,RIB_058_rf_hub_case_management_preprod_v1,CSEV_058_rf_hub_case_management_preprod_v1,constrained,blocked,SREC_058_PREPROD_HUB_BOOKING_MANAGE_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PREPROD_ASSISTIVE_SESSION_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,assistive_or_embedded,assistive_session,rf_patient_embedded_channel,assistive_session,CEC_058_ASSISTIVE_SESSION_V1,RRD_EMBEDDED_HANDOFF_ONLY; RRD_EMBEDDED_READ_ONLY; RRD_IDENTITY_HOLD_PLACEHOLDER; RRD_SECURE_LINK_RECOVERY_ONLY,RIB_058_rf_patient_embedded_channel_preprod_v1,CSEV_058_rf_patient_embedded_channel_preprod_v1,placeholder_recovery,blocked,SREC_058_PREPROD_ASSISTIVE_SESSION_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PRODUCTION_PATIENT_NAV_V1,RC_PRODUCTION_V1,VS_058_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,RWT_PRODUCTION_V1,RPB_PRODUCTION_V1,RPP_PRODUCTION_V1,de731f45a07239ee,production,patient_authenticated,patient_navigation,rf_patient_home,patient_nav,CEC_058_PATIENT_NAV_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_home_production_v1,CSEV_058_rf_patient_home_production_v1,ordinary_live,blocked,SREC_058_PRODUCTION_PATIENT_NAV_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PRODUCTION_RECORD_CONTINUATION_V1,RC_PRODUCTION_V1,VS_058_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,RWT_PRODUCTION_V1,RPB_PRODUCTION_V1,RPP_PRODUCTION_V1,de731f45a07239ee,production,patient_authenticated,record_continuation,rf_patient_health_record,record_continuation,CEC_058_RECORD_CONTINUATION_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_health_record_production_v1,CSEV_058_rf_patient_health_record_production_v1,ordinary_live,blocked,SREC_058_PRODUCTION_RECORD_CONTINUATION_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PRODUCTION_WORKSPACE_TASK_COMPLETION_V1,RC_PRODUCTION_V1,VS_058_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,RWT_PRODUCTION_V1,RPB_PRODUCTION_V1,RPP_PRODUCTION_V1,de731f45a07239ee,production,staff_workspace,workspace_task_completion,rf_staff_workspace,workspace_task_completion,CEC_058_WORKSPACE_TASK_COMPLETION_V1,RRD_ASSISTIVE_READ_ONLY; RRD_ASSISTIVE_SIDECAR_FROZEN; RRD_WORKSPACE_CHILD_READ_ONLY; RRD_WORKSPACE_CHILD_RECOVERY_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER; RRD_WORKSPACE_READ_ONLY,RIB_058_rf_staff_workspace_production_v1,CSEV_058_rf_staff_workspace_production_v1,constrained,blocked,SREC_058_PRODUCTION_WORKSPACE_TASK_COMPLETION_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PRODUCTION_PHARMACY_CONSOLE_SETTLEMENT_V1,RC_PRODUCTION_V1,VS_058_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,RWT_PRODUCTION_V1,RPB_PRODUCTION_V1,RPP_PRODUCTION_V1,de731f45a07239ee,production,pharmacy_console,pharmacy_settlement,rf_pharmacy_console,pharmacy_console_settlement,CEC_058_PHARMACY_CONSOLE_SETTLEMENT_V1,RRD_PHARMACY_DISPATCH_RECOVERY; RRD_PHARMACY_READ_ONLY,RIB_058_rf_pharmacy_console_production_v1,CSEV_058_rf_pharmacy_console_production_v1,ordinary_live,blocked,SREC_058_PRODUCTION_PHARMACY_CONSOLE_SETTLEMENT_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PRODUCTION_MORE_INFO_REPLY_V1,RC_PRODUCTION_V1,VS_058_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,RWT_PRODUCTION_V1,RPB_PRODUCTION_V1,RPP_PRODUCTION_V1,de731f45a07239ee,production,patient_support,more_info_reply,rf_patient_messages,more_info_reply,CEC_058_MORE_INFO_REPLY_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_messages_production_v1,CSEV_058_rf_patient_messages_production_v1,constrained,blocked,SREC_058_PRODUCTION_MORE_INFO_REPLY_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PRODUCTION_CONVERSATION_SETTLEMENT_V1,RC_PRODUCTION_V1,VS_058_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,RWT_PRODUCTION_V1,RPB_PRODUCTION_V1,RPP_PRODUCTION_V1,de731f45a07239ee,production,conversation_runtime,conversation_settlement,rf_patient_messages,conversation_settlement,CEC_058_CONVERSATION_SETTLEMENT_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_messages_production_v1,CSEV_058_rf_patient_messages_production_v1,constrained,blocked,SREC_058_PRODUCTION_CONVERSATION_SETTLEMENT_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PRODUCTION_BOOKING_MANAGE_V1,RC_PRODUCTION_V1,VS_058_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,RWT_PRODUCTION_V1,RPB_PRODUCTION_V1,RPP_PRODUCTION_V1,de731f45a07239ee,production,patient_authenticated,booking_manage,rf_patient_appointments,booking_manage,CEC_058_BOOKING_MANAGE_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_appointments_production_v1,CSEV_058_rf_patient_appointments_production_v1,constrained,blocked,SREC_058_PRODUCTION_BOOKING_MANAGE_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PRODUCTION_SUPPORT_REPLAY_RESTORE_V1,RC_PRODUCTION_V1,VS_058_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,RWT_PRODUCTION_V1,RPB_PRODUCTION_V1,RPP_PRODUCTION_V1,de731f45a07239ee,production,support_workspace,support_replay_restore,rf_support_replay_observe,support_replay_restore,CEC_058_SUPPORT_REPLAY_RESTORE_V1,RRD_SUPPORT_CAPTURE_READ_ONLY; RRD_SUPPORT_CAPTURE_RECOVERY; RRD_SUPPORT_REPLAY_MASKED; RRD_SUPPORT_REPLAY_RESTORE_FROZEN; RRD_SUPPORT_WORKSPACE_READ_ONLY,RIB_058_rf_support_replay_observe_production_v1,CSEV_058_rf_support_replay_observe_production_v1,frozen,blocked,SREC_058_PRODUCTION_SUPPORT_REPLAY_RESTORE_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PRODUCTION_INTAKE_RESUME_V1,RC_PRODUCTION_V1,VS_058_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,RWT_PRODUCTION_V1,RPB_PRODUCTION_V1,RPP_PRODUCTION_V1,de731f45a07239ee,production,patient_public_entry,intake_resume,rf_intake_self_service,intake_resume,CEC_058_INTAKE_RESUME_V1,RRD_PATIENT_INTAKE_RECOVERY; RRD_PATIENT_PUBLIC_PLACEHOLDER; RRD_TELEPHONY_CAPTURE_RECOVERY,RIB_058_rf_intake_self_service_production_v1,CSEV_058_rf_intake_self_service_production_v1,read_only_recovery,blocked,SREC_058_PRODUCTION_INTAKE_RESUME_V1,blocked,2026-04-13T14:51:09+00:00
