capability_id,scope_category,capability_name,classification,baseline_required,phase_ids,phase_titles,visibility,why_it_exists,scope_statement,acceptance_implication,dependency_summary,dependencies_json,source_refs,related_decision_ids,notes
cap_governance_and_admin_shell,governance/admin shell,"Governance, policy, release, access, and compliance shell",core_enabling_control_plane,yes,phase_0; phase_9,The Foundation Protocol; The Assurance Ledger,governance,"Governed mutation, release oversight, and compliance evidence need their own high-control shell.","Governance and admin routes must remain a distinct shell for policy, access, communications governance, release gating, and compliance evidence rather than an operations subpanel or raw CRUD backend.",Reject any architecture that collapses governance approval into frontline operations UI or bypasses the same runtime tuples enforced by production.,Compiled policy bundles (required_baseline); Release watch tuples and guardrail snapshots (required_baseline); Assurance evidence bundles (required_baseline),"[{""name"": ""Compiled policy bundles"", ""reason"": ""Governance work is defined through policy compilation."", ""status"": ""required_baseline""}, {""name"": ""Release watch tuples and guardrail snapshots"", ""reason"": ""Approval and watch posture must match runtime truth."", ""status"": ""required_baseline""}, {""name"": ""Assurance evidence bundles"", ""reason"": ""Compliance review requires explicit evidence packaging."", ""status"": ""required_baseline""}]",governance-admin-console-frontend-blueprint.md#Purpose; governance-admin-console-frontend-blueprint.md#Governance operating law; staff-operations-and-support-blueprint.md#Operations route contract,DECISION_SCOPE_006; DECISION_SCOPE_011,
cap_local_booking_orchestrator,local booking,Local Booking Orchestrator behind supplier capability and adapter contracts,core_now,yes,phase_0; phase_4,The Foundation Protocol; The Booking Engine,patient; staff,"Booking is only one endpoint, but it remains a core baseline outcome when clinically or operationally required.","Local booking must run through one BookingProviderAdapterBinding and capability matrix so supplier search, hold, commit, and manage differences stay behind adapters rather than inside core workflow logic.","Reject any design that hard-codes supplier semantics into request workflow, patient copy, or queue logic.",IM1 and local GP integration rails (required_baseline); Supplier capability matrix (required_baseline); Provider simulators (replaceable_by_simulator),"[{""name"": ""IM1 and local GP integration rails"", ""reason"": ""Local automation is baseline booking scope."", ""status"": ""required_baseline""}, {""name"": ""Supplier capability matrix"", ""reason"": ""Capability and manage support vary by supplier and pairing."", ""status"": ""required_baseline""}, {""name"": ""Provider simulators"", ""reason"": ""Development and contract validation may rely on simulators before live pairing."", ""status"": ""replaceable_by_simulator""}]",blueprint-init.md#6. Booking and access continuity; phase-cards.md#Card 5: Phase 4 - The Booking Engine; phase-0-the-foundation-protocol.md#25E. BookingProviderAdapterBinding; platform-runtime-and-release-blueprint.md#AdapterContractProfile,DECISION_SCOPE_004; DECISION_SCOPE_012,
cap_truthful_booking_manage_waitlist_and_confirmation,local booking,"Truthful booking confirmation, waitlist, and appointment manage posture",core_now,yes,phase_0; phase_4; phase_9,The Foundation Protocol; The Booking Engine; The Assurance Ledger,patient; staff; ops,"Reservation truth, confirmation gates, and manage continuity are required to prevent false reassurance.","Offer, hold, waitlist, confirmation, and manage flows must derive from ReservationAuthority, CapacityReservation, ExternalConfirmationGate, BookingContinuityEvidenceProjection, and authoritative settlement rather than countdowns or local success toasts.","Reject any experience that implies exclusivity without a held reservation or claims booked calmness while supplier confirmation remains ambiguous, disputed, stale, or expired.",Supplier confirmation evidence (required_baseline); Messaging reminders and notifications (optional); Waitlist continuation policies (required_baseline),"[{""name"": ""Supplier confirmation evidence"", ""reason"": ""Booked truth requires authoritative confirmation or read-after-write proof."", ""status"": ""required_baseline""}, {""name"": ""Messaging reminders and notifications"", ""reason"": ""Notifications improve downstream continuity but do not replace truth semantics."", ""status"": ""optional""}, {""name"": ""Waitlist continuation policies"", ""reason"": ""Local waitlist is a governed continuation, not a best-effort side lane."", ""status"": ""required_baseline""}]",blueprint-init.md#6. Booking and access continuity; phase-4-the-booking-engine.md#Booking surface-control priorities; phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; forensic-audit-findings.md#Finding 30 - Offer and hold semantics could imply false exclusivity; forensic-audit-findings.md#Finding 72 - The booking commit path did not bind ambiguous supplier truth to canonical confirmation gates strongly enough,DECISION_SCOPE_004; DECISION_SCOPE_010,
cap_network_coordination_desk,network/hub coordination,"Network coordination desk for cross-site, hub, and callback fallback booking work",core_now,yes,phase_0; phase_5,The Foundation Protocol; The Network Horizon,patient; staff,Enhanced Access and cross-site workflows need a coordination desk rather than pretending every booking is local and synchronous.,"Hub coordination must remain its own case-managed workflow for ranked offers, patient choice, practice visibility debt, callback fallback, and cross-site confirmation ambiguity.",Reject any design that compresses hub work into a generic local booking confirmation step or lets stale hub evidence imply practice-ready calmness.,Hub or cross-site scheduling adapters (required_baseline); Practice visibility and acknowledgement channels (required_baseline); Callback fallback rail (required_baseline),"[{""name"": ""Hub or cross-site scheduling adapters"", ""reason"": ""Network coordination requires external scheduling visibility."", ""status"": ""required_baseline""}, {""name"": ""Practice visibility and acknowledgement channels"", ""reason"": ""Hub cases stay open until origin-practice obligations settle."", ""status"": ""required_baseline""}, {""name"": ""Callback fallback rail"", ""reason"": ""Unsafe or unhelpful local continuation must rotate into callback or hub fallback."", ""status"": ""required_baseline""}]",blueprint-init.md#6. Booking and access continuity; phase-cards.md#Card 6: Phase 5 - The Network Horizon; forensic-audit-findings.md#Finding 34 - Hub coordination was oversimplified into book or not-book,DECISION_SCOPE_004; DECISION_SCOPE_009,
cap_pharmacy_referral_dispatch_and_outcome_loop,pharmacy referral loop,"Pharmacy First eligibility, referral dispatch, bounce-back, and outcome reconciliation loop",core_now,yes,phase_0; phase_6,The Foundation Protocol; The Pharmacy Loop,patient; staff,Pharmacy First is one of the named endpoint families in the product mission and baseline phases.,"Vecells must handle eligibility, choice, consent, dispatch, bounce-back, and outcome reconciliation as a structured referral loop without pretending that transport acknowledgement equals resolved clinical outcome.","Reject any flow that hides consent, bounce-back, provider choice proof, or outcome reconciliation behind a fire-and-forget referral send.",Directory of Healthcare Services or service search rail (required_baseline); Referral transport rail (required_baseline); Outcome ingestion channel (required_baseline),"[{""name"": ""Directory of Healthcare Services or service search rail"", ""reason"": ""Provider discovery is part of the referral loop."", ""status"": ""required_baseline""}, {""name"": ""Referral transport rail"", ""reason"": ""Dispatch requires an approved transport path."", ""status"": ""required_baseline""}, {""name"": ""Outcome ingestion channel"", ""reason"": ""Closure and calmness depend on returned pharmacy outcome evidence."", ""status"": ""required_baseline""}]",blueprint-init.md#7. Pharmacy First pathway; phase-cards.md#Card 7: Phase 6 - The Pharmacy Loop; phase-0-the-foundation-protocol.md#Pharmacy dispatch proof and outcome reconciliation; forensic-audit-findings.md#Finding 38 - Resolved pharmacy outcomes were collapsed into self-care,DECISION_SCOPE_005; DECISION_SCOPE_010,
cap_bounded_assistive_workspace_sidecar,assistive layer,Bounded assistive sidecar inside the human-led workspace,core_now,yes,phase_0; phase_3; phase_8,The Foundation Protocol; The Human Checkpoint; The Assistive Layer,staff,"The baseline includes Phase 8, but the assistive layer is optional, bounded, and subordinate to human review.","Assistive summarisation, drafting, and suggestions may appear only as bounded same-shell sidecars that preserve human approval, route ownership, publication parity, and freeze disposition.","Reject any review path that makes assistive output a mandatory linear gate, allows stale insert actions to remain live, or treats model presence as workflow truth.",Assistive rollout slice contracts (required_baseline); Human approval and feedback chain (required_baseline); Model vendor integration (feature_flagged),"[{""name"": ""Assistive rollout slice contracts"", ""reason"": ""Visible assistive posture must bind a governed rollout contract."", ""status"": ""required_baseline""}, {""name"": ""Human approval and feedback chain"", ""reason"": ""Final human artifact remains authoritative."", ""status"": ""required_baseline""}, {""name"": ""Model vendor integration"", ""reason"": ""Visible capabilities may be cohort-gated by vendor and route."", ""status"": ""feature_flagged""}]",phase-cards.md#Card 9: Phase 8 - The Assistive Layer; phase-8-the-assistive-layer.md#System after Phase 8; vecells-complete-end-to-end-flow.md#Baseline invariants; forensic-audit-findings.md#Finding 17 - AI assistance was modeled as a mandatory linear stage,DECISION_SCOPE_008; DECISION_SCOPE_012,
cap_assurance_ledger_and_evidence_graph,assurance ledger,"Assurance ledger, evidence graph, retention, audit, and recovery admissibility",core_enabling_control_plane,yes,phase_0; phase_9,The Foundation Protocol; The Assurance Ledger,ops; governance,Phase 9 makes the product operationally provable and is part of the current completion line.,"Assurance, retention, deletion, pack generation, replay, and recovery evidence must run through one admissible evidence graph and WORM-backed audit spine rather than retrospective spreadsheets or detached exports.","Reject any launch plan that treats assurance packs, retention, archive, deletion, or recovery evidence as offline paperwork detached from system truth.",WORM audit ledger (required_baseline); Standards evidence mapping (required_baseline); Recovery rehearsal evidence (required_baseline),"[{""name"": ""WORM audit ledger"", ""reason"": ""Immutable audit is part of the platform spine."", ""status"": ""required_baseline""}, {""name"": ""Standards evidence mapping"", ""reason"": ""DTAC, DSPT, DCB0129, and DCB0160 evidence must remain machine-linked."", ""status"": ""required_baseline""}, {""name"": ""Recovery rehearsal evidence"", ""reason"": ""Operational proof requires repeated restore and failover evidence."", ""status"": ""required_baseline""}]","phase-cards.md#Card 10: Phase 9 - The Assurance Ledger; phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts; phase-9-the-assurance-ledger.md#9F. Resilience readiness, restore, failover, and recovery evidence; forensic-audit-findings.md#Finding 113 - Assurance evidence could still exist without one authoritative graph proving admissibility",DECISION_SCOPE_006; DECISION_SCOPE_011,
cap_runtime_release_and_publication_control_plane,runtime/release control plane,"Runtime topology, route publication, release freeze, and publication parity control plane",core_enabling_control_plane,yes,phase_0; phase_9,The Foundation Protocol; The Assurance Ledger,patient; staff; ops; governance,"Writable posture, embedded safety, and rollout recovery all depend on one published runtime tuple.","Runtime topology, gateway/BFF boundaries, ReleaseApprovalFreeze, ChannelReleaseFreezeRecord, AudienceSurfaceRuntimeBinding, and recovery dispositions remain baseline scope rather than deferred DevOps hardening.","Reject any surface that infers writable state from route availability, feature flags, or local cache instead of the current runtime and release tuple.","UK-hosted cloud runtime (required_baseline); Route publication and manifest pipeline (required_baseline); Canary, freeze, and rollback control plane (required_baseline)","[{""name"": ""UK-hosted cloud runtime"", ""reason"": ""Runtime topology and trust-zone strategy are baseline architecture."", ""status"": ""required_baseline""}, {""name"": ""Route publication and manifest pipeline"", ""reason"": ""Audience surfaces must publish live route contracts."", ""status"": ""required_baseline""}, {""name"": ""Canary, freeze, and rollback control plane"", ""reason"": ""Promotion and recovery posture are baseline requirements."", ""status"": ""required_baseline""}]",blueprint-init.md#12. Practical engineering shape; platform-runtime-and-release-blueprint.md#Runtime rules; phase-0-the-foundation-protocol.md#6.6 Scoped mutation gate; phase-cards.md#Extended Summary-Layer Alignment,DECISION_SCOPE_006; DECISION_SCOPE_011,
cap_external_adapter_seams_and_baseline_rails,external integrations/adapters,Baseline external rails isolated behind adapter seams,core_now,yes,phase_0; phase_4; phase_5; phase_6; phase_9,The Foundation Protocol; The Booking Engine; The Network Horizon; The Pharmacy Loop; The Assurance Ledger,staff; ops,"The product depends on identity, booking, messaging, telephony, referral, and directory rails, but those rails must stay outside the core domain model.","External dependencies must publish adapter contracts, capability matrices, replay rules, and simulator paths so Vecells can preserve one core model while suppliers vary.",Reject any architecture that allows browser or core workflow code to call suppliers directly or that couples a supplier payload to canonical request meaning.,NHS login rail (required_baseline); IM1 and GP-system adapters (required_baseline); Messaging and telephony adapters (required_baseline); Service discovery and referral transport rails (required_baseline); Contract simulators (replaceable_by_simulator),"[{""name"": ""NHS login rail"", ""reason"": ""Patient authentication remains a baseline rail."", ""status"": ""required_baseline""}, {""name"": ""IM1 and GP-system adapters"", ""reason"": ""Local booking and related GP-side workflows depend on them."", ""status"": ""required_baseline""}, {""name"": ""Messaging and telephony adapters"", ""reason"": ""Communications and phone parity are baseline."", ""status"": ""required_baseline""}, {""name"": ""Service discovery and referral transport rails"", ""reason"": ""Pharmacy discovery and dispatch are baseline."", ""status"": ""required_baseline""}, {""name"": ""Contract simulators"", ""reason"": ""Simulator-backed validation is allowed before live supplier connectivity."", ""status"": ""replaceable_by_simulator""}]","blueprint-init.md#12. Practical engineering shape; vecells-complete-end-to-end-flow.md#Integration rails; platform-runtime-and-release-blueprint.md#AdapterContractProfile; phase-0-the-foundation-protocol.md#6.6A Adapter outbox, inbox, and callback replay rule",DECISION_SCOPE_004; DECISION_SCOPE_011; DECISION_SCOPE_012,
cap_operational_analytics_and_continuity_evidence,analytics and continuity evidence,"Operational analytics, continuity proof, and cross-phase conformance evidence",core_enabling_control_plane,yes,phase_0; phase_9,The Foundation Protocol; The Assurance Ledger,ops; governance,"Analytics is an operational subsystem and continuity proof is a release, ops, and governance dependency.","Analytics, continuity-evidence producers, conformance scorecards, and live diagnostic slices remain baseline scope and may not be treated as retrospective BI or optional observability polish.","Reject any proposal that postpones continuity proof, phase conformance, or operational analytics until after the core patient and staff features ship.",Event bus plus outbox publication (required_baseline); Assurance slice trust evaluation (required_baseline); Cross-phase conformance scorecard (required_baseline),"[{""name"": ""Event bus plus outbox publication"", ""reason"": ""Operational analytics and continuity proof depend on a governed event spine."", ""status"": ""required_baseline""}, {""name"": ""Assurance slice trust evaluation"", ""reason"": ""Operational and governance consumers need explicit trust states."", ""status"": ""required_baseline""}, {""name"": ""Cross-phase conformance scorecard"", ""reason"": ""Programme completion depends on machine-auditable alignment."", ""status"": ""required_baseline""}]",blueprint-init.md#11. Analytics and assurance; phase-cards.md#Cross-Phase Conformance Scorecard; phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard; vecells-complete-end-to-end-flow.md#Baseline invariants,DECISION_SCOPE_001; DECISION_SCOPE_006,
ng_appointments_first_product_shape,intake and safety,Thin appointments-first front end,explicitly_out_of_scope,no,cross_phase,Cross-phase,patient; staff,"The mission is demand orchestration with multiple endpoints, not a booking-only facade.",Vecells is not a thin appointment-booking front end and must not be scoped as a booking-only patient access product.,"Reject any roadmap item that defines success mainly as appointment slot search and booking while omitting non-booking endpoints, safety gating, or request lineage.",No external dependency because the capability is intentionally excluded or prohibited.,[],blueprint-init.md#1. Product definition; blueprint-init.md#4. The end-to-end patient journey,DECISION_SCOPE_002,
ng_separate_phone_back_office_workflow,intake and safety,Separate phone-only operational workflow,prohibited_architecture_pattern,no,cross_phase; phase_0; phase_1,Cross-phase; The Foundation Protocol; The Red Flag Gate,patient; staff,Telephony parity is a governing product boundary rather than an implementation convenience.,"Phone and IVR requests may not fork into a separate back-office workflow outside the canonical intake lineage, safety model, and request shell.","Reject any phone feature that stores requests outside SubmissionEnvelope, bypasses the same safety gate, or yields different receipt and status semantics.",Telephony adapter (required_baseline),"[{""name"": ""Telephony adapter"", ""reason"": ""The prohibition exists because telephony is baseline scope."", ""status"": ""required_baseline""}]",blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#4. Canonical ingest and request promotion,DECISION_SCOPE_003,
ng_native_nhs_app_current_baseline,patient portal/account/communications,Native NHS App product in the current completion line,explicitly_out_of_scope,no,cross_phase; phase_7,Cross-phase; Inside the NHS App,patient,The baseline explicitly defers the embedded channel expansion.,The current delivery baseline does not include a native or embedded NHS App channel rollout as a hard gate.,Reject any baseline completion criterion that requires Phase 7 delivery or that treats embedded NHS App support as a prerequisite for launch.,No external dependency because the capability is intentionally excluded or prohibited.,[],blueprint-init.md#14. Programme Baseline With NHS App Deferred; phase-cards.md#Programme Baseline Update (NHS App Deferred),DECISION_SCOPE_001,
