codeowners_row_id,path,owner_domain_id,owner_domain_name,review_handle,package_tag_class,bounded_context_ref,primary_language,workspace_status,approval_policy,protected_entrypoints,source_refs
CO_SVC_PROJECTION_WORKER,services/projection-worker,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,service_runtime,foundation_runtime_experience,TypeScript,baseline_required,mandatory_owner_review,src/main.ts; src/projections/index.ts; src/rebuild/index.ts,platform-runtime-and-release-blueprint.md#ProjectionContractFamily; 05_request_lineage_model.md
CO_SVC_NOTIFICATION_WORKER,services/notification-worker,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,service_runtime,callback_messaging,TypeScript,baseline_required,mandatory_owner_review,src/main.ts; src/dispatch/index.ts; src/receipts/index.ts,"callback-and-clinician-messaging-loop.md; phase-0-the-foundation-protocol.md#6.6A Adapter outbox, inbox, and callback replay rule"
CO_SVC_INTEGRATION_WORKER,services/integration-worker,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,service_runtime,foundation_control_plane,TypeScript,baseline_required,mandatory_owner_review,src/main.ts; src/adapters/index.ts; src/replay/index.ts,platform-runtime-and-release-blueprint.md#AdapterContractProfile; 08_external_dependency_inventory.md
CO_SVC_ASSURANCE_WORKER,services/assurance-worker,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,service_runtime,assurance_and_governance,TypeScript,baseline_required,mandatory_owner_review,src/main.ts; src/evidence/index.ts; src/watch/index.ts,phase-9-the-assurance-ledger.md; 09_regulatory_workstreams.md
CO_SVC_TIMER_ORCHESTRATOR,services/timer-orchestrator,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,service_runtime,foundation_control_plane,TypeScript,baseline_required,mandatory_owner_review,src/main.ts; src/timers/index.ts; src/checkpoints/index.ts,phase-3-the-human-checkpoint.md; phase-4-the-booking-engine.md; phase-5-the-network-horizon.md; phase-6-the-pharmacy-loop.md
CO_SVC_ADAPTER_SIMULATORS,services/adapter-simulators,own_release_devex,Release And Developer Experience,@vecells/release-devex,service_runtime,foundation_runtime_experience,TypeScript,baseline_required,mandatory_owner_review,src/main.ts; src/simulators/index.ts; src/fixtures/index.ts,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 08_simulator_and_local_stub_strategy.md
CO_PKG_DOM_FOUNDATION_CONTROL_PLANE,packages/domains/foundation-control-plane,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,domain_context,foundation_control_plane,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_FOUNDATION_IDENTITY_ACCESS,packages/domains/foundation-identity-access,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,domain_context,foundation_identity_access,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_FOUNDATION_RUNTIME_EXPERIENCE,packages/domains/foundation-runtime-experience,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,domain_context,foundation_runtime_experience,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_PATIENT_EXPERIENCE,packages/domains/patient-experience,own_patient_experience,Patient Experience,@vecells/patient-experience,domain_context,patient_experience,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_TRIAGE_HUMAN_CHECKPOINT,packages/domains/triage-human-checkpoint,own_clinical_workspace,Clinical Workspace,@vecells/clinical-workspace,domain_context,triage_human_checkpoint,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_CALLBACK_MESSAGING,packages/domains/callback-messaging,own_patient_experience,Patient Experience,@vecells/patient-experience,domain_context,callback_messaging,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_BOOKING,packages/domains/booking,own_booking_network,Booking And Network,@vecells/booking-network,domain_context,booking,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_HUB_COORDINATION,packages/domains/hub-coordination,own_booking_network,Booking And Network,@vecells/booking-network,domain_context,hub_coordination,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_PHARMACY,packages/domains/pharmacy,own_pharmacy,Pharmacy,@vecells/pharmacy,domain_context,pharmacy,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_STAFF_SUPPORT_OPERATIONS,packages/domains/staff-support-operations,own_support_operations,Support Operations,@vecells/support-operations,domain_context,staff_support_operations,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_ASSURANCE_AND_GOVERNANCE,packages/domains/assurance-and-governance,own_governance_assurance,Governance And Assurance,@vecells/governance-assurance,domain_context,assurance_and_governance,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_PLATFORM_CONFIGURATION,packages/domains/platform-configuration,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,domain_context,platform_configuration,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_RUNTIME_RELEASE,packages/domains/runtime-release,own_release_devex,Release And Developer Experience,@vecells/release-devex,domain_context,runtime_release,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_SELF_CARE_ADMIN_RESOLUTION,packages/domains/self-care-admin-resolution,own_patient_experience,Patient Experience,@vecells/patient-experience,domain_context,self_care_admin_resolution,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOM_ASSISTIVE,packages/domains/assistive,own_governance_assurance,Governance And Assurance,@vecells/governance-assurance,domain_context,assistive,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; 06_object_catalog.md
CO_PKG_DOMAIN_KERNEL,packages/domain-kernel,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,platform_shared_package,foundation_control_plane,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/envelopes.ts; package.json#exports,phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine
CO_PKG_API_CONTRACTS,packages/api-contracts,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,contract_package,foundation_runtime_experience,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/routes/index.ts; dist/openapi/index.json,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; platform-runtime-and-release-blueprint.md#Frontend and backend integration contract
CO_PKG_LIVE_CHANNEL_CONTRACTS,packages/live-channel-contracts,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,contract_package,foundation_runtime_experience,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/channels/index.ts; package.json#exports,platform-runtime-and-release-blueprint.md#LiveUpdateChannelContract
CO_PKG_EVENT_CONTRACTS,packages/event-contracts,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,contract_package,foundation_control_plane,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/namespaces/index.ts; package.json#exports,phase-0-the-foundation-protocol.md#CanonicalEventContract; platform-runtime-and-release-blueprint.md#Canonical event baseline
CO_PKG_FHIR_MAPPING,packages/fhir-mapping,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,platform_shared_package,foundation_control_plane,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/mappers/index.ts; package.json#exports,phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine; prompt/013.md
CO_PKG_DESIGN_SYSTEM,packages/design-system,own_design_system,Design System,@vecells/design-system,design_contract_package,frontend_runtime,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/tokens/index.ts; src/components/index.ts,design-token-foundation.md; platform-frontend-blueprint.md#0.1A Canonical design-token and visual-language foundation
CO_PKG_DESIGN_CONTRACTS,packages/design-contracts,own_design_system,Design System,@vecells/design-system,design_contract_package,frontend_runtime,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/publication/index.ts; src/anchors/index.ts,canonical-ui-contract-kernel.md#DesignContractPublicationBundle; platform-frontend-blueprint.md#2.15B DesignContractRegistry
CO_PKG_ACCESSIBILITY_CONTRACTS,packages/accessibility-contracts,own_design_system,Design System,@vecells/design-system,design_contract_package,frontend_runtime,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/coverage/index.ts; src/focus/index.ts,accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile
CO_PKG_AUTHZ_POLICY,packages/authz-policy,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,platform_shared_package,foundation_identity_access,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/policies/index.ts; package.json#exports,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture
CO_PKG_OBSERVABILITY,packages/observability,own_release_devex,Release And Developer Experience,@vecells/release-devex,platform_shared_package,runtime_release,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/events/index.ts; src/redaction/index.ts,phase-9-the-assurance-ledger.md; platform-frontend-blueprint.md#UIEventVisibilityProfile
CO_PKG_RELEASE_CONTROLS,packages/release-controls,own_release_devex,Release And Developer Experience,@vecells/release-devex,platform_shared_package,runtime_release,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/freeze/index.ts; src/verification/index.ts,platform-runtime-and-release-blueprint.md#Verification ladder contract; platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
CO_PKG_RUNTIME_PUBLICATION,packages/runtime-publication,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,platform_shared_package,runtime_release,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/manifests/index.ts; src/parity/index.ts,platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; 11_runtime_topology_baseline.mmd
CO_PKG_TEST_FIXTURES,packages/test-fixtures,own_release_devex,Release And Developer Experience,@vecells/release-devex,platform_shared_package,foundation_runtime_experience,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/contracts/index.ts; src/snapshots/index.ts,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture
CO_PKG_MIGRATIONS,packages/migrations,own_release_devex,Release And Developer Experience,@vecells/release-devex,platform_shared_package,runtime_release,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/runner/index.ts; src/windows/index.ts,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; platform-runtime-and-release-blueprint.md#Data persistence and migration contract
CO_PKG_GEN_API_CLIENTS,packages/generated/api-clients,own_release_devex,Release And Developer Experience,@vecells/release-devex,generated_contract_package,foundation_runtime_experience,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; generated-manifest.json,platform-runtime-and-release-blueprint.md#Frontend and backend integration contract
CO_PKG_GEN_LIVE_CHANNEL_CLIENTS,packages/generated/live-channel-clients,own_release_devex,Release And Developer Experience,@vecells/release-devex,generated_contract_package,foundation_runtime_experience,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; generated-manifest.json,platform-runtime-and-release-blueprint.md#LiveUpdateChannelContract
CO_PKG_GEN_EVENT_BINDINGS,packages/generated/event-bindings,own_release_devex,Release And Developer Experience,@vecells/release-devex,generated_contract_package,foundation_control_plane,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; generated-manifest.json,phase-0-the-foundation-protocol.md#CanonicalEventContract
CO_PKG_GEN_DESIGN_CONTRACT_BINDINGS,packages/generated/design-contract-bindings,own_release_devex,Release And Developer Experience,@vecells/release-devex,generated_contract_package,frontend_runtime,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; generated-manifest.json,canonical-ui-contract-kernel.md#DesignContractPublicationBundle; platform-frontend-blueprint.md#7.8 Verification and Playwright contract
CO_PKG_GEN_MIGRATION_FIXTURES,packages/generated/migration-fixtures,own_release_devex,Release And Developer Experience,@vecells/release-devex,generated_contract_package,runtime_release,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; generated-manifest.json,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture
CO_TOOL_CODEGEN,tools/codegen,own_release_devex,Release And Developer Experience,@vecells/release-devex,tooling_package,runtime_release,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/pipelines/index.ts; src/emitters/index.ts,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
CO_TOOL_ANALYSIS,tools/analysis,own_release_devex,Release And Developer Experience,@vecells/release-devex,tooling_package,runtime_release,Python,baseline_required,mandatory_owner_review,*.py; README.md,prompt/shared_operating_contract_011_to_015.md; tasks 001-012 toolchain
CO_TOOL_VALIDATORS,tools/validators,own_release_devex,Release And Developer Experience,@vecells/release-devex,tooling_package,runtime_release,Python,baseline_required,mandatory_owner_review,*.py; *.ts,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture
CO_TOOL_DEV_BOOTSTRAP,tools/dev-bootstrap,own_release_devex,Release And Developer Experience,@vecells/release-devex,tooling_package,foundation_runtime_experience,TypeScript,baseline_required,mandatory_owner_review,src/index.ts; src/local-topology/index.ts; src/env/index.ts,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture
CO_INFRA_ENVIRONMENTS,infra/environments,own_release_devex,Release And Developer Experience,@vecells/release-devex,delivery_control_artifact,runtime_release,YAML,baseline_required,mandatory_owner_review,*.yaml; *.json; *.template,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture
CO_OPS_RUNBOOKS,ops/runbooks,own_release_devex,Release And Developer Experience,@vecells/release-devex,delivery_control_artifact,runtime_release,Markdown,baseline_required,mandatory_owner_review,*.md,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; platform-runtime-and-release-blueprint.md#OperationalReadinessSnapshot
