checklist_id,dependency_family,environment,target_account_or_secret_id,capture_type,initiator_role,approver_role,manual_checkpoint_required,gate_refs,prerequisite_artifacts,landing_zone,redaction_steps,vault_ingest_target,runtime_binding_target,verification_evidence,incident_or_revocation_path,source_refs,notes
CAPTURE_PUB_NHS_LOGIN_SHARED_DEV_JWKS,identity_auth,shared_dev,PUB_NHS_LOGIN_SHARED_DEV_JWKS,metadata_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_metadata_review_queue,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,shared_nonprod_fixture_registry,control_plane_metadata_publication,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,remove_from_partner_registry_republish_runtime_metadata_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Published mock JWKS metadata used by both simulator and later capture templates.
CAPTURE_DATA_NHS_LOGIN_SHARED_DEV_FIXTURES,identity_auth,shared_dev,DATA_NHS_LOGIN_SHARED_DEV_FIXTURES,metadata_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_test_pack_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,shared_nonprod_fixture_registry,seed_fixture_sync_and_environment_reset,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,revoke_partner_test_pack_reset_fixture_registry_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,"Shared synthetic claims, scopes, and callback race fixtures."
CAPTURE_USER_NHS_LOGIN_SANDPIT_TEST_USER,identity_auth,sandpit,USER_NHS_LOGIN_SANDPIT_TEST_USER,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_test_pack_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,shared_nonprod_vault,seed_fixture_sync_and_environment_reset,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,revoke_partner_test_pack_reset_fixture_registry_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Partner-issued sandpit test user kept separate from local mock packs.
CAPTURE_ACC_NHS_LOGIN_SANDPIT_CLIENT_REG,identity_auth,sandpit,ACC_NHS_LOGIN_SANDPIT_CLIENT_REG,metadata_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_metadata_review_queue,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,partner_metadata_registry,control_plane_metadata_publication,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,remove_from_partner_registry_republish_runtime_metadata_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Placeholder sandpit client registration metadata.
CAPTURE_SEC_NHS_LOGIN_SANDPIT_CLIENT_SECRET,identity_auth,sandpit,SEC_NHS_LOGIN_SANDPIT_CLIENT_SECRET,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,shared_nonprod_vault,nonprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Real sandpit client secret captured later under dual control.
CAPTURE_KEY_NHS_LOGIN_SANDPIT_PRIVATE_KEY,identity_auth,sandpit,KEY_NHS_LOGIN_SANDPIT_PRIVATE_KEY,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,nonprod_hsm_keyring,nonprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Sandpit private key material for callback and token proof.
CAPTURE_PUB_NHS_LOGIN_SANDPIT_JWKS,identity_auth,sandpit,PUB_NHS_LOGIN_SANDPIT_JWKS,metadata_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_metadata_review_queue,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,partner_metadata_registry,control_plane_metadata_publication,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,remove_from_partner_registry_republish_runtime_metadata_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Published sandpit JWKS metadata under redirect-review control.
CAPTURE_ACC_NHS_LOGIN_INTEGRATION_CLIENT_REG,identity_auth,integration,ACC_NHS_LOGIN_INTEGRATION_CLIENT_REG,metadata_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_metadata_review_queue,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,partner_metadata_registry,control_plane_metadata_publication,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,remove_from_partner_registry_republish_runtime_metadata_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Integration client registration metadata held under route-parity review.
CAPTURE_SEC_NHS_LOGIN_INTEGRATION_CLIENT_SECRET,identity_auth,integration,SEC_NHS_LOGIN_INTEGRATION_CLIENT_SECRET,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,shared_nonprod_vault,nonprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Integration client secret issued only after named approver and environment target exist.
CAPTURE_KEY_NHS_LOGIN_PREPROD_PRIVATE_KEY,identity_auth,preprod,KEY_NHS_LOGIN_PREPROD_PRIVATE_KEY,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,nonprod_hsm_keyring,preprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Preprod identity key bound to publication parity and rollback evidence.
CAPTURE_SEC_NHS_LOGIN_PRODUCTION_CLIENT_SECRET,identity_auth,production,SEC_NHS_LOGIN_PRODUCTION_CLIENT_SECRET,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,production_vault,production_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Production secret requires dual control and incident-grade revocation proof.
CAPTURE_KEY_NHS_LOGIN_PRODUCTION_PRIVATE_KEY,identity_auth,production,KEY_NHS_LOGIN_PRODUCTION_PRIVATE_KEY,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,production_hsm_keyring,production_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Production private key lives only in the production HSM keyring.
CAPTURE_ACC_PRACTICE_ACK_INTEGRATION_MAILBOX,messaging_transport,integration,ACC_PRACTICE_ACK_INTEGRATION_MAILBOX,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_OPERATIONS_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_CROSS_ORG_TRANSPORT_APPROVED,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,shared_nonprod_vault,nonprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,data/analysis/external_dependencies.json#dep_cross_org_secure_messaging_mesh; data/analysis/external_dependencies.json#dep_origin_practice_ack_rail; data/analysis/external_dependencies.json#dep_pharmacy_urgent_return_professional_routes; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Practice acknowledgement mailbox credential for origin-practice updates.
CAPTURE_ACC_MESH_PREPROD_MAILBOX,messaging_transport,preprod,ACC_MESH_PREPROD_MAILBOX,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_OPERATIONS_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_CROSS_ORG_TRANSPORT_APPROVED,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,preprod_vault,preprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,data/analysis/external_dependencies.json#dep_cross_org_secure_messaging_mesh; data/analysis/external_dependencies.json#dep_origin_practice_ack_rail; data/analysis/external_dependencies.json#dep_pharmacy_urgent_return_professional_routes; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Preprod MESH mailbox for cross-org dispatch rehearsal.
CAPTURE_KEY_MESH_PRODUCTION_TRANSPORT_CERT,messaging_transport,production,KEY_MESH_PRODUCTION_TRANSPORT_CERT,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_OPERATIONS_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_CROSS_ORG_TRANSPORT_APPROVED,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,production_hsm_keyring,production_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,data/analysis/external_dependencies.json#dep_cross_org_secure_messaging_mesh; data/analysis/external_dependencies.json#dep_origin_practice_ack_rail; data/analysis/external_dependencies.json#dep_pharmacy_urgent_return_professional_routes; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Production transport certificate lives only in the production HSM keyring.
CAPTURE_SEC_ASSISTIVE_PREPROD_VENDOR_KEY,model_vendor,preprod,SEC_ASSISTIVE_PREPROD_VENDOR_KEY,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_DPO,yes,LIVE_GATE_ASSISTIVE_INTENDED_USE_REVIEW,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,preprod_vault,preprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,data/analysis/external_dependencies.json#dep_assistive_model_vendor_family; docs/analysis/09_regulatory_workstreams.md#WS_ASSISTIVE_AI_GOVERNANCE; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Future-optional model vendor key remains blocked until intended-use review and rollback proof exist.
