classification_row_id,classification_scope,surface_id,route_family_id,field_or_artifact_id,canonical_object_id,field_name_or_artifact_class,sensitivity_class,contains_phi,allowed_audience_tiers,allowed_purposes_of_use,preview_ceiling,detail_ceiling,artifact_ceiling,telemetry_ceiling,log_ceiling,audit_replay_ceiling,redaction_policy_ref,break_glass_behavior,retention_class_ref_if_artifact,materialization_rule,post_delivery_widening,wrong_patient_hold_behavior,source_refs,notes
CLS_ARTIFACT_ART_UPLOAD_ATTACHMENT,artifact_family,,,ART_UPLOAD_ATTACHMENT,OBJ_EVIDENCEARTIFACT,Uploads and attachments,clinical_sensitive,contextual,patient_public; patient_grant_scoped; patient_authenticated; origin_practice_clinical; support; governance_review,public_status; secure_link_recovery; authenticated_self_service; operational_execution; support_recovery; governance_review,awareness_only,summary_only,summary_only,descriptor_only,diagnostic_refs_only,bounded_detail_with_scope,POL_PUBLIC_SAFE_PLACEHOLDER,bounded_detail_with_scope_envelope,RET_PRE_SUBMIT_TRANSIENT,allowlisted_only,forbidden,not_applicable,phase-0-the-foundation-protocol.md#1.1 SubmissionEnvelope; platform-frontend-blueprint.md#ArtifactPresentationContract,Attachments acknowledge presence without implying byte availability or safe preview.
CLS_EVENT_EV_ARTIFACT_HANDOFF_AUDIT,event_disclosure,,,EV_ARTIFACT_HANDOFF_AUDIT,OBJ_OUTBOUNDNAVIGATIONGRANT,"Artifact handoff, download, and print audit trail",security_or_secret_sensitive,no,patient_authenticated; patient_embedded_authenticated; support; governance_review,authenticated_self_service; embedded_authenticated; support_recovery; governance_review,not_applicable,not_applicable,governed_handoff,descriptor_only,diagnostic_refs_only,bounded_detail_with_scope,POL_EMBEDDED_ARTIFACT_CHANNEL,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,platform-frontend-blueprint.md#OutboundNavigationGrant; phase-7-inside-the-nhs-app.md,Artifact movement is audited without leaking destination or token detail.
CLS_EVENT_EV_ASSURANCE_LEDGER_ENTRY,event_disclosure,,,EV_ASSURANCE_LEDGER_ENTRY,OBJ_ASSURANCELEDGERENTRY,Assurance ledger and evidence graph entries,audit_investigation_restricted,contextual,operations_control; governance_review,operational_control; governance_review; audit_export,not_applicable,not_applicable,not_applicable,audit_reference_only,audit_reference_only,bounded_detail_with_scope,POL_OPS_AGGREGATE_DISCLOSURE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts","Assurance consumers reason from hashes, refs, provenance, and replay class, not payload dumps."
CLS_EVENT_EV_BREAK_GLASS_REVIEW,event_disclosure,,,EV_BREAK_GLASS_REVIEW,OBJ_BREAKGLASSREVIEWRECORD,Break-glass review records and UI,audit_investigation_restricted,contextual,governance_review,governance_review; investigation_break_glass,not_applicable,not_applicable,not_applicable,masked_scope_and_refs_only,audit_reference_only,bounded_detail_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay",Break-glass is a governed review and not an always-on operator role.
CLS_EVENT_EV_CANONICAL_EVENT_BUS,event_disclosure,,,EV_CANONICAL_EVENT_BUS,OBJ_ASSURANCELEDGERENTRY,Canonical domain events crossing internal boundaries,operational_internal_non_phi,contextual,origin_practice_clinical; origin_practice_operations; support; operations_control; governance_review,operational_execution; support_recovery; operational_control; governance_review,not_applicable,not_applicable,not_applicable,descriptor_and_hash_only,diagnostic_refs_only,bounded_detail_with_scope,POL_TELEMETRY_PHI_SAFE,summary_only_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,phase-2-the-identity-and-echoes.md,"Events carry refs, hashes, or masked forms only; raw identity and contact values never cross the bus."
CLS_EVENT_EV_IMMUTABLE_AUDIT_LEDGER,event_disclosure,,,EV_IMMUTABLE_AUDIT_LEDGER,OBJ_AUDITQUERYSESSION,Immutable audit ledger,audit_investigation_restricted,contextual,support; operations_control; governance_review,support_recovery; operational_control; governance_review; investigation_break_glass,not_applicable,not_applicable,not_applicable,audit_reference_only,audit_reference_only,bounded_detail_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay","Audit is queryable and immutable, but still minimum-necessary and scope-governed at presentation time."
CLS_EVENT_EV_INVESTIGATION_EXPORT_BUNDLE,event_disclosure,,,EV_INVESTIGATION_EXPORT_BUNDLE,OBJ_INVESTIGATIONSCOPEENVELOPE,"Investigation, export, and replay bundles",audit_investigation_restricted,contextual,governance_review,governance_review; investigation_break_glass; audit_export,not_applicable,not_applicable,governed_handoff,descriptor_only,audit_reference_only,full_evidence_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay","Exports, replay, and audit share one scope envelope and masking ceiling."
CLS_EVENT_EV_STRUCTURED_LOG_RUNTIME,event_disclosure,,,EV_STRUCTURED_LOG_RUNTIME,OBJ_ASSURANCELEDGERENTRY,Structured application and worker logs,operational_internal_non_phi,no,operations_control; governance_review,operational_control; governance_review,not_applicable,not_applicable,not_applicable,not_applicable,diagnostic_refs_only,bounded_detail_with_scope,POL_LOG_REFERENCE_ONLY,summary_only_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,phase-2-the-identity-and-echoes.md; phase-9-the-assurance-ledger.md,Logs are diagnostic only; they do not replace audit or evidence exports.
CLS_EVENT_EV_SUPPORT_REPLAY_VIEW,event_disclosure,,,EV_SUPPORT_REPLAY_VIEW,OBJ_SUPPORTREPLAYSESSION,Support replay and observe views,audit_investigation_restricted,contextual,support; governance_review,support_recovery; governance_review; investigation_break_glass,not_applicable,not_applicable,not_applicable,masked_scope_and_refs_only,masked_scope_and_refs_only,masked_timeline,POL_SUPPORT_MASKED_REPLAY,pivot_to_governance_investigation,,allowlisted_only,forbidden,not_applicable,"staff-operations-and-support-blueprint.md#3. Complex investigation and replay; phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay",Replay never widens beyond the spawned investigation envelope and restore gate.
CLS_EVENT_EV_UI_TELEMETRY_EMBEDDED,event_disclosure,,,EV_UI_TELEMETRY_EMBEDDED,OBJ_UITELEMETRYDISCLOSUREFENCE,Embedded NHS App UI telemetry,operational_internal_non_phi,no,patient_embedded_authenticated,embedded_authenticated,not_applicable,not_applicable,not_applicable,descriptor_and_hash_only,diagnostic_refs_only,bounded_detail_with_scope,POL_TELEMETRY_PHI_SAFE,forbidden,,allowlisted_only,forbidden,not_applicable,phase-7-inside-the-nhs-app.md,Embedded telemetry adds channel posture but still excludes PHI-bearing URL or token content.
CLS_EVENT_EV_UI_TELEMETRY_PATIENT,event_disclosure,,,EV_UI_TELEMETRY_PATIENT,OBJ_UITELEMETRYDISCLOSUREFENCE,Patient and public UI telemetry,operational_internal_non_phi,no,patient_public; patient_grant_scoped; patient_authenticated; patient_embedded_authenticated,public_status; secure_link_recovery; authenticated_self_service; embedded_authenticated,not_applicable,not_applicable,not_applicable,descriptor_and_hash_only,diagnostic_refs_only,bounded_detail_with_scope,POL_TELEMETRY_PHI_SAFE,forbidden,,allowlisted_only,forbidden,not_applicable,platform-frontend-blueprint.md#UIEventVisibilityProfile; platform-frontend-blueprint.md#UITelemetryDisclosureFence,Patient telemetry keeps enough determinism for replay without leaking subject detail.
CLS_EVENT_EV_UI_TELEMETRY_WORKSPACE,event_disclosure,,,EV_UI_TELEMETRY_WORKSPACE,OBJ_UITELEMETRYDISCLOSUREFENCE,"Workspace, hub, pharmacy, and support UI telemetry",operational_internal_non_phi,no,origin_practice_clinical; origin_practice_operations; hub_desk; servicing_site; support; assistive_adjunct,operational_execution; coordination; servicing_delivery; support_recovery; assistive_companion,not_applicable,not_applicable,not_applicable,masked_scope_and_refs_only,masked_scope_and_refs_only,bounded_detail_with_scope,POL_TELEMETRY_PHI_SAFE,summary_only_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,platform-frontend-blueprint.md#UITelemetryDisclosureFence; staff-operations-and-support-blueprint.md,Operational telemetry remains task-safe and mask-safe.
CLS_FIELD_FLD_ACCESSGRANT_TOKEN_HASH,field_catalog,,,FLD_ACCESSGRANT_TOKEN_HASH,OBJ_ACCESSGRANT,AccessGrant opaque token or hash refs,security_or_secret_sensitive,no,support; governance_review,support_recovery; governance_review; investigation_break_glass,none,summary_only,not_applicable,none,diagnostic_refs_only,bounded_detail_with_scope,POL_GRANT_RECOVERY_BOUNDARY,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,phase-2-the-identity-and-echoes.md,Opaque tokens are never emitted raw and remain scope-bound even in support recovery.
CLS_FIELD_FLD_ARCHIVE_MANIFEST_ARTIFACT_SET,field_catalog,,,FLD_ARCHIVE_MANIFEST_ARTIFACT_SET,OBJ_ARCHIVEMANIFEST,ArchiveManifest artifact-set refs and archive posture,retention_governance_restricted,contextual,governance_review,governance_review; audit_export,summary_only,bounded_detail,summary_only,descriptor_only,audit_reference_only,bounded_detail_with_scope,POL_RETENTION_GOVERNED_EXPORT,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,phase-9-the-assurance-ledger.md,Archive manifests preserve retention and admissibility truth without acting as patient-downloadable bodies.
CLS_FIELD_FLD_ASSURANCELEDGER_CANONICAL_HASH,field_catalog,,,FLD_ASSURANCELEDGER_CANONICAL_HASH,OBJ_ASSURANCELEDGERENTRY,AssuranceLedgerEntry canonicalPayloadHash and effectKeyRef,audit_investigation_restricted,no,operations_control; governance_review,operational_control; governance_review; investigation_break_glass,governed_preview,summary_only,not_applicable,audit_reference_only,audit_reference_only,bounded_detail_with_scope,POL_OPS_AGGREGATE_DISCLOSURE,summary_only_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts","Assurance and replay consumers rely on hashes, refs, and replay classes rather than body payloads."
CLS_FIELD_FLD_AUDITQUERY_DIAGNOSTIC_QUESTION,field_catalog,,,FLD_AUDITQUERY_DIAGNOSTIC_QUESTION,OBJ_AUDITQUERYSESSION,AuditQuerySession diagnostic question and causality state,audit_investigation_restricted,contextual,operations_control; governance_review,operational_control; governance_review; investigation_break_glass,governed_preview,bounded_detail,not_applicable,masked_scope_and_refs_only,audit_reference_only,bounded_detail_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay","Investigation routes are keyed to a diagnostic question, not open-ended broad browsing."
CLS_FIELD_FLD_AUTHTRANSACTION_CLAIM_SNAPSHOT_REF,field_catalog,,,FLD_AUTHTRANSACTION_CLAIM_SNAPSHOT_REF,OBJ_AUTHTRANSACTION,AuthTransaction claim snapshot refs,identity_proof_sensitive,yes,governance_review,governance_review; investigation_break_glass,none,bounded_detail,not_applicable,none,none,bounded_detail_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,phase-2-the-identity-and-echoes.md,Raw claims and callback proof are never standard browser or operator detail.
CLS_FIELD_FLD_BREAKGLASS_REASON_CODE,field_catalog,,,FLD_BREAKGLASS_REASON_CODE,OBJ_BREAKGLASSREVIEWRECORD,BreakGlassReviewRecord reasonCode and expiry,audit_investigation_restricted,contextual,governance_review,governance_review; investigation_break_glass,governed_preview,bounded_detail,not_applicable,masked_scope_and_refs_only,audit_reference_only,bounded_detail_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay","Break-glass requires a reason code, selected anchor, explicit expiry, and read-only posture."
CLS_FIELD_FLD_CALLSESSION_CONTACT_ROUTE,field_catalog,,,FLD_CALLSESSION_CONTACT_ROUTE,OBJ_CALLSESSION,CallSession caller contact or route hints,contact_sensitive,yes,origin_practice_clinical; support; governance_review,operational_execution; support_recovery; governance_review,none,bounded_detail,summary_only,none,diagnostic_refs_only,bounded_detail_with_scope,POL_PUBLIC_SAFE_PLACEHOLDER,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,phase-2-the-identity-and-echoes.md,Telephony identifiers are contact-sensitive and stay masked or ref-only outside governed investigation context.
CLS_FIELD_FLD_CONVERSATION_LAST_SNIPPET,field_catalog,,,FLD_CONVERSATION_LAST_SNIPPET,OBJ_CONVERSATIONTHREADPROJECTION,ConversationThreadProjection last message snippet,clinical_sensitive,yes,patient_authenticated; origin_practice_clinical; support; governance_review,authenticated_self_service; operational_execution; support_recovery; governance_review,masked_summary,bounded_detail,not_applicable,descriptor_only,diagnostic_refs_only,masked_timeline,POL_PATIENT_AUTH_SUMMARY,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,patient-account-and-communications-blueprint.md; phase-0-the-foundation-protocol.md#1.17B PreviewVisibilityContract,Message snippets and message bodies are separate disclosure surfaces.
CLS_FIELD_FLD_DELETION_CERTIFICATE_ARTIFACT_SET,field_catalog,,,FLD_DELETION_CERTIFICATE_ARTIFACT_SET,OBJ_DELETIONCERTIFICATE,DeletionCertificate artifact-set refs and hold posture,retention_governance_restricted,contextual,governance_review,governance_review; audit_export,summary_only,bounded_detail,summary_only,descriptor_only,audit_reference_only,bounded_detail_with_scope,POL_RETENTION_GOVERNED_EXPORT,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,phase-9-the-assurance-ledger.md,"Deletion witnesses are governance artifacts, not ordinary documents."
CLS_FIELD_FLD_EVIDENCE_ARTIFACT_REDACTION_HASH,field_catalog,,,FLD_EVIDENCE_ARTIFACT_REDACTION_HASH,OBJ_EVIDENCEARTIFACT,EvidenceArtifact redactionTransformHash and lineage refs,audit_investigation_restricted,no,support; governance_review,support_recovery; governance_review; investigation_break_glass; audit_export,summary_only,bounded_detail,summary_only,descriptor_only,audit_reference_only,full_evidence_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts",Parity and redaction hash evidence explains which transform governed the visible artifact.
CLS_FIELD_FLD_IDENTITYBINDING_SUBJECT_PROOF,field_catalog,,,FLD_IDENTITYBINDING_SUBJECT_PROOF,OBJ_IDENTITYBINDING,IdentityBinding match or proof refs,identity_proof_sensitive,yes,governance_review,governance_review; investigation_break_glass,none,bounded_detail,not_applicable,none,none,bounded_detail_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,phase-2-the-identity-and-echoes.md; forensic-audit-findings.md#Finding 50 - The concrete Request schema dropped identity-binding references and treated `patientRef` as unconditional,Raw proof material stays outside ordinary operational tables and events.
CLS_FIELD_FLD_IDENTITY_REPAIR_FREEZE_REASON,field_catalog,,,FLD_IDENTITY_REPAIR_FREEZE_REASON,OBJ_IDENTITYREPAIRFREEZERECORD,IdentityRepairFreezeRecord reason and release posture,audit_investigation_restricted,contextual,patient_authenticated; origin_practice_clinical; support; governance_review,authenticated_self_service; operational_execution; support_recovery; governance_review; investigation_break_glass,masked_summary,bounded_detail,not_applicable,descriptor_only,diagnostic_refs_only,bounded_detail_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,phase-2-the-identity-and-echoes.md; phase-9-the-assurance-ledger.md,Wrong-patient or subject-conflict holds preserve only the minimum safe breadcrumb until governed release.
CLS_FIELD_FLD_INVESTIGATION_SELECTED_ANCHOR,field_catalog,,,FLD_INVESTIGATION_SELECTED_ANCHOR,OBJ_INVESTIGATIONSCOPEENVELOPE,InvestigationScopeEnvelope selectedAnchor and masking ceiling,audit_investigation_restricted,contextual,operations_control; governance_review,operational_control; governance_review; investigation_break_glass; audit_export,governed_preview,bounded_detail,summary_only,masked_scope_and_refs_only,audit_reference_only,full_evidence_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay","The scope envelope is the single authority for replay, break-glass, and export ceiling."
CLS_FIELD_FLD_OUTBOUND_NAV_DESTINATION_REF,field_catalog,,,FLD_OUTBOUND_NAV_DESTINATION_REF,OBJ_OUTBOUNDNAVIGATIONGRANT,OutboundNavigationGrant destination and return-safe tuple,security_or_secret_sensitive,no,patient_authenticated; patient_embedded_authenticated; support; governance_review,authenticated_self_service; embedded_authenticated; support_recovery; governance_review,none,summary_only,governed_handoff,none,diagnostic_refs_only,bounded_detail_with_scope,POL_EMBEDDED_ARTIFACT_CHANNEL,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,platform-frontend-blueprint.md#OutboundNavigationGrant; phase-7-inside-the-nhs-app.md,"External movement uses scrubbed, short-lived grants instead of raw PHI-bearing URLs."
CLS_FIELD_FLD_PATIENTAUDIENCECOVERAGE_PREVIEW_MODE,field_catalog,,,FLD_PATIENTAUDIENCECOVERAGE_PREVIEW_MODE,OBJ_PATIENTAUDIENCECOVERAGEPROJECTION,PatientAudienceCoverageProjection communicationPreviewMode,operational_internal_non_phi,no,patient_public; patient_grant_scoped; patient_authenticated; patient_embedded_authenticated; support; governance_review,public_status; secure_link_recovery; authenticated_self_service; embedded_authenticated; support_recovery; governance_review,governed_preview,summary_only,not_applicable,descriptor_and_hash_only,diagnostic_refs_only,bounded_detail_with_scope,POL_PATIENT_AUTH_SUMMARY,summary_only_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,patient-account-and-communications-blueprint.md#Patient audience coverage contract,The preview mode itself is safe metadata; the payload it authorizes is separately governed.
CLS_FIELD_FLD_PATIENTDETAIL_PLACEHOLDER_SET,field_catalog,,,FLD_PATIENTDETAIL_PLACEHOLDER_SET,OBJ_PATIENTREQUESTDETAILPROJECTION,PatientRequestDetailProjection governed placeholders,clinical_sensitive,contextual,patient_authenticated; patient_embedded_authenticated; origin_practice_clinical; support; governance_review,authenticated_self_service; embedded_authenticated; operational_execution; support_recovery; governance_review,governed_preview,bounded_detail,summary_only,descriptor_only,diagnostic_refs_only,bounded_detail_with_scope,POL_PATIENT_AUTH_SUMMARY,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,patient-account-and-communications-blueprint.md#Request detail contract; forensic-audit-findings.md#Finding 88 - The audit omitted governed placeholder rules for partial visibility,Partial visibility must stay explicit rather than disappearing from the shell.
CLS_FIELD_FLD_PATIENTSUMMARY_STATUS_COPY,field_catalog,,,FLD_PATIENTSUMMARY_STATUS_COPY,OBJ_PATIENTREQUESTSUMMARYPROJECTION,PatientRequestSummaryProjection status and safe CTA copy,clinical_sensitive,contextual,patient_authenticated; patient_embedded_authenticated; origin_practice_clinical; support; governance_review,authenticated_self_service; embedded_authenticated; operational_execution; support_recovery; governance_review,governed_preview,summary_only,not_applicable,descriptor_only,diagnostic_refs_only,bounded_detail_with_scope,POL_PATIENT_AUTH_SUMMARY,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,patient-account-and-communications-blueprint.md#Requests browsing contract; forensic-audit-findings.md#Finding 97 - The audit still let patient-home actionability float above authoritative settlement,Even patient-facing status wording is pinned to authoritative summary evidence rather than a reused detail payload.
CLS_FIELD_FLD_PATIENT_COMMUNICATION_PREVIEW_LINE,field_catalog,,,FLD_PATIENT_COMMUNICATION_PREVIEW_LINE,OBJ_PATIENTCOMMUNICATIONVISIBILITYPROJECTION,PatientCommunicationVisibilityProjection preview line,clinical_sensitive,contextual,patient_public; patient_grant_scoped; patient_authenticated; support; governance_review,public_status; secure_link_recovery; authenticated_self_service; support_recovery; governance_review,masked_summary,summary_only,not_applicable,descriptor_only,diagnostic_refs_only,masked_timeline,POL_PATIENT_AUTH_SUMMARY,bounded_detail_with_scope_envelope,,allowlisted_only,forbidden,not_applicable,patient-account-and-communications-blueprint.md#Patient audience coverage contract; forensic-audit-findings.md#Finding 99 - Conversation state could still collapse local acknowledgement into final reassurance,"Preview lines are lawful only through preview contracts, not reused thread payloads."
