mode_tuple_id,theme,contrast,density,motion,breakpoint_coverage,profile_coverage,status,digest_ref
MODE_DARK_STANDARD_RELAXED_FULL,dark,standard,relaxed,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,9e3a048bb6cad98e
MODE_DARK_STANDARD_RELAXED_REDUCED,dark,standard,relaxed,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,f4e1724ff5f9fc58
MODE_DARK_STANDARD_RELAXED_ESSENTIAL_ONLY,dark,standard,relaxed,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,c05d68cd6cfb75cc
MODE_DARK_STANDARD_BALANCED_FULL,dark,standard,balanced,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,7394cec9fb71385c
MODE_DARK_STANDARD_BALANCED_REDUCED,dark,standard,balanced,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,4e716c4953e39582
MODE_DARK_STANDARD_BALANCED_ESSENTIAL_ONLY,dark,standard,balanced,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,683e881f00d523da
MODE_DARK_STANDARD_COMPACT_FULL,dark,standard,compact,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,eaeb61069948fd79
MODE_DARK_STANDARD_COMPACT_REDUCED,dark,standard,compact,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,9c126f1af20f6f28
MODE_DARK_STANDARD_COMPACT_ESSENTIAL_ONLY,dark,standard,compact,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,f7c1779eace0bfe9
MODE_DARK_HIGH_RELAXED_FULL,dark,high,relaxed,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,cc1ed303104e425d
MODE_DARK_HIGH_RELAXED_REDUCED,dark,high,relaxed,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,23dc15f599d27387
MODE_DARK_HIGH_RELAXED_ESSENTIAL_ONLY,dark,high,relaxed,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,50789632e74f535b
MODE_DARK_HIGH_BALANCED_FULL,dark,high,balanced,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,d8c7c48c1de298dd
MODE_DARK_HIGH_BALANCED_REDUCED,dark,high,balanced,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,f701682e89344529
MODE_DARK_HIGH_BALANCED_ESSENTIAL_ONLY,dark,high,balanced,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,1af68e5b764a4097
MODE_DARK_HIGH_COMPACT_FULL,dark,high,compact,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,167fa789af4e0a60
MODE_DARK_HIGH_COMPACT_REDUCED,dark,high,compact,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,f8b47895750d14f2
MODE_DARK_HIGH_COMPACT_ESSENTIAL_ONLY,dark,high,compact,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,bd358461e119acaf
