object_id,object_name,owning_task,mutating_tracks,consuming_tracks,production_surfaces,upstream_contract_refs,invalidation_chain,notes
OBJ_230_045,OperatorHandoffFrame,par_242,par_242,"par_244","services/command-api/src/task-completion.ts","data/contracts/226_task_command_settlement.schema.json",queue_anchor_repair,"Handoff frame for calm completion and next-task continuity."
OBJ_230_046,CallbackCase,par_243,par_243,"par_245;par_246","services/command-api/src/callback-case.ts","data/contracts/229_callback_case.schema.json",contact_route_repair,"Executable callback domain aggregate."
OBJ_230_047,CallbackIntentLease,par_243,par_243,"par_245","services/command-api/src/callback-case.ts","data/contracts/229_callback_intent_lease.schema.json",contact_route_repair,"Exclusive callback scheduling and attempt authority."
OBJ_230_048,CallbackAttemptRecord,par_243,par_243,"par_245","services/command-api/src/callback-case.ts","data/contracts/229_callback_attempt_record.schema.json",contact_route_repair,"Idempotent callback attempt fence."
OBJ_230_049,CallbackExpectationEnvelope,par_243,par_243,"par_245;par_246;par_247","services/command-api/src/callback-case.ts","data/contracts/229_callback_expectation_envelope.schema.json",contact_route_repair,"Patient-facing callback promise and repair guidance."
OBJ_230_050,CallbackOutcomeEvidenceBundle,par_243,par_243,"par_245;par_246","services/command-api/src/callback-case.ts","data/contracts/229_callback_outcome_evidence_bundle.schema.json",contact_route_repair,"Durable callback outcome proof."
OBJ_230_051,CallbackResolutionGate,par_243,par_243,"par_246","services/command-api/src/callback-case.ts","data/contracts/229_callback_resolution_gate.schema.json",contact_route_repair,"Sole authority for callback retry, escalation, completion, cancel, or expiry."
OBJ_230_052,ClinicianMessageThread,par_244,par_244,"par_245;par_246","services/command-api/src/clinician-message-thread.ts","data/contracts/229_clinician_message_thread.schema.json",contact_route_repair,"Executable clinician-message thread aggregate."
OBJ_230_053,MessageDispatchEnvelope,par_244,par_244,"par_245;par_246","services/command-api/src/clinician-message-thread.ts","data/contracts/229_message_dispatch_envelope.schema.json",contact_route_repair,"Immutable send or resend fence."
OBJ_230_054,MessageDeliveryEvidenceBundle,par_244,par_244,"par_245;par_246","services/command-api/src/clinician-message-thread.ts","data/contracts/229_message_delivery_evidence_bundle.schema.json",contact_route_repair,"Durable delivery, dispute, failure, or expiry proof."
OBJ_230_055,ThreadExpectationEnvelope,par_244,par_244,"par_245;par_246;par_247","services/command-api/src/clinician-message-thread.ts","data/contracts/229_thread_expectation_envelope.schema.json",contact_route_repair,"Patient-facing thread expectation and repair guidance."
OBJ_230_056,ThreadResolutionGate,par_244,par_244,"par_246","services/command-api/src/clinician-message-thread.ts","data/contracts/229_thread_resolution_gate.schema.json",contact_route_repair,"Terminal or reopen gate for message threads."
OBJ_230_057,ReachabilityAssessmentRecord,par_245,par_245,"par_246;par_248","services/command-api/src/contact-route-repair.ts","data/contracts/229_callback_expectation_envelope.schema.json",contact_route_repair,"Refreshed communication reachability signal."
OBJ_230_058,ContactRouteRepairJourney,par_245,par_245,"par_246;par_247;par_248","services/command-api/src/contact-route-repair.ts","data/contracts/229_thread_expectation_envelope.schema.json",contact_route_repair,"Governed repair journey for bounce, no-answer, and route drift."
OBJ_230_059,ControlledResendAuthorization,par_245,par_245,"par_246","services/command-api/src/contact-route-repair.ts","data/contracts/229_thread_expectation_envelope.schema.json",contact_route_repair,"Explicit resend authority after repair only."
OBJ_230_060,PatientConversationPreviewDigest,par_246,par_246,"par_247","services/command-api/src/patient-conversation.ts","data/contracts/229_patient_conversation_preview_digest.schema.json",contact_route_repair,"Unified patient conversation digest."
OBJ_230_061,PatientComposerLease,par_246,par_246,,"services/command-api/src/patient-conversation.ts","data/contracts/229_patient_composer_lease.schema.json",contact_route_repair,"Exclusive patient composer mutation lease."
OBJ_230_062,PatientUrgentDiversionState,par_246,par_246,,"services/command-api/src/patient-conversation.ts","data/contracts/229_patient_urgent_diversion_state.schema.json",decision_supersession,"Urgent diversion state in the unified conversation shell."
OBJ_230_063,ConversationCommandSettlement,par_246,par_246,"par_247","services/command-api/src/patient-conversation.ts","data/contracts/229_conversation_command_settlement.schema.json",contact_route_repair,"Shared patient and staff mutation receipt grammar."
OBJ_230_064,PatientConversationCluster,par_247,par_247,,"services/command-api/src/patient-conversation-projections.ts","data/contracts/229_patient_conversation_cluster.schema.json",contact_route_repair,"Patient-side grouping anchor for callback and message work."
OBJ_230_065,CommunicationEnvelope,par_247,par_247,,"services/command-api/src/patient-conversation-projections.ts","data/contracts/229_patient_conversation_cluster.schema.json",contact_route_repair,"Normalized communication tuple for visibility work."
OBJ_230_066,ConversationSubthreadProjection,par_247,par_247,,"services/command-api/src/patient-conversation-projections.ts","data/contracts/229_patient_conversation_cluster.schema.json",contact_route_repair,"Subthread projection within the patient cluster."
OBJ_230_067,ConversationThreadProjection,par_247,par_247,,"services/command-api/src/patient-conversation-projections.ts","data/contracts/229_patient_conversation_cluster.schema.json",contact_route_repair,"Top-level thread projection for patient viewing."
OBJ_230_068,PatientCommunicationVisibilityProjection,par_247,par_247,"par_248","services/command-api/src/patient-conversation-projections.ts","data/contracts/229_patient_conversation_cluster.schema.json",contact_route_repair,"Patient-visible continuity and placeholder projection."
OBJ_230_069,PatientReceiptEnvelope,par_247,par_247,,"services/command-api/src/patient-conversation-projections.ts","data/contracts/229_patient_receipt_envelope.schema.json",contact_route_repair,"Patient receipt for callback and message actions."
OBJ_230_070,SupportLineageBinding,par_248,par_248,,"services/command-api/src/support-linkage.ts","data/contracts/229_callback_case.schema.json",support_handoff_reopen,"Governed support linkage for communication failures."
OBJ_230_071,SupportResolutionSnapshot,par_248,par_248,,"services/command-api/src/support-linkage.ts","data/contracts/229_clinician_message_thread.schema.json",support_handoff_reopen,"Support-side resolution witness bound to communication lineage."
OBJ_230_072,SelfCareBoundaryDecision,par_249,par_249,"par_251","services/command-api/src/self-care-boundary.ts","data/contracts/229_self_care_boundary_decision.schema.json",decision_supersession,"Classification boundary for informational self-care versus admin or clinician work."
OBJ_230_073,AdviceEligibilityGrant,par_249,par_249,"par_250","services/command-api/src/self-care-boundary.ts","data/contracts/229_advice_eligibility_grant.schema.json",decision_supersession,"Bounded grant for visible advice execution."
OBJ_230_074,ClinicalContentApprovalRecord,par_250,par_250,,"services/command-api/src/advice-render.ts","data/contracts/229_advice_render_settlement.schema.json",publication_drift,"Approval record for content bundles."
OBJ_230_075,ContentReviewSchedule,par_250,par_250,,"services/command-api/src/advice-render.ts","data/contracts/229_advice_render_settlement.schema.json",publication_drift,"Review cadence for approved content."
OBJ_230_076,AdviceBundleVersion,par_250,par_250,,"services/command-api/src/advice-render.ts","data/contracts/229_advice_render_settlement.schema.json",publication_drift,"Versioned advice bundle bound to approval and publication state."
OBJ_230_077,AdviceVariantSet,par_250,par_250,,"services/command-api/src/advice-render.ts","data/contracts/229_advice_render_settlement.schema.json",publication_drift,"Variant set for tailored advice content."
OBJ_230_078,AdviceRenderSettlement,par_250,par_250,,"services/command-api/src/advice-render.ts","data/contracts/229_advice_render_settlement.schema.json",publication_drift,"Visible advice rendering settlement."
OBJ_230_079,AdminResolutionCase,par_251,par_251,,"services/command-api/src/admin-resolution.ts","data/contracts/229_admin_resolution_case.schema.json",decision_supersession,"Executable bounded admin case."
OBJ_230_080,AdminResolutionSubtypeProfile,par_251,par_251,,"services/command-api/src/admin-resolution.ts","data/contracts/229_admin_resolution_subtype_profiles.yaml",decision_supersession,"Typed subtype policy for admin cases."
OBJ_230_081,AdminResolutionCompletionArtifact,par_251,par_251,,"services/command-api/src/admin-resolution.ts","data/contracts/229_admin_resolution_completion_artifact.schema.json",decision_supersession,"Completion artifact policy for bounded admin work."
