fhir_representation_contract_id,governing_aggregate_type,representation_purpose,resource_type,profile_canonical_url,identifier_policy_ref,status_mapping_policy_ref,declared_bundle_policy_refs,contract_state,source_refs
FRC_049_EVIDENCE_SNAPSHOT_CLINICAL_PERSISTENCE_V1,EvidenceSnapshot,clinical_persistence,DocumentReference,https://vecells.example/fhir/StructureDefinition/vecells-evidence-documentreference,IDPOL_049_SNAPSHOT_HASH_DOCUMENT,STPOL_049_EVIDENCE_DOCUMENT_REFERENCE,,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-0-the-foundation-protocol.md#EvidenceSnapshot; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_EVIDENCE_SNAPSHOT_CLINICAL_PERSISTENCE_V1,EvidenceSnapshot,clinical_persistence,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-evidence-provenance,IDPOL_049_SNAPSHOT_HASH_DOCUMENT,STPOL_049_EVIDENCE_DOCUMENT_REFERENCE,,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-0-the-foundation-protocol.md#EvidenceSnapshot; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_HUB_CASE_EXTERNAL_INTERCHANGE_V1,HubCoordinationCase,external_interchange,Communication,https://vecells.example/fhir/StructureDefinition/vecells-hub-communication,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_HUB_COMMITMENT,FXBP_049_HUB_PARTNER_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-5-the-network-horizon.md#Hub commit algorithm; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_HUB_CASE_EXTERNAL_INTERCHANGE_V1,HubCoordinationCase,external_interchange,DocumentReference,https://vecells.example/fhir/StructureDefinition/vecells-hub-documentreference,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_HUB_COMMITMENT,FXBP_049_HUB_PARTNER_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-5-the-network-horizon.md#Hub commit algorithm; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_HUB_CASE_EXTERNAL_INTERCHANGE_V1,HubCoordinationCase,external_interchange,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-hub-provenance,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_HUB_COMMITMENT,FXBP_049_HUB_PARTNER_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-5-the-network-horizon.md#Hub commit algorithm; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_HUB_CASE_EXTERNAL_INTERCHANGE_V1,HubCoordinationCase,external_interchange,ServiceRequest,https://vecells.example/fhir/StructureDefinition/vecells-hub-service-request,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_HUB_COMMITMENT,FXBP_049_HUB_PARTNER_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-5-the-network-horizon.md#Hub commit algorithm; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_HUB_CASE_PARTNER_CALLBACK_CORRELATION_V1,HubCoordinationCase,partner_callback_correlation,Communication,https://vecells.example/fhir/StructureDefinition/vecells-hub-callback-communication,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-5-the-network-horizon.md#Hub commit algorithm; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_HUB_CASE_PARTNER_CALLBACK_CORRELATION_V1,HubCoordinationCase,partner_callback_correlation,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-hub-callback-provenance,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-5-the-network-horizon.md#Hub commit algorithm; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_MESSAGE_DISPATCH_EXTERNAL_INTERCHANGE_V1,MessageDispatchEnvelope,external_interchange,Communication,https://vecells.example/fhir/StructureDefinition/vecells-message-communication,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,FXBP_049_SECURE_MESSAGE_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/callback-and-clinician-messaging-loop.md#Clinician message domain / MessageDispatchEnvelope; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_MESSAGE_DISPATCH_EXTERNAL_INTERCHANGE_V1,MessageDispatchEnvelope,external_interchange,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-message-provenance,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,FXBP_049_SECURE_MESSAGE_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/callback-and-clinician-messaging-loop.md#Clinician message domain / MessageDispatchEnvelope; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,PharmacyCase,external_interchange,AuditEvent,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-audit-event,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-6-the-pharmacy-loop.md#The right internal shape is a transport-neutral PharmacyReferralPackage; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,PharmacyCase,external_interchange,Communication,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-communication,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-6-the-pharmacy-loop.md#The right internal shape is a transport-neutral PharmacyReferralPackage; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,PharmacyCase,external_interchange,Consent,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-consent,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-6-the-pharmacy-loop.md#The right internal shape is a transport-neutral PharmacyReferralPackage; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,PharmacyCase,external_interchange,DocumentReference,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-documentreference,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-6-the-pharmacy-loop.md#The right internal shape is a transport-neutral PharmacyReferralPackage; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,PharmacyCase,external_interchange,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-provenance,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-6-the-pharmacy-loop.md#The right internal shape is a transport-neutral PharmacyReferralPackage; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,PharmacyCase,external_interchange,ServiceRequest,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-service-request,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-6-the-pharmacy-loop.md#The right internal shape is a transport-neutral PharmacyReferralPackage; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_PHARMACY_CONSENT_CLINICAL_PERSISTENCE_V1,PharmacyConsentRecord,clinical_persistence,Consent,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-consent,IDPOL_049_CONSENT_SCOPE_FINGERPRINT,STPOL_049_CONSENT_CHECKPOINT,,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-6-the-pharmacy-loop.md#PharmacyConsentRecord; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_PHARMACY_CONSENT_CLINICAL_PERSISTENCE_V1,PharmacyConsentRecord,clinical_persistence,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-consent-provenance,IDPOL_049_CONSENT_SCOPE_FINGERPRINT,STPOL_049_CONSENT_CHECKPOINT,,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-6-the-pharmacy-loop.md#PharmacyConsentRecord; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_PHARMACY_DISPATCH_PARTNER_CALLBACK_CORRELATION_V1,PharmacyDispatchAttempt,partner_callback_correlation,Communication,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-callback-communication,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,active,"blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-6-the-pharmacy-loop.md#Make dispatch idempotent, consent-gated, and acknowledgement-aware; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile"
FRC_049_PHARMACY_DISPATCH_PARTNER_CALLBACK_CORRELATION_V1,PharmacyDispatchAttempt,partner_callback_correlation,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-callback-provenance,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,active,"blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-6-the-pharmacy-loop.md#Make dispatch idempotent, consent-gated, and acknowledgement-aware; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile"
FRC_049_REQUEST_CLINICAL_PERSISTENCE_V1,Request,clinical_persistence,DocumentReference,https://vecells.example/fhir/StructureDefinition/vecells-request-evidence-documentreference,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,,active,"blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-0-the-foundation-protocol.md#On the FHIR side, the mapping layer must now be explicit and replayable; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile"
FRC_049_REQUEST_CLINICAL_PERSISTENCE_V1,Request,clinical_persistence,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-request-provenance,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,,active,"blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-0-the-foundation-protocol.md#On the FHIR side, the mapping layer must now be explicit and replayable; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile"
FRC_049_REQUEST_CLINICAL_PERSISTENCE_V1,Request,clinical_persistence,Task,https://vecells.example/fhir/StructureDefinition/vecells-request-task,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,,active,"blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-0-the-foundation-protocol.md#On the FHIR side, the mapping layer must now be explicit and replayable; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile"
FRC_049_REQUEST_EXTERNAL_INTERCHANGE_V1,Request,external_interchange,DocumentReference,https://vecells.example/fhir/StructureDefinition/vecells-request-interchange-documentreference,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,FXBP_049_REQUEST_OUTBOUND_DOCUMENT,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-3-the-human-checkpoint.md#Message and callback flow / Phase 3 dispatch and callback split; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_REQUEST_EXTERNAL_INTERCHANGE_V1,Request,external_interchange,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-request-interchange-provenance,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,FXBP_049_REQUEST_OUTBOUND_DOCUMENT,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-3-the-human-checkpoint.md#Message and callback flow / Phase 3 dispatch and callback split; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_REQUEST_EXTERNAL_INTERCHANGE_V1,Request,external_interchange,Task,https://vecells.example/fhir/StructureDefinition/vecells-request-interchange-task,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,FXBP_049_REQUEST_OUTBOUND_DOCUMENT,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-3-the-human-checkpoint.md#Message and callback flow / Phase 3 dispatch and callback split; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
COMPILER_064_EXCHANGE_BUNDLE_RUNTIME,FhirExchangeBundle,external_interchange,Bundle,https://vecells.example/fhir/StructureDefinition/vecells-exchange-bundle,compiler_managed_bundle_identifier_policy,compiler_managed_bundle_exchange_state,compiler_managed_bundle_runtime,active,blueprint/phase-0-the-foundation-protocol.md#FhirExchangeBundle; prompt/064
