surface_id,persona_id,persona,sub_persona,audience_tier,base_audience_tier,purpose_of_use,shell_type,shell_ownership_mode,channel_profile,ingress_channel,ingress_channel_id,route_family_id,route_family,surface_name,owning_blueprints,governing_objects,control_plane_rules,identity_posture,visibility_policy_posture,primary_jobs_to_be_done,allowed_mutations,continuity_expectations,degraded_recovery_states,external_dependency_touchpoints,scope_posture,notes,source_refs
surf_clinician_workspace_child,clinician_designated_reviewer,Staff,Clinician or designated reviewer in Clinical Workspace,origin_practice_clinical,origin_practice,operational_execution,staff,primary_owner,browser,Browser web,browser_web,rf_staff_workspace_child,"/workspace/task/:taskId/more-info, /workspace/task/:taskId/decision, /workspace/approvals, /workspace/escalations, /workspace/changed, /workspace/search",Clinical Workspace child review states,staff-workspace-interface-architecture.md,MoreInfoStatusDigest; DecisionCommitEnvelope; WorkspaceFocusProtectionLease; CommandSettlementRecord,WorkspaceRouteAdjacency; WorkspaceStatusPresentationContract,Child clinical review posture inside the active task shell.,No child route may replace the workspace shell or outrun lease and settlement truth.,"Work more-info, decision, approval, escalation, and changed-since-seen child states without losing task continuity.","Compose, confirm, or escalate under protected composition and settlement gates.",Stay on the same task shell while child review surfaces open as same-shell child or bounded side stages.,"Protected composition freeze, stale review demotion, or bounded recovery in place.",Messaging delivery rails; Approval chains,baseline,,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Additional route rules
surf_practice_ops_workspace,practice_operational_staff,Staff,Practice operational staff,origin_practice_operations,origin_practice,operational_execution,staff,primary_owner,browser,Browser web,browser_web,rf_staff_workspace,"/workspace, /workspace/queue/:queueKey, /workspace/task/:taskId",Practice operations workspace,staff-workspace-interface-architecture.md; staff-operations-and-support-blueprint.md,StaffAudienceCoverageProjection; WorkspaceNavigationLedger; ReviewActionLease,VisibilityProjectionPolicy; AudienceSurfaceRuntimeBinding,Practice-scoped operational posture.,Operational staff inherits origin-practice coverage but not clinician-wide narrative or governance payloads.,Work operational and admin-resolution tasks in the same workspace shell as queue and task context changes.,"Claim, review, send more-info, and complete bounded operational actions under the current lease.",Keep queue filters and selected task anchors stable across operational task switches.,"Blocked, observe-only, or recovery-required posture in place.",Staff auth rail; Operational messaging and booking services,baseline,,staff-workspace-interface-architecture.md#Route family; staff-operations-and-support-blueprint.md#Staff audience coverage contract
surf_hub_queue,hub_coordinator,Staff,Hub coordinator,hub_desk,hub_desk,coordination,hub,primary_owner,browser,Browser web,browser_web,rf_hub_queue,/hub/queue,Hub queue,phase-5-the-network-horizon.md,HubCoordinationCase; NetworkCoordinationPolicyEvaluation; HubOwnershipTransition,VisibilityProjectionPolicy; AudienceVisibilityCoverage(hub_desk),Hub desk coordination posture.,Only coordination-safe summary and acknowledgement debt should appear at queue level.,Claim and prioritize cross-site coordination work from one hub queue.,"Claim, release, or transfer hub cases under lease and acting-context rules.",Preserve queue context and selected case anchor inside the same hub shell.,"Stale-owner recovery, policy-blocked, or degraded candidate posture in place.",Cross-site booking adapters; Policy packs,baseline,,phase-5-the-network-horizon.md#Frontend work
surf_hub_case_management,hub_coordinator,Staff,Hub coordinator,hub_desk,hub_desk,coordination,hub,primary_owner,browser,Browser web,browser_web,rf_hub_case_management,"/hub/case/:hubCoordinationCaseId, /hub/alternatives/:offerSessionId, /hub/exceptions, /hub/audit/:hubCoordinationCaseId","Hub case, alternatives, exception, and audit work",phase-5-the-network-horizon.md,HubCoordinationCase; AlternativeOfferSession; HubOfferToConfirmationTruthProjection; PracticeAcknowledgementRecord; HubFallbackRecord,RouteFamilyOwnershipClaim; Continuity evidence for hub booking manage,Hub case management posture.,"Hub case detail is the shell root even when child work references booking, callback, or audit evidence.","Coordinate alternatives, callback fallback, return-to-practice, and confirmation truth on one active hub case.","Offer alternatives, commit native booking, initiate callback fallback, or return to practice.","Preserve the same hub case shell and selected case anchor through alternatives, audit, and fallback child work.","Confirmation pending, booked_pending_practice_ack, callback transfer pending, disputed truth, or identity-repair hold without leaving the active case.",Cross-site booking adapters; Practice acknowledgement delivery; Callback linkage,baseline,,phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit
surf_pharmacy_console,pharmacy_servicing_assurance_user,Staff,Pharmacy servicing or assurance user,servicing_site,servicing_site,servicing_delivery,pharmacy,primary_owner,browser,Browser web,browser_web,rf_pharmacy_console,"/workspace/pharmacy, /workspace/pharmacy/:pharmacyCaseId, /validate, /inventory, /resolve, /handoff, /assurance",Pharmacy Console case workbench,pharmacy-console-frontend-architecture.md; phase-6-the-pharmacy-loop.md,PharmacyConsoleContinuityEvidenceProjection; RouteIntentBinding; CommandSettlementRecord,ShellFamilyOwnershipContract(shellType = pharmacy); VisibilityProjectionPolicy,Servicing-site delivery posture inside the pharmacy shell.,The pharmacy console owns the mission frame even when the path begins under /workspace.,"Validate, fulfil, hand off, and assure pharmacy work in a dedicated pharmacy mission frame.","Validate, inventory-check, resolve, hand off, and assurance-review within the active case.","Preserve the active pharmacy case anchor across case, compare, inventory, handoff, and assurance routes.","Read-only, reconcile-required, or blocked settlement posture in place.",Pharmacy dispatch transport; Outcome ingestion,baseline,,pharmacy-console-frontend-architecture.md#Mission frame; pharmacy-console-frontend-architecture.md#The recommended route family is
surf_support_ticket_workspace,support_desk_agent,Staff,Support desk agent,support,support,support_recovery,support,primary_owner,browser,Browser web,browser_web,rf_support_ticket_workspace,"/ops/support, /ops/support/inbox/:viewKey, /ops/support/tickets/:supportTicketId, /conversation, /history, /knowledge, /actions/:actionKey, /handoff/:supportOwnershipTransferId",Support ticket workspace,staff-operations-and-support-blueprint.md,SupportTicket; SupportLineageBinding; SupportActionLease; SupportActionSettlement,SupportSurfaceRuntimeBinding; VisibilityProjectionPolicy; ArtifactPresentationContract,Masked support posture with explicit disclosure ceiling and action lease.,Support cannot widen into unrestricted production access or an ad hoc replay system.,"Operate a ticket-centric repair workspace with chronology, subject 360, handoff, and bounded recovery actions.","Controlled resend, reissue, attachment recovery, identity correction, and handoff work under the current support action lease.","Stay in one support shell while moving between ticket, conversation, history, knowledge, and action child routes.","Read-only fallback, pending-external hold, or recovery-required posture without context-destroying page swaps.",Notification delivery rails; Secure-link issuance; Telephony delivery,baseline,,staff-operations-and-support-blueprint.md#Support route contract
surf_support_replay_observe,support_desk_agent,Staff,Support desk agent,support,support,support_recovery,support,primary_owner,browser,Browser web,browser_web,rf_support_replay_observe,/ops/support/replay/:supportReplaySessionId and /ops/support/tickets/:supportTicketId/observe/:supportObserveSessionId,Support replay and observe,staff-operations-and-support-blueprint.md; phase-0-the-foundation-protocol.md,SupportReplayCheckpoint; SupportReplayRestoreSettlement; SupportObserveSession,Mask scope validation; Replay release decision; SupportContinuityEvidenceProjection,Support replay posture under a frozen checkpoint.,Replay does not become a detached forensic product and may not re-arm live mutation controls until same-shell restore settles.,Inspect replay or observe-only evidence without losing the current ticket shell or mask scope.,Observe-only review and replay release decisions; no live repair mutation until restore revalidates.,Replay and observe are bounded child routes of the same support shell and same ticket anchor.,"Read-only fallback, stale reacquire, or awaiting-external hold while preserving the ticket anchor.",Support replay tooling; Audit evidence,baseline,,staff-operations-and-support-blueprint.md#Support route contract; phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm
surf_support_assisted_capture,support_desk_agent,Staff,Support desk agent,support,support,support_recovery,support,primary_owner,browser,Support-assisted capture,support_assisted_capture,rf_support_ticket_workspace,"/ops/support, /ops/support/inbox/:viewKey, /ops/support/tickets/:supportTicketId, /conversation, /history, /knowledge, /actions/:actionKey, /handoff/:supportOwnershipTransferId",Support-assisted capture and recovery,blueprint-init.md; staff-operations-and-support-blueprint.md,SupportTicket; SupportLineageBinding; SubmissionIngressRecord; SecureLinkReissueRecord,VisibilityProjectionPolicy; SupportActionLease; RouteIntentBinding,Support posture with masked subject scope while assisting intake or recovery.,This closes the scattered-support gap by giving assisted capture its own explicit surface entry.,Assist intake or recovery capture into the same governed patient lineage from inside the support workspace.,"Append support-assisted ingress, reissue minimal access, or repair contact-route state under the active support ticket and disclosure ceiling.",The patient lineage stays intact; support capture does not mint a second workflow system.,"Read-only fallback or explicit reacquire path if the current support ticket, scope, or route intent is stale.",Secure-link issuance; Notification delivery rails,baseline,Inventory row added to make support-assisted capture explicit rather than implied.,blueprint-init.md#2. Core product surfaces; staff-operations-and-support-blueprint.md#Support route contract
surf_operations_board,operations_control_room_operator,Staff,Operations lead or control-room operator,operations_control,support,operational_control,operations,primary_owner,browser,Browser web,browser_web,rf_operations_board,"/ops/overview, /ops/queues, /ops/capacity, /ops/dependencies, /ops/audit, /ops/assurance, /ops/incidents, /ops/resilience",Operations board,operations-console-frontend-blueprint.md,OpsBoardStateSnapshot; OpsSelectionLease; OpsDeltaGate; OpsBoardPosture,AudienceSurfaceRuntimeBinding; WorkspaceTrustEnvelope(workspaceFamily = ops_intervention),Operations control-room posture.,Board context must stay denser than ordinary staff shells but still obey one dominant anomaly and one dominant intervention surface.,"Scan service health, choose the dominant anomaly, and preserve board context while deciding where to intervene.",No governance mutation here; only bounded operational actions within the current action fence.,"Keep the same shell while filters, horizon, selected anomaly, and board tuple remain valid.","Read-only diagnostic, partial restore, stale selection freeze, or fallback lens restore without losing the last stable board.",Telemetry and queue health feeds; Assurance evidence; Release watch tuples,baseline,,operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Calm board posture and briefing artifacts
surf_operations_drilldown,operations_control_room_operator,Staff,Operations lead or control-room operator,operations_control,support,operational_control,operations,primary_owner,browser,Browser web,browser_web,rf_operations_drilldown,"/ops/:opsLens/investigations/:opsRouteIntentId, /interventions/:opsRouteIntentId, /compare/:opsRouteIntentId, /health/:opsRouteIntentId",Operations investigation and intervention drill-down,operations-console-frontend-blueprint.md,OpsRouteIntent; OpsActionEligibilityFence; OpsGovernanceHandoff; OpsRestoreReport,OpsDeltaGate; AudienceSurfaceRuntimeBinding,Operations drill-down posture on the current board scope.,"Investigation, intervention, compare, and health drill-down remain same-shell children until a real governance handoff occurs.","Inspect or issue bounded interventions, compare scenarios, and preserve board return context.","Issue interventions only while the current fence is live, or hand off to governance with an exact return token.",Return to the same board snapshot and selected anomaly after drill-down or governance handoff.,"Blocked guardrail, read-only diagnostic, or fallback restore while keeping the last stable board visible.",Governance handoff; Audit and assurance pivots,baseline,,operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline
surf_governance_shell,governance_admin_lead,Staff,"Governance, admin, config, comms, or access lead",governance_review,support,governance_review,governance,primary_owner,browser,Browser web,browser_web,rf_governance_shell,"/ops/governance/*, /ops/access/*, /ops/config/*, /ops/comms/*, /ops/release/*",Governance and Admin shell,governance-admin-console-frontend-blueprint.md; platform-frontend-blueprint.md,GovernanceContinuityFrame; GovernanceScopeToken; ChangeBaselineSnapshot; GovernanceReviewPackage; ApprovalStepper,AudienceSurfaceRuntimeBinding; GovernanceFreezeDisposition; ReleaseWatchTuple,Governance review posture.,"This is a distinct control surface, not an operations subpanel or raw CRUD console.","Review, approve, promote, rollback, and govern access or configuration work inside one governance shell.","Approve, promote, rollback, govern access, update config, and manage communications under the current review package.","Keep one governance continuity frame across diff, impact, simulation, approval, promotion watch, and evidence pivots.","Freeze disposition, blocked guardrail, or read-only evidence pivot with the same governed object and scope token preserved.",Release watch tuples; Approval evidence; Config and comms publications,baseline,,governance-admin-console-frontend-blueprint.md#Shell and route topology; governance-admin-console-frontend-blueprint.md#Primary governance personas
surf_assistive_sidecar,assistive_feature_consumer,Staff,Assistive feature consumer,assistive_adjunct,origin_practice,assistive_companion,staff,primary_owner,browser,Browser web,browser_web,rf_staff_workspace_child,"/workspace/task/:taskId/more-info, /workspace/task/:taskId/decision, /workspace/approvals, /workspace/escalations, /workspace/changed, /workspace/search",Assistive companion sidecar inside the owning task,phase-8-the-assistive-layer.md; staff-workspace-interface-architecture.md,AssistiveInvocationGrant; AssistiveSurfaceBinding; AssistiveCapabilityTrustEnvelope; WorkspaceTrustEnvelope,VisibilityProjectionPolicy; AudienceSurfaceRuntimeBinding; UITelemetryDisclosureFence,Adjunct operator mode bound to the current owning shell.,Assistive output inherits the owning shell visibility ceiling and trust envelope.,Inspect or use assistive suggestions without displacing the primary review or support task.,"Visible summary, bounded insert, observe-only review, or feedback capture under the current assistive grant.",Remain inside the owning shell and selected anchor unless the corpus explicitly calls for standalone evaluation or replay tooling.,"Shadow-only, quarantined, regenerate-required, or blocked posture while keeping the human-led task in place.",Model registry; Runtime publication bundle; Feedback capture,bounded_secondary,This row keeps assistive use explicit while preserving the bounded-sidecar rule.,phase-8-the-assistive-layer.md#Control priorities; staff-workspace-interface-architecture.md#Assistive companion presentation profile
