requestType,questionKey,stepKey,visibilityMode,visibilityPredicate,requiredWhen,normalizationTarget,summaryRenderer,safetyRelevance,supersessionPolicy,helpContentRef
Meds,meds.medicineName,details,conditional,requestType == 'Meds' && answers['meds.nameKnown'] == 'known',requestType == 'Meds' && answers['meds.nameKnown'] == 'known',structuredAnswers.meds.medicineNameText,summary.meds.medicine_name.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,help.meds.name_known.v1
Meds,meds.nameUnknownReason,details,conditional,requestType == 'Meds' && answers['meds.nameKnown'] == 'unknown_or_unsure',requestType == 'Meds' && answers['meds.nameKnown'] == 'unknown_or_unsure',structuredAnswers.meds.medicineNameUnknownReason,summary.meds.name_unknown_reason.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,help.meds.name_known.v1
Meds,meds.issueDescription,details,always,requestType == 'Meds',requestType == 'Meds',structuredAnswers.meds.issueNarrative,summary.meds.issue_description.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.free_text.v1
Meds,meds.urgency,details,always,requestType == 'Meds',requestType == 'Meds',structuredAnswers.meds.urgencyBand,summary.meds.urgency.v1,safety_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.meds.query_type.v1
Admin,admin.supportType,details,always,requestType == 'Admin',requestType == 'Admin',structuredAnswers.admin.supportTypeCode,summary.admin.support_type.v1,none,SUP_140_ALWAYS_ACTIVE_V1,help.admin.support_type.v1
Admin,admin.deadlineKnown,details,always,requestType == 'Admin',requestType == 'Admin',structuredAnswers.admin.deadlineState,summary.admin.deadline_known.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.admin.deadline.v1
Admin,admin.deadlineDate,details,conditional,requestType == 'Admin' && answers['admin.deadlineKnown'] == 'deadline_known',requestType == 'Admin' && answers['admin.deadlineKnown'] == 'deadline_known',structuredAnswers.admin.deadlineDate,summary.admin.deadline_date.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,help.admin.deadline.v1
Admin,admin.referenceAvailable,details,always,requestType == 'Admin',requestType == 'Admin',structuredAnswers.admin.referenceState,summary.admin.reference_available.v1,none,SUP_140_ALWAYS_ACTIVE_V1,help.admin.support_type.v1
Admin,admin.referenceNumber,details,conditional,requestType == 'Admin' && answers['admin.referenceAvailable'] == 'available',requestType == 'Admin' && answers['admin.referenceAvailable'] == 'available',structuredAnswers.admin.referenceNumber,summary.admin.reference_number.v1,none,SUP_140_BRANCH_SUPERSEDE_V1,help.admin.support_type.v1
Admin,admin.details,details,always,requestType == 'Admin',requestType == 'Admin',structuredAnswers.admin.patientNarrative,summary.admin.details.v1,none,SUP_140_ALWAYS_ACTIVE_V1,help.free_text.v1
Results,results.context,details,always,requestType == 'Results',requestType == 'Results',structuredAnswers.results.contextCode,summary.results.context.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.results.context.v1
Results,results.testName,details,always,requestType == 'Results',requestType == 'Results',structuredAnswers.results.testNameText,summary.results.test_name.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.results.context.v1
Results,results.dateKnown,details,always,requestType == 'Results',requestType == 'Results',structuredAnswers.results.resultDateState,summary.results.date_known.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.results.date.v1
Results,results.resultDate,details,conditional,requestType == 'Results' && answers['results.dateKnown'] == 'exact_or_approx',requestType == 'Results' && answers['results.dateKnown'] == 'exact_or_approx',structuredAnswers.results.resultDatePartial,summary.results.date_value.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,help.results.date.v1
Results,results.question,details,always,requestType == 'Results',requestType == 'Results',structuredAnswers.results.patientQuestion,summary.results.question.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.free_text.v1
