effect_row_id,dependency_id,dependency_name,effect_applicability,runtime_component_id,command_contract_ref,outbox_component_ref,inbox_component_ref,receipt_checkpoint_object_ref,authoritative_proof_upgrade,final_settlement_classes,external_proof_class,idempotency_strategy_ref,replay_strategy_ref,endpoint_refs,non_applicable_reason,source_refs,notes
EFFECT_DEP_NETWORK_CAPACITY_PARTNER_FEEDS,dep_network_capacity_partner_feeds,Network and hub partner capacity feeds,inbound_only,svc_integration_worker,MutationCommandContract(hub.capacity.snapshot.ingest),,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(capacity_feed),snapshot accepted -> NetworkCoordinationPolicyEvaluation -> candidate refresh or quarantine,CandidateSnapshot.accepted; CandidateSnapshot.quarantined,review_disposition,IDEMP_CAPACITY_SNAPSHOT,REPLAY_CAPACITY_SNAPSHOT,network_hub_coordination,,"phase-5-the-network-horizon.md#5C. Enhanced Access policy engine and network capacity ingestion; phase-5-the-network-horizon.md#Network coordination contract, case model, and state machine; phase-9-the-assurance-ledger.md#9B. Essential-functions health, queues, and assurance operations boards",Capacity ingestion adapters feeding candidate snapshots and policy evaluation; patient or staff shells consume only projected trust posture.
EFFECT_DEP_CROSS_ORG_SECURE_MESSAGING_MESH,dep_cross_org_secure_messaging_mesh,Cross-organisation secure messaging rail including MESH,full_duplex,svc_integration_worker,MutationCommandContract(mesh.dispatch),queue_command_outbox,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(mesh),transport accepted -> delivery evidence or dispute -> current confirmation or visibility settlement,PracticeAcknowledgementRecord.acknowledged; PharmacyDispatchAttempt.proof_satisfied; MessageDeliveryEvidenceBundle.delivered,external_confirmation,IDEMP_ADAPTER_EFFECT,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,network_hub_coordination; pharmacy_first_referral_loop,,"blueprint-init.md#1. Product definition; phase-5-the-network-horizon.md#Hub commit algorithm; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract","Outbox and inbox adapters on secure message rails such as MESH, always behind AdapterContractProfile and transport assurance policies."
EFFECT_DEP_ORIGIN_PRACTICE_ACK_RAIL,dep_origin_practice_ack_rail,Origin-practice acknowledgement rail,full_duplex,svc_notification_worker,MutationCommandContract(hub.practice_visibility.dispatch),queue_command_outbox,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(practice_ack),message accept -> PracticeAcknowledgementRecord generation -> ack evidence -> HubOfferToConfirmationTruthProjection closureState update,PracticeAcknowledgementRecord.acknowledged; PracticeAcknowledgementRecord.overdue; PracticeAcknowledgementRecord.recovery_required,external_confirmation,IDEMP_PRACTICE_ACK_GENERATION,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,network_hub_coordination,,"phase-5-the-network-horizon.md#PracticeAcknowledgementRecord; phase-5-the-network-horizon.md#Hub commit algorithm; phase-5-the-network-horizon.md#Manage, reminders, and practice visibility after hub booking","PracticeContinuityMessage plus PracticeAcknowledgementRecord on top of secure-message, API, or monitored-mailbox transports."
EFFECT_DEP_PHARMACY_DIRECTORY_DOHS,dep_pharmacy_directory_dohs,Pharmacy directory and discovery dependency,inbound_only,svc_integration_worker,MutationCommandContract(pharmacy.directory.snapshot.ingest),,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(pharmacy_directory),snapshot accepted -> PharmacyChoiceProof refresh or quarantine,PharmacyProviderSnapshot.accepted; PharmacyProviderSnapshot.quarantined,review_disposition,IDEMP_PROVIDER_DIRECTORY_SNAPSHOT,REPLAY_PROVIDER_DIRECTORY_SNAPSHOT,pharmacy_first_referral_loop,,"phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; blueprint-init.md#7. Pharmacy First pathway",Directory adapter and cached snapshots feeding PharmacyChoiceProof and provider capability snapshots; never browser-side search against partner systems.
EFFECT_DEP_PHARMACY_REFERRAL_TRANSPORT,dep_pharmacy_referral_transport,Pharmacy referral transport dependency,full_duplex,svc_integration_worker,MutationCommandContract(pharmacy.dispatch.referral),queue_command_outbox,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(pharmacy_dispatch),dispatch accepted -> provider ack or proof deadline -> PharmacyDispatchAttempt proof state -> ExternalConfirmationGate,PharmacyDispatchAttempt.proof_satisfied; PharmacyDispatchAttempt.reconciliation_required; PharmacyDispatchAttempt.failed,external_confirmation,IDEMP_PHARMACY_DISPATCH,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,pharmacy_first_referral_loop,,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; phase-0-the-foundation-protocol.md#Pharmacy dispatch and confirmation gate algorithm","PharmacyDispatchPlan and PharmacyDispatchAttempt under canonical command, idempotency, outbox, and confirmation-gate contracts."
EFFECT_DEP_PHARMACY_OUTCOME_OBSERVATION,dep_pharmacy_outcome_observation,Pharmacy outcome observation and reconciliation path,inbound_only,svc_integration_worker,MutationCommandContract(pharmacy.outcome.ingest),,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(pharmacy_outcome),inbound evidence -> replay classification -> PharmacyOutcomeReconciliationGate or accepted outcome settlement,PharmacyOutcomeSettlement.duplicate_ignored; PharmacyOutcomeSettlement.review_required; PharmacyOutcomeSettlement.resolved_pending_projection; PharmacyOutcomeSettlement.reopened_for_safety,review_disposition,IDEMP_PHARMACY_OUTCOME_ENVELOPE,REPLAY_PHARMACY_OUTCOME_RECONCILIATION,pharmacy_first_referral_loop,,"phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; forensic-audit-findings.md#Finding 79 - weak-source matching did not clearly stop at a case-local review state; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics","Replay-safe inbox ingestion, parser normalisation, and case-local reconciliation gate; no direct Vecells control of community-pharmacy record systems."
EFFECT_DEP_PHARMACY_URGENT_RETURN_PROFESSIONAL_ROUTES,dep_pharmacy_urgent_return_professional_routes,Pharmacy urgent-return and professional-contact routes,inbound_only,svc_integration_worker,MutationCommandContract(pharmacy.urgent_return.ingest),,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(pharmacy_urgent_return),urgent return evidence -> BounceBackRecord -> safety preemption and reopened triage settlement,PharmacyBounceBackSettlement.reopened_for_safety; PharmacyBounceBackSettlement.supervisor_review,recovery_disposition,IDEMP_PHARMACY_OUTCOME_ENVELOPE,REPLAY_PHARMACY_OUTCOME_RECONCILIATION,pharmacy_first_referral_loop,,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics; blueprint-init.md#7. Pharmacy First pathway",Human-operated safety-net routes declared in UrgentReturnChannelConfig and linked to the same case-local evidence chain as bounce-back and reopen.
EFFECT_DEP_NHS_APP_EMBEDDED_CHANNEL_ECOSYSTEM,dep_nhs_app_embedded_channel_ecosystem,NHS App embedded-channel ecosystem,non_applicable_deferred,svc_api_gateway,,,,,"Deferred embedded channel posture binds to runtime publication and scope tuples, not a separate adapter effect lane in the current baseline.",,none,IDEMP_BROWSER_COMMAND_PASSTHROUGH,REPLAY_ROUTE_INTENT_REBIND,,Phase 7 is deferred out of the current baseline.,"phase-7-inside-the-nhs-app.md#7A. Integration manifest and route inventory; phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline; phase-cards.md#Phase 7 - Inside the NHS App","Responsive web integration with manifest-pinned embedded routes, NHS login handoff, route-scoped bridge eligibility, and NHS App JS bridge wrapping."
EFFECT_DEP_ASSISTIVE_MODEL_VENDOR_FAMILY,dep_assistive_model_vendor_family,Assistive model vendor and subprocessor family,non_applicable_deferred,svc_adapter_simulators,,,,,Assistive vendors remain conditional and non-authoritative; no baseline proof chain depends on them.,,none,IDEMP_SIMULATOR_FIXTURE_RUN,REPLAY_SIMULATOR_FIXTURE,,Assistive rollout is explicitly deferred and bounded.,phase-8-the-assistive-layer.md#8H; phase-8-the-assistive-layer.md#AssistiveCapabilityTrustEnvelope; phase-cards.md#Phase 8 - The Assistive Layer,Trust-bound assistive sidecar behind AssistiveCapabilityTrustEnvelope and route-scoped rollout verdicts; no direct UI dependency on raw vendor output.
EFFECT_DEP_NHS_ASSURANCE_AND_STANDARDS_SOURCES,dep_nhs_assurance_and_standards_sources,NHS standards and assurance source set,non_applicable_human_governed,svc_assurance_worker,,,,,"Evidence watchlist and standards monitoring are human-governed assurance inputs, not runtime adapter effects.",,none,IDEMP_ASSURANCE_RESTORE_GATE,REPLAY_SUPPORT_RESTORE_SCOPE,,"This dependency informs governance and evidence schedules, not live transaction settlement.","phase-9-the-assurance-ledger.md#9D. Assurance pack factory and standards evidence pipeline; phase-9-the-assurance-ledger.md#9H. Tenant governance, config immutability, and dependency hygiene; phase-7-inside-the-nhs-app.md#What Phase 7 must prove before Phase 8 starts","Human-governed standards watchlist, evidence mapping, and dependency hygiene process rather than a runtime data plane."
