surface_id,surface_name,audience,audience_surface_ref,route_families,served_bounded_context_refs,mutating_bounded_context_refs,required_context_boundary_refs,entry_workload_family_ref,downstream_workload_family_refs,trust_zone_boundary_refs,tenant_isolation_mode,session_policy_ref,cache_policy_ref,recovery_disposition_profile_ref,recovery_disposition_refs,required_assurance_slice_refs,surface_authority_tuple_hash,source_refs
gws_clinician_workspace_child,Clinical Workspace child review states gateway,origin_practice_clinical,surf_clinician_workspace_child,rf_staff_workspace_child,triage_workspace; communications,triage_workspace; communications,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,tenant_org_partition,SP_STAFF_SSO_SINGLE_ORG_CHILD,CP_WORKSPACE_CHILD_PRIVATE_EPHEMERAL,rdp::gws_clinician_workspace_child,RRD_WORKSPACE_CHILD_READ_ONLY; RRD_WORKSPACE_CHILD_RECOVERY_ONLY,ass_release_publication; ass_workspace_slice_trust,c2b6097da82f95ff,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Additional route rules; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-workspace-interface-architecture.md#Additional route rules; blueprint/forensic-audit-findings.md#Finding 92; data/analysis/tenant_isolation_matrix.csv#TIM_TENANT_STAFF_SINGLE_ORG
gws_clinician_workspace,Clinical Workspace queue and task canvas gateway,origin_practice_clinical,surf_clinician_workspace,rf_staff_workspace,triage_workspace; booking; communications,triage_workspace; booking; communications,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,tenant_org_partition,SP_STAFF_SSO_SINGLE_ORG,CP_WORKSPACE_SINGLE_ORG_PRIVATE,rdp::gws_clinician_workspace,RRD_WORKSPACE_READ_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER,ass_release_publication; ass_workspace_slice_trust,1e9b97561dd60946,staff-workspace-interface-architecture.md#Route family; staff-operations-and-support-blueprint.md#Clinical Workspace specialization; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-workspace-interface-architecture.md#Route family; blueprint/forensic-audit-findings.md#Finding 92; data/analysis/tenant_isolation_matrix.csv#TIM_TENANT_STAFF_SINGLE_ORG
gws_practice_ops_workspace,Practice operations workspace gateway,origin_practice_operations,surf_practice_ops_workspace,rf_staff_workspace,triage_workspace; communications; booking,triage_workspace; communications,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,tenant_org_partition,SP_STAFF_SSO_SINGLE_ORG,CP_WORKSPACE_SINGLE_ORG_PRIVATE,rdp::gws_practice_ops_workspace,RRD_WORKSPACE_READ_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER,ass_release_publication; ass_workspace_slice_trust,08cd73f8829a15d8,staff-workspace-interface-architecture.md#Route family; staff-operations-and-support-blueprint.md#Staff audience coverage contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-operations-and-support-blueprint.md#Staff audience coverage contract; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_TENANT_STAFF_SINGLE_ORG
gws_support_replay_observe,Support replay and observe gateway,support,surf_support_replay_observe,rf_support_replay_observe,support; audit_compliance; analytics_assurance,support,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS; CBC_041_RELEASE_CONTROL_TO_OBSERVABILITY,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_assurance_security_control,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,explicit_support_investigation_scope,SP_SUPPORT_REPLAY_ENVELOPE,CP_SUPPORT_REPLAY_FROZEN_NO_STORE,rdp::gws_support_replay_observe,RRD_SUPPORT_REPLAY_MASKED; RRD_SUPPORT_REPLAY_RESTORE_FROZEN,ass_release_publication; ass_support_replay_restore,b9bbb6377cd7246b,staff-operations-and-support-blueprint.md#Support route contract; phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm; blueprint/forensic-audit-findings.md#Finding 100 - Support replay and observe return still had no authoritative restore gate; data/analysis/tenant_isolation_matrix.csv#TIM_SUPPORT_INVESTIGATION
gws_support_ticket_workspace,Support ticket workspace gateway,support,surf_support_ticket_workspace,rf_support_ticket_workspace,support; identity_access; communications,support; identity_access; communications,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,explicit_support_delegate_scope,SP_SUPPORT_TENANT_DELEGATE,CP_SUPPORT_MASKED_PRIVATE,rdp::gws_support_ticket_workspace,RRD_SUPPORT_WORKSPACE_READ_ONLY; RRD_SUPPORT_CAPTURE_RECOVERY,ass_release_publication; ass_support_scope_masking,93da5295c9aa0ad7,staff-operations-and-support-blueprint.md#Support route contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-operations-and-support-blueprint.md#Support route contract; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_SUPPORT_DELEGATE
gws_support_assisted_capture,Support-assisted capture and recovery gateway,support,surf_support_assisted_capture,rf_support_ticket_workspace,support; intake_safety; identity_access; communications,support; intake_safety; identity_access; communications,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS; CBC_041_RELEASE_CONTROL_TO_OBSERVABILITY,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration; wf_assurance_security_control,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,explicit_support_delegate_scope,SP_SUPPORT_ASSISTED_CAPTURE,CP_SUPPORT_CAPTURE_PRIVATE_EPHEMERAL,rdp::gws_support_assisted_capture,RRD_SUPPORT_CAPTURE_RECOVERY; RRD_SUPPORT_CAPTURE_READ_ONLY,ass_release_publication; ass_support_scope_masking,6fa1078068bcd28f,blueprint-init.md#2. Core product surfaces; staff-operations-and-support-blueprint.md#Support route contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-operations-and-support-blueprint.md#Support route contract; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_SUPPORT_DELEGATE
gws_hub_case_management,"Hub case, alternatives, exception, and audit work gateway",hub_desk,surf_hub_case_management,rf_hub_case_management,hub_coordination; booking; communications,hub_coordination; booking; communications,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,explicit_cross_org_subject_scope,SP_STAFF_CROSS_ORG_HUB,CP_HUB_CASE_PRIVATE_EPHEMERAL,rdp::gws_hub_case_management,RRD_HUB_CASE_READ_ONLY; RRD_HUB_CASE_RECOVERY_ONLY,ass_release_publication; ass_hub_scope_trust,c330ac0d60cfb062,phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG
gws_hub_queue,Hub queue gateway,hub_desk,surf_hub_queue,rf_hub_queue,hub_coordination,hub_coordination,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,explicit_cross_org_subject_scope,SP_STAFF_CROSS_ORG_HUB,CP_HUB_QUEUE_PRIVATE_SUMMARY,rdp::gws_hub_queue,RRD_HUB_QUEUE_READ_ONLY; RRD_HUB_QUEUE_SUMMARY_ONLY,ass_release_publication; ass_hub_scope_trust,7943cf486d6bdb6f,phase-5-the-network-horizon.md#Frontend work; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Frontend work; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG
gws_pharmacy_console,Pharmacy Console case workbench gateway,servicing_site,surf_pharmacy_console,rf_pharmacy_console,pharmacy; communications,pharmacy,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,servicing_site_partition,SP_PHARMACY_SERVICING_SCOPE,CP_PHARMACY_CASE_PRIVATE,rdp::gws_pharmacy_console,RRD_PHARMACY_READ_ONLY; RRD_PHARMACY_DISPATCH_RECOVERY,ass_release_publication; ass_pharmacy_dispatch_trust,32b50dab940f332e,pharmacy-console-frontend-architecture.md#Mission frame; pharmacy-console-frontend-architecture.md#The recommended route family is; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/pharmacy-console-frontend-architecture.md#Mission frame; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_PHARMACY_SERVICING
gws_operations_board,Operations board gateway,operations_control,surf_operations_board,rf_operations_board,operations; analytics_assurance; release_control,,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_RELEASE_CONTROL_TO_OBSERVABILITY,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_assurance_security_control,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,platform_observation_aggregate,SP_OPERATIONS_WATCH_TUPLE,CP_OPERATIONS_WATCH_NO_SHARED_CACHE,rdp::gws_operations_board,RRD_OPERATIONS_DIAGNOSTIC_ONLY; RRD_OPERATIONS_BOARD_FROZEN,ass_release_publication; ass_operations_guardrail_trust,c693f4add3e0fb99,operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Calm board posture and briefing artifacts; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/operations-console-frontend-blueprint.md#Canonical route family; blueprint/forensic-audit-findings.md#Finding 96; data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT
gws_operations_drilldown,Operations investigation and intervention drill-down gateway,operations_control,surf_operations_drilldown,rf_operations_drilldown,operations; analytics_assurance; release_control; audit_compliance,operations; release_control,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS; CBC_041_RELEASE_CONTROL_TO_OBSERVABILITY,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration; wf_assurance_security_control,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,platform_observation_aggregate,SP_RESILIENCE_CONTROL_SCOPE,CP_OPERATIONS_CONTROL_EPHEMERAL,rdp::gws_operations_drilldown,RRD_RESILIENCE_CONTROL_FROZEN; RRD_OPERATIONS_DIAGNOSTIC_ONLY,ass_release_publication; ass_operations_guardrail_trust,9ac478f105f08eb3,operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; blueprint/forensic-audit-findings.md#Finding 96; data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT
gws_governance_shell,Governance and Admin shell gateway,governance_review,surf_governance_shell,rf_governance_shell,governance_admin; release_control; audit_compliance; analytics_assurance; identity_access; communications,governance_admin; release_control; identity_access; communications,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS; CBC_041_RELEASE_CONTROL_TO_OBSERVABILITY,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration; wf_assurance_security_control,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,platform_control_plane_with_explicit_blast_radius,SP_GOVERNANCE_SCOPE_TUPLE,CP_GOVERNANCE_CONTROL_EPHEMERAL,rdp::gws_governance_shell,RRD_GOVERNANCE_READ_ONLY; RRD_GOVERNANCE_HANDOFF_ONLY,ass_release_publication; ass_governance_watch_tuple,6478a8b9b6ca5b1c,governance-admin-console-frontend-blueprint.md#Shell and route topology; governance-admin-console-frontend-blueprint.md#Primary governance personas; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/governance-admin-console-frontend-blueprint.md#Shell and route topology; blueprint/forensic-audit-findings.md#Finding 95; data/analysis/tenant_isolation_matrix.csv#TIM_GOVERNANCE_PLATFORM
