stage_id,stage_name,stage_group,stage_class,entry_conditions,required_artifacts,manual_checkpoints,browser_automation_possible,mock_now_action,actual_later_action,outputs,safety_and_privacy_dependencies,risk_refs,notes,source_refs,prerequisite_stage_ids,live_gate_refs
ready_for_real_im1_submission,Ready for real IM1 submission,live,blocked_until_mvp,All rehearsal dossier stages are complete.<br>Every live gate is pass.<br>ALLOW_REAL_PROVIDER_MUTATION=true is explicitly set.,ART_STAGE_ONE_SCAL_STUB<br>ART_PROVIDER_ROSTER_REFRESH_EVIDENCE<br>ART_MODEL_INTERFACE_LICENCE_PLACEHOLDERS<br>ART_ASSURANCE_EVIDENCE_INDEX,Named approver explicitly authorises real submission against a current environment target.,partial,Stay fail-closed and show why the product is not yet admissible for real submission.,Open the later dry-run harness only after the gates pass and an approver confirms mutation.,Final live-gate verdict<br>Dry-run manifest,RISK_EXT_IM1_SCAL_DELAY<br>RISK_MUTATION_003<br>HZ_WRONG_PATIENT_BINDING,RISK_EXT_IM1_SCAL_DELAY<br>RISK_MUTATION_003<br>HZ_WRONG_PATIENT_BINDING,Current state is intentionally blocked because Phase 0 and external-readiness gates are still withheld.,prompt/026.md<br>official_im1_pairing_process<br>data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY,product_profile_defined<br>prerequisites_drafted<br>stage_one_scal_stub_ready<br>provider_supplier_targeting_ready<br>compatibility_claim_ready<br>model_interface_licence_placeholder_ready<br>provider_mock_api_rehearsal_ready<br>assurance_pack_in_progress<br>rfc_watch_registered,LIVE_GATE_EXTERNAL_FOUNDATION_WITHHELD<br>LIVE_GATE_CREDIBLE_MVP_AND_BOUNDED_USE_CASE<br>LIVE_GATE_PROVIDER_CAPABILITY_MODEL_FROZEN<br>LIVE_GATE_SAFETY_PRIVACY_ARCHITECTURE_CURRENT<br>LIVE_GATE_NAMED_SPONSOR_AND_COMMERCIAL_OWNER<br>LIVE_GATE_IM1_NOT_PHASE2_IDENTITY_SHORTCUT<br>LIVE_GATE_NAMED_APPROVER_PRESENT<br>LIVE_GATE_ENVIRONMENT_TARGET_PRESENT<br>LIVE_GATE_PROVIDER_ROSTER_REFRESH_REQUIRED<br>LIVE_GATE_MUTATION_FLAG_ENABLED
official_prerequisites_form_submitted,Official prerequisites form submitted,initiation,official_process,The exact public form fields are populated with current approved values.<br>The named approver and environment target are present.,ART_PRODUCT_PROFILE_DOSSIER<br>ART_CLINICAL_SAFETY_DECLARATION<br>ART_PROVIDER_ROSTER_REFRESH_EVIDENCE,Human confirms the form contents before submission.,partial,Dry-run only against the internal rehearsal studio.,Use the gated dry-run harness and stop before final submission unless mutation is explicitly authorised.,Submission draft evidence<br>Screenshots or redacted capture evidence,RISK_EXT_IM1_SCAL_DELAY<br>RISK_MUTATION_003,RISK_EXT_IM1_SCAL_DELAY<br>RISK_MUTATION_003,This stage stays unreachable in current defaults.,official_im1_prerequisites_form<br>official_im1_pairing_process,ready_for_real_im1_submission,LIVE_GATE_MUTATION_FLAG_ENABLED
official_stage_one_scal_issued,Official stage-one SCAL issued,initiation,official_process,Prerequisites have been accepted by the IM1 team.<br>The product is being assessed for compatibility against provider APIs.,ART_STAGE_ONE_SCAL_STUB,Await IM1 team confirmation.,no,Represent the stage as a blocked official checkpoint only.,Track issuance date and evidence hash once the IM1 team issues stage-one SCAL.,Stage-one SCAL issued by NHS England,RISK_EXT_IM1_SCAL_DELAY,RISK_EXT_IM1_SCAL_DELAY,"Issued by the external process, not by Vecells.",official_im1_pairing_process,official_prerequisites_form_submitted,
official_product_viability_confirmed,Official product viability confirmed,initiation,official_process,NHS England confirms the product is viable via API.,ART_STAGE_ONE_SCAL_STUB<br>ART_ROUTE_FAMILY_COMPATIBILITY_MATRIX,Await external viability decision.,no,Track as a future checkpoint only.,Record the official decision and any required scope changes.,Viability confirmation or rejection,RISK_EXT_IM1_SCAL_DELAY,RISK_EXT_IM1_SCAL_DELAY,"This confirms feasibility, not assurance or live approval.",official_im1_pairing_process,official_stage_one_scal_issued,
official_model_interface_licence_executed,Official Model Interface Licence executed,initiation,provider_supplier_specific,Product viability is confirmed.<br>Provider-supplier licence documents are executed by both consumer and provider suppliers.,ART_MODEL_INTERFACE_LICENCE_PLACEHOLDERS,Provider supplier and consumer signatories execute the licence.,no,Keep this as a placeholder-only register entry.,Track execution state per supplier after legal completion outside the repo.,Provider-specific licence execution state,RISK_EXT_IM1_SCAL_DELAY,RISK_EXT_IM1_SCAL_DELAY,Supplier specific and human governed.,official_im1_pairing_process,official_product_viability_confirmed,LIVE_GATE_NAMED_SPONSOR_AND_COMMERCIAL_OWNER
official_provider_mock_api_accessed,Official provider mock API accessed,unsupported_test,provider_supplier_specific,Model Interface Licence has been executed.<br>Provider supplier grants access to the test environment and documentation.,ART_PROVIDER_MOCK_API_REHEARSAL_LOG<br>ART_PAIRING_INTEGRATION_PACK_REGISTER,Provider supplier confirms credentials and environment access.,partial,Only the internal rehearsal twin is available today.,"Track provider-specific access details in a vault-backed, non-repo register.",Provider-specific unsupported-test access details,RISK_EXT_BOOKING_PROVIDER_GAP,RISK_EXT_BOOKING_PROVIDER_GAP,Mock API access is still not live approval or canonical truth.,official_im1_pairing_process,official_model_interface_licence_executed,
official_supported_test_environment_requested,Official Supported Test Environment requested,supported_test,official_process,Development is complete.<br>The full SCAL is complete and can be submitted.,ART_SUPPORTED_TEST_REQUEST_CHECKLIST<br>ART_ASSURANCE_EVIDENCE_INDEX,Human confirms STE request contents and provider alignment.,partial,Display the step as blocked with current blocker chips.,Submit the STE request only once the pack turns green.,STE request prepared or submitted,RISK_EXT_IM1_SCAL_DELAY<br>HZ_WRONG_PATIENT_BINDING,RISK_EXT_IM1_SCAL_DELAY<br>HZ_WRONG_PATIENT_BINDING,Submitting a full SCAL is the official prerequisite to STE access.,official_im1_pairing_process,official_provider_mock_api_accessed,LIVE_GATE_PROVIDER_CAPABILITY_MODEL_FROZEN<br>LIVE_GATE_SAFETY_PRIVACY_ARCHITECTURE_CURRENT
official_supported_test_environment_granted,Official Supported Test Environment granted,supported_test,provider_supplier_specific,Provider supplier grants STE access.<br>Assurance approach is agreed with the provider supplier.,ART_SUPPORTED_TEST_REQUEST_CHECKLIST,Provider supplier confirms STE access and assurance path.,no,Keep the state blocked and documentary only.,Capture the granted environment details outside the repo and update the evidence index.,STE access grant<br>Provider assurance approach,RISK_EXT_IM1_SCAL_DELAY,RISK_EXT_IM1_SCAL_DELAY,Provider supplier specific and not directly automatable from the repo.,official_im1_pairing_process,official_supported_test_environment_requested,
official_assurance_completed,Official assurance completed,assurance,official_process,SCAL is reviewed and agreed.<br>Test evidence is agreed or witness test is undertaken.,ART_ASSURANCE_EVIDENCE_INDEX<br>ART_HAZARD_LOG<br>ART_DPIA_AND_PRIVACY_NOTICE,NHS England assurance acceptance is recorded.,no,Track as a blocked external checkpoint.,Update the assurance evidence pack and acceptance state after external review.,Recommended to Connect<br>Plan to Connect<br>Model Interface Licence uplift state,RISK_EXT_IM1_SCAL_DELAY<br>RISK_MUTATION_003,RISK_EXT_IM1_SCAL_DELAY<br>RISK_MUTATION_003,Assurance completion is where RTC and PTC appear in the official flow.,official_im1_pairing_process,official_supported_test_environment_granted,
official_live_rollout_authorised,Official live rollout authorised,live,official_process,Assurance is accepted by NHS England.<br>Provider supplier issues Plan to Connect.,ART_ASSURANCE_EVIDENCE_INDEX<br>ART_MODEL_INTERFACE_LICENCE_PLACEHOLDERS,Consumer and provider agree the rollout window.,no,Not reachable in the rehearsal studio.,Track rollout by supplier and organisation after official approvals land.,Live rollout authorisation<br>Assured licence uplift,RISK_EXT_IM1_SCAL_DELAY<br>RISK_EXT_BOOKING_PROVIDER_GAP,RISK_EXT_IM1_SCAL_DELAY<br>RISK_EXT_BOOKING_PROVIDER_GAP,Live rollout remains later and explicitly outside current baseline execution.,official_im1_pairing_process,official_assurance_completed,
official_rfc_submitted_for_significant_change,Official RFC submitted for significant change,rfc_watch,official_process,The product has evolved from the originally assured IM1 use case.<br>Updated SCAL and documentation are available.,ART_RFC_TRIGGER_REGISTER<br>ART_STAGE_ONE_SCAL_STUB<br>ART_HAZARD_LOG,Human determines that the change class is material enough to require RFC.,partial,Surface the trigger classes and associated documentation deltas.,Submit the RFC via the customer service portal only after the updated pack is current and mutation is authorised.,RFC packet<br>Updated SCAL and documentation,RISK_MUTATION_003<br>RISK_RUNTIME_001,RISK_MUTATION_003<br>RISK_RUNTIME_001,AI or other major feature expansion is explicitly fenced here.,official_im1_pairing_process<br>blueprint/phase-8-the-assistive-layer.md,official_live_rollout_authorised,LIVE_GATE_MUTATION_FLAG_ENABLED
