preview_environment_ref,environment_ring,seed_pack_ref,substrate_ref,fixture_set_ref,reset_mode,expected_tuple_hash,drift_policy_ref,browser_banner_marker,teardown_after_expiry
pev_rc_pharmacy_dispatch,preprod,psp_pharmacy_dispatch_suite,cache_plane,psp_pharmacy_dispatch_suite::cache_plane,deterministic_reset,99f7ff0390d2e184,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_rc_pharmacy_dispatch,preprod,psp_pharmacy_dispatch_suite,object_storage,psp_pharmacy_dispatch_suite::object_storage,deterministic_resync,0c89c151556ad99f,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_rc_pharmacy_dispatch,preprod,psp_pharmacy_dispatch_suite,browser_surface_banner,psp_pharmacy_dispatch_suite::browser_surface_banner,marker_reapply,b643069d6782d148,pdp_banner_marker_presence,vecells-preview-synthetic,false
pev_branch_ops_control,ci-preview,psp_control_plane_suite,runtime_topology_bundle,psp_control_plane_suite::runtime_topology_bundle,manifest_bundle,411cb28bf19382a9,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_ops_control,ci-preview,psp_control_plane_suite,domain_store,psp_control_plane_suite::domain_store,deterministic_restore,e6a20f2a95ae6cf1,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_ops_control,ci-preview,psp_control_plane_suite,fhir_store,psp_control_plane_suite::fhir_store,deterministic_restore,351bc81faef0f577,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_ops_control,ci-preview,psp_control_plane_suite,projection_store,psp_control_plane_suite::projection_store,deterministic_rebuild,8d3499bec70ab625,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_ops_control,ci-preview,psp_control_plane_suite,event_spine,psp_control_plane_suite::event_spine,deterministic_requeue,fcaad0cc36089167,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_ops_control,ci-preview,psp_control_plane_suite,cache_plane,psp_control_plane_suite::cache_plane,deterministic_reset,09c499bba09704b6,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_ops_control,ci-preview,psp_control_plane_suite,object_storage,psp_control_plane_suite::object_storage,deterministic_resync,454fc1c3abaeb3f7,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_ops_control,ci-preview,psp_control_plane_suite,browser_surface_banner,psp_control_plane_suite::browser_surface_banner,marker_reapply,39b1bd549214c6f3,pdp_banner_marker_presence,vecells-preview-synthetic,false
pev_rc_governance_audit,preprod,psp_control_plane_suite,runtime_topology_bundle,psp_control_plane_suite::runtime_topology_bundle,manifest_bundle,411cb28bf19382a9,pdp_seed_fixture_hash_match,vecells-preview-synthetic,true
pev_rc_governance_audit,preprod,psp_control_plane_suite,domain_store,psp_control_plane_suite::domain_store,deterministic_restore,e6a20f2a95ae6cf1,pdp_seed_fixture_hash_match,vecells-preview-synthetic,true
pev_rc_governance_audit,preprod,psp_control_plane_suite,fhir_store,psp_control_plane_suite::fhir_store,deterministic_restore,351bc81faef0f577,pdp_seed_fixture_hash_match,vecells-preview-synthetic,true
pev_rc_governance_audit,preprod,psp_control_plane_suite,projection_store,psp_control_plane_suite::projection_store,deterministic_rebuild,8d3499bec70ab625,pdp_seed_fixture_hash_match,vecells-preview-synthetic,true
pev_rc_governance_audit,preprod,psp_control_plane_suite,event_spine,psp_control_plane_suite::event_spine,deterministic_requeue,fcaad0cc36089167,pdp_seed_fixture_hash_match,vecells-preview-synthetic,true
pev_rc_governance_audit,preprod,psp_control_plane_suite,cache_plane,psp_control_plane_suite::cache_plane,deterministic_reset,09c499bba09704b6,pdp_seed_fixture_hash_match,vecells-preview-synthetic,true
pev_rc_governance_audit,preprod,psp_control_plane_suite,object_storage,psp_control_plane_suite::object_storage,deterministic_resync,454fc1c3abaeb3f7,pdp_seed_fixture_hash_match,vecells-preview-synthetic,true
pev_rc_governance_audit,preprod,psp_control_plane_suite,browser_surface_banner,psp_control_plane_suite::browser_surface_banner,marker_reapply,39b1bd549214c6f3,pdp_banner_marker_presence,vecells-preview-synthetic,true
