namespace_code,canonical_event_namespace_ref,owning_bounded_context_ref,event_purpose_class,authoritative_family_role,allowed_producer_context_refs,default_disclosure_class,compatibility_mode_default,replay_semantics_default,normalization_rule_required,quarantine_component_ref,payload_privacy_rule,unknown_producer_posture,source_refs,notes
patient,CanonicalEventNamespace(patient),patient_experience,continuity,derived_surface,patient_experience; projection,descriptor_and_hash_only,additive_only,observational,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
communication,CanonicalEventNamespace(communication),callback_messaging,domain_lifecycle,authoritative,callback_messaging,descriptor_and_hash_only,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
reachability,CanonicalEventNamespace(reachability),foundation_identity_access,recovery,authoritative,foundation_identity_access; callback_messaging,descriptor_and_hash_only,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
exception,CanonicalEventNamespace(exception),foundation_control_plane,recovery,authoritative,foundation_control_plane; assurance_and_governance,descriptor_and_hash_only,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
confirmation,CanonicalEventNamespace(confirmation),foundation_control_plane,continuity,authoritative,booking; hub_coordination; pharmacy; callback_messaging,descriptor_and_hash_only,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
capacity,CanonicalEventNamespace(capacity),booking,observability,authoritative,booking; hub_coordination,descriptor_and_hash_only,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
support,CanonicalEventNamespace(support),staff_support_operations,recovery,authoritative,staff_support_operations,audit_reference_only,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
assistive,CanonicalEventNamespace(assistive),assistive,observability,observational,assistive,descriptor_and_hash_only,additive_only,observational,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
policy,CanonicalEventNamespace(policy),platform_configuration,control_plane,authoritative,platform_configuration; runtime_release,descriptor_and_hash_only,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
release,CanonicalEventNamespace(release),runtime_release,control_plane,authoritative,runtime_release; assurance_and_governance,descriptor_and_hash_only,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
analytics,CanonicalEventNamespace(analytics),assurance_and_governance,observability,observational,projection; assurance_and_governance,descriptor_and_hash_only,additive_only,observational,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
audit,CanonicalEventNamespace(audit),assurance_and_governance,observability,observational,assurance_and_governance; foundation_control_plane,audit_reference_only,additive_only,observational,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
