risk_id,risk_title,task_id,task_title,task_phase_ref,risk_class,risk_status,critical_path_relevance,link_reason
RISK_STATE_002,Request.workflowState is milestone-only,par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_067,phase0 track backend implement idempotency record and replay collision review services,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_067,phase0 track backend implement idempotency record and replay collision review services,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_067,phase0 track backend implement idempotency record and replay collision review services,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_067,phase0 track backend implement idempotency record and replay collision review services,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_067,phase0 track backend implement idempotency record and replay collision review services,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_067,phase0 track backend implement idempotency record and replay collision review services,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_067,phase0 track backend implement idempotency record and replay collision review services,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_067,phase0 track backend implement idempotency record and replay collision review services,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_067,phase0 track backend implement idempotency record and replay collision review services,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_067,phase0 track backend implement idempotency record and replay collision review services,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_068,phase0 track backend implement identity binding access grant and supersession models,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_068,phase0 track backend implement identity binding access grant and supersession models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_068,phase0 track backend implement identity binding access grant and supersession models,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_068,phase0 track backend implement identity binding access grant and supersession models,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_068,phase0 track backend implement identity binding access grant and supersession models,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_068,phase0 track backend implement identity binding access grant and supersession models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_068,phase0 track backend implement identity binding access grant and supersession models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_068,phase0 track backend implement identity binding access grant and supersession models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_068,phase0 track backend implement identity binding access grant and supersession models,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_068,phase0 track backend implement identity binding access grant and supersession models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_069,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_069,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_069,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_069,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_069,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_069,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_069,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_069,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_069,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_069,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_072,phase0 track backend implement command settlement record and transition envelope library,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_072,phase0 track backend implement command settlement record and transition envelope library,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_072,phase0 track backend implement command settlement record and transition envelope library,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_072,phase0 track backend implement command settlement record and transition envelope library,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_072,phase0 track backend implement command settlement record and transition envelope library,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_072,phase0 track backend implement command settlement record and transition envelope library,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_072,phase0 track backend implement command settlement record and transition envelope library,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_072,phase0 track backend implement command settlement record and transition envelope library,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_072,phase0 track backend implement command settlement record and transition envelope library,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_072,phase0 track backend implement command settlement record and transition envelope library,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_074,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_074,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,par_074,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,par_074,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,governance,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,par_074,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,release,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,par_074,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_002,Request.workflowState is milestone-only,par_074,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,par_074,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,par_074,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,privacy,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_STATE_005,blockers remain orthogonal to workflow milestones,par_074,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,par_075,phase0 track backend implement release approval freeze channel release freeze and assurance slice trust models,phase_0,architecture,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,par_075,phase0 track backend implement release approval freeze channel release freeze and assurance slice trust models,phase_0,product_logic,watching,on_path,"Affected task mitigates, gates, or is exposed by the risk."
