task_order,task_id,task_kind,task_status,task_prompt_ref,task_title,phase_ref,milestone_id,milestone_title,milestone_class,baseline_scope,critical_path_state,merge_gate_ref
51,seq_051,seq,not_started,prompt/051.md,phase0 define release candidate freeze and publication parity strategy,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
52,seq_052,seq,not_started,prompt/052.md,phase0 define design contract publication bundle strategy,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
53,seq_053,seq,not_started,prompt/053.md,phase0 define authoritative audit and worm ledger strategy,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
54,seq_054,seq,not_started,prompt/054.md,phase0 define tenant isolation and acting scope tuple model,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
55,seq_055,seq,not_started,prompt/055.md,phase0 define lifecycle coordinator and closure blocker rules,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
56,seq_056,seq,not_started,prompt/056.md,phase0 define scoped mutation gate and route intent binding rules,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
57,seq_057,seq,not_started,prompt/057.md,phase0 define adapter contract profile template and degradation profiles,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
58,seq_058,seq,not_started,prompt/058.md,phase0 define verification ladder and environment ring policy,phase_0,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,"Phase 0E verification ladder, simulators, and frontend contract kernel",foundation,current,on_path,GATE_P0_PARALLEL_FOUNDATION_OPEN
59,seq_059,seq,not_started,prompt/059.md,phase0 define seed data and simulator strategy,phase_0,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,"Phase 0E verification ladder, simulators, and frontend contract kernel",foundation,current,on_path,GATE_P0_PARALLEL_FOUNDATION_OPEN
60,seq_060,seq,not_started,prompt/060.md,phase0 define backup restore and recovery tuple baseline,phase_0,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,"Phase 0E verification ladder, simulators, and frontend contract kernel",foundation,current,on_path,GATE_P0_PARALLEL_FOUNDATION_OPEN
61,seq_061,seq,not_started,prompt/061.md,phase0 open parallel foundation tracks gate,phase_0,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,"Phase 0E verification ladder, simulators, and frontend contract kernel",foundation,current,on_path,GATE_P0_PARALLEL_FOUNDATION_OPEN
62,par_062,par,not_started,prompt/062.md,phase0 track backend implement submission envelope request and request lineage aggregates,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
63,par_063,par,not_started,prompt/063.md,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
64,par_064,par,not_started,prompt/064.md,phase0 track backend build fhir representation set and mapping compiler,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
65,par_065,par,not_started,prompt/065.md,phase0 track backend build api contract registry for queries mutations and live channels,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
66,par_066,par,not_started,prompt/066.md,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
67,par_067,par,not_started,prompt/067.md,phase0 track backend implement idempotency record and replay collision review services,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
68,par_068,par,not_started,prompt/068.md,phase0 track backend implement identity binding access grant and supersession models,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
69,par_069,par,not_started,prompt/069.md,phase0 track backend implement contact route snapshot and reachability assessment models,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
70,par_070,par,not_started,prompt/070.md,phase0 track backend implement duplicate cluster and duplicate pair evidence models,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
71,par_071,par,not_started,prompt/071.md,phase0 track backend implement request lifecycle lease lineage fence and command action records,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
72,par_072,par,not_started,prompt/072.md,phase0 track backend implement command settlement record and transition envelope library,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
73,par_073,par,not_started,prompt/073.md,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
74,par_074,par,not_started,prompt/074.md,phase0 track backend implement capacity reservation and external confirmation gate models,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
75,par_075,par,not_started,prompt/075.md,phase0 track backend implement release approval freeze channel release freeze and assurance slice trust models,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
76,par_076,par,not_started,prompt/076.md,phase0 track backend implement request closure record and exception case models,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
77,par_077,par,not_started,prompt/077.md,phase0 track backend build lifecycle coordinator service,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
78,par_078,par,not_started,prompt/078.md,phase0 track backend build access grant service,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
79,par_079,par,not_started,prompt/079.md,phase0 track backend build evidence assimilation coordinator and safety orchestrator,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
80,par_080,par,not_started,prompt/080.md,phase0 track backend build identity repair orchestrator and reachability governor,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
81,par_081,par,not_started,prompt/081.md,phase0 track backend build reservation authority and queue ranking coordinator,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
82,par_082,par,not_started,prompt/082.md,phase0 track backend build projection rebuild worker and event applier,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
83,par_083,par,not_started,prompt/083.md,phase0 track backend build simulator backplanes for nhs login im1 mesh telephony and notifications,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
84,par_084,par,not_started,prompt/084.md,phase0 track runtime provision core cloud network and private egress controls,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
85,par_085,par,not_started,prompt/085.md,phase0 track runtime provision domain transaction store and fhir storage,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
86,par_086,par,not_started,prompt/086.md,phase0 track runtime provision object storage quarantine buckets and retention controls,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
87,par_087,par,not_started,prompt/087.md,phase0 track runtime provision event bus queueing and outbox inbox infrastructure,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
88,par_088,par,not_started,prompt/088.md,phase0 track runtime provision cache and live update transport baseline,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
89,par_089,par,not_started,prompt/089.md,phase0 track runtime provision secrets kms and key rotation baseline,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
90,par_090,par,not_started,prompt/090.md,phase0 track runtime provision audience specific gateway bff surfaces,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
91,par_091,par,not_started,prompt/091.md,phase0 track runtime provision ci cd pipeline and signed build provenance,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
92,par_092,par,not_started,prompt/092.md,phase0 track runtime provision preview environments and ephemeral test data reset,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
93,par_093,par,not_started,prompt/093.md,phase0 track runtime build observability sdk and edge correlation spine,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
94,par_094,par,not_started,prompt/094.md,phase0 track runtime implement runtime publication bundle and release publication parity records,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
95,par_095,par,not_started,prompt/095.md,phase0 track runtime implement schema migration runner and projection backfill runner,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
96,par_096,par,not_started,prompt/096.md,phase0 track runtime implement client cache policy live update channels and recovery postures,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
97,par_097,par,not_started,prompt/097.md,phase0 track runtime implement wave observation policy and release watch tuple pipeline,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
98,par_098,par,not_started,prompt/098.md,phase0 track runtime implement dependency degradation profile execution engine,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
99,par_099,par,not_started,prompt/099.md,phase0 track runtime implement runtime topology publication checks in pipeline,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
100,par_100,par,not_started,prompt/100.md,phase0 track runtime implement supply chain sbom and signature verification,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
101,par_101,par,not_started,prompt/101.md,phase0 track runtime implement backup restore jobs and operational readiness snapshot baseline,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
102,par_102,par,not_started,prompt/102.md,phase0 track runtime implement non production canary and rollback harness,phase_0,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"Phase 0D control governors, tenant scope, and mutation law",foundation,current,on_path,GATE_P0_0D_TO_0E
103,par_103,par,not_started,prompt/103.md,phase0 track Playwright or other appropriate tooling frontend publish design token foundation,phase_0,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,"Phase 0E verification ladder, simulators, and frontend contract kernel",foundation,current,on_path,GATE_P0_PARALLEL_FOUNDATION_OPEN
104,par_104,par,not_started,prompt/104.md,phase0 track Playwright or other appropriate tooling frontend publish canonical ui contract kernel,phase_0,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,"Phase 0E verification ladder, simulators, and frontend contract kernel",foundation,current,on_path,GATE_P0_PARALLEL_FOUNDATION_OPEN
105,par_105,par,not_started,prompt/105.md,phase0 track Playwright or other appropriate tooling frontend build shared component primitives and token bindings,phase_0,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,"Phase 0E verification ladder, simulators, and frontend contract kernel",foundation,current,on_path,GATE_P0_PARALLEL_FOUNDATION_OPEN
106,par_106,par,not_started,prompt/106.md,phase0 track Playwright or other appropriate tooling frontend build persistent shell framework for patient staff ops hub governance and pharmacy,phase_0,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,"Phase 0E verification ladder, simulators, and frontend contract kernel",foundation,current,on_path,GATE_P0_PARALLEL_FOUNDATION_OPEN
