runtime_component_id,runtime_component_name,component_kind,flow_lane,owning_bounded_context_refs,runtime_workload_family_ref,governing_object_refs,accepted_command_contract_refs,emitted_event_contract_refs,consumed_event_contract_refs,projection_contract_refs,namespace_refs,store_class,authoritative_truth_role,tenant_scope_mode,data_classification_refs,idempotency_strategy_ref,replay_strategy_ref,external_proof_class,timer_dependency_refs,endpoint_refs,external_dependency_refs,source_refs,notes
queue_event_normalization_quarantine,Canonical event normalization quarantine,queue,assurance,assurance_and_governance,wf_assurance_security,CanonicalEventNormalizationRule; ReplayCollisionReview,,CanonicalEventContract(exception.namespace.quarantined),,,exception; audit,event_log,"Holds bad producers, schema breaks, and unknown namespaces away from downstream consumers.",platform_governance_scope,operational_internal_non_phi; security_or_secret_sensitive,IDEMP_EVENT_NORMALIZATION,REPLAY_EVENT_NORMALIZATION_REDRIVE,recovery_disposition,,,,phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Closes the unknown namespace and bad producer blind-spot by forcing quarantine rather than silent drop or silent pass-through.
stream_canonical_event_spine,Immutable canonical event spine,stream,command,foundation_control_plane; assurance_and_governance,wf_data,CanonicalEventNamespace; CanonicalEventContract; CanonicalEventEnvelope,,CanonicalEventContract(* published namespaces *),,,request; intake; identity; access; telephony; safety; triage; booking; hub; pharmacy; patient; communication; reachability; exception; confirmation; capacity; support; assistive; policy; release; analytics; audit,event_log,"Immutable transition spine for replay, rebuild, analytics, and assurance.",tenant_partitioned_storage,operational_internal_non_phi; security_or_secret_sensitive; audit_investigation_restricted,IDEMP_EVENT_ENVELOPE,REPLAY_CANONICAL_EVENT_APPEND_ONLY,none,,urgent_diversion; degraded_acceptance_fallback_review; triage_more_info_cycle; duplicate_review; self_care; admin_resolution; clinician_messaging; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; patient_contact_route_repair; patient_identity_hold_recovery; support_replay_resend_restore,,phase-0-the-foundation-protocol.md#CanonicalEventEnvelope; platform-runtime-and-release-blueprint.md#RuntimePublicationBundle,"Every state transition, blocker mutation, degraded transition, and control-plane decision that matters downstream emits here."
store_domain_transaction,Transactional domain and settlement store,store,command,foundation_control_plane,wf_data,Request; RequestClosureRecord; CommandSettlementRecord; LifecycleCoordinator,,,,,request; safety; triage; booking; hub; pharmacy; reachability; support,transactional_domain,Canonical Vecells lifecycle and settlement truth.,tenant_partitioned_storage,patient_identifying; contact_sensitive; clinical_sensitive; identity_proof_sensitive,IDEMP_MUTATION_COMMAND,REPLAY_COMMAND_SETTLEMENT_CHAIN,none,,urgent_diversion; degraded_acceptance_fallback_review; triage_more_info_cycle; duplicate_review; self_care; admin_resolution; clinician_messaging; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; patient_contact_route_repair; patient_identity_hold_recovery; support_replay_resend_restore,,blueprint-init.md#7. Core system and data architecture; phase-0-the-foundation-protocol.md#1. Required platform objects,The only durable home of canonical lifecycle state; FHIR rows and projections are downstream derivatives.
store_fhir_representation,FHIR representation store,store,read,foundation_control_plane,wf_data,FhirRepresentationContract; FhirProjectionSettlement,,CanonicalEventContract(confirmation.fhir_projection.updated),CanonicalEventContract(request.*); CanonicalEventContract(booking.*); CanonicalEventContract(pharmacy.*),,confirmation; booking; pharmacy; audit,fhir_representation,Derived interoperability projection only; never the governing lifecycle source.,tenant_partitioned_storage,patient_identifying; clinical_sensitive; identity_proof_sensitive,IDEMP_FHIR_MAPPING_SETTLEMENT,REPLAY_FHIR_MAPPING_FROM_DOMAIN_EVENTS,none,,local_booking; network_hub_coordination; pharmacy_first_referral_loop; patient_identity_hold_recovery,dep_pds_fhir_enrichment,blueprint-init.md#7. Core system and data architecture; platform-runtime-and-release-blueprint.md#Data persistence and migration contract,Writes are one-way from domain settlements and published FHIR mapping contracts; no browser path or downstream domain owns canonical truth here.
store_projection_read_models,Audience projection read store,store,read,foundation_runtime_experience,wf_data,ProjectionContractFamily; ProjectionQueryContract; ReadPathCompatibilityWindow,,,,ProjectionContractVersionSet(active route tuples),patient; communication; booking; hub; pharmacy; support; analytics,projection_read,Derived route-safe query materialization only.,tenant_partitioned_storage,public_safe; patient_identifying; clinical_sensitive; audit_investigation_restricted,IDEMP_PROJECTION_CURSOR,REPLAY_PROJECTION_FROM_EVENT_HISTORY,projection_visible,,urgent_diversion; degraded_acceptance_fallback_review; triage_more_info_cycle; duplicate_review; self_care; admin_resolution; clinician_messaging; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; patient_contact_route_repair; patient_identity_hold_recovery; support_replay_resend_restore,,platform-runtime-and-release-blueprint.md#ProjectionQueryContract; platform-runtime-and-release-blueprint.md#ClientCachePolicy,"Every browser route reads from contract-versioned projections; rebuild or cutover may degrade routes to summary-only, recovery-only, or blocked, but never to raw-store joins."
store_artifact_objects,Artifact object store,store,effect,foundation_control_plane,wf_data,EvidenceSnapshot; ArtifactManifest; ObjectStoreReference,,CanonicalEventContract(intake.artifact.ingested); CanonicalEventContract(communication.artifact.available),,,intake; communication; support; audit,object_artifact,Binary artifact storage only; lifecycle meaning still resolves through domain rows and parity contracts.,tenant_partitioned_storage,clinical_sensitive; identity_proof_sensitive; audit_investigation_restricted,IDEMP_ARTIFACT_MANIFEST,REPLAY_ARTIFACT_POINTER_ONLY,none,,degraded_acceptance_fallback_review; triage_more_info_cycle; clinician_messaging; callback; local_booking; network_hub_coordination; pharmacy_first_referral_loop; support_replay_resend_restore,dep_malware_scanning_provider; dep_transcription_processing_provider,blueprint-init.md#12. Practical engineering shape; phase-0-the-foundation-protocol.md#1.1 SubmissionEnvelope,"Events carry governed references or masked descriptors, never raw artifact contents."
prefix_artifact_quarantine,Artifact quarantine object prefix,object_prefix,assurance,assurance_and_governance,wf_data,ArtifactQuarantineRecord; FallbackReviewCase,,CanonicalEventContract(exception.artifact.quarantined),,,exception; audit,object_artifact,Holds unsafe or unreadable artifacts until governed review settles.,tenant_partitioned_storage,clinical_sensitive; audit_investigation_restricted,IDEMP_ARTIFACT_QUARANTINE_DECISION,REPLAY_ARTIFACT_POINTER_ONLY,recovery_disposition,,degraded_acceptance_fallback_review; pharmacy_first_referral_loop; support_replay_resend_restore,dep_malware_scanning_provider,phase-0-the-foundation-protocol.md#Artifact quarantine and fallback review; forensic-audit-findings.md#Finding 61 - The event catalogue lacked attachment-quarantine events,Unsafe artifact bytes never bypass the quarantine prefix into browser delivery or calm downstream truth.
sink_worm_audit_ledger,WORM audit and evidence ledger,audit_sink,assurance,assurance_and_governance,wf_data,AssuranceLedgerEntry; BreakGlassReviewRecord; RestoreDecisionRecord,,,,,audit; analytics; release; support,worm_audit,Tamper-evident audit witness only.,platform_governance_scope; support_investigation_scope,audit_investigation_restricted; retention_governance_restricted,IDEMP_AUDIT_ENTRY_HASH,REPLAY_AUDIT_EXPORT_WINDOW,none,,urgent_diversion; degraded_acceptance_fallback_review; triage_more_info_cycle; duplicate_review; self_care; admin_resolution; clinician_messaging; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; patient_contact_route_repair; patient_identity_hold_recovery; support_replay_resend_restore,,"blueprint-init.md#12. Practical engineering shape; phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts","Append-only witness over the same causal chain, never a writable substitute for domain truth."
cache_route_contract_and_session,"Route-manifest, session, and read-through cache",cache,ingress,foundation_runtime_experience; foundation_identity_access,wf_public_edge,ClientCachePolicy; Session; CapabilityDecision,,,,ClientCachePolicy(active route families),access; patient; release,cache,Ephemeral accelerator only.,public_pre_identity; grant_scoped_subject; tenant_subject_self_service; tenant_org_scoped_staff,public_safe; security_or_secret_sensitive; operational_internal_non_phi,IDEMP_CACHE_KEY_BY_CONTRACT_DIGEST,REPLAY_CACHE_WARM_FROM_PUBLISHED_PROJECTIONS,none,TIM_SESSION_EXPIRY; TIM_ACCESS_GRANT_EXPIRY,triage_more_info_cycle; clinician_messaging; callback; local_booking; patient_contact_route_repair; patient_identity_hold_recovery,,platform-runtime-and-release-blueprint.md#ClientCachePolicy,"Caches may narrow or accelerate reads, but they never widen or mint authority."
store_timer_state,Timer and workflow state store,store,effect,foundation_control_plane,wf_data,MoreInfoReplyWindowCheckpoint; WaitlistDeadlineEvaluation; PracticeAcknowledgementRecord; PharmacyDispatchAttempt,,,,,triage; communication; booking; hub; pharmacy; access,timer_state,Checkpoint and lease wakeup persistence only.,tenant_partitioned_storage,operational_internal_non_phi; patient_identifying; clinical_sensitive,IDEMP_TIMER_WAKEUP_CURSOR,REPLAY_TIMER_CHECKPOINT_RECOMPUTE,none,TIM_MORE_INFO_REPLY_WINDOW; TIM_CALLBACK_EXPECTATION_WINDOW; TIM_WAITLIST_DEADLINE; TIM_HUB_PATIENT_CHOICE_EXPIRY; TIM_PHARMACY_DISPATCH_PROOF_DEADLINE; TIM_SESSION_EXPIRY; TIM_ACCESS_GRANT_EXPIRY,triage_more_info_cycle; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; patient_identity_hold_recovery,,blueprint-init.md#12. Practical engineering shape; phase-3-the-human-checkpoint.md#MoreInfoReplyWindowCheckpoint,"Timer rows are durable and replayable; no user-visible deadline may live only in memory, client time, or queue-local backoff."
store_feature_vectors_deferred,Feature store for assistive work,store,assurance,assistive,wf_assurance_security,AssistiveCapabilityTrustEnvelope,,,,,assistive; analytics,feature_store,Deferred and explicitly non-authoritative feature derivation only.,inherited_from_owner_shell,audit_investigation_restricted; operational_internal_non_phi,IDEMP_FEATURE_VECTOR_BATCH,REPLAY_FEATURE_VECTOR_REBUILD,none,,,dep_assistive_model_vendor_family,blueprint-init.md#12. Practical engineering shape; 08_external_dependency_inventory.md; 03_deferred_and_conditional_scope.md,"Exists only as a deferred seam and may never become the live source of request, settlement, or projection truth."
