ring_code,gate_id,gate_name,verification_scenario_id,release_ref,release_contract_verification_matrix_ref,release_contract_matrix_hash,promotion_intent_ref,baseline_fingerprint_ref,standards_dependency_watchlist_ref,standards_watchlist_hash,required_simulator_coverage_refs,required_continuity_coverage_refs,required_recovery_coverage_refs,required_operational_evidence_refs,gate_binding_state,drift_action,blocking_condition,source_refs
integration,GATE_1_CONTRACT_AND_COMPONENT,Gate 1 - contract and component,VS_058_INTEGRATION_V1,RC_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,PIE_INTEGRATION_V1,EBF_INTEGRATION_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_INTEGRATION_PATIENT_NAV_V1; CCCR_058_INTEGRATION_RECORD_CONTINUATION_V1; CCCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_INTEGRATION_MORE_INFO_REPLY_V1; CCCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1; CCCR_058_INTEGRATION_BOOKING_MANAGE_V1,SRCR_058_INTEGRATION_PATIENT_NAV_V1; SRCR_058_INTEGRATION_RECORD_CONTINUATION_V1; SRCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_INTEGRATION_MORE_INFO_REPLY_V1; SRCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1; SRCR_058_INTEGRATION_BOOKING_MANAGE_V1,EBF_INTEGRATION_V1; PIE_INTEGRATION_V1; WES_INTEGRATION_V1; WCF_INTEGRATION_V1; ORS_058_INTEGRATION_V1,standby,restart_or_halt,"route, continuity, or embedded coverage may not be stale or inferred from adjacent contracts",platform-runtime-and-release-blueprint.md#Verification ladder contract; forensic-audit-findings.md#Finding 104 - The admin control plane still treated continuity proof as optional release commentary
integration,GATE_2_INTEGRATION_AND_E2E,Gate 2 - integration and end-to-end,VS_058_INTEGRATION_V1,RC_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,PIE_INTEGRATION_V1,EBF_INTEGRATION_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_INTEGRATION_PATIENT_NAV_V1; CCCR_058_INTEGRATION_RECORD_CONTINUATION_V1; CCCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_INTEGRATION_MORE_INFO_REPLY_V1; CCCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1; CCCR_058_INTEGRATION_BOOKING_MANAGE_V1,SRCR_058_INTEGRATION_PATIENT_NAV_V1; SRCR_058_INTEGRATION_RECORD_CONTINUATION_V1; SRCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_INTEGRATION_MORE_INFO_REPLY_V1; SRCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1; SRCR_058_INTEGRATION_BOOKING_MANAGE_V1,EBF_INTEGRATION_V1; PIE_INTEGRATION_V1; WES_INTEGRATION_V1; WCF_INTEGRATION_V1; ORS_058_INTEGRATION_V1,restart_required,restart_or_halt,generic browser success is insufficient if recovery disposition or settlement proof drifts,platform-runtime-and-release-blueprint.md#Verification ladder contract; 14_frontend_testing_and_Playwright_or_other_appropriate_tooling_baseline.md
integration,GATE_3_PERFORMANCE_AND_SECURITY,Gate 3 - performance and security,VS_058_INTEGRATION_V1,RC_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,PIE_INTEGRATION_V1,EBF_INTEGRATION_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_INTEGRATION_PATIENT_NAV_V1; CCCR_058_INTEGRATION_RECORD_CONTINUATION_V1; CCCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_INTEGRATION_MORE_INFO_REPLY_V1; CCCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1; CCCR_058_INTEGRATION_BOOKING_MANAGE_V1,SRCR_058_INTEGRATION_PATIENT_NAV_V1; SRCR_058_INTEGRATION_RECORD_CONTINUATION_V1; SRCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_INTEGRATION_MORE_INFO_REPLY_V1; SRCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1; SRCR_058_INTEGRATION_BOOKING_MANAGE_V1,EBF_INTEGRATION_V1; PIE_INTEGRATION_V1; WES_INTEGRATION_V1; WCF_INTEGRATION_V1; ORS_058_INTEGRATION_V1,standby,restart_or_halt,"unreviewed security findings, missing provenance, or unsafe telemetry schemas block promotion",platform-runtime-and-release-blueprint.md#Security baseline contract; platform-runtime-and-release-blueprint.md#Verification ladder contract
integration,GATE_4_RESILIENCE_AND_RECOVERY,Gate 4 - resilience and recovery,VS_058_INTEGRATION_V1,RC_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,PIE_INTEGRATION_V1,EBF_INTEGRATION_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_INTEGRATION_PATIENT_NAV_V1; CCCR_058_INTEGRATION_RECORD_CONTINUATION_V1; CCCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_INTEGRATION_MORE_INFO_REPLY_V1; CCCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1; CCCR_058_INTEGRATION_BOOKING_MANAGE_V1,SRCR_058_INTEGRATION_PATIENT_NAV_V1; SRCR_058_INTEGRATION_RECORD_CONTINUATION_V1; SRCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_INTEGRATION_MORE_INFO_REPLY_V1; SRCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1; SRCR_058_INTEGRATION_BOOKING_MANAGE_V1,EBF_INTEGRATION_V1; PIE_INTEGRATION_V1; WES_INTEGRATION_V1; WCF_INTEGRATION_V1; ORS_058_INTEGRATION_V1,standby,restart_or_halt,stale rehearsal evidence or tuple drift downgrades readiness and blocks canary,platform-runtime-and-release-blueprint.md#Operational readiness contract; forensic-audit-findings.md#Finding 112 - Resilience restore authority still depended on loose runbooks and dashboards
integration,GATE_5_LIVE_WAVE_PROOF,Gate 5 - live wave proof,VS_058_INTEGRATION_V1,RC_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,PIE_INTEGRATION_V1,EBF_INTEGRATION_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_INTEGRATION_PATIENT_NAV_V1; CCCR_058_INTEGRATION_RECORD_CONTINUATION_V1; CCCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_INTEGRATION_MORE_INFO_REPLY_V1; CCCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1; CCCR_058_INTEGRATION_BOOKING_MANAGE_V1,SRCR_058_INTEGRATION_PATIENT_NAV_V1; SRCR_058_INTEGRATION_RECORD_CONTINUATION_V1; SRCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_INTEGRATION_MORE_INFO_REPLY_V1; SRCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1; SRCR_058_INTEGRATION_BOOKING_MANAGE_V1,EBF_INTEGRATION_V1; PIE_INTEGRATION_V1; WES_INTEGRATION_V1; WCF_INTEGRATION_V1; ORS_058_INTEGRATION_V1,standby,restart_or_halt,"parity drift, watch tuple drift, stale readiness, unresolved continuity proof, or missing provenance blocks widen or resume",platform-runtime-and-release-blueprint.md#Verification ladder contract; platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; forensic-audit-findings.md#Finding 95 - The audit still omitted governance watch-tuple parity and recovery posture from release oversight
preprod,GATE_1_CONTRACT_AND_COMPONENT,Gate 1 - contract and component,VS_058_PREPROD_V1,RC_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,PIE_PREPROD_V1,EBF_PREPROD_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_PREPROD_PATIENT_NAV_V1; CCCR_058_PREPROD_RECORD_CONTINUATION_V1; CCCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_PREPROD_MORE_INFO_REPLY_V1; CCCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1; CCCR_058_PREPROD_BOOKING_MANAGE_V1; CCCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1; CCCR_058_PREPROD_INTAKE_RESUME_V1; CCCR_058_PREPROD_HUB_BOOKING_MANAGE_V1; CCCR_058_PREPROD_ASSISTIVE_SESSION_V1,SRCR_058_PREPROD_PATIENT_NAV_V1; SRCR_058_PREPROD_RECORD_CONTINUATION_V1; SRCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_PREPROD_MORE_INFO_REPLY_V1; SRCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1; SRCR_058_PREPROD_BOOKING_MANAGE_V1; SRCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1; SRCR_058_PREPROD_INTAKE_RESUME_V1; SRCR_058_PREPROD_HUB_BOOKING_MANAGE_V1; SRCR_058_PREPROD_ASSISTIVE_SESSION_V1,EBF_PREPROD_V1; PIE_PREPROD_V1; WES_PREPROD_V1; WCF_PREPROD_V1; ORS_058_PREPROD_V1,carried_forward,continue,"route, continuity, or embedded coverage may not be stale or inferred from adjacent contracts",platform-runtime-and-release-blueprint.md#Verification ladder contract; forensic-audit-findings.md#Finding 104 - The admin control plane still treated continuity proof as optional release commentary
preprod,GATE_2_INTEGRATION_AND_E2E,Gate 2 - integration and end-to-end,VS_058_PREPROD_V1,RC_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,PIE_PREPROD_V1,EBF_PREPROD_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_PREPROD_PATIENT_NAV_V1; CCCR_058_PREPROD_RECORD_CONTINUATION_V1; CCCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_PREPROD_MORE_INFO_REPLY_V1; CCCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1; CCCR_058_PREPROD_BOOKING_MANAGE_V1; CCCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1; CCCR_058_PREPROD_INTAKE_RESUME_V1; CCCR_058_PREPROD_HUB_BOOKING_MANAGE_V1; CCCR_058_PREPROD_ASSISTIVE_SESSION_V1,SRCR_058_PREPROD_PATIENT_NAV_V1; SRCR_058_PREPROD_RECORD_CONTINUATION_V1; SRCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_PREPROD_MORE_INFO_REPLY_V1; SRCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1; SRCR_058_PREPROD_BOOKING_MANAGE_V1; SRCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1; SRCR_058_PREPROD_INTAKE_RESUME_V1; SRCR_058_PREPROD_HUB_BOOKING_MANAGE_V1; SRCR_058_PREPROD_ASSISTIVE_SESSION_V1,EBF_PREPROD_V1; PIE_PREPROD_V1; WES_PREPROD_V1; WCF_PREPROD_V1; ORS_058_PREPROD_V1,carried_forward,continue,generic browser success is insufficient if recovery disposition or settlement proof drifts,platform-runtime-and-release-blueprint.md#Verification ladder contract; 14_frontend_testing_and_Playwright_or_other_appropriate_tooling_baseline.md
preprod,GATE_3_PERFORMANCE_AND_SECURITY,Gate 3 - performance and security,VS_058_PREPROD_V1,RC_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,PIE_PREPROD_V1,EBF_PREPROD_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_PREPROD_PATIENT_NAV_V1; CCCR_058_PREPROD_RECORD_CONTINUATION_V1; CCCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_PREPROD_MORE_INFO_REPLY_V1; CCCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1; CCCR_058_PREPROD_BOOKING_MANAGE_V1; CCCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1; CCCR_058_PREPROD_INTAKE_RESUME_V1; CCCR_058_PREPROD_HUB_BOOKING_MANAGE_V1; CCCR_058_PREPROD_ASSISTIVE_SESSION_V1,SRCR_058_PREPROD_PATIENT_NAV_V1; SRCR_058_PREPROD_RECORD_CONTINUATION_V1; SRCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_PREPROD_MORE_INFO_REPLY_V1; SRCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1; SRCR_058_PREPROD_BOOKING_MANAGE_V1; SRCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1; SRCR_058_PREPROD_INTAKE_RESUME_V1; SRCR_058_PREPROD_HUB_BOOKING_MANAGE_V1; SRCR_058_PREPROD_ASSISTIVE_SESSION_V1,EBF_PREPROD_V1; PIE_PREPROD_V1; WES_PREPROD_V1; WCF_PREPROD_V1; ORS_058_PREPROD_V1,blocked,restart_or_halt,"unreviewed security findings, missing provenance, or unsafe telemetry schemas block promotion",platform-runtime-and-release-blueprint.md#Security baseline contract; platform-runtime-and-release-blueprint.md#Verification ladder contract
preprod,GATE_4_RESILIENCE_AND_RECOVERY,Gate 4 - resilience and recovery,VS_058_PREPROD_V1,RC_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,PIE_PREPROD_V1,EBF_PREPROD_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_PREPROD_PATIENT_NAV_V1; CCCR_058_PREPROD_RECORD_CONTINUATION_V1; CCCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_PREPROD_MORE_INFO_REPLY_V1; CCCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1; CCCR_058_PREPROD_BOOKING_MANAGE_V1; CCCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1; CCCR_058_PREPROD_INTAKE_RESUME_V1; CCCR_058_PREPROD_HUB_BOOKING_MANAGE_V1; CCCR_058_PREPROD_ASSISTIVE_SESSION_V1,SRCR_058_PREPROD_PATIENT_NAV_V1; SRCR_058_PREPROD_RECORD_CONTINUATION_V1; SRCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_PREPROD_MORE_INFO_REPLY_V1; SRCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1; SRCR_058_PREPROD_BOOKING_MANAGE_V1; SRCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1; SRCR_058_PREPROD_INTAKE_RESUME_V1; SRCR_058_PREPROD_HUB_BOOKING_MANAGE_V1; SRCR_058_PREPROD_ASSISTIVE_SESSION_V1,EBF_PREPROD_V1; PIE_PREPROD_V1; WES_PREPROD_V1; WCF_PREPROD_V1; ORS_058_PREPROD_V1,blocked,restart_or_halt,stale rehearsal evidence or tuple drift downgrades readiness and blocks canary,platform-runtime-and-release-blueprint.md#Operational readiness contract; forensic-audit-findings.md#Finding 112 - Resilience restore authority still depended on loose runbooks and dashboards
preprod,GATE_5_LIVE_WAVE_PROOF,Gate 5 - live wave proof,VS_058_PREPROD_V1,RC_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,PIE_PREPROD_V1,EBF_PREPROD_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_PREPROD_PATIENT_NAV_V1; CCCR_058_PREPROD_RECORD_CONTINUATION_V1; CCCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_PREPROD_MORE_INFO_REPLY_V1; CCCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1; CCCR_058_PREPROD_BOOKING_MANAGE_V1; CCCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1; CCCR_058_PREPROD_INTAKE_RESUME_V1; CCCR_058_PREPROD_HUB_BOOKING_MANAGE_V1; CCCR_058_PREPROD_ASSISTIVE_SESSION_V1,SRCR_058_PREPROD_PATIENT_NAV_V1; SRCR_058_PREPROD_RECORD_CONTINUATION_V1; SRCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_PREPROD_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_PREPROD_MORE_INFO_REPLY_V1; SRCR_058_PREPROD_CONVERSATION_SETTLEMENT_V1; SRCR_058_PREPROD_BOOKING_MANAGE_V1; SRCR_058_PREPROD_SUPPORT_REPLAY_RESTORE_V1; SRCR_058_PREPROD_INTAKE_RESUME_V1; SRCR_058_PREPROD_HUB_BOOKING_MANAGE_V1; SRCR_058_PREPROD_ASSISTIVE_SESSION_V1,EBF_PREPROD_V1; PIE_PREPROD_V1; WES_PREPROD_V1; WCF_PREPROD_V1; ORS_058_PREPROD_V1,standby,restart_or_halt,"parity drift, watch tuple drift, stale readiness, unresolved continuity proof, or missing provenance blocks widen or resume",platform-runtime-and-release-blueprint.md#Verification ladder contract; platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; forensic-audit-findings.md#Finding 95 - The audit still omitted governance watch-tuple parity and recovery posture from release oversight
production,GATE_1_CONTRACT_AND_COMPONENT,Gate 1 - contract and component,VS_058_PRODUCTION_V1,RC_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,PIE_PRODUCTION_V1,EBF_PRODUCTION_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_PRODUCTION_PATIENT_NAV_V1; CCCR_058_PRODUCTION_RECORD_CONTINUATION_V1; CCCR_058_PRODUCTION_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_PRODUCTION_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_PRODUCTION_MORE_INFO_REPLY_V1; CCCR_058_PRODUCTION_CONVERSATION_SETTLEMENT_V1; CCCR_058_PRODUCTION_BOOKING_MANAGE_V1; CCCR_058_PRODUCTION_SUPPORT_REPLAY_RESTORE_V1; CCCR_058_PRODUCTION_INTAKE_RESUME_V1; CCCR_058_PRODUCTION_HUB_BOOKING_MANAGE_V1; CCCR_058_PRODUCTION_ASSISTIVE_SESSION_V1,SRCR_058_PRODUCTION_PATIENT_NAV_V1; SRCR_058_PRODUCTION_RECORD_CONTINUATION_V1; SRCR_058_PRODUCTION_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_PRODUCTION_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_PRODUCTION_MORE_INFO_REPLY_V1; SRCR_058_PRODUCTION_CONVERSATION_SETTLEMENT_V1; SRCR_058_PRODUCTION_BOOKING_MANAGE_V1; SRCR_058_PRODUCTION_SUPPORT_REPLAY_RESTORE_V1; SRCR_058_PRODUCTION_INTAKE_RESUME_V1; SRCR_058_PRODUCTION_HUB_BOOKING_MANAGE_V1; SRCR_058_PRODUCTION_ASSISTIVE_SESSION_V1,EBF_PRODUCTION_V1; PIE_PRODUCTION_V1; WES_PRODUCTION_V1; WCF_PRODUCTION_V1; ORS_058_PRODUCTION_V1,carried_forward,continue,"route, continuity, or embedded coverage may not be stale or inferred from adjacent contracts",platform-runtime-and-release-blueprint.md#Verification ladder contract; forensic-audit-findings.md#Finding 104 - The admin control plane still treated continuity proof as optional release commentary
production,GATE_2_INTEGRATION_AND_E2E,Gate 2 - integration and end-to-end,VS_058_PRODUCTION_V1,RC_PRODUCTION_V1,RCVM_PRODUCTION_V1,1797b698cd98d0ed,PIE_PRODUCTION_V1,EBF_PRODUCTION_V1,vecells_dependency_watchlist_v1,869ce0ca8969d1c8,SIMREQ_058_COMMUNICATIONS_V1; SIMREQ_058_EMBEDDED_CHANNELS_V1; SIMREQ_058_EVIDENCE_PROCESSING_V1; SIMREQ_058_GP_BOOKING_V1; SIMREQ_058_IDENTITY_ACCESS_V1; SIMREQ_058_MESSAGING_TRANSPORT_V1; SIMREQ_058_PHARMACY_V1,CCCR_058_PRODUCTION_PATIENT_NAV_V1; CCCR_058_PRODUCTION_RECORD_CONTINUATION_V1; CCCR_058_PRODUCTION_WORKSPACE_TASK_COMPLETION_V1; CCCR_058_PRODUCTION_PHARMACY_CONSOLE_SETTLEMENT_V1; CCCR_058_PRODUCTION_MORE_INFO_REPLY_V1; CCCR_058_PRODUCTION_CONVERSATION_SETTLEMENT_V1; CCCR_058_PRODUCTION_BOOKING_MANAGE_V1; CCCR_058_PRODUCTION_SUPPORT_REPLAY_RESTORE_V1; CCCR_058_PRODUCTION_INTAKE_RESUME_V1; CCCR_058_PRODUCTION_HUB_BOOKING_MANAGE_V1; CCCR_058_PRODUCTION_ASSISTIVE_SESSION_V1,SRCR_058_PRODUCTION_PATIENT_NAV_V1; SRCR_058_PRODUCTION_RECORD_CONTINUATION_V1; SRCR_058_PRODUCTION_WORKSPACE_TASK_COMPLETION_V1; SRCR_058_PRODUCTION_PHARMACY_CONSOLE_SETTLEMENT_V1; SRCR_058_PRODUCTION_MORE_INFO_REPLY_V1; SRCR_058_PRODUCTION_CONVERSATION_SETTLEMENT_V1; SRCR_058_PRODUCTION_BOOKING_MANAGE_V1; SRCR_058_PRODUCTION_SUPPORT_REPLAY_RESTORE_V1; SRCR_058_PRODUCTION_INTAKE_RESUME_V1; SRCR_058_PRODUCTION_HUB_BOOKING_MANAGE_V1; SRCR_058_PRODUCTION_ASSISTIVE_SESSION_V1,EBF_PRODUCTION_V1; PIE_PRODUCTION_V1; WES_PRODUCTION_V1; WCF_PRODUCTION_V1; ORS_058_PRODUCTION_V1,carried_forward,continue,generic browser success is insufficient if recovery disposition or settlement proof drifts,platform-runtime-and-release-blueprint.md#Verification ladder contract; 14_frontend_testing_and_Playwright_or_other_appropriate_tooling_baseline.md
