artifactId,kind,objectFamily,truthFamily,canonicalOwnerTrack,consumerTracks,authorityRefs,notes
PharmacyDispatchAttempt,object,dispatch,dispatch_truth,par_350,par_352; par_359; seq_367; seq_369,data/contracts/343_phase6_dispatch_schema.json,Live attempt family and retry/expiry truth.
DispatchProofEnvelope,object,dispatch,dispatch_truth,par_350,par_352; par_359; seq_367; seq_369,data/contracts/343_phase6_dispatch_schema.json,Authoritative proof aggregation and contradiction anchor.
PharmacyDispatchTruthProjection,projection,dispatch,dispatch_truth,par_350,par_351; par_352; par_354; par_355; par_359; seq_368; seq_369,data/contracts/343_phase6_dispatch_truth_projection_schema.json,Patient-safe and staff-safe dispatch posture source.
PharmacyPatientStatusProjection,projection,status,status_truth,par_351,par_354; par_356; par_360; seq_368; seq_371,data/contracts/344_phase6_patient_status_schema.json,Patient-safe macro-state and next-action truth.
OutcomeEvidenceEnvelope,object,outcome,outcome_truth,par_352,par_361; seq_367; seq_369,data/contracts/343_phase6_outcome_reconciliation_schema.json,Normalized immutable pharmacy outcome evidence.
PharmacyOutcomeReconciliationGate,object,outcome,outcome_truth,par_352,par_353; par_361; seq_369,data/contracts/343_phase6_outcome_reconciliation_schema.json,"Closure-safe gate for strong match, weak review, and ambiguous outcomes."
PharmacyOutcomeTruthProjection,projection,outcome,outcome_truth,par_352,par_353; par_354; par_355; par_361; seq_368; seq_369; seq_370,data/contracts/343_phase6_outcome_truth_projection_schema.json,"Outcome truth projection for patient, staff, and console consumers."
PharmacyBounceBackRecord,object,return,return_truth,par_353,par_354; par_360; par_362; seq_368; seq_370,data/contracts/344_phase6_bounce_back_schema.json,"Typed bounce-back, urgent return, and reopen evidence root."
PharmacyReachabilityPlan,object,return,return_truth,par_353,par_351; par_354; par_360; par_362; seq_370,data/contracts/344_phase6_bounce_back_schema.json,Reachability repair and contact-route revalidation plan.
PharmacyPracticeVisibilityProjection,projection,visibility,visibility_truth,par_354,par_356; par_363; seq_368; seq_370,data/contracts/344_phase6_practice_visibility_schema.json,Minimum-necessary practice-facing visibility model.
PharmacyOperationsQueueProjection,projection,visibility,visibility_truth,par_354,par_356; par_363; seq_368; seq_370,data/contracts/344_phase6_projection_registry.json,Operations queue and exception view truth.
PharmacyConsoleWorklistProjection,projection,console,console_truth,par_355,par_356; par_363; par_364; seq_371,blueprint/pharmacy-console-frontend-architecture.md,Dense console worklist and mission-entry projection.
PharmacyCaseWorkbenchProjection,projection,console,console_truth,par_355,par_363; par_364; seq_371,blueprint/pharmacy-console-frontend-architecture.md,Single-case mission frame projection for the console.
InventoryTruthPanelProjection,projection,console,console_truth,par_355,par_363; par_364,blueprint/pharmacy-console-frontend-architecture.md,Inventory comparison and stock-truth projection family.
HandoffReadinessProjection,projection,console,console_truth,par_355,par_363; seq_371,blueprint/pharmacy-console-frontend-architecture.md,Handoff readiness and support-region continuity truth.
