source_object_id,source_name,relationship_type,target_object_id,target_name,evidence,source_ref,notes
OBJ_HUBOFFERTOCONFIRMATIONTRUTHPROJECTION,HubOfferToConfirmationTruthProjection,projects,OBJ_HUBAPPOINTMENTRECORD,HubAppointmentRecord,Hub truth projection materializes booked and practice-visible state.,phase-5-the-network-horizon.md#L108,Curated relationship seed for high-risk control-plane semantics.
OBJ_HUBSUPPLIERMIRRORSTATE,HubSupplierMirrorState,binds,OBJ_TASK,Task,HubSupplierMirrorState field ``reopenTaskRef`,phase-5-the-network-horizon.md#L776,
OBJ_JOURNEYPATHDEFINITION,JourneyPathDefinition,references,OBJ_ROUTEFREEZEDISPOSITION,RouteFreezeDisposition,JourneyPathDefinition field ``routeFreezeDispositionRef`,phase-7-inside-the-nhs-app.md#L106,
OBJ_MESSAGEDISPATCHENVELOPE,MessageDispatchEnvelope,references,OBJ_CLINICIANMESSAGETHREAD,ClinicianMessageThread,Dispatch remains attached to one message thread.,callback-and-clinician-messaging-loop.md#L117,Curated relationship seed for high-risk control-plane semantics.
OBJ_MIGRATIONACTIONRECORD,MigrationActionRecord,references,OBJ_COMMANDACTIONRECORD,CommandActionRecord,MigrationActionRecord field ``commandActionRecordRef`,platform-runtime-and-release-blueprint.md#L1387,
OBJ_MODELPOLICY,ModelPolicy,governs,OBJ_REPLAYEVIDENCEPOLICY,ReplayEvidencePolicy,ModelPolicy field ``replayEvidencePolicyRef`,phase-8-the-assistive-layer.md#L133,
OBJ_MOREINFOREMINDERSCHEDULE,MoreInfoReminderSchedule,references,OBJ_MOREINFOCYCLE,MoreInfoCycle,Reminder cadence is bound to one current cycle.,phase-3-the-human-checkpoint.md#L51,Curated relationship seed for high-risk control-plane semantics.
OBJ_MOREINFOREPLYWINDOWCHECKPOINT,MoreInfoReplyWindowCheckpoint,guards,OBJ_MOREINFOCYCLE,MoreInfoCycle,"Checkpoint governs due-state, late-review, and expiry posture.",phase-3-the-human-checkpoint.md#L46,Curated relationship seed for high-risk control-plane semantics.
OBJ_MOREINFORESPONSEDISPOSITION,MoreInfoResponseDisposition,settles,OBJ_MOREINFOCYCLE,MoreInfoCycle,"Response disposition explains acceptance, expiry, or supersession.",phase-3-the-human-checkpoint.md#L56,Curated relationship seed for high-risk control-plane semantics.
OBJ_NETWORKCANDIDATESNAPSHOT,NetworkCandidateSnapshot,references,OBJ_CROSSSITEDECISIONPLAN,CrossSiteDecisionPlan,NetworkCandidateSnapshot field ``crossSiteDecisionPlanRef`,phase-5-the-network-horizon.md#L67,
OBJ_PHARMACYCASE,PharmacyCase,references,OBJ_PHARMACYDISPATCHATTEMPT,PharmacyDispatchAttempt,Dispatch lineage stays attached to the active pharmacy case.,phase-6-the-pharmacy-loop.md#L109,Curated relationship seed for high-risk control-plane semantics.
OBJ_PHARMACYINTENT,PharmacyIntent,binds,OBJ_DECISIONSUPERSESSIONRECORD,DecisionSupersessionRecord,PharmacyIntent field ``decisionSupersessionRecordRef`,phase-3-the-human-checkpoint.md#L944,
OBJ_PHARMACYOUTCOMERECONCILIATIONGATE,PharmacyOutcomeReconciliationGate,blocks,OBJ_PHARMACYCASE,PharmacyCase,Weak or ambiguous outcome truth blocks ordinary closure.,phase-6-the-pharmacy-loop.md#L765,Curated relationship seed for high-risk control-plane semantics.
OBJ_PHARMACYOUTCOMETRUTHPROJECTION,PharmacyOutcomeTruthProjection,projects,OBJ_PHARMACYOUTCOMERECORD,PharmacyOutcomeRecord,Patient and staff pharmacy truth derives from the current outcome record and gate posture.,phase-6-the-pharmacy-loop.md#L771,Curated relationship seed for high-risk control-plane semantics.
OBJ_REQUEST,Request,references,OBJ_IDENTITYBINDING,IdentityBinding,Nullable patientRef derives from IdentityBinding rather than direct ownership shorthand.,phase-0-the-foundation-protocol.md#L661,Curated relationship seed for high-risk control-plane semantics.
OBJ_REQUESTCLOSURERECORD,RequestClosureRecord,references,OBJ_REQUEST,Request,Closure is coordinator-owned request truth.,phase-0-the-foundation-protocol.md#L1884,Curated relationship seed for high-risk control-plane semantics.
OBJ_REQUESTLINEAGE,RequestLineage,contains,OBJ_LINEAGECASELINK,LineageCaseLink,Child workflows join through explicit lineage links.,phase-0-the-foundation-protocol.md#L570,Curated relationship seed for high-risk control-plane semantics.
OBJ_REVIEWSESSION,ReviewSession,references,OBJ_RELEASERECOVERYDISPOSITION,ReleaseRecoveryDisposition,ReviewSession field ``releaseRecoveryDispositionRef`,phase-3-the-human-checkpoint.md#L37,
OBJ_RUNTIMEPUBLICATIONBUNDLE,RuntimePublicationBundle,publishes,OBJ_AUDIENCESURFACERUNTIMEBINDING,AudienceSurfaceRuntimeBinding,Runtime publication activates audience-surface bindings.,phase-0-the-foundation-protocol.md#L3486,Curated relationship seed for high-risk control-plane semantics.
OBJ_SECURITYINCIDENT,SecurityIncident,references,OBJ_REPORTABILITYASSESSMENT,ReportabilityAssessment,SecurityIncident field ``reportabilityAssessmentRef`,phase-9-the-assurance-ledger.md#L1026,
OBJ_SLOTSETSNAPSHOT,SlotSetSnapshot,references,OBJ_NORMALIZEDSLOT,NormalizedSlot,SlotSetSnapshot field ``normalizedSlotRefs`,phase-4-the-booking-engine.md#L39,
OBJ_SUBMISSIONENVELOPE,SubmissionEnvelope,references,OBJ_REQUESTLINEAGE,RequestLineage,Submission promotion keeps one lineage spine.,phase-0-the-foundation-protocol.md#L506,Curated relationship seed for high-risk control-plane semantics.
OBJ_SUGGESTIONACTIONRECORD,SuggestionActionRecord,references,OBJ_COMMANDACTIONRECORD,CommandActionRecord,SuggestionActionRecord field ``commandActionRecordRef`,phase-8-the-assistive-layer.md#L627,
OBJ_THREADRESOLUTIONGATE,ThreadResolutionGate,guards,OBJ_CLINICIANMESSAGETHREAD,ClinicianMessageThread,"Thread closure, reopen, or escalation is gate-controlled.",callback-and-clinician-messaging-loop.md#L132,Curated relationship seed for high-risk control-plane semantics.
OBJ_WAITLISTFALLBACKOBLIGATION,WaitlistFallbackObligation,blocks,OBJ_BOOKINGCASE,BookingCase,Fallback debt keeps booking continuation honest.,phase-4-the-booking-engine.md#L78,Curated relationship seed for high-risk control-plane semantics.
