evidence_id,capability_family_id,capability_label,evidence_kind,artifact_class,source_task_ref,machine_state,artifact_ref,summary
EVID_169_035,browser_continuity_accessibility_reduced_motion,Browser continuity accessibility and reduced motion,automated_proof,playwright,seq_167,machine_verified,tests/playwright/167_phase1_channel_and_accessibility.spec.js,Channel accessibility browser proof exists
EVID_169_036,browser_continuity_accessibility_reduced_motion,Browser continuity accessibility and reduced motion,suite_binding,verification_suite,seq_167,passed,data/test/167_regression_results.json,Regression results passed
EVID_169_037,replay_duplicate_collision_proof,Replay duplicate and collision proof,implementation,cases,seq_166,current,data/test/166_submit_replay_cases.csv,Submit replay cases exist
EVID_169_038,replay_duplicate_collision_proof,Replay duplicate and collision proof,implementation,cases,seq_166,current,data/test/166_collision_review_cases.csv,Collision review cases exist
EVID_169_039,replay_duplicate_collision_proof,Replay duplicate and collision proof,automated_proof,playwright,seq_166,machine_verified,tests/playwright/166_replay_collision_lab.spec.js,Replay collision browser proof exists
EVID_169_040,replay_duplicate_collision_proof,Replay duplicate and collision proof,suite_binding,validator,seq_166,passed,tools/test/validate_replay_and_collision_suite.py,Replay collision validator exists
EVID_169_041,performance_resilience_proof,Performance and resilience proof,implementation,load_profile,seq_168,current,data/performance/168_load_profiles.yaml,Load profiles are machine-readable
EVID_169_042,performance_resilience_proof,Performance and resilience proof,implementation,budget,seq_168,current,data/performance/168_browser_budget_targets.json,Browser budgets are machine-readable
EVID_169_043,performance_resilience_proof,Performance and resilience proof,automated_proof,runner,seq_168,machine_verified,tools/performance/run_phase1_burst_resilience_suite.mjs,Exact-once burst runner exists
EVID_169_044,performance_resilience_proof,Performance and resilience proof,suite_binding,playwright,seq_168,passed,tests/playwright/168_burst_resilience_lab.spec.js,Burst resilience browser proof exists
