requirement_id,requirement_title,baseline_scope,phase_refs,domain_refs,gap_state,missing_mapping_types,notes
REQ-TEST-phase-7-inside-the-nhs-app-md-021,overlapping callback-race tests prove only one `consumptionFenceEpoch` can settle,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-022,`IdentityAssertionBinding` mismatch tests deny silent session merge,deferred,phase_7,identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-023,session mismatch and subject switch are safe,deferred,phase_7,identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-024,`SessionMergeDecision` audit and decision outcomes are deterministic,deferred,phase_7,assurance|identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-025,"stale `ReturnIntent` values caused by session-epoch, subject-binding, or manifest drift are denied safely",deferred,phase_7,identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-026,stale draft-resume `ReturnIntent` values cannot reopen a lineage that already has `SubmissionPromotionRecord`,deferred,phase_7,intake,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-027,"`SSOReturnDisposition` coverage exists for silent success, consent denial, manifest drift, context drift, and safe re-entry",deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-028,draft and status journeys survive silent re-auth,deferred,phase_7,identity|intake,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-029,embedded auth failures never strand the user on a blank or looping page,deferred,phase_7,identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-030,Android and iOS site-link manifests validate in each environment,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-031,expired links resolve to correct fallback pages,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-032,replayed or over-redeemed grants are rejected safely,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-033,email and SMS links open in app when configured and in browser when not,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-034,link resolution preserves patient ownership and route scope,deferred,phase_7,frontend|patient_portal,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-035,"stale manifest, route-family, or session-epoch resume metadata cannot reopen a superseded journey",deferred,phase_7,frontend|identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-036,pre-submit resume links cannot reopen a promoted envelope as a second mutable draft,deferred,phase_7,intake,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-037,no cross-patient access is possible through stale or shared links,deferred,phase_7,patient_portal,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-038,app bridge no-ops safely outside NHS App,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-039,runtime capability matrix is recorded before feature use,deferred,phase_7,runtime,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-040,route-scoped `PatientEmbeddedNavEligibility` is recorded before any bridge-backed action renders live,deferred,phase_7,frontend|patient_portal,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-041,native back behaviour is deterministic per route,deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-042,stale back-action leases are cleared on soft navigation and re-entry,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-043,stale bridge leases caused by manifest or session drift cannot send the patient to an invalid embedded destination,deferred,phase_7,identity|patient_portal,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-044,bridge-backed actions remain blocked when capability is inferred only from user-agent hints or raw bridge presence,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-045,cached older JS API builds degrade gracefully instead of breaking route behaviour,deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-046,add-to-calendar works for appointments and is absent where unsupported,deferred,phase_7,support,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-047,no direct raw NHS App JS API calls leak into route components,deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-048,app exit and re-entry do not corrupt route state,deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-049,PHI-bearing outbound URLs cannot be launched to overlay or external browser,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-050,stale or mismatched `OutboundNavigationGrant` values fail closed and reopen a bounded in-shell recovery route,deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-051,document downloads work inside NHS App and standard web within configured size ceilings,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-052,"`ArtifactModeTruthProjection` gates preview, byte delivery, secure-send-later fallback, and safe browser handoff under embedded size and capability constraints",deferred,phase_7,frontend|triage,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-053,oversized or unsupported artifacts take a governed fallback path rather than failing in place,deferred,phase_7,frontend|support,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-054,print-dependent journeys have no dead-end behaviour,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-055,embedded error pages always provide a clear next step,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-056,missing or malformed context never results in a white screen,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-057,degraded mode can be toggled without redeploy,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-058,stale artifact grants and stale download links are rejected safely,deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-059,"provisional parity, stale return tuple, or bridge-capability drift cannot leave richer preview or byte-download posture live",deferred,phase_7,triage,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-060,every user-facing error copy passes content and accessibility review,deferred,phase_7,triage,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-061,structured artifact summary or governed placeholder is available before byte-delivery for every supported patient-visible document route,deferred,phase_7,frontend|patient_portal|support,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-062,external accessibility audit is complete and findings are triaged,deferred,phase_7,assurance|safety|triage,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-063,"automated, manual, and screen-reader checks all run in CI and release gates",deferred,phase_7,runtime,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-064,"embedded restore, bridge reconnect, and host-return tests prove announcement dedupe, batching, and urgency remain stable across replay and capability drift",deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-065,mobile viewport matrix is green for all embedded journeys,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-066,focus is never obscured by sticky elements or app navigation,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-067,standalone and embedded experiences both pass keyboard-only navigation,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-068,content has recent user research evidence and a recent accessibility audit outcome ready for the NHS App process,deferred,phase_7,assurance,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-069,"embedded error summaries, timeout recovery, and step-up expiry prove same-shell return posture and preserved draft or context where policy allows",deferred,phase_7,frontend|intake,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-070,"embedded charts and summaries prove `VisualizationFallbackContract` parity, with explicit units, non-colour cues, and table-first fallback",deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-071,Sandpit sign-off checklist is green,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-072,AOS sign-off checklist is green,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-073,incident rehearsal completes with documented actions,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-074,"SCAL evidence pack is complete, current, and internally approved",deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-075,demo environment is stable for repeated walkthroughs,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-076,telemetry events match the agreed journey inventory and privacy contract and are validated before limited release,deferred,phase_7,runtime,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-077,promoted manifest fingerprints match environment profiles in Sandpit and AOS,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-CTRL-phase-7-inside-the-nhs-app-md-001-what-phase-7-must-prove-before-phase-8-starts,"Phase 7 - Inside the NHS App: the NHS App experience is the same core product, not a fork",deferred,phase_7,identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-CTRL-phase-7-inside-the-nhs-app-md-002-what-phase-7-must-prove-before-phase-8-starts,"Phase 7 - Inside the NHS App: NHS App entry, standalone web entry, and resumed-link entry all land in the same backend contracts",deferred,phase_7,identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-CTRL-phase-7-inside-the-nhs-app-md-003-what-phase-7-must-prove-before-phase-8-starts,"Phase 7 - Inside the NHS App: session continuity, silent re-auth, and patient ownership behave safely in embedded mode",deferred,phase_7,identity|patient_portal,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-CTRL-phase-7-inside-the-nhs-app-md-004-what-phase-7-must-prove-before-phase-8-starts,"Phase 7 - Inside the NHS App: navigation, downloads, and deep links work inside the NHS App webview",deferred,phase_7,identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-CTRL-phase-7-inside-the-nhs-app-md-005-what-phase-7-must-prove-before-phase-8-starts,Phase 7 - Inside the NHS App: no critical patient journey depends on unsupported browser behaviour,deferred,phase_7,identity|patient_portal|support,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-CTRL-phase-7-inside-the-nhs-app-md-006-what-phase-7-must-prove-before-phase-8-starts,Phase 7 - Inside the NHS App: every embedded journey is accessibility-audited and mobile-clean,deferred,phase_7,assurance|identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-CTRL-phase-7-inside-the-nhs-app-md-007-what-phase-7-must-prove-before-phase-8-starts,Phase 7 - Inside the NHS App: the release can pass NHS App process gates without hidden manual fixes,deferred,phase_7,identity|runtime,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-CTRL-phase-cards-md-003-extended-summary-layer-alignment,"Vecells Delivery Phase Cards: Phase 7 now carries embedded shell consistency, partial-visibility placeholders, safe outbound navigation grants, governed artifact presentation, and route-freeze behaviour.",deferred,planning|phase_7,frontend|identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-CTRL-phase-cards-md-005-programme-summary-layer-alignment,"Vecells Delivery Phase Cards: Phase 7 now reflects the hardened NHS App channel design: versioned manifests, trusted embedded context, SSO scrubbing, capability-negotiated bridge behaviour, and rollout guardrails.",deferred,planning|phase_7,identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
