component_id,display_name,shell_types,route_family_refs,coverage_states,reduced_motion_refs,high_contrast_ref,semantic_surface_refs,keyboard_contract_refs,focus_contract_refs,visualization_fallback_refs,visualization_table_refs
SelectedAnchorStub,Selected Anchor Stub,staff|operations|governance,rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
BoardSurface,Board Surface,patient|staff|operations,rf_patient_home|rf_staff_workspace|rf_operations_board,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1
CardSurface,Card Surface,patient|staff|governance,rf_patient_home|rf_staff_workspace|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
TaskSurface,Task Surface,staff|operations|governance,rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
RailSurface,Rail Surface,staff|operations|governance,rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
DrawerSurface,Drawer Surface,staff|operations,rf_staff_workspace|rf_operations_board,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact,KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1
FormSurface,Form Surface,patient|governance,rf_patient_home|rf_governance_shell|rf_intake_self_service,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact|semantic_surface.rf_intake_self_service.root|semantic_surface.rf_intake_self_service.status|semantic_surface.rf_intake_self_service.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1|KIC_104_RF_INTAKE_SELF_SERVICE_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1|FTC_104_RF_INTAKE_SELF_SERVICE_RESTORE_V1|FTC_104_RF_INTAKE_SELF_SERVICE_SETTLE_V1,VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
ListSurface,List Surface,patient|staff|support,rf_patient_home|rf_staff_workspace|rf_support_ticket_workspace,complete,reduced_motion.equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_support_ticket_workspace.root|semantic_surface.rf_support_ticket_workspace.status|semantic_surface.rf_support_ticket_workspace.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_SUPPORT_TICKET_WORKSPACE_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_SUPPORT_TICKET_WORKSPACE_RESTORE_V1|FTC_104_RF_SUPPORT_TICKET_WORKSPACE_SETTLE_V1,,
TableSurface,Table Surface,operations|governance|pharmacy,rf_operations_board|rf_governance_shell|rf_pharmacy_console,degraded|complete,reduced_motion.summary_only_equivalent|reduced_motion.equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact|semantic_surface.rf_pharmacy_console.root|semantic_surface.rf_pharmacy_console.status|semantic_surface.rf_pharmacy_console.artifact,KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1|KIC_104_RF_PHARMACY_CONSOLE_PRIMARY_V1,FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1|FTC_104_RF_PHARMACY_CONSOLE_RESTORE_V1|FTC_104_RF_PHARMACY_CONSOLE_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
ArtifactSurface,Artifact Surface,patient|operations|governance,rf_patient_home|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
QuietPrimaryButton,Quiet Primary Button,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
SecondaryButton,Secondary Button,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
InlineUtilityButton,Inline Utility Button,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1
SegmentedTabs,Segmented Tabs,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1
QuietChip,Quiet Chip,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1
FilterPill,Filter Pill,staff|hub|operations|support,rf_staff_workspace|rf_operations_board|rf_support_ticket_workspace,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_support_ticket_workspace.root|semantic_surface.rf_support_ticket_workspace.status|semantic_surface.rf_support_ticket_workspace.artifact,KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_SUPPORT_TICKET_WORKSPACE_PRIMARY_V1,FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_SUPPORT_TICKET_WORKSPACE_RESTORE_V1|FTC_104_RF_SUPPORT_TICKET_WORKSPACE_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1
InputFieldFrame,Input Field Frame,patient|governance,rf_patient_home|rf_governance_shell|rf_intake_self_service,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact|semantic_surface.rf_intake_self_service.root|semantic_surface.rf_intake_self_service.status|semantic_surface.rf_intake_self_service.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1|KIC_104_RF_INTAKE_SELF_SERVICE_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1|FTC_104_RF_INTAKE_SELF_SERVICE_RESTORE_V1|FTC_104_RF_INTAKE_SELF_SERVICE_SETTLE_V1,VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
TextareaFrame,Textarea Frame,patient|governance,rf_patient_home|rf_governance_shell|rf_intake_self_service,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact|semantic_surface.rf_intake_self_service.root|semantic_surface.rf_intake_self_service.status|semantic_surface.rf_intake_self_service.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1|KIC_104_RF_INTAKE_SELF_SERVICE_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1|FTC_104_RF_INTAKE_SELF_SERVICE_RESTORE_V1|FTC_104_RF_INTAKE_SELF_SERVICE_SETTLE_V1,VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
SelectFrame,Select Frame,patient|staff|governance,rf_patient_home|rf_staff_workspace|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
CheckboxRadioFrame,Checkbox Radio Frame,patient|governance,rf_patient_home|rf_governance_shell|rf_intake_self_service,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact|semantic_surface.rf_intake_self_service.root|semantic_surface.rf_intake_self_service.status|semantic_surface.rf_intake_self_service.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1|KIC_104_RF_INTAKE_SELF_SERVICE_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1|FTC_104_RF_INTAKE_SELF_SERVICE_RESTORE_V1|FTC_104_RF_INTAKE_SELF_SERVICE_SETTLE_V1,VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
