dependency_id,dependency_name,dependency_class,dependency_layer,baseline_scope,source_file_refs,business_purpose,bound_bounded_contexts,integration_mode,adapter_contract_family,authoritative_success_proof,non_authoritative_signals,ambiguity_modes,fallback_or_recovery_modes,simulator_allowed,local_stub_strategy,assurance_or_onboarding_obligations,operator_or_runbook_dependencies,future_provisioning_task_refs,browser_automation_task_refs,future_browser_automation_required,browser_automation_candidate_portal_or_console,manual_checkpoints,blocked_by_prior_approval_or_contract,secrets_or_credentials_classes,tenant_or_org_scope,deferred_reason_if_any,touchpoint_ids,affects_patient_visible_truth,notes
dep_network_capacity_partner_feeds,Network and hub partner capacity feeds,booking_supplier,supplier_specific_adapter,baseline_required,"phase-5-the-network-horizon.md#5C. Enhanced Access policy engine and network capacity ingestion; phase-5-the-network-horizon.md#Network coordination contract, case model, and state machine; phase-9-the-assurance-ledger.md#9B. Essential-functions health, queues, and assurance operations boards","Ingest network partner availability and native hub booking context so hub coordination can reason about trusted, degraded, or quarantined supply.",hub_coordination; operations; assurance,Capacity ingestion adapters feeding candidate snapshots and policy evaluation; patient or staff shells consume only projected trust posture.,network_capacity_ingestion_adapter,Current CandidateSnapshot admitted as trusted_offerable by NetworkCoordinationPolicyEvaluation for the same policy tuple and source set.,Manual site list or stale spreadsheet; Partial supplier coverage without trust admission; Diagnostic-only feed returned a candidate,degraded_diagnostic_only or quarantined_hidden source posture; Snapshot expiry or stale source version; Offer session drift after candidate snapshot changes,callback fallback or return_to_practice; read_only_provenance or callback_only recovery in the same shell; Operational escalation when partner feeds are stale or quarantined,partial,Use deterministic partner-feed snapshots and trust states locally; treat live partner availability and native hub system proof as later work.,"Bind every feed to a capacity-ingestion policy that can admit, degrade, or quarantine it.; Keep patient-visible alternatives subordinate to current trusted frontier proof.; Expose partner-feed staleness and dependency health on the assurance surface before live rollout.",Stale capacity feed and quarantine-response runbook; No-slot callback or return-to-practice escalation runbook,seq_021; seq_022; seq_038; seq_039; seq_040,,no,,Partner data-sharing and source-freshness review; Policy-tuple sign-off for trusted vs degraded capacity admission,yes,feed_service_credentials; network_partner_identifiers,PCN or hub organisation specific.,,ext_network_booking_adapter,yes,Network offers may not become patient-visible or closable while the current feed posture is degraded or quarantined.
dep_cross_org_secure_messaging_mesh,Cross-organisation secure messaging rail including MESH,messaging_transport,transport_message_rail,baseline_required,"blueprint-init.md#1. Product definition; phase-5-the-network-horizon.md#Hub commit algorithm; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract",Carry secure cross-organisation messages and larger payloads where direct APIs are unavailable for practice visibility or pharmacy dispatch.,hub_coordination; pharmacy; support_operations,"Outbox and inbox adapters on secure message rails such as MESH, always behind AdapterContractProfile and transport assurance policies.",secure_message_transport_adapter,Current delivery evidence or other allowed proof class accepted by the live transport assurance profile for the exact outbound effect chain.,Transport accepted or checksum acknowledged; Mailbox queued or message handed off; Duplicate callback or replay observed,Delivery evidence still pending or disputed; Transport-only evidence without current-generation acknowledgement; Duplicate or stale message correlation against superseded tuples,Retry through the same idempotent effect chain; Monitored mailbox or telephone escalation where policy allows; Keep patient or practice posture in explicit pending or recovery state,partial,Use local secure-message simulators with deterministic receipt and replay states; keep real mailbox requests and certificates for later onboarding tasks.,"Request secure mailbox or message access before enabling real cross-organisation transport.; Separate transport acceptance, delivery evidence, and current-generation acknowledgement facts.; Bind every transport route to data-minimisation and retry-safe correlation rules.",Secure messaging outage and replay reconciliation runbook; Mailbox credential rotation and dead-letter review runbook,seq_021; seq_023; seq_028; seq_038; seq_039; seq_040,seq_028,yes,MESH or equivalent secure-message onboarding portal and mailbox administration surfaces,Cross-organisation access approval before live mailbox use; Transport assurance and minimum-necessary payload review,yes,mailbox_identifier; transport_certificate; endpoint_credentials,Organisation or network specific.,,ext_practice_ack_delivery_rail; ext_pharmacy_dispatch_transport,yes,"The rail may carry practice visibility or pharmacy payloads, but transport acceptance alone never settles either business truth."
dep_origin_practice_ack_rail,Origin-practice acknowledgement rail,messaging_transport,transport_message_rail,baseline_required,"phase-5-the-network-horizon.md#PracticeAcknowledgementRecord; phase-5-the-network-horizon.md#Hub commit algorithm; phase-5-the-network-horizon.md#Manage, reminders, and practice visibility after hub booking",Send continuity deltas to the origin practice and collect generation-bound acknowledgement evidence for hub bookings and later material changes.,hub_coordination; practice_visibility; operations,"PracticeContinuityMessage plus PracticeAcknowledgementRecord on top of secure-message, API, or monitored-mailbox transports.",practice_acknowledgement_transport_adapter,Current-generation PracticeAcknowledgementRecord matching the live truthTupleHash and ackGeneration for the active hub visibility duty.,Transport accepted or delivered; Origin practice viewed an older message; A stale-generation acknowledgement exists,"Acknowledgement overdue or disputed; Generation drift after cancellation, reschedule, or supplier-drift update; Policy exception still pending for no-ack-required posture",Operational escalation and overdue timers; Recovery-required practice visibility posture; Explicit exception handling rather than silent debt clearance,partial,Simulate generation-bound acknowledgement cycles locally while reserving real mailbox or API acknowledgements for later provisioning work.,Keep acknowledgement debt explicit and generation-bound in every practice-visibility flow.; Map transport rails to the current hub practice-visibility policy and truth tuple.; Document escalation when current-generation acknowledgement is overdue or disputed.,Practice-acknowledgement overdue escalation runbook; Generation drift and duplicate-ack reconciliation runbook,seq_021; seq_023; seq_028; seq_039; seq_040,,no,,Policy review for which changes require renewed acknowledgement; Origin-practice escalation path sign-off,yes,service_mailbox_credentials; organisation_endpoint_identifiers,Origin practice and hub organisation pair specific.,,ext_practice_ack_delivery_rail,yes,"Transport acceptance, delivery evidence, and explicit acknowledgement are distinct facts and must stay distinct in the inventory and UI."
dep_pharmacy_directory_dohs,Pharmacy directory and discovery dependency,pharmacy_directory,clinical_platform_rail,baseline_required,"phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; blueprint-init.md#7. Pharmacy First pathway","Discover eligible pharmacies, current opening posture, capability, and safe provider choice while preserving full patient choice.",pharmacy; patient_portal; operations,Directory adapter and cached snapshots feeding PharmacyChoiceProof and provider capability snapshots; never browser-side search against partner systems.,pharmacy_directory_adapter,Current PharmacyDirectorySnapshot and PharmacyChoiceProof over the visible choice set and selected provider explanation.,Cached provider list without current snapshot age; Convenience ranking or open-now signal alone; Deprecated EPS DoS response without current policy acceptance,Stale or partial directory snapshot; Unsafe timing or capability drift; Visible-choice set changed materially after prior selection,Same-shell directory regeneration; Warned choice or clinician fallback when no safe provider remains; Consent renewal or fresh choice before dispatch if the choice set drifted,partial,"Use frozen provider snapshots and deterministic stale, suppressed, and safe-choice fixtures; keep live API access and deprecation handling for later tasks.",Track Service Search / DoHS as the strategic source and watch EPS DoS deprecation risk explicitly.; Prove full-choice and warning posture before live patient exposure.; Keep provider capability snapshots explicit rather than inferred from ranking hints.,Zero-provider anomaly and stale-directory runbook; Provider-choice regeneration and consent-supersession runbook,seq_021; seq_022; seq_023; seq_037; seq_039; seq_040,,no,,Directory access-path selection and deprecation watch review; Patient-choice compliance sign-off before live rollout,yes,api_key_or_certificate; service_registration_identifiers,Shared national directory feed with tenant policy overlays.,,ext_pharmacy_directory,yes,Discovery truth must remain separate from later dispatch and outcome truth; no hidden-default provider path is allowed.
dep_pharmacy_referral_transport,Pharmacy referral transport dependency,pharmacy_transport,transport_message_rail,baseline_required,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; phase-0-the-foundation-protocol.md#Pharmacy dispatch and confirmation gate algorithm","Dispatch frozen pharmacy referral packages through approved transport routes while keeping proof, contradiction, and consent posture explicit.",pharmacy; operations; support_operations,"PharmacyDispatchPlan and PharmacyDispatchAttempt under canonical command, idempotency, outbox, and confirmation-gate contracts.",pharmacy_dispatch_transport_adapter,Current DispatchProofEnvelope(authoritative proof satisfied) accepted by the live TransportAssuranceProfile and current ExternalConfirmationGate for the same dispatch attempt.,adapter_dispatched; transport_accepted; provider_accepted; shared-mailbox delivery observed,proof_pending at or near deadline; contradiction score above threshold; consent or package drift after the outbound attempt,Keep same-shell pending or reconciliation posture; Controlled redispatch only under a fresh tuple; manual_assisted_dispatch with attestation and secondary review where policy requires it,partial,"Use transport simulators and deterministic proof envelopes for happy and degraded cases; reserve live BaRS, mailbox, or supplier transport configuration for later tasks.","Publish transport assurance profiles and proof thresholds before any live dispatch.; Bind every dispatch attempt to the exact provider, package, consent checkpoint, and route tuple.; Keep transport acceptance, provider acceptance, and authoritative proof as separate evidence lanes.",Dispatch-proof stale or disputed runbook; Post-dispatch consent revocation and redispatch runbook,seq_021; seq_022; seq_023; seq_037; seq_038; seq_039; seq_040,,no,,Transport-path selection and data-sharing review; Manual-assisted dispatch attestation policy sign-off,yes,transport_credentials; mailbox_credentials; webhook_secret; provider_endpoint_identifiers,Tenant and provider pair specific.,,ext_pharmacy_dispatch_transport,yes,"Vecells may dispatch through several transports, but no transport-only evidence may project calm referred truth."
dep_pharmacy_outcome_observation,Pharmacy outcome observation and reconciliation path,pharmacy_outcome,supplier_specific_adapter,baseline_required,"phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; forensic-audit-findings.md#Finding 79 - weak-source matching did not clearly stop at a case-local review state; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics","Observe consultation outcomes, bounce-backs, and no-contact returns through Update Record or agreed local channels without confusing transport with resolved care truth.",pharmacy; triage; operations,"Replay-safe inbox ingestion, parser normalisation, and case-local reconciliation gate; no direct Vecells control of community-pharmacy record systems.",pharmacy_outcome_ingest_adapter,"Current PharmacyOutcomeRecord or PharmacyBounceBackRecord correlated to the active PharmacyCase and, where needed, resolved through PharmacyOutcomeReconciliationGate.",Update Record transport observed; Email or inbox delivery received; Manual capture drafted but not reconciled,"Weak or conflicting match against the active case; Duplicate or replayed outcome evidence; No message arrived yet, which cannot prove completion",outcome_reconciliation_pending with explicit review placeholder; Reopen for safety when the outcome is urgent or materially different; Manual structured capture or clarification without auto-closing the request,partial,"Use synthetic Update Record, email-ingest, and manual-capture fixtures with strong, weak, unmatched, and replay cases; reserve live assured combinations for later tasks.","Respect supplier-specific evidence shapes and assured system combinations for Update Record observation.; Keep weak-match review case-local and closure-blocking until explicitly resolved.; Treat absence of Update Record or email as no evidence, not as completion proof.",Outcome reconciliation backlog and weak-match review runbook; Urgent bounce-back reopen and no-contact return runbook,seq_021; seq_022; seq_023; seq_037; seq_038; seq_039; seq_040,,no,,Outcome source acceptance policy review; Parser and reconciliation quality review before auto-apply is allowed,yes,mailbox_credentials; parser_service_credentials; supplier_source_identifiers,"Supplier-system, organisation, and tenant policy specific.",,ext_pharmacy_outcome_ingest,yes,Outcome ingest is an observation boundary only; it cannot behave like direct pharmacy-system control or auto-close on weak evidence.
dep_pharmacy_urgent_return_professional_routes,Pharmacy urgent-return and professional-contact routes,messaging_transport,transport_message_rail,baseline_required,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics; blueprint-init.md#7. Pharmacy First pathway","Provide the dedicated monitored email, professional number, or equivalent local route for urgent and unsupported pharmacy returns.",pharmacy; triage; support_operations,Human-operated safety-net routes declared in UrgentReturnChannelConfig and linked to the same case-local evidence chain as bounce-back and reopen.,pharmacy_urgent_return_route_config,Current urgent-return or bounce-back evidence acknowledged on the configured route and bound to the active PharmacyCase or reopened request lineage.,Email sent to the safety-net mailbox; Voicemail or phone transfer attempted; Mailbox accepted without operator acknowledgement,Urgent return not yet acknowledged on the current route; Stale or misconfigured monitored email or professional number; Contact-route repair blocks the expected return channel,Immediate duty-task reopen or supervisor escalation; Phone escalation if mailbox or digital route is unavailable; No use of Update Record for urgent return semantics,no,"Configuration can be stubbed, but the actual human acknowledgement and urgent return path cannot be truthfully simulated as live-authoritative.",Record the practice professional number and dedicated monitored email or equivalent safety-net route per tenant.; Keep urgent-return handling separate from Update Record and ordinary outcome observation.; Document how overdue or unacknowledged urgent returns escalate immediately.,Urgent-return acknowledgement and missed-safety-net runbook; Mailbox failover and duty-clinician escalation runbook,seq_021; seq_023; seq_037; seq_039; seq_040,,no,,Practice-level route ownership sign-off; Urgent-return rehearsal before the route is treated as live,yes,service_mailbox_credentials; professional_contact_directory_entry,Practice specific.,,ext_pharmacy_outcome_ingest,yes,Urgent return is a human-operated safety net and therefore cannot be downgraded into a simulated healthy dependency.
dep_nhs_app_embedded_channel_ecosystem,NHS App embedded-channel ecosystem,embedded_channel,deferred_channel_expansion,deferred_phase7,"phase-7-inside-the-nhs-app.md#7A. Integration manifest and route inventory; phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline; phase-cards.md#Phase 7 - Inside the NHS App","Expose the same patient journeys inside NHS App through embedded shell, SSO handoff, site links, and governed bridge capability negotiation.",patient_portal; identity_access; release_control,"Responsive web integration with manifest-pinned embedded routes, NHS login handoff, route-scoped bridge eligibility, and NHS App JS bridge wrapping.",nhs_app_embedded_channel_boundary,"Current NHSAppIntegrationManifest, PatientEmbeddedNavEligibility, and PatientEmbeddedSessionProjection under the approved manifest, release, and bridge-capability tuple.",User-agent or query hint suggests embedded mode; Raw bridge object is present; Manifest file exists without current eligibility and continuity proof,"Manifest drift across Sandpit, AOS, and live; Bridge capability mismatch or stale embedded continuity evidence; Consent denial or auth return that fails silent handoff",Safe browser handoff; read_only or placeholder-only embedded posture; Bounded recovery inside the same patient shell rather than silent route fork,partial,"Use embedded-preview mode, manifest fixtures, and simulated bridge capabilities locally; reserve Sandpit, AOS, site links, and SCAL for later tasks.","Treat Sandpit, AOS, SCAL, accessibility audit, and demo-environment readiness as explicit onboarding gates.; Version manifest, route exposure, and bridge capabilities under the same release tuple as the wider platform.; Keep NHS App entry, standalone web entry, and secure-link recovery on the same backend contracts.",Embedded auth failure and manifest drift runbook; Bridge capability downgrade and safe-browser-handoff runbook,seq_021; seq_023; seq_029; seq_030; seq_039; seq_040,seq_029; seq_030,yes,"NHS App Sandpit, AOS, SCAL, and site-link onboarding portals","NHS App suitability and demo-environment review before Sandpit or AOS access; Accessibility, service-standard, and incident-rehearsal evidence before release widening",yes,site_link_metadata; embedded_manifest_configuration; bridge_script_versioning_controls,National-channel integration with route-family and environment-ring controls.,Phase 7 is explicitly deferred from the current baseline; inventory it now but do not treat it as a current baseline blocker.,ext_embedded_host_bridge,yes,Deferred channel expansion only. The inventory keeps the onboarding and downgrade rules ready without rebasing current scope.
dep_assistive_model_vendor_family,Assistive model vendor and subprocessor family,model_vendor,optional_feature_flagged,future_optional,phase-8-the-assistive-layer.md#8H; phase-8-the-assistive-layer.md#AssistiveCapabilityTrustEnvelope; phase-cards.md#Phase 8 - The Assistive Layer,Optionally provide bounded assistive inference and drafting services without making core workflow correctness depend on model vendors.,assistive; staff_workspace; assurance,Trust-bound assistive sidecar behind AssistiveCapabilityTrustEnvelope and route-scoped rollout verdicts; no direct UI dependency on raw vendor output.,assistive_vendor_boundary,"Current AssistiveCapabilityTrustEnvelope plus AssistiveCapabilityRolloutVerdict and supplier-assurance freshness for the exact route, cohort, and watch tuple.",Model returned output successfully; Vendor status page looks healthy; Watch tuple or rollout rung appears green without current trust envelope,"trustState = degraded, quarantined, shadow_only, or frozen; Supplier assurance drifted, suspended, or stale; Route-family or cohort rollout evidence is missing or blocked","observe_only, provenance_only, placeholder_only, or hidden posture; Shadow-only or frozen rollout without widening assistive actionability; Keep core clinical and operational workflow fully complete without model dependency",partial,Use local deterministic draft and suggestion fixtures with trust-state toggles; reserve real vendor credentials and subprocessor evidence for future optional rollout work.,"Track model version, prompt bundle, subprocessor set, and rollback proof as explicit release inputs.; Keep supplier-assurance freshness and freeze posture visible in the same shell.; Do not let assistive vendors become baseline blockers for core functional completeness.","Assistive freeze, kill-switch, and rollback runbook; Vendor incident and trust-downgrade runbook",seq_021; seq_023; seq_039; seq_040,,no,,Subprocessor and assurance review before any live visible cohort; Rollback and kill-switch proof before widening beyond shadow or observe-only,yes,api_key; model_deployment_credentials; subprocessor_inventory_reference,"Route-family, cohort, and tenant specific.",Model-vendor onboarding is bounded optional rollout scope even though assistive control posture exists in the baseline architecture.,,no,"The assistive control plane is in scope, but live model vendors remain optional and must fail to shadow, observe-only, or hidden posture."
dep_nhs_assurance_and_standards_sources,NHS standards and assurance source set,content_or_standards_source,security_assurance_dependency,baseline_required,"phase-9-the-assurance-ledger.md#9D. Assurance pack factory and standards evidence pipeline; phase-9-the-assurance-ledger.md#9H. Tenant governance, config immutability, and dependency hygiene; phase-7-inside-the-nhs-app.md#What Phase 7 must prove before Phase 8 starts","Version the external standards, guidance, and supplier-assurance inputs that gate release, onboarding, and evidence admissibility.",assurance; release_control; governance,"Human-governed standards watchlist, evidence mapping, and dependency hygiene process rather than a runtime data plane.",standards_watch_and_assurance_boundary,Current StandardsVersionMap and StandardsDependencyWatchlist bound to the same assurance-evidence graph and release candidate under review.,Static checklist copied into local notes; Legacy documentation link still resolves somewhere; Evidence PDF exists without current standards-version mapping,"Standards version moved, refreshed, or decommissioned; Supplier assurance evidence is stale or suspended; Dependency hygiene scan still reports legacy references",Freeze affected onboarding or release step until review completes; Open explicit standards exception or evidence gap; Keep live dependency assumptions constrained to current watchlist evidence,no,"No truthful simulator. The local system can model watchlist rows, but the authoritative external standards posture still requires human review and current source authority.","Keep standards updates and supplier-drift semantics versioned rather than hard-coded.; Bind onboarding, release, and assurance packs to the same standards-version map and evidence graph.; Continuously remove stale legacy documentation assumptions and unsupported dependency links.",Standards change review and evidence-refresh runbook; Legacy dependency hygiene and release-freeze runbook,seq_009; seq_015; seq_018; seq_039; seq_040,,no,,Governance sign-off on refreshed standards baselines; Evidence-pack refresh before release or partner onboarding widens,no,,Platform wide.,,,no,"This row captures source-of-law dependency, not a live API. It is still operationally real because stale standards can block release and onboarding."
