tupleId,inventorySurfaceRef,publishedAudienceSurfaceRef,routeFamilyRef,shellType,bindingVerdict,browserPostureState,accessibilityCoverageState,reasonRefs,notes
FMTUP_127_SURF_PATIENT_HEALTH_RECORD_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_HOME_V1,surf_patient_home,audsurf_patient_authenticated_portal,rf_patient_home,patient,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_MESSAGES_V1,surf_patient_messages,audsurf_patient_authenticated_portal,rf_patient_messages,patient,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_REQUESTS_V1,surf_patient_requests,audsurf_patient_authenticated_portal,rf_patient_requests,patient,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_SECURE_LINK_RECOVERY_V1,surf_patient_secure_link_recovery,audsurf_patient_transaction_recovery,rf_patient_secure_link_recovery,patient,blocked,recovery_only,blocked,MFV_127_ACCESSIBILITY_BLOCKED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,Shell residency remains on `patient-web` while publication authority resolves through `audsurf_patient_transaction_recovery`.
FMTUP_127_SURF_PHARMACY_CONSOLE_V1,surf_pharmacy_console,audsurf_pharmacy_console,rf_pharmacy_console,pharmacy,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_CLINICIAN_WORKSPACE_V1,surf_clinician_workspace,audsurf_clinical_workspace,rf_staff_workspace,staff,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_staff_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple.
FMTUP_127_SURF_PRACTICE_OPS_WORKSPACE_V1,surf_practice_ops_workspace,audsurf_clinical_workspace,rf_staff_workspace,staff,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_staff_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple.
FMTUP_127_SURF_ASSISTIVE_SIDECAR_V1,surf_assistive_sidecar,audsurf_clinical_workspace,rf_staff_workspace_child,staff,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_staff_workspace_child` fans out across 2 inventoried surfaces and reuses one published audience tuple.
FMTUP_127_SURF_CLINICIAN_WORKSPACE_CHILD_V1,surf_clinician_workspace_child,audsurf_clinical_workspace,rf_staff_workspace_child,staff,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_staff_workspace_child` fans out across 2 inventoried surfaces and reuses one published audience tuple.
FMTUP_127_SURF_SUPPORT_REPLAY_OBSERVE_V1,surf_support_replay_observe,audsurf_support_workspace,rf_support_replay_observe,support,partial,recovery_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_SUPPORT_ASSISTED_CAPTURE_V1,surf_support_assisted_capture,audsurf_support_workspace,rf_support_ticket_workspace,support,partial,recovery_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_support_ticket_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple.
FMTUP_127_SURF_SUPPORT_TICKET_WORKSPACE_V1,surf_support_ticket_workspace,audsurf_support_workspace,rf_support_ticket_workspace,support,partial,recovery_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_support_ticket_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple.
