questionKey,requestType,stepKey,visibilityPredicate,requiredWhen,answerType,cardinality,normalizationTarget,summaryRenderer,safetyRelevance,supersessionPolicy,allowedAnswerCount,unknownHandlingPolicyRef
meds.queryType,Meds,details,requestType == 'Meds',requestType == 'Meds',single_select,single,structuredAnswers.meds.queryTypeCode,summary.meds.query_type.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,5,
meds.urgency,Meds,details,requestType == 'Meds',requestType == 'Meds',single_select,single,structuredAnswers.meds.urgencyBand,summary.meds.urgency.v1,safety_relevant,SUP_140_ALWAYS_ACTIVE_V1,3,
results.context,Results,details,requestType == 'Results',requestType == 'Results',single_select,single,structuredAnswers.results.contextCode,summary.results.context.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,5,
results.dateKnown,Results,details,requestType == 'Results',requestType == 'Results',single_select,single,structuredAnswers.results.resultDateState,summary.results.date_known.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,3,UNK_140_RESULTS_DATE_BOUNDED_V1
results.question,Results,details,requestType == 'Results',requestType == 'Results',long_text,single,structuredAnswers.results.patientQuestion,summary.results.question.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,0,
results.resultDate,Results,details,requestType == 'Results' && answers['results.dateKnown'] == 'exact_or_approx',requestType == 'Results' && answers['results.dateKnown'] == 'exact_or_approx',partial_date,single,structuredAnswers.results.resultDatePartial,summary.results.date_value.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,0,
results.testName,Results,details,requestType == 'Results',requestType == 'Results',short_text_or_unknown,single,structuredAnswers.results.testNameText,summary.results.test_name.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,0,
symptoms.category,Symptoms,details,requestType == 'Symptoms',requestType == 'Symptoms',single_select,single,structuredAnswers.symptoms.symptomCategoryCode,summary.symptoms.category.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,6,
symptoms.chestPainLocation,Symptoms,details,requestType == 'Symptoms' && answers['symptoms.category'] == 'chest_breathing',requestType == 'Symptoms' && answers['symptoms.category'] == 'chest_breathing',single_select,single,structuredAnswers.symptoms.chestDiscomfortLocationCode,summary.symptoms.chest_location.v1,safety_relevant,SUP_140_SAFETY_BRANCH_SUPERSEDE_V1,5,
symptoms.narrative,Symptoms,details,requestType == 'Symptoms',requestType == 'Symptoms',long_text,single,structuredAnswers.symptoms.patientNarrative,summary.symptoms.narrative.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,0,
symptoms.onsetDate,Symptoms,details,requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'exact_date',requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'exact_date',date,single,structuredAnswers.symptoms.onsetDate,summary.symptoms.onset_date.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,0,
symptoms.onsetPrecision,Symptoms,details,requestType == 'Symptoms',requestType == 'Symptoms',single_select,single,structuredAnswers.symptoms.onsetPrecision,summary.symptoms.onset_date.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,3,UNK_140_SYMPTOM_ONSET_BOUNDED_V1
symptoms.onsetWindow,Symptoms,details,requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'approximate_window',requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'approximate_window',single_select,single,structuredAnswers.symptoms.onsetWindowCode,summary.symptoms.onset_window.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,5,
symptoms.severityClues,Symptoms,details,requestType == 'Symptoms',requestType == 'Symptoms',multi_select,multiple,structuredAnswers.symptoms.severityClueCodes,summary.symptoms.severity_clues.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,5,
symptoms.worseningNow,Symptoms,details,requestType == 'Symptoms',requestType == 'Symptoms',boolean,single,structuredAnswers.symptoms.worseningNow,summary.symptoms.worsening_now.v1,safety_relevant,SUP_140_ALWAYS_ACTIVE_V1,0,
