trackId,title,domain,wave,readiness,ownedArtifacts,nonOwnedArtifacts,dependsOnTracks,launchPacketRef,collisionSeamRefs,carryForwardIssueRefs
par_327,"Queue workbench, candidate ranking, and SLA visualization",frontend,wave_3,blocked,HubQueueWorkbenchView | CandidateRankingWorkbenchView | SLARiskView,HubDeskShell | AlternativeOfferSession,par_318 | par_319 | par_326,,,ISSUE310_003
par_328,Patient network alternatives and callback-fallback views,frontend,wave_3,blocked,PatientNetworkAlternativesView | PatientCallbackFallbackView,AlternativeOfferSession | HubOfferToConfirmationTruthProjection,par_320 | par_323 | par_326,,,
par_329,"Cross-org commit, confirmation, and practice-visibility surfaces",frontend,wave_3,blocked,HubCommitConfirmationWorkspace | PatientNetworkConfirmationView | OriginPracticeVisibilityPanel,HubCommitAttempt | PracticeVisibilityProjection,par_321 | par_322 | par_324 | par_326,,data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_TRUTH_PROJECTION_WRITE_DISCIPLINE.json,ISSUE310_004
par_330,"Network reminders, manage flows, and message timeline views",frontend,wave_3,blocked,NetworkManageView | NetworkReminderView | MessageTimelineView,NetworkManageCapabilities | PracticeContinuityMessage,par_322 | par_324 | par_329,,,
par_331,"No-slot, reopen, and urgent bounce-back recovery views",frontend,wave_3,blocked,HubRecoveryWorkspace | NoSlotRecoveryView | UrgentBounceBackView,HubCoordinationException | HubFallbackRecord,par_323 | par_325 | par_326,,data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_EXCEPTION_LIFECYCLE_HANDOFF.json,
par_332,Org-aware access controls and acting-context switcher,frontend,wave_3,blocked,ActingContextSwitcherSurface | OrgAwareAccessControlPlane,ActingContext | HubDeskShell,par_316 | par_326,,,
par_333,Mobile and narrow-screen hub workflows,frontend,wave_3,blocked,MissionStackFoldedShell | NarrowScreenHubWorkflowFamily,HubDeskShell | HubQueueWorkbenchView,par_326 | par_327 | par_329 | par_332,,,ISSUE310_003
par_334,"Cross-org accessibility, content, and artifact handoff refinements",frontend,wave_3,blocked,CrossOrgContentRefinementPack | ArtifactHandoffRefinementPack,PatientNetworkConfirmationView | NetworkManageView,par_329 | par_330 | par_331 | par_332 | par_333,,,
seq_335,Configure MESH mailboxes and cross-org message routes,ops,ops,deferred,MeshMailboxConfigurationPack | CrossOrgMessageRouteManifest,PracticeContinuityMessage | NetworkManageCapabilities,par_322 | par_324 | par_329 | par_334,,,
seq_336,Configure network capacity feeds and partner credentials,ops,ops,deferred,CapacityFeedBindingPack | PartnerCredentialReferenceSet,HubCapacityAdapter | NetworkSlotCandidate,par_317 | par_318 | par_319 | par_333,,,ISSUE310_004
seq_337,Merge network coordination with local booking and manage flows,integration,integration,blocked,CrossFamilyNetworkIntegrationGate,HubDeskShell | PatientNetworkConfirmationView,par_326 | par_327 | par_328 | par_329 | par_330 | par_331 | par_332 | par_333 | par_334 | seq_335 | seq_336,,,
seq_338,"Run org-boundary, capacity, ranking, and SLA proof suites",testing,proof,blocked,Phase5PreCommitProofBattery,HubQueueWorkbenchProjection | CrossOrganisationVisibilityEnvelope,par_315 | par_316 | par_317 | par_318 | par_319 | par_326 | par_327 | par_332 | seq_337,,,
seq_339,"Run commit, MESH dispatch, no-slot, and reopen proof suites",testing,proof,blocked,Phase5PostSelectionProofBattery,HubCommitAttempt | PracticeContinuityMessage,par_320 | par_321 | par_322 | par_323 | par_324 | par_325 | par_328 | par_329 | par_330 | par_331 | seq_335 | seq_337 | seq_338,,,ISSUE310_004
seq_340,"Run patient-choice, cross-org visibility, and responsive regression suites",testing,proof,blocked,Phase5BrowserVisibilityRegressionBattery,PatientNetworkAlternativesView | MissionStackFoldedShell,par_328 | par_329 | par_330 | par_332 | par_333 | par_334 | seq_337 | seq_339,,,ISSUE310_003
