surface_blast_radius_id,gateway_surface_id,audience,shell_type,route_family_ids,tenant_isolation_mode,scope_mode,acting_scope_tuple_requirement,governance_scope_token_requirement,affected_tenant_count,affected_organisation_count,blast_radius_class,pre_settlement_display_required,same_shell_freeze_posture,runtime_browser_authority_binding_refs,source_refs
SBR_054_GWS_PATIENT_HEALTH_RECORD,gws_patient_health_record,patient_authenticated,patient,rf_patient_health_record,tenant_scoped_subject,tenant,not_required,not_required,1,1,single_tenant,bounded_single_scope,read_only_or_recovery_only,RBA_054_PATIENT_AUTHENTICATED_PORTAL_V1,phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-portal-experience-architecture-blueprint.md#Primary navigation model; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_AUTHENTICATED; prompt/054.md
SBR_054_GWS_PATIENT_HOME,gws_patient_home,patient_authenticated,patient,rf_patient_home,tenant_scoped_subject,tenant,not_required,not_required,1,1,single_tenant,bounded_single_scope,read_only_or_recovery_only,RBA_054_PATIENT_AUTHENTICATED_PORTAL_V1,patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-account-and-communications-blueprint.md#Patient home contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_AUTHENTICATED; prompt/054.md
SBR_054_GWS_PATIENT_INTAKE_PHONE,gws_patient_intake_phone,patient_public,patient,rf_intake_telephony_capture,shared_public_pre_tenant,tenant,not_required,not_required,0,0,pending_subject,bounded_single_scope,placeholder_or_safe_receipt,RBA_054_PATIENT_PUBLIC_ENTRY_V1,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/blueprint-init.md#2. Core product surfaces; docs/architecture/11_gateway_surface_and_runtime_topology_baseline.md#Gateway Surface Matrix; data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; prompt/054.md
SBR_054_GWS_PATIENT_INTAKE_WEB,gws_patient_intake_web,patient_public,patient,rf_intake_self_service,shared_public_pre_tenant,tenant,not_required,not_required,0,0,pending_subject,bounded_single_scope,placeholder_or_safe_receipt,RBA_054_PATIENT_PUBLIC_ENTRY_V1,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/blueprint-init.md#2. Core product surfaces; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; prompt/054.md
SBR_054_GWS_PATIENT_MESSAGES,gws_patient_messages,patient_authenticated,patient,rf_patient_messages,tenant_scoped_subject,tenant,not_required,not_required,1,1,single_tenant,bounded_single_scope,read_only_or_recovery_only,RBA_054_PATIENT_AUTHENTICATED_PORTAL_V1,phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; callback-and-clinician-messaging-loop.md; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; blueprint/callback-and-clinician-messaging-loop.md; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_AUTHENTICATED; prompt/054.md
SBR_054_GWS_PATIENT_REQUESTS,gws_patient_requests,patient_authenticated,patient,rf_patient_requests,tenant_scoped_subject,tenant,not_required,not_required,1,1,single_tenant,bounded_single_scope,read_only_or_recovery_only,RBA_054_PATIENT_AUTHENTICATED_PORTAL_V1,patient-account-and-communications-blueprint.md#Requests browsing contract; patient-account-and-communications-blueprint.md#Request detail contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-account-and-communications-blueprint.md#Request detail contract; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_AUTHENTICATED; prompt/054.md
SBR_054_GWS_PATIENT_SECURE_LINK_RECOVERY,gws_patient_secure_link_recovery,patient_grant_scoped,patient,rf_patient_secure_link_recovery,tenant_scoped_lineage_grant,tenant,not_required,not_required,1,1,single_subject,bounded_single_scope,recovery_only,RBA_054_PATIENT_TRANSACTION_RECOVERY_V1,"patient-account-and-communications-blueprint.md#Patient audience coverage contract; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_GRANT_SCOPED_RECOVERY; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_GRANT_RECOVERY; prompt/054.md"
SBR_054_GWS_PHARMACY_CONSOLE,gws_pharmacy_console,servicing_site,pharmacy,rf_pharmacy_console,servicing_site_partition,organisation,required,not_required,1,1,single_tenant,bounded_single_scope,read_only_or_blocked,RBA_054_PHARMACY_CONSOLE_V1,pharmacy-console-frontend-architecture.md#Mission frame; pharmacy-console-frontend-architecture.md#The recommended route family is; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/pharmacy-console-frontend-architecture.md#Mission frame; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_PHARMACY_SERVICING; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PHARMACY_SERVICING; prompt/054.md
SBR_054_GWS_PRACTICE_OPS_WORKSPACE,gws_practice_ops_workspace,origin_practice_operations,staff,rf_staff_workspace,tenant_org_partition,organisation,required,not_required,1,1,single_tenant,bounded_single_scope,stale_recoverable_or_denied_scope,RBA_054_CLINICAL_WORKSPACE_V1,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Workspace shell-family ownership is explicit; staff-operations-and-support-blueprint.md#Staff audience coverage contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-operations-and-support-blueprint.md#Staff audience coverage contract; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_TENANT_STAFF_SINGLE_ORG; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_STAFF_SINGLE_ORG; blueprint/phase-0-the-foundation-protocol.md#23A; prompt/054.md
SBR_054_GWS_SUPPORT_ASSISTED_CAPTURE,gws_support_assisted_capture,support,support,rf_support_ticket_workspace,explicit_support_delegate_scope,tenant,required,not_required,1,1,single_tenant,bounded_single_scope,capture_recovery_same_shell,RBA_054_SUPPORT_WORKSPACE_V1,staff-operations-and-support-blueprint.md#Support route contract; phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm; blueprint-init.md#2. Core product surfaces; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-operations-and-support-blueprint.md#Support route contract; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_SUPPORT_DELEGATE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_SUPPORT_ASSISTED_CAPTURE; prompt/054.md
SBR_054_GWS_SUPPORT_REPLAY_OBSERVE,gws_support_replay_observe,support,support,rf_support_replay_observe,explicit_support_investigation_scope,tenant,required,not_required,1,1,single_tenant,bounded_single_scope,masked_replay_visible_but_restore_frozen,RBA_054_SUPPORT_WORKSPACE_V1,"staff-operations-and-support-blueprint.md#Support route contract; phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm; blueprint/forensic-audit-findings.md#Finding 100 - Support replay and observe return still had no authoritative restore gate; data/analysis/tenant_isolation_matrix.csv#TIM_SUPPORT_INVESTIGATION; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_SUPPORT_REPLAY_RESTORE; blueprint/phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay; prompt/054.md"
SBR_054_GWS_SUPPORT_TICKET_WORKSPACE,gws_support_ticket_workspace,support,support,rf_support_ticket_workspace,explicit_support_delegate_scope,tenant,required,not_required,1,1,single_tenant,bounded_single_scope,read_only_same_shell_until_revalidated,RBA_054_SUPPORT_WORKSPACE_V1,staff-operations-and-support-blueprint.md#Support route contract; phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-operations-and-support-blueprint.md#Support route contract; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_SUPPORT_DELEGATE; prompt/054.md; blueprint/staff-operations-and-support-blueprint.md; blueprint/phase-0-the-foundation-protocol.md#44D
