referenceCaseId,scenarioClass,layer,pathKind,usedRealCurrentPath,routeFamilyRef,gatewaySurfaceRef,status,canonicalObjectRefs,eventRefs,settlementRefs,projectionRefs,closureBlockerRefs,continuityState,lineageTraceable,coordinatorOwnedClosure,gapRefs,notes
RC_FLOW_002,replay,projection_worker,runtime_http,true,rf_patient_requests,gws_patient_requests,200:armed,,projection.placeholder.accepted,,PQC_050_RF_PATIENT_REQUESTS_V1 | projection::patient-home,,stale-read-explicit,true,true,,Real projection intake and freshness endpoints over local HTTP.
RC_FLOW_002,replay,shell_observatory,shell_manifest,true,rf_patient_requests,gws_patient_requests,partial:read_only,,,FMTUP_127_SURF_PATIENT_REQUESTS_V1,surf_patient_requests,,The authenticated patient shell stays on the prior request lineage and reuses the authoritative outcome without minting a second request.,true,true,GAP_REFERENCE_FLOW_EVENT_SPINE_REPLAY_MAPPING_PENDING,Published shell tuple and continuity expectation reflected in the observatory.
RC_FLOW_003,duplicate_review,gateway,runtime_http,true,rf_support_ticket_workspace,gws_support_ticket_workspace,200:published,,,,,,mock_published,true,true,GAP_REFERENCE_FLOW_SURFACE_DUPLICATE_REVIEW_LINKAGE_SEMANTIC_MATCH_ONLY,Real gateway authority evaluation over local HTTP.
RC_FLOW_003,duplicate_review,command_api,runtime_http,true,rf_support_ticket_workspace,gws_support_ticket_workspace,200:awaiting_settlement_evidence,,command.placeholder.accepted,queued_stub,,,observed,true,true,,Real command ingress over local HTTP.
RC_FLOW_003,duplicate_review,domain_kernel,domain_orchestrator,true,rf_support_ticket_workspace,gws_support_ticket_workspace,authoritative_progress_recorded,DuplicateCluster:command_api_duplicate_review_duplicate_cluster_0006 | DuplicateResolutionDecision:command_api_duplicate_review_duplicate_resolution_decision_0006 | RequestClosureRecord:lifecycle_coordinator_backbone_requestClosure_0008,request.duplicate.review_required | request.closure_blockers.changed,command_settlement_simulation_072_review_required_command_settlement_simulation_072_review_required_lease_command_action_record_0001_2026-04-12T12:05:10Z_settlement_command_settlement_record_0001,,duplicate_cluster_review_001 | command_api_duplicate_review_duplicate_cluster_0006,review_required_same_shell,true,true,GAP_REFERENCE_FLOW_SURFACE_DUPLICATE_REVIEW_LINKAGE_SEMANTIC_MATCH_ONLY,Canonical domain and orchestrator proof reused by the synthetic harness.
RC_FLOW_003,duplicate_review,event_spine,event_spine,true,rf_support_ticket_workspace,gws_support_ticket_workspace,scenario:closure_blocker_flow,,request.duplicate.review_required | request.closure_blockers.changed,stream_request | stream_request,q_event_projection_live | q_event_projection_replay | q_event_assurance_audit | q_event_replay_quarantine | q_event_projection_live | q_event_projection_replay | q_event_assurance_audit | q_event_replay_quarantine,,transport_and_queue_lineage_preserved,true,true,,Canonical event names mapped into the published event spine transport rows.
RC_FLOW_003,duplicate_review,projection_worker,runtime_http,true,rf_support_ticket_workspace,gws_support_ticket_workspace,200:armed,,projection.placeholder.accepted,,PQC_050_RF_SUPPORT_TICKET_WORKSPACE_V1 | projection::ops-telemetry,,stale-read-explicit,true,true,,Real projection intake and freshness endpoints over local HTTP.
RC_FLOW_003,duplicate_review,shell_observatory,shell_manifest,true,rf_support_ticket_workspace,gws_support_ticket_workspace,partial:recovery_only,,,FMTUP_127_SURF_SUPPORT_TICKET_WORKSPACE_V1,surf_support_ticket_workspace,duplicate_cluster_review_001 | command_api_duplicate_review_duplicate_cluster_0006,"The support workspace keeps the task in place, exposes duplicate-review debt, and does not silently attach to another request.",true,true,GAP_REFERENCE_FLOW_SURFACE_DUPLICATE_REVIEW_LINKAGE_SEMANTIC_MATCH_ONLY,Published shell tuple and continuity expectation reflected in the observatory.
RC_FLOW_004,quarantine_fallback,gateway,runtime_http,true,rf_support_replay_observe,gws_support_replay_observe,200:degraded,,,,,,mock_published_with_downgrade,true,true,GAP_REFERENCE_FLOW_SURFACE_SUPPORT_REPLAY_MUTATION_PATH_UNPUBLISHED | GAP_REFERENCE_FLOW_SURFACE_SUPPORT_REPLAY_CONTINUES_VIA_READ_ONLY_PUBLISHED_SHELL,Real gateway authority evaluation over local HTTP.
RC_FLOW_004,quarantine_fallback,command_api,runtime_http,true,rf_support_replay_observe,gws_support_replay_observe,200:awaiting_settlement_evidence,,command.placeholder.accepted,queued_stub,,,observed,true,true,,Real command ingress over local HTTP.
RC_FLOW_004,quarantine_fallback,domain_kernel,domain_orchestrator,true,rf_support_replay_observe,gws_support_replay_observe,authoritative_progress_recorded,FallbackReviewCase:command_api_request_closure_fallbackReviewCase_0001 | RequestClosureRecord:command_api_request_closure_requestClosureRecord_0002 | TransitionEnvelope:9e832a9e89335c5162c8f4e3080c7b84,intake.attachment.quarantined | request.closure_blockers.changed,command_settlement_simulation_072_stale_recoverable_command_settlement_simulation_072_stale_recoverable_lease_command_action_record_0001_2026-04-12T12:06:40Z_settlement_command_settlement_record_0001,,command_api_request_closure_fallbackReviewCase_0001 | fallback_case_restore_review_001,patient_visible_continuity_preserved_during_fallback_review,true,true,GAP_REFERENCE_FLOW_SURFACE_SUPPORT_REPLAY_MUTATION_PATH_UNPUBLISHED | GAP_REFERENCE_FLOW_SURFACE_SUPPORT_REPLAY_CONTINUES_VIA_READ_ONLY_PUBLISHED_SHELL,Canonical domain and orchestrator proof reused by the synthetic harness.
RC_FLOW_004,quarantine_fallback,event_spine,event_spine,true,rf_support_replay_observe,gws_support_replay_observe,scenario:quarantine_attachment_flow,,intake.attachment.quarantined | request.closure_blockers.changed,stream_intake | stream_request,q_event_projection_live | q_event_projection_replay | q_event_assurance_audit | q_event_replay_quarantine | q_event_projection_live | q_event_projection_replay | q_event_assurance_audit | q_event_replay_quarantine,,transport_and_queue_lineage_preserved,true,true,,Canonical event names mapped into the published event spine transport rows.
RC_FLOW_004,quarantine_fallback,projection_worker,runtime_http,true,rf_support_replay_observe,gws_support_replay_observe,200:armed,,projection.placeholder.accepted,,PQC_050_RF_SUPPORT_REPLAY_OBSERVE_V1 | projection::ops-telemetry,,stale-read-explicit,true,true,,Real projection intake and freshness endpoints over local HTTP.
RC_FLOW_004,quarantine_fallback,shell_observatory,shell_manifest,true,rf_support_replay_observe,gws_support_replay_observe,partial:recovery_only,,,FMTUP_127_SURF_SUPPORT_REPLAY_OBSERVE_V1,surf_support_replay_observe,command_api_request_closure_fallbackReviewCase_0001 | fallback_case_restore_review_001,Patient-visible continuity remains truthful while support replay observes the same lineage and manual fallback review is opened.,true,true,GAP_REFERENCE_FLOW_SURFACE_SUPPORT_REPLAY_MUTATION_PATH_UNPUBLISHED | GAP_REFERENCE_FLOW_SURFACE_SUPPORT_REPLAY_CONTINUES_VIA_READ_ONLY_PUBLISHED_SHELL,Published shell tuple and continuity expectation reflected in the observatory.
RC_FLOW_005,identity_hold,gateway,runtime_http,true,rf_patient_secure_link_recovery,gws_patient_secure_link_recovery,409:SURFACE_PUBLICATION_BLOCKED,,,,,,declared,true,true,GAP_REFERENCE_FLOW_SURFACE_PATIENT_SECURE_LINK_RECOVERY_PUBLICATION_BLOCKED | GAP_REFERENCE_FLOW_EVENT_MAPPING_REACHABILITY_CHANGED,Real gateway authority evaluation over local HTTP.
RC_FLOW_005,identity_hold,command_api,runtime_http,true,rf_patient_secure_link_recovery,gws_patient_secure_link_recovery,200:awaiting_settlement_evidence,,command.placeholder.accepted,queued_stub,,,observed,true,true,,Real command ingress over local HTTP.
RC_FLOW_005,identity_hold,domain_kernel,domain_orchestrator,true,rf_patient_secure_link_recovery,gws_patient_secure_link_recovery,authoritative_progress_recorded,IdentityRepairCase:par080_repair_simulation_identityRepairCase_0001 | IdentityRepairFreeze:par080_repair_simulation_identityRepairFreezeRecord_0001 | RequestClosureRecord:command_api_request_closure_requestClosureRecord_0003,identity.repair_case.opened | identity.repair_case.freeze_committed | reachability.changed,par080_repair_simulation_identityRepairFreezeRecord_0001 | par080_repair_simulation_identityRepairReleaseSettlement_0001,,identity_repair_case_001 | duplicate_cluster_review_001 | reachability_repair_001,unsafe_continuation_blocked_pending_identity_repair,true,true,GAP_REFERENCE_FLOW_SURFACE_PATIENT_SECURE_LINK_RECOVERY_PUBLICATION_BLOCKED,Canonical domain and orchestrator proof reused by the synthetic harness.
RC_FLOW_005,identity_hold,event_spine,event_spine,true,rf_patient_secure_link_recovery,gws_patient_secure_link_recovery,scenario:reachability_failure_flow,,identity.repair_case.opened | identity.repair_case.freeze_committed | reachability.changed,stream_identity | stream_identity | unmapped,q_event_projection_live | q_event_projection_replay | q_event_assurance_audit | q_event_projection_live | q_event_projection_replay | q_event_assurance_audit,,transport_and_queue_lineage_preserved,true,true,GAP_REFERENCE_FLOW_EVENT_MAPPING_REACHABILITY_CHANGED,Canonical event names mapped into the published event spine transport rows.
RC_FLOW_005,identity_hold,projection_worker,runtime_http,true,rf_patient_secure_link_recovery,gws_patient_secure_link_recovery,200:armed,,projection.placeholder.accepted,,PQC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1 | projection::patient-home,,stale-read-explicit,true,true,,Real projection intake and freshness endpoints over local HTTP.
RC_FLOW_005,identity_hold,shell_observatory,shell_manifest,true,rf_patient_secure_link_recovery,gws_patient_secure_link_recovery,blocked:blocked,,,FMTUP_127_SURF_PATIENT_SECURE_LINK_RECOVERY_V1,surf_patient_secure_link_recovery,identity_repair_case_001 | duplicate_cluster_review_001 | reachability_repair_001,"The patient recovery shell stays lineage-aware, but mutation stays blocked until identity repair is governed and auditable.",true,true,GAP_REFERENCE_FLOW_SURFACE_PATIENT_SECURE_LINK_RECOVERY_PUBLICATION_BLOCKED,Published shell tuple and continuity expectation reflected in the observatory.
RC_FLOW_006,confirmation_blocked,gateway,runtime_http,true,rf_hub_case_management,gws_hub_case_management,200:degraded,,,,,,mock_published_with_downgrade,true,true,,Real gateway authority evaluation over local HTTP.
RC_FLOW_006,confirmation_blocked,command_api,runtime_http,true,rf_hub_case_management,gws_hub_case_management,200:awaiting_settlement_evidence,,command.placeholder.accepted,queued_stub,,,observed,true,true,,Real command ingress over local HTTP.
RC_FLOW_006,confirmation_blocked,domain_kernel,domain_orchestrator,true,rf_hub_case_management,gws_hub_case_management,authoritative_progress_recorded,RequestClosureRecord:lifecycle_coordinator_backbone_requestClosure_0004 | TransitionEnvelope:e447fca8a90bd778805329365e55a9c7 | ConfirmationGate:confirmation_gate_booking_001,confirmation.gate.created | request.closure_blockers.changed,command_settlement_simulation_072_processing_pending_command_settlement_simulation_072_processing_pending_lease_command_action_record_0001_2026-04-12T12:03:10Z_settlement_command_settlement_record_0001,,confirmation_gate_001 | confirmation_gate_booking_001,same_lineage_open_pending_external_confirmation,true,true,,Canonical domain and orchestrator proof reused by the synthetic harness.
RC_FLOW_006,confirmation_blocked,event_spine,event_spine,true,rf_hub_case_management,gws_hub_case_management,scenario:confirmation_gate_flow,,confirmation.gate.created | request.closure_blockers.changed,stream_confirmation | stream_request,q_event_projection_live | q_event_projection_replay | q_event_integration_effects | q_event_callback_correlation | q_event_assurance_audit | q_event_projection_live | q_event_projection_replay | q_event_assurance_audit | q_event_replay_quarantine,,transport_and_queue_lineage_preserved,true,true,,Canonical event names mapped into the published event spine transport rows.
RC_FLOW_006,confirmation_blocked,projection_worker,runtime_http,true,rf_hub_case_management,gws_hub_case_management,200:armed,,projection.placeholder.accepted,,PQC_050_RF_HUB_CASE_MANAGEMENT_V1 | projection::ops-telemetry,,stale-read-explicit,true,true,,Real projection intake and freshness endpoints over local HTTP.
RC_FLOW_006,confirmation_blocked,shell_observatory,shell_manifest,true,rf_hub_case_management,gws_hub_case_management,partial:read_only,,,FMTUP_127_SURF_HUB_CASE_MANAGEMENT_V1,surf_hub_case_management,confirmation_gate_001 | confirmation_gate_booking_001,"The hub shell keeps the same lineage open, marks confirmation debt explicitly, and does not collapse pending transport into calm completion.",true,true,,Published shell tuple and continuity expectation reflected in the observatory.
