contract_ref,contract_kind,architecture_plane,primary_adr_id,supporting_adr_ids,bound_view_id,source_refs,upstream_task_refs,runtime_consumers,binding_law,drift_effect,validation_obligations,status
ReleaseWatchTuple,watch_tuple,release_authority,ADR-016-011,ADR-016-012; ADR-016-015,view_release_assurance_resilience,platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; 15_release_and_supply_chain_tooling_baseline.md,seq_011; seq_015; seq_016,release cockpit; operations continuity boards; governance handoff routes,Post-promotion watch consumes the same promoted package and parity tuple as runtime publication.,Watch posture cannot silently rebase to a different package or observation epoch.,Require watch tuple parity in release oversight and governance handoff artifacts.,accepted
WaveObservationPolicy,wave_policy,release_authority,ADR-016-011,ADR-016-012,view_release_assurance_resilience,platform-runtime-and-release-blueprint.md#WaveObservationPolicy; 15_verification_ladder_and_quality_gate_strategy.md,seq_011; seq_015; seq_016,release orchestrator; watch policies; resilience evidence routing,Wave observation policy defines how live waves prove continued authority after promotion.,Promotion or wave widening halts when observation or guardrail posture becomes stale.,Ensure wave widening and rollback are bound to the same publication and trust tuple.,accepted
OperationalReadinessSnapshot,readiness_snapshot,resilience,ADR-016-012,ADR-016-015,view_release_assurance_resilience,phase-0-the-foundation-protocol.md#OperationalReadinessSnapshot; forensic-audit-findings.md#Finding 112 - Resilience restore authority still depended on loose runbooks and dashboards,seq_009; seq_011; seq_015; seq_016,restore controller; failover runbook binding; operations and governance boards,Readiness snapshot is the release-scoped authority for restore readiness and rehearsal freshness.,"Runbooks, bookmarks, or memory cannot substitute for a fresh readiness snapshot.",Require readiness freshness before restore or failover actions become live-control eligible.,accepted
RecoveryControlPosture,recovery_posture,resilience,ADR-016-012,ADR-016-015,view_release_assurance_resilience,phase-0-the-foundation-protocol.md#RecoveryControlPosture; forensic-audit-findings.md#Finding 112 - Resilience restore authority still depended on loose runbooks and dashboards,seq_011; seq_015; seq_016,restore surfaces; failover controls; chaos controls; operator drill paths,"Recovery control posture is the only live runtime verdict for restore, failover, and chaos authority.",Surfaces may diagnose but cannot imply live control when posture is blocked or diagnostic-only.,Require live-control posture plus fresh readiness and settlement evidence before resilient actions.,accepted
RuntimePublicationBundle,runtime_publication,publication_control,ADR-016-011,ADR-016-004; ADR-016-010; ADR-016-015,view_container_topology,phase-0-the-foundation-protocol.md#RuntimePublicationBundle; platform-runtime-and-release-blueprint.md#RuntimePublicationBundle,seq_011; seq_014; seq_015; seq_016,shells; gateways; operations; governance; release tooling,"Runtime publication binds route, design, settlement, recovery, and provenance truth into one machine-readable bundle.",Compiled sources alone do not create live authority; publication drift freezes runtime posture.,"Require runtime publication bundle parity across release, shell, and operations consumers.",accepted
ReleasePublicationParityRecord,publication_parity,publication_control,ADR-016-011,ADR-016-007; ADR-016-015,view_frontend_gateway_design_contract,platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord; 15_release_and_supply_chain_tooling_baseline.md,seq_014; seq_015; seq_016,runtime publication validators; shell authority gates; release cockpit,Live surfaces consume parity-checked publication tuples rather than ad hoc digest combinations.,Writable posture freezes on parity drift even if artifacts and routes still exist.,"Keep parity proof aligned with release, design-contract, and runtime publication bundles.",accepted
LifecycleCoordinator,lifecycle_owner,lifecycle_control,ADR-016-008,ADR-016-006,view_domain_runtime_control_plane,phase-0-the-foundation-protocol.md#LifecycleCoordinator; forensic-audit-findings.md#Findings 48-50,seq_005; seq_013; seq_016,triage; booking; hub; pharmacy; request closure evaluation,Only LifecycleCoordinator can derive cross-domain closure or governed reopen decisions.,Child domains emit milestones and signals but cannot claim canonical request closure directly.,Verify request closure and reopen logic cite coordinator-owned blockers and settlements.,accepted
FhirRepresentationContract,representation_boundary,data_and_integration,ADR-016-001,ADR-016-009,view_data_event_storage_integration,phase-0-the-foundation-protocol.md#FhirRepresentationContract; 13_fhir_representation_and_projection_boundary.md,seq_013; seq_016,FHIR mapping; partner exchange; audit and provenance,"FHIR shape is governed at the representation contract, not inferred from aggregate internals or route payloads.","Representation drift triggers replay, invalidation, or contract versioning rather than hidden model mutation.",Require contract versioning and evidence binding for every clinical or partner-facing representation set.,accepted
ActingScopeTuple,scope_tuple,governed_scope,ADR-016-003,ADR-016-012,view_container_topology,phase-0-the-foundation-protocol.md#ActingScopeTuple; 11_tenant_model_and_acting_scope_strategy.md,seq_011; seq_016,support tools; governance actions; cross-organisation work; elevated diagnostics,"Tuple hash binds tenant, organisation, environment, policy plane, purpose-of-use, and visibility coverage into one machine-checkable authority.",Context-preserving shells remain visible but mutating actions freeze until tuple refresh.,Require exact tuple agreement on privileged and cross-organisation actions.,accepted
VisibilityProjectionPolicy,disclosure_policy,data_and_disclosure,ADR-016-013,ADR-016-007; ADR-016-010,view_data_event_storage_integration,phase-0-the-foundation-protocol.md#VisibilityProjectionPolicy; 10_phi_masking_and_redaction_policy.md,seq_010; seq_016,patient-safe summaries; support replay; exports; audit surfaces,"Disclosure posture, allowed fields, break-glass requirements, and consistency class resolve through one visibility policy.",Affected surfaces downgrade or mask data instead of improvising local disclosure behavior.,Require current visibility policy and redaction transforms for PHI-bearing surfaces and exports.,accepted
BuildProvenanceRecord,supply_chain_proof,publication_control,ADR-016-011,ADR-016-015,view_release_assurance_resilience,15_release_and_supply_chain_tooling_baseline.md; supply_chain_and_provenance_matrix.json,seq_015; seq_016,release gates; provenance validators; governance review,Runtime authority depends on verified provenance rather than CI success alone.,Publication and writable posture fail closed when provenance is missing or stale.,"Require signed provenance, SBOM coverage, and release tuple parity before live authority.",accepted
