transition_id,machine_id,canonical_name,from_state,to_state,trigger,guards,authoritative_proofs,degraded_posture_if_missing,closure_blocker_interactions,related_objects,source_refs
SM_REQUEST_WORKFLOW_STATE__HANDOFF_ACTIVE__OUTCOME_RECORDED,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,handoff_active,outcome_recorded,Child-domain outcome milestone settles after local truth is reconciled.,Downstream case-local truth is authoritative; Any confirmation gate needed for the branch is satisfied or downgraded under policy,BookingOutcomeMilestone | HubCoordinationMilestone | PharmacyOutcomeMilestone; ExternalConfirmationGate or branch-local closure truth,blocked / recovery_only,"Ambiguous booking, hub, or pharmacy truth keeps closure blocked until cleared",BookingCase; HubCoordinationCase; PharmacyCase; ExternalConfirmationGate,"phase-4-the-booking-engine.md#4A Booking contract, case model, and state machine; phase-5-the-network-horizon.md#5A Network coordination contract, case model, and state machine; phase-6-the-pharmacy-loop.md#6A Pharmacy contract, case model, and state machine"
SM_REQUEST_WORKFLOW_STATE__OUTCOME_RECORDED__CLOSED,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,outcome_recorded,closed,LifecycleCoordinator evaluates a zero-blocker closure on the current lineage epoch.,"Coordinator-materialized blocker sets are empty; No active lease, repair, duplicate, fallback, confirmation, reachability, or grant blocker remains",RequestClosureRecord(decision = close); Request.closure_blockers.changed -> empty set,defer,Closure remains deferred while any blocker ref remains non-empty,RequestClosureRecord; DuplicateCluster; FallbackReviewCase; ExternalConfirmationGate,phase-0-the-foundation-protocol.md#1.12 RequestClosureRecord; forensic-audit-findings.md#Finding 71 - Closure evaluation did not explicitly assert empty coordinator-materialized blocker sets
SM_REQUEST_SAFETY_STATE__NOT_SCREENED__SCREEN_CLEAR,SM_REQUEST_SAFETY_STATE,Request.safetyState,not_screened,screen_clear,Initial or resumed safety run clears urgent and residual risk.,Composite evidence snapshot is settled; No active safety preemption remains,SafetyDecisionRecord(requestedSafetyState = screen_clear),blocked / recovery_only,,SafetyDecisionRecord; EvidenceSnapshot,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_SAFETY_STATE__NOT_SCREENED__RESIDUAL_RISK_FLAGGED,SM_REQUEST_SAFETY_STATE,Request.safetyState,not_screened,residual_risk_flagged,Safety run detects residual but not urgent risk.,Canonical safety rules run against the current snapshot,SafetyDecisionRecord(requestedSafetyState = residual_risk_flagged),blocked / recovery_only,,SafetyDecisionRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_SAFETY_STATE__NOT_SCREENED__URGENT_DIVERSION_REQUIRED,SM_REQUEST_SAFETY_STATE,Request.safetyState,not_screened,urgent_diversion_required,Initial safety run requires urgent diversion.,Urgent path is materially required and not yet durably issued,SafetyDecisionRecord(requestedSafetyState = urgent_diversion_required),urgent_required,Closure blocks until urgent issuance is durably settled,UrgentDiversionSettlement; SafetyDecisionRecord,phase-1-the-red-flag-gate.md; forensic-audit-findings.md#Finding 11 - Urgent diversion required and completed were collapsed
SM_REQUEST_SAFETY_STATE__RESIDUAL_RISK_FLAGGED__URGENT_DIVERSION_REQUIRED,SM_REQUEST_SAFETY_STATE,Request.safetyState,residual_risk_flagged,urgent_diversion_required,Materially new evidence escalates the case into urgent handling.,Evidence assimilation and re-safety completed on the latest snapshot,EvidenceAssimilationRecord; SafetyDecisionRecord(requestedSafetyState = urgent_diversion_required),urgent_required,,EvidenceAssimilationRecord; MaterialDeltaAssessment; SafetyPreemptionRecord,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety; forensic-audit-findings.md#Finding 13 - Materially new evidence bypassed canonical re-safety"
SM_REQUEST_SAFETY_STATE__SCREEN_CLEAR__RESIDUAL_RISK_FLAGGED,SM_REQUEST_SAFETY_STATE,Request.safetyState,screen_clear,residual_risk_flagged,Material evidence arrives and re-safety no longer clears completely.,MaterialDeltaAssessment requires re-safety,EvidenceAssimilationRecord; SafetyDecisionRecord(requestedSafetyState = residual_risk_flagged),blocked / recovery_only,,EvidenceAssimilationRecord; MaterialDeltaAssessment,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_REQUEST_SAFETY_STATE__SCREEN_CLEAR__URGENT_DIVERSION_REQUIRED,SM_REQUEST_SAFETY_STATE,Request.safetyState,screen_clear,urgent_diversion_required,Later evidence or callback outcome proves urgent routing is now required.,SafetyOrchestrator preempts routine flow on the current snapshot,SafetyPreemptionRecord; SafetyDecisionRecord(requestedSafetyState = urgent_diversion_required),urgent_required,,SafetyPreemptionRecord; SafetyDecisionRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_SAFETY_STATE__URGENT_DIVERSION_REQUIRED__URGENT_DIVERTED,SM_REQUEST_SAFETY_STATE,Request.safetyState,urgent_diversion_required,urgent_diverted,"Urgent advice, escalation, or contact issuance is durably settled.",Urgent issuance is no longer merely required; Authoritative diversion proof binds to the same lineage,UrgentDiversionSettlement,blocked / recovery_only,,UrgentDiversionSettlement,phase-1-the-red-flag-gate.md; forensic-audit-findings.md#Finding 11 - Urgent diversion required and completed were collapsed
SM_REQUEST_IDENTITY_STATE__ANONYMOUS__PARTIAL_MATCH,SM_REQUEST_IDENTITY_STATE,Request.identityState,anonymous,partial_match,IdentityBinding finds candidate matches but not yet durable patient binding.,IdentityBinding.bindingState is candidate or provisional_verified,IdentityBinding; CapabilityDecision,blocked / recovery_only,,IdentityBinding,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_IDENTITY_STATE__PARTIAL_MATCH__MATCHED,SM_REQUEST_IDENTITY_STATE,Request.identityState,partial_match,matched,IdentityBinding verifies a patient but claim or writable authority is not yet complete.,"IdentityBinding.bindingState is verified_patient; patientRef remains derived, not hand-written",IdentityBinding(bindingState = verified_patient),blocked / recovery_only,,IdentityBinding,phase-0-the-foundation-protocol.md#1.4 IdentityBinding; forensic-audit-findings.md#Finding 50 - The concrete Request schema dropped identity-binding references and treated patientRef as unconditional
SM_REQUEST_IDENTITY_STATE__MATCHED__CLAIMED,SM_REQUEST_IDENTITY_STATE,Request.identityState,matched,claimed,Claim or continuation redemption settles writable patient identity on the current lineage.,Current Session and RouteIntentBinding are live; No identity repair is active,SessionEstablishmentDecision; RouteIntentBinding; IdentityBindingAuthority settlement,blocked / recovery_only,,Session; RouteIntentBinding; IdentityBinding,"phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; phase-2-identity-and-echoes.md"
SM_EPISODE_STATE__OPEN__RESOLVED,SM_EPISODE_STATE,Episode.state,open,resolved,All related requests and branches satisfy closure policy.,Every related RequestClosureRecord is close; Episode-level blocker refs are empty,EpisodeResolutionSettlement; RequestClosureRecord(decision = close),blocked / recovery_only,"Identity repair, duplicate review, fallback review, and confirmation gates remain orthogonal blockers",RequestClosureRecord; Episode,phase-0-the-foundation-protocol.md#1.2 Episode; phase-0-the-foundation-protocol.md#Closure evaluation
SM_EPISODE_STATE__RESOLVED__ARCHIVED,SM_EPISODE_STATE,Episode.state,resolved,archived,Retention and lifecycle policy archives the already resolved episode.,Resolution is durable; Archive posture is legal for the episode scope,EpisodeArchiveRecord; DispositionEligibilityAssessment(eligibilityState = archive_only | delete_allowed),blocked / recovery_only,,DispositionEligibilityAssessment,"phase-0-the-foundation-protocol.md#1.2 Episode; phase-9-the-assurance-ledger.md#Records lifecycle, retention, legal hold, and deletion engine"
SM_TELEPHONY_EVIDENCE_READINESS__AWAITING_RECORDING__AWAITING_TRANSCRIPT,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,awaiting_recording,awaiting_transcript,Recording lands but transcript is still required.,Recording availability is durable,CallRecordingReceipt; TelephonyEvidenceReadinessAssessment,blocked / recovery_only,,CallSession,phase-0-the-foundation-protocol.md#1.3D TelephonyEvidenceReadinessAssessment; forensic-audit-findings.md#Finding 08 - Telephony evidence-readiness gate was missing
SM_TELEPHONY_EVIDENCE_READINESS__AWAITING_TRANSCRIPT__AWAITING_STRUCTURED_CAPTURE,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,awaiting_transcript,awaiting_structured_capture,Transcript lands but required keypad or structured capture is incomplete.,Transcript sufficiency is settled; Required structured capture remains incomplete,TranscriptReadinessRecord; StructuredCaptureAssessment,blocked / recovery_only,,CallSession,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_TELEPHONY_EVIDENCE_READINESS__AWAITING_RECORDING__URGENT_LIVE_ONLY,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,awaiting_recording,urgent_live_only,Urgent live branch is the only safe path before routine evidence is promotable.,Urgent-live assessment requires conservative diversion,UrgentLiveAssessment,urgent_live_only,,UrgentLiveAssessment,phase-0-the-foundation-protocol.md#1.3D TelephonyEvidenceReadinessAssessment; forensic-audit-findings.md#Finding 08 - Telephony evidence-readiness gate was missing
SM_TELEPHONY_EVIDENCE_READINESS__AWAITING_STRUCTURED_CAPTURE__SAFETY_USABLE,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,awaiting_structured_capture,safety_usable,"Recording, transcript, and structured capture together clear routine safety use.",PromotionReadiness is ready_to_seed or ready_to_promote,TelephonyEvidenceReadinessAssessment(usabilityState = safety_usable),blocked / recovery_only,,TelephonyContinuationEligibility; SubmissionEnvelope,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_TELEPHONY_EVIDENCE_READINESS__URGENT_LIVE_ONLY__MANUAL_REVIEW_ONLY,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,urgent_live_only,manual_review_only,Urgent live path ends without enough routine evidence for ordinary promotion.,Routine evidence still fails safety-usable threshold,TelephonyManualReviewDisposition(reviewState = open),manual_review_only,,TelephonyManualReviewDisposition,phase-0-the-foundation-protocol.md#1.3F TelephonyManualReviewDisposition
SM_TELEPHONY_EVIDENCE_READINESS__MANUAL_REVIEW_ONLY__SAFETY_USABLE,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,manual_review_only,safety_usable,Manual review or transcription settles promotable evidence.,Manual review disposition is settled,TelephonyManualReviewDisposition(reviewState = settled); TelephonyEvidenceReadinessAssessment(usabilityState = safety_usable),blocked / recovery_only,,TelephonyManualReviewDisposition,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_TELEPHONY_EVIDENCE_READINESS__MANUAL_REVIEW_ONLY__UNUSABLE_TERMINAL,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,manual_review_only,unusable_terminal,Manual review concludes the capture cannot safely become routine intake.,No recoverable continuation remains,TelephonyManualReviewDisposition(reviewMode = abandon),under_manual_review,,TelephonyManualReviewDisposition,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_TELEPHONY_CONTINUATION_ELIGIBILITY__NOT_ELIGIBLE__ELIGIBLE_SEEDED,SM_TELEPHONY_CONTINUATION_ELIGIBILITY,TelephonyContinuationEligibility.eligibilityState,not_eligible,eligible_seeded,Readiness and identity confidence allow seeded continuation.,Evidence readiness is safety_usable or ready_to_seed; Lineage scope is proven,TelephonyContinuationEligibility(eligibilityState = eligible_seeded); AccessGrant(grantFamily = continuation_seeded_verified),blocked / recovery_only,,TelephonyEvidenceReadinessAssessment; AccessGrant,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_TELEPHONY_CONTINUATION_ELIGIBILITY__NOT_ELIGIBLE__ELIGIBLE_CHALLENGE,SM_TELEPHONY_CONTINUATION_ELIGIBILITY,TelephonyContinuationEligibility.eligibilityState,not_eligible,eligible_challenge,Continuation is allowed only after a challenge rather than seeded verification.,Identity or destination confidence is insufficient for seeded continuation,TelephonyContinuationEligibility(eligibilityState = eligible_challenge); AccessGrant(grantFamily = continuation_challenge),blocked / recovery_only,,AccessGrant,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_TELEPHONY_CONTINUATION_ELIGIBILITY__NOT_ELIGIBLE__MANUAL_ONLY,SM_TELEPHONY_CONTINUATION_ELIGIBILITY,TelephonyContinuationEligibility.eligibilityState,not_eligible,manual_only,Continuation cannot be safely granted on the current evidence.,GrantFamilyRecommendation = manual_only,TelephonyContinuationEligibility(eligibilityState = manual_only),manual_only,,TelephonyEvidenceReadinessAssessment,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_IDENTITY_BINDING_STATE__CANDIDATE__PROVISIONAL_VERIFIED,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,candidate,provisional_verified,Evidence is strong enough for controlled progress but not yet durable external consequence.,Link probability lower bounds meet provisional policy,IdentityBinding(bindingState = provisional_verified),blocked / recovery_only,,IdentityBinding,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_IDENTITY_BINDING_STATE__CANDIDATE__AMBIGUOUS,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,candidate,ambiguous,Competing identity candidates remain unresolved.,Runner-up probability stays within ambiguity policy,IdentityBinding(bindingState = ambiguous),identity_hold,,IdentityRepairCase,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_IDENTITY_BINDING_STATE__PROVISIONAL_VERIFIED__VERIFIED_PATIENT,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,provisional_verified,verified_patient,Binding is durably verified to one patient.,Subject proof and match evidence satisfy verified threshold,IdentityBinding(bindingState = verified_patient),blocked / recovery_only,,IdentityBinding,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_IDENTITY_BINDING_STATE__VERIFIED_PATIENT__CORRECTION_PENDING,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,verified_patient,correction_pending,Wrong-patient correction or identity challenge freezes the active binding.,IdentityRepairCase is opened,IdentityRepairCase; IdentityRepairFreezeRecord,identity_hold,Identity repair blocks closure and writable calmness,IdentityRepairCase,phase-0-the-foundation-protocol.md#1.5 IdentityRepairCase; forensic-audit-findings.md#Finding 69 - Wrong-patient correction rewrote canonical workflow state instead of attaching repair metadata
SM_IDENTITY_BINDING_STATE__CORRECTION_PENDING__CORRECTED,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,correction_pending,corrected,IdentityBindingAuthority settles corrected binding under release settlement.,Identity repair release settlement is current,IdentityRepairReleaseSettlement; IdentityBinding(bindingState = corrected),blocked / recovery_only,,IdentityRepairReleaseSettlement,phase-0-the-foundation-protocol.md#1.5C IdentityRepairReleaseSettlement
SM_IDENTITY_BINDING_STATE__CORRECTED__REVOKED,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,corrected,revoked,The corrected binding is later superseded or revoked.,A newer settled binding exists or revocation policy applies,IdentityBinding(bindingState = revoked),blocked / recovery_only,,IdentityBinding,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_STATE__ESTABLISHING__ACTIVE,SM_SESSION_STATE,Session.sessionState,establishing,active,"Session establishment settles on the current grant, binding, and tuple.",SessionEstablishmentDecision is current; Identity binding and grant context still match,SessionEstablishmentDecision; Session(sessionState = active),blocked / recovery_only,,SessionEstablishmentDecision; AccessGrant; RouteIntentBinding,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_STATE__ACTIVE__STEP_UP_REQUIRED,SM_SESSION_STATE,Session.sessionState,active,step_up_required,"Policy, risk, or scope change requires additional assurance before continuing.",Higher assurance is required for the target action,CapabilityDecision; Session(sessionState = step_up_required),claim_pending,,CapabilityDecision,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_STATE__STEP_UP_REQUIRED__ACTIVE,SM_SESSION_STATE,Session.sessionState,step_up_required,active,Step-up succeeds under the current session epoch and binding version.,Same session fence and route tuple remain current,SessionEstablishmentDecision; Session(sessionState = active),blocked / recovery_only,,SessionEstablishmentDecision; RouteIntentBinding,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_STATE__ACTIVE__RESTRICTED,SM_SESSION_STATE,Session.sessionState,active,restricted,Policy or release posture narrows the session to restricted interaction.,Writable authority is no longer legal on the live tuple,ReleaseRecoveryDisposition; Session(sessionState = restricted),read_only,,AudienceSurfaceRuntimeBinding; ReleaseRecoveryDisposition,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_STATE__RESTRICTED__RECOVERY_ONLY,SM_SESSION_STATE,Session.sessionState,restricted,recovery_only,Session continuity drifts beyond read-only restrictions and requires recovery.,Tuple or subject drift invalidates the bound route posture,RouteIntentBinding(bindingState = recovery_only); Session(sessionState = recovery_only),recovery_only,,RouteIntentBinding; AudienceSurfaceRuntimeBinding,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_STATE__ACTIVE__REVOKED,SM_SESSION_STATE,Session.sessionState,active,revoked,"Logout, repair, or supersession revokes the session.",Revocation is authoritative on the current session epoch,SessionTerminationSettlement,blocked / recovery_only,,SessionTerminationSettlement; AccessGrantSupersessionRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_STATE__ACTIVE__EXPIRED_IDLE,SM_SESSION_STATE,Session.sessionState,active,expired_idle,Idle timeout elapses.,Idle expiry threshold has passed,SessionTerminationSettlement,blocked / recovery_only,,SessionTerminationSettlement,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_STATE__ACTIVE__EXPIRED_ABSOLUTE,SM_SESSION_STATE,Session.sessionState,active,expired_absolute,Absolute session lifetime elapses.,Absolute expiry threshold has passed,SessionTerminationSettlement,blocked / recovery_only,,SessionTerminationSettlement,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_STATE__ACTIVE__TERMINATED,SM_SESSION_STATE,Session.sessionState,active,terminated,The session ends for an explicit terminal reason.,Termination settlement is authoritative,SessionTerminationSettlement,blocked / recovery_only,,SessionTerminationSettlement,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_ROUTE_AUTHORITY__NONE__AUTH_READ_ONLY,SM_SESSION_ROUTE_AUTHORITY,Session.routeAuthorityState,none,auth_read_only,Auth succeeds but writable claim has not been settled.,Session is active on the current subject scope,Session(sessionState = active); CapabilityDecision(decisionState = allow),blocked / recovery_only,,Session; CapabilityDecision,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_ROUTE_AUTHORITY__AUTH_READ_ONLY__CLAIM_PENDING,SM_SESSION_ROUTE_AUTHORITY,Session.routeAuthorityState,auth_read_only,claim_pending,Claim path or secure continuation is underway.,Current grant family permits claim-pending progression,AccessGrantRedemptionRecord; SessionEstablishmentDecision(writableAuthorityState = claim_pending),blocked / recovery_only,,AccessGrant; SessionEstablishmentDecision,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SESSION_ROUTE_AUTHORITY__CLAIM_PENDING__WRITABLE,SM_SESSION_ROUTE_AUTHORITY,Session.routeAuthorityState,claim_pending,writable,"Current capability, route intent, and publication tuple all permit mutation.",Session.sessionState = active; RouteIntentBinding is live; AudienceSurfaceRuntimeBinding is publishable_live,RouteIntentBinding(bindingState = live); AudienceSurfaceRuntimeBinding(bindingState = publishable_live); CapabilityDecision(decisionState = allow),blocked / recovery_only,,RouteIntentBinding; AudienceSurfaceRuntimeBinding; CapabilityDecision,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_ACCESS_GRANT_LIFECYCLE__LIVE__REDEEMING,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,live,redeeming,A one-time or rotating grant is presented and redemption begins.,"Grant validator, lineage scope, and runtime tuple all still match",AccessGrantRedemptionRecord,blocked / recovery_only,,AccessGrantScopeEnvelope; RouteIntentBinding,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_ACCESS_GRANT_LIFECYCLE__REDEEMING__REDEEMED,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,redeeming,redeemed,Redemption settles exactly once and downstream session or continuation creation succeeds.,No replay collision exists; Redemption count and scope are still valid,AccessGrantRedemptionRecord; CommandSettlementRecord(authoritativeOutcomeState = settled),blocked / recovery_only,,CommandSettlementRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_ACCESS_GRANT_LIFECYCLE__LIVE__ROTATED,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,live,rotated,Grant rotation or reissue begins under the same governed family.,Fresh grant issuance is required on a newer tuple,AccessGrantSupersessionRecord,blocked / recovery_only,,AccessGrantScopeEnvelope,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_ACCESS_GRANT_LIFECYCLE__ROTATED__SUPERSEDED,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,rotated,superseded,Replacement grant is current and the prior grant is now historical only.,Supersession is exact-once and authoritative,AccessGrantSupersessionRecord,blocked / recovery_only,,AccessGrant,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_ACCESS_GRANT_LIFECYCLE__LIVE__REVOKED,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,live,revoked,"Grant is explicitly revoked for repair, logout, policy, or abuse reasons.",Revocation binds to the current grant family and tuple,AccessGrantSupersessionRecord; GrantRevocationRecord,blocked / recovery_only,,AccessGrant,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_ACCESS_GRANT_LIFECYCLE__LIVE__EXPIRED,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,live,expired,Grant expires before legal redemption.,Expiry time has passed,AccessGrantExpiryRecord,blocked / recovery_only,,AccessGrant,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_DUPLICATE_CLUSTER_STATUS__OPEN__IN_REVIEW,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,open,in_review,Review-required duplicate ambiguity is assigned explicit triage review work.,relationType = review_required or same_episode_candidate,DuplicateCluster; request.duplicate.review_required event,blocked / recovery_only,Duplicate review blocks closure while unresolved,DuplicateResolutionDecision,phase-0-the-foundation-protocol.md#1.7 DuplicateCluster; forensic-audit-findings.md#Finding 65 - The event catalogue lacked duplicate-review lifecycle events
