risk_id,risk_title,gate_id,gate_title,gate_type,baseline_scope,risk_class,gate_impact,link_reason
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_002,Request.workflowState is milestone-only,GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,privacy,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_005,blockers remain orthogonal to workflow milestones,GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,GATE_P0_0C_TO_0D,Phase 0C hard gate into 0D control governors,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,GATE_P0_0D_TO_0E,Phase 0D hard gate into 0E verification and contract publication,phase_entry,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,GATE_P0_0D_TO_0E,Phase 0D hard gate into 0E verification and contract publication,phase_entry,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,GATE_P0_0D_TO_0E,Phase 0D hard gate into 0E verification and contract publication,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,GATE_P0_0D_TO_0E,Phase 0D hard gate into 0E verification and contract publication,phase_entry,current,governance,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,GATE_P0_0D_TO_0E,Phase 0D hard gate into 0E verification and contract publication,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_P0_0F_TO_0G,Phase 0 hard gate from 0F synthetic flow into 0G assurance closeout,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,GATE_P0_0F_TO_0G,Phase 0 hard gate from 0F synthetic flow into 0G assurance closeout,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
HZ_WRONG_PATIENT_BINDING,Wrong-patient binding or correction failure,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,privacy,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,governance,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_002,Request.workflowState is milestone-only,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,privacy,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_005,blockers remain orthogonal to workflow milestones,GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE,Urgent diversion under-triage or over-triage,GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Phase 0 long-lead assurance merge gate,par_block_merge,current,clinical_safety,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
HZ_WRONG_PATIENT_BINDING,Wrong-patient binding or correction failure,GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Phase 0 long-lead assurance merge gate,par_block_merge,current,privacy,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_COMMS_VENDOR_DELAY,"Notifications, telephony, transcription, or scanning onboarding drifts past the engineering path",GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Phase 0 long-lead assurance merge gate,par_block_merge,current,external_dependency,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_IM1_SCAL_DELAY,IM1 and SCAL readiness lag blocks Phase 0 assurance merge and later booking reach,GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Phase 0 long-lead assurance merge gate,par_block_merge,current,external_dependency,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_NHS_LOGIN_DELAY,NHS login partner onboarding or redirect proof delay stalls the current baseline,GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Phase 0 long-lead assurance merge gate,par_block_merge,current,external_dependency,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,GATE_P0_PARALLEL_FOUNDATION_OPEN,Phase 0 parallel foundation open gate,phase_entry,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,GATE_P0_PARALLEL_FOUNDATION_OPEN,Phase 0 parallel foundation open gate,phase_entry,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,GATE_P0_PARALLEL_FOUNDATION_OPEN,Phase 0 parallel foundation open gate,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,GATE_P0_PARALLEL_FOUNDATION_OPEN,Phase 0 parallel foundation open gate,phase_entry,current,governance,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,GATE_P0_PARALLEL_FOUNDATION_OPEN,Phase 0 parallel foundation open gate,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,GATE_P1_EXIT,Phase 1 exit gate,phase_exit,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,GATE_P1_EXIT,Phase 1 exit gate,phase_exit,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_001,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,GATE_P1_PARALLEL_MERGE,Phase 1 intake parallel merge,par_block_merge,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_003,Request.safetyState is a persisted orthogonal axis,GATE_P1_PARALLEL_MERGE,Phase 1 intake parallel merge,par_block_merge,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,GATE_P2_EXIT,Phase 2 exit gate,phase_exit,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,GATE_P2_EXIT,Phase 2 exit gate,phase_exit,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,GATE_P2_EXIT,Phase 2 exit gate,phase_exit,current,privacy,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,GATE_P2_PARALLEL_MERGE,Phase 2 identity and telephony parallel merge,par_block_merge,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,GATE_P2_PARALLEL_MERGE,Phase 2 identity and telephony parallel merge,par_block_merge,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,GATE_P2_PARALLEL_MERGE,Phase 2 identity and telephony parallel merge,par_block_merge,current,privacy,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_P3_EXIT,Phase 3 exit gate,phase_exit,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,GATE_P3_EXIT,Phase 3 exit gate,phase_exit,current,governance,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_003,child domains emit milestones and evidence; they do not write canonical Request state directly,GATE_P3_EXIT,Phase 3 exit gate,phase_exit,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_UI_001,ShellFamilyOwnershipContract plus RouteFamilyOwnershipClaim govern shell residency,GATE_P3_EXIT,Phase 3 exit gate,phase_exit,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_P3_PARALLEL_MERGE,Phase 3 triage parallel merge,par_block_merge,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,GATE_P3_PARALLEL_MERGE,Phase 3 triage parallel merge,par_block_merge,current,governance,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_003,child domains emit milestones and evidence; they do not write canonical Request state directly,GATE_P3_PARALLEL_MERGE,Phase 3 triage parallel merge,par_block_merge,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_UI_001,ShellFamilyOwnershipContract plus RouteFamilyOwnershipClaim govern shell residency,GATE_P3_PARALLEL_MERGE,Phase 3 triage parallel merge,par_block_merge,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_BOOKING_001,reservation truth comes from CapacityReservation and ReservationTruthProjection,GATE_P4_EXIT,Phase 4 exit gate,phase_exit,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_BOOKING_002,ExternalConfirmationGate governs ambiguous booking and dispatch truth,GATE_P4_EXIT,Phase 4 exit gate,phase_exit,current,integration,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_003,child domains emit milestones and evidence; they do not write canonical Request state directly,GATE_P4_EXIT,Phase 4 exit gate,phase_exit,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RECOVERY_001,"bounce-back, reopen, and fallback stay inside the same lineage with explicit recovery truth",GATE_P4_EXIT,Phase 4 exit gate,phase_exit,current,resilience,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,GATE_P4_EXIT,Phase 4 exit gate,phase_exit,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_BOOKING_001,reservation truth comes from CapacityReservation and ReservationTruthProjection,GATE_P4_PARALLEL_MERGE,Phase 4 booking parallel merge,par_block_merge,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_BOOKING_002,ExternalConfirmationGate governs ambiguous booking and dispatch truth,GATE_P4_PARALLEL_MERGE,Phase 4 booking parallel merge,par_block_merge,current,integration,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_BOOKING_PROVIDER_GAP,Booking supplier capability evidence remains ambiguous too late in the programme,GATE_P4_PARALLEL_MERGE,Phase 4 booking parallel merge,par_block_merge,current,external_dependency,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_003,child domains emit milestones and evidence; they do not write canonical Request state directly,GATE_P4_PARALLEL_MERGE,Phase 4 booking parallel merge,par_block_merge,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RECOVERY_001,"bounce-back, reopen, and fallback stay inside the same lineage with explicit recovery truth",GATE_P4_PARALLEL_MERGE,Phase 4 booking parallel merge,par_block_merge,current,resilience,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,GATE_P4_PARALLEL_MERGE,Phase 4 booking parallel merge,par_block_merge,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_BOOKING_001,reservation truth comes from CapacityReservation and ReservationTruthProjection,GATE_P5_EXIT,Phase 5 exit gate,phase_exit,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_BOOKING_002,ExternalConfirmationGate governs ambiguous booking and dispatch truth,GATE_P5_EXIT,Phase 5 exit gate,phase_exit,current,integration,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_003,child domains emit milestones and evidence; they do not write canonical Request state directly,GATE_P5_EXIT,Phase 5 exit gate,phase_exit,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RECOVERY_001,"bounce-back, reopen, and fallback stay inside the same lineage with explicit recovery truth",GATE_P5_EXIT,Phase 5 exit gate,phase_exit,current,resilience,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_BOOKING_001,reservation truth comes from CapacityReservation and ReservationTruthProjection,GATE_P5_PARALLEL_MERGE,Phase 5 network parallel merge,par_block_merge,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_BOOKING_002,ExternalConfirmationGate governs ambiguous booking and dispatch truth,GATE_P5_PARALLEL_MERGE,Phase 5 network parallel merge,par_block_merge,current,integration,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_BOOKING_PROVIDER_GAP,Booking supplier capability evidence remains ambiguous too late in the programme,GATE_P5_PARALLEL_MERGE,Phase 5 network parallel merge,par_block_merge,current,external_dependency,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_MESH_DELAY,MESH and secure-message readiness lag blocks cross-organisation messaging truth,GATE_P5_PARALLEL_MERGE,Phase 5 network parallel merge,par_block_merge,current,external_dependency,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_003,child domains emit milestones and evidence; they do not write canonical Request state directly,GATE_P5_PARALLEL_MERGE,Phase 5 network parallel merge,par_block_merge,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RECOVERY_001,"bounce-back, reopen, and fallback stay inside the same lineage with explicit recovery truth",GATE_P5_PARALLEL_MERGE,Phase 5 network parallel merge,par_block_merge,current,resilience,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_PHARMACY_PROVIDER_GAP,"Pharmacy directory, transport, or outcome observation posture remains weak",GATE_P6_EXIT,Phase 6 exit gate,phase_exit,current,external_dependency,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_003,child domains emit milestones and evidence; they do not write canonical Request state directly,GATE_P6_EXIT,Phase 6 exit gate,phase_exit,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_PHARMACY_001,"pharmacy calmness depends on dispatch proof, not transport acceptance alone",GATE_P6_EXIT,Phase 6 exit gate,phase_exit,current,integration,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RECOVERY_001,"bounce-back, reopen, and fallback stay inside the same lineage with explicit recovery truth",GATE_P6_EXIT,Phase 6 exit gate,phase_exit,current,resilience,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_PHARMACY_PROVIDER_GAP,"Pharmacy directory, transport, or outcome observation posture remains weak",GATE_P6_PARALLEL_MERGE,Phase 6 pharmacy parallel merge,par_block_merge,current,external_dependency,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_003,child domains emit milestones and evidence; they do not write canonical Request state directly,GATE_P6_PARALLEL_MERGE,Phase 6 pharmacy parallel merge,par_block_merge,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_PHARMACY_001,"pharmacy calmness depends on dispatch proof, not transport acceptance alone",GATE_P6_PARALLEL_MERGE,Phase 6 pharmacy parallel merge,par_block_merge,current,integration,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RECOVERY_001,"bounce-back, reopen, and fallback stay inside the same lineage with explicit recovery truth",GATE_P6_PARALLEL_MERGE,Phase 6 pharmacy parallel merge,par_block_merge,current,resilience,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_UI_002,channel profiles constrain shell posture without redefining the shell family,GATE_P7_DEFERRED_MERGE,Phase 7 deferred parallel merge,par_block_merge,deferred,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_UI_002,channel profiles constrain shell posture without redefining the shell family,GATE_P7_EXIT,Phase 7 deferred exit gate,phase_exit,deferred,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_P8_EXIT,Phase 8 assistive exit gate,phase_exit,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_P8_PARALLEL_MERGE,Phase 8 assistive parallel merge,par_block_merge,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_P9_EXIT,Phase 9 assurance exit gate,phase_exit,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_P9_PARALLEL_MERGE,Phase 9 assurance parallel merge,par_block_merge,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_PLAN_EXTERNAL_ENTRY,Planning and gate-foundation entry into external readiness,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_DEPENDENCY_HYGIENE_WATCHLIST_DRIFT,Dependency hygiene findings can remain ownerless or timeless,GATE_PLAN_EXTERNAL_ENTRY,Planning and gate-foundation entry into external readiness,phase_entry,current,dependency_hygiene,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,GATE_PLAN_EXTERNAL_ENTRY,Planning and gate-foundation entry into external readiness,phase_entry,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,GATE_PLAN_EXTERNAL_ENTRY,Planning and gate-foundation entry into external readiness,phase_entry,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,GATE_PLAN_EXTERNAL_ENTRY,Planning and gate-foundation entry into external readiness,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,GATE_PLAN_EXTERNAL_ENTRY,Planning and gate-foundation entry into external readiness,phase_entry,current,governance,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_POST6_SCOPE_SPLIT,Post-Phase-6 scope split gate,programme_conformance,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_UI_002,channel profiles constrain shell posture without redefining the shell family,GATE_POST6_SCOPE_SPLIT,Post-Phase-6 scope split gate,programme_conformance,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
