gateway_surface_id,gateway_surface_name,audience_surface_id,surface_name,route_family_id,audience_tier,purpose_of_use,shell_type,scope_posture,browser_workload_family_code,session_policy_ref,tenant_scope_mode,tenant_isolation_mode,blast_radius_mode,audit_posture,notes,downstream_family_refs,trust_zone_boundary_refs,acting_scope_profile_refs,recovery_disposition_refs,source_refs
gws_clinician_workspace_child,Clinical Workspace child review states gateway,surf_clinician_workspace_child,Clinical Workspace child review states,rf_staff_workspace_child,origin_practice_clinical,operational_execution,staff,baseline,shell_delivery,SP_STAFF_SSO_SINGLE_ORG_CHILD,tenant_org_scoped_staff,tenant_org_partition,single_tenant_single_org_child_route,child_route_intent_and_settlement_audit,"Child routes remain separate because route family, recovery semantics, and bounded action scope differ from the shell root workspace.",projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_STAFF_SINGLE_ORG,RRD_WORKSPACE_CHILD_READ_ONLY; RRD_WORKSPACE_CHILD_RECOVERY_ONLY,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Additional route rules; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_practice_ops_workspace,Practice operations workspace gateway,surf_practice_ops_workspace,Practice operations workspace,rf_staff_workspace,origin_practice_operations,operational_execution,staff,baseline,shell_delivery,SP_STAFF_SSO_SINGLE_ORG,tenant_org_scoped_staff,tenant_org_partition,single_tenant_single_org_operational_slice,practice_ops_scope_tuple_and_mutation_audit,Practice operations stays separate from clinician workspace because minimum-necessary scope and task mix differ.,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_STAFF_SINGLE_ORG,RRD_WORKSPACE_READ_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER,staff-workspace-interface-architecture.md#Route family; staff-operations-and-support-blueprint.md#Staff audience coverage contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_hub_queue,Hub queue gateway,surf_hub_queue,Hub queue,rf_hub_queue,hub_desk,coordination,hub,baseline,shell_delivery,SP_STAFF_CROSS_ORG_HUB,cross_org_hub_scope,explicit_cross_org_subject_scope,declared_cross_org_subset_only,hub_visibility_scope_and_queue_audit,The hub queue lists cross-organisation work but does not itself broaden mutation access until the operator selects a case under the current tuple.,projection,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_HUB_CROSS_ORG,RRD_HUB_QUEUE_READ_ONLY; RRD_HUB_QUEUE_SUMMARY_ONLY,phase-5-the-network-horizon.md#Frontend work; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_hub_case_management,"Hub case, alternatives, exception, and audit work gateway",surf_hub_case_management,"Hub case, alternatives, exception, and audit work",rf_hub_case_management,hub_desk,coordination,hub,baseline,shell_delivery,SP_STAFF_CROSS_ORG_HUB,cross_org_hub_scope,explicit_cross_org_subject_scope,declared_cross_org_subset_only,hub_scope_tuple_and_settlement_audit,Hub case management is split from queue browsing because cross-organisation mutation and acknowledgement rules differ.,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_HUB_CROSS_ORG,RRD_HUB_CASE_READ_ONLY; RRD_HUB_CASE_RECOVERY_ONLY,phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_pharmacy_console,Pharmacy Console case workbench gateway,surf_pharmacy_console,Pharmacy Console case workbench,rf_pharmacy_console,servicing_site,servicing_delivery,pharmacy,baseline,shell_delivery,SP_PHARMACY_SERVICING_SCOPE,servicing_site_scope,servicing_site_partition,single_servicing_site_or_declared_return_lane,pharmacy_dispatch_and_outcome_audit,Pharmacy settlement and bounce-back handling require a servicing-site-specific gateway split.,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PHARMACY_SERVICING,RRD_PHARMACY_READ_ONLY; RRD_PHARMACY_DISPATCH_RECOVERY,pharmacy-console-frontend-architecture.md#Mission frame; pharmacy-console-frontend-architecture.md#The recommended route family is; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_support_ticket_workspace,Support ticket workspace gateway,surf_support_ticket_workspace,Support ticket workspace,rf_support_ticket_workspace,support,support_recovery,support,baseline,shell_delivery,SP_SUPPORT_TENANT_DELEGATE,support_tenant_delegate,explicit_support_delegate_scope,single_ticket_declared_tenant_scope,support_delegate_scope_and_action_audit,Support ticket work is distinct from replay and governance evidence access and remains tenant-delegated rather than platform-wide.,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_SUPPORT_ASSISTED_CAPTURE,RRD_SUPPORT_WORKSPACE_READ_ONLY; RRD_SUPPORT_CAPTURE_RECOVERY,staff-operations-and-support-blueprint.md#Support route contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_support_replay_observe,Support replay and observe gateway,surf_support_replay_observe,Support replay and observe,rf_support_replay_observe,support,support_recovery,support,baseline,shell_delivery,SP_SUPPORT_REPLAY_ENVELOPE,support_investigation_scope,explicit_support_investigation_scope,selected_anchor_and_envelope_only,masked_replay_and_restore_gate_audit,Replay and restore inspection cross into assurance and resilience evidence and therefore cannot share the support ticket gateway.,projection; assurance_security,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,ACT_SUPPORT_REPLAY_RESTORE,RRD_SUPPORT_REPLAY_MASKED; RRD_SUPPORT_REPLAY_RESTORE_FROZEN,staff-operations-and-support-blueprint.md#Support route contract; phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_support_assisted_capture,Support-assisted capture and recovery gateway,surf_support_assisted_capture,Support-assisted capture and recovery,rf_support_ticket_workspace,support,support_recovery,support,baseline,shell_delivery,SP_SUPPORT_ASSISTED_CAPTURE,support_tenant_delegate,explicit_support_delegate_scope,single_ticket_declared_tenant_scope,assisted_capture_scope_and_identity_audit,Assisted capture can write under a support delegate tuple but still requires assurance policy posture and immutable audit.,projection; command; assurance_security,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,ACT_SUPPORT_ASSISTED_CAPTURE,RRD_SUPPORT_CAPTURE_RECOVERY; RRD_SUPPORT_CAPTURE_READ_ONLY,blueprint-init.md#2. Core product surfaces; staff-operations-and-support-blueprint.md#Support route contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_operations_board,Operations board gateway,surf_operations_board,Operations board,rf_operations_board,operations_control,operational_control,operations,baseline,shell_delivery,SP_OPERATIONS_WATCH_TUPLE,multi_tenant_operational_watch,platform_observation_aggregate,declared_wave_or_incident_scope_only,watch_tuple_and_guardrail_audit,"The board shows multi-tenant truth, but all blast radius must be machine-readable and tuple-bound.",projection; assurance_security,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,ACT_OPERATIONS_WATCH,RRD_OPERATIONS_DIAGNOSTIC_ONLY; RRD_OPERATIONS_BOARD_FROZEN,operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Calm board posture and briefing artifacts; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_operations_drilldown,Operations investigation and intervention drill-down gateway,surf_operations_drilldown,Operations investigation and intervention drill-down,rf_operations_drilldown,operations_control,operational_control,operations,baseline,shell_delivery,SP_RESILIENCE_CONTROL_SCOPE,multi_tenant_operational_watch,platform_observation_aggregate,declared_wave_or_incident_scope_only,resilience_control_and_restore_authority_audit,"Restore and failover actions stay here, not in the broader operations board gateway, because authority and recovery posture differ.",projection; command; assurance_security,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,ACT_RESILIENCE_CONTROL,RRD_RESILIENCE_CONTROL_FROZEN; RRD_OPERATIONS_DIAGNOSTIC_ONLY,operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_governance_shell,Governance and Admin shell gateway,surf_governance_shell,Governance and Admin shell,rf_governance_shell,governance_review,governance_review,governance,baseline,shell_delivery,SP_GOVERNANCE_SCOPE_TUPLE,platform_governance_scope,platform_control_plane_with_explicit_blast_radius,explicit_tenant_or_multi_tenant_blast_radius,governance_scope_tuple_and_release_watch_audit,Governance is platform-scoped but must still declare affected-tenant and affected-organisation counts on every consequential action.,projection; command; assurance_security,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,ACT_GOVERNANCE_PLATFORM,RRD_GOVERNANCE_READ_ONLY; RRD_GOVERNANCE_HANDOFF_ONLY,governance-admin-console-frontend-blueprint.md#Shell and route topology; governance-admin-console-frontend-blueprint.md#Primary governance personas; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_assistive_sidecar,Assistive companion sidecar inside the owning task gateway,surf_assistive_sidecar,Assistive companion sidecar inside the owning task,rf_staff_workspace_child,assistive_adjunct,assistive_companion,staff,bounded_secondary,shell_delivery,SP_ASSISTIVE_ADJUNCT_INHERITED,inherited_from_owner_shell,inherited_scope_no_standalone_tenant_widening,owner_shell_scope_only,assistive_visibility_and_command_shadow_audit,Standalone assistive-control URLs remain conditional; the live baseline keeps the sidecar bound to its owning shell scope.,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_ASSISTIVE_ADJUNCT,RRD_ASSISTIVE_READ_ONLY; RRD_ASSISTIVE_SIDECAR_FROZEN,phase-8-the-assistive-layer.md#Control priorities; staff-workspace-interface-architecture.md#Assistive companion presentation profile; platform-runtime-and-release-blueprint.md#GatewayBffSurface
