tupleId,inventorySurfaceRef,publishedAudienceSurfaceRef,shellType,shellSlug,routeFamilyRef,governingBoundedContextRef,canonicalObjectDescriptorRef,frontendContractManifestRef,surfaceRouteContractRef,designContractPublicationBundleRef,runtimePublicationBundleRef,audienceSurfaceRuntimeBindingRef,releasePublicationParityRef,projectionContractVersionSetRef,bindingVerdict,writabilityState,calmState,visibilityCoverageRefs,reasonRefs,notes
FMTUP_127_SURF_PATIENT_HEALTH_RECORD_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,patient,patient-web,rf_patient_health_record,patient_experience,PatientRecordOverviewProjection,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,ASRC_050_PATIENT_AUTHENTICATED_PORTAL_V1,dcpb::patient_authenticated_shell::planned,rpb::local::authoritative,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,rpp::local::authoritative,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,partial,read_only,guarded,AVC_054_PATIENT_AUTHENTICATED_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_HOME_V1,surf_patient_home,audsurf_patient_authenticated_portal,patient,patient-web,rf_patient_home,patient_experience,PatientPortalEntryProjection,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,ASRC_050_PATIENT_AUTHENTICATED_PORTAL_V1,dcpb::patient_authenticated_shell::planned,rpb::local::authoritative,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,rpp::local::authoritative,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,partial,read_only,guarded,AVC_054_PATIENT_AUTHENTICATED_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_MESSAGES_V1,surf_patient_messages,audsurf_patient_authenticated_portal,patient,patient-web,rf_patient_messages,patient_experience,ConversationThreadProjection,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,ASRC_050_PATIENT_AUTHENTICATED_PORTAL_V1,dcpb::patient_authenticated_shell::planned,rpb::local::authoritative,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,rpp::local::authoritative,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,partial,read_only,guarded,AVC_054_PATIENT_AUTHENTICATED_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_REQUESTS_V1,surf_patient_requests,audsurf_patient_authenticated_portal,patient,patient-web,rf_patient_requests,patient_experience,PatientRequestsIndexProjection,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,ASRC_050_PATIENT_AUTHENTICATED_PORTAL_V1,dcpb::patient_authenticated_shell::planned,rpb::local::authoritative,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,rpp::local::authoritative,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,partial,read_only,guarded,AVC_054_PATIENT_AUTHENTICATED_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_SECURE_LINK_RECOVERY_V1,surf_patient_secure_link_recovery,audsurf_patient_transaction_recovery,patient,patient-web,rf_patient_secure_link_recovery,identity_access,AccessGrantRedemptionRecord,FCM_050_PATIENT_TRANSACTION_RECOVERY_V1,ASRC_050_PATIENT_TRANSACTION_RECOVERY_V1,dcpb::patient_transaction_recovery::planned,rpb::local::authoritative,ASRB_050_PATIENT_TRANSACTION_RECOVERY_V1,rpp::local::authoritative,PCVS_050_PATIENT_TRANSACTION_RECOVERY_V1,blocked,blocked,blocked,AVC_054_PATIENT_GRANT_RECOVERY_V1,MFV_127_ACCESSIBILITY_BLOCKED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,Shell residency remains on `patient-web` while publication authority resolves through `audsurf_patient_transaction_recovery`.
FMTUP_127_SURF_PHARMACY_CONSOLE_V1,surf_pharmacy_console,audsurf_pharmacy_console,pharmacy,pharmacy-console,rf_pharmacy_console,pharmacy,PharmacyConsoleContinuityEvidenceProjection,FCM_050_PHARMACY_CONSOLE_V1,ASRC_050_PHARMACY_CONSOLE_V1,dcpb::pharmacy_console::planned,rpb::local::authoritative,ASRB_050_PHARMACY_CONSOLE_V1,rpp::local::authoritative,PCVS_050_PHARMACY_CONSOLE_V1,partial,read_only,guarded,AVC_054_PHARMACY_SERVICING_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_CLINICIAN_WORKSPACE_V1,surf_clinician_workspace,audsurf_clinical_workspace,staff,clinical-workspace,rf_staff_workspace,triage_workspace,WorkspaceNavigationLedger,FCM_050_CLINICAL_WORKSPACE_V1,ASRC_050_CLINICAL_WORKSPACE_V1,dcpb::clinical_workspace::planned,rpb::local::authoritative,ASRB_050_CLINICAL_WORKSPACE_V1,rpp::local::authoritative,PCVS_050_CLINICAL_WORKSPACE_V1,partial,read_only,guarded,AVC_054_STAFF_SINGLE_ORG_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_staff_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple.
FMTUP_127_SURF_PRACTICE_OPS_WORKSPACE_V1,surf_practice_ops_workspace,audsurf_clinical_workspace,staff,clinical-workspace,rf_staff_workspace,triage_workspace,WorkspaceNavigationLedger,FCM_050_CLINICAL_WORKSPACE_V1,ASRC_050_CLINICAL_WORKSPACE_V1,dcpb::clinical_workspace::planned,rpb::local::authoritative,ASRB_050_CLINICAL_WORKSPACE_V1,rpp::local::authoritative,PCVS_050_CLINICAL_WORKSPACE_V1,partial,read_only,guarded,AVC_054_STAFF_SINGLE_ORG_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_staff_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple.
FMTUP_127_SURF_ASSISTIVE_SIDECAR_V1,surf_assistive_sidecar,audsurf_clinical_workspace,staff,clinical-workspace,rf_staff_workspace_child,triage_workspace,MoreInfoStatusDigest,FCM_050_CLINICAL_WORKSPACE_V1,ASRC_050_CLINICAL_WORKSPACE_V1,dcpb::clinical_workspace::planned,rpb::local::authoritative,ASRB_050_CLINICAL_WORKSPACE_V1,rpp::local::authoritative,PCVS_050_CLINICAL_WORKSPACE_V1,partial,read_only,guarded,AVC_054_ASSISTIVE_ADJUNCT_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_staff_workspace_child` fans out across 2 inventoried surfaces and reuses one published audience tuple.
FMTUP_127_SURF_CLINICIAN_WORKSPACE_CHILD_V1,surf_clinician_workspace_child,audsurf_clinical_workspace,staff,clinical-workspace,rf_staff_workspace_child,triage_workspace,MoreInfoStatusDigest,FCM_050_CLINICAL_WORKSPACE_V1,ASRC_050_CLINICAL_WORKSPACE_V1,dcpb::clinical_workspace::planned,rpb::local::authoritative,ASRB_050_CLINICAL_WORKSPACE_V1,rpp::local::authoritative,PCVS_050_CLINICAL_WORKSPACE_V1,partial,read_only,guarded,AVC_054_STAFF_SINGLE_ORG_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_staff_workspace_child` fans out across 2 inventoried surfaces and reuses one published audience tuple.
FMTUP_127_SURF_SUPPORT_REPLAY_OBSERVE_V1,surf_support_replay_observe,audsurf_support_workspace,support,support-workspace,rf_support_replay_observe,support,SupportReplayCheckpoint,FCM_050_SUPPORT_WORKSPACE_V1,ASRC_050_SUPPORT_WORKSPACE_V1,dcpb::support_workspace::planned,rpb::local::authoritative,ASRB_050_SUPPORT_WORKSPACE_V1,rpp::local::authoritative,PCVS_050_SUPPORT_WORKSPACE_V1,partial,recovery_only,guarded,AVC_054_SUPPORT_REPLAY_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_SUPPORT_ASSISTED_CAPTURE_V1,surf_support_assisted_capture,audsurf_support_workspace,support,support-workspace,rf_support_ticket_workspace,support,SupportTicket,FCM_050_SUPPORT_WORKSPACE_V1,ASRC_050_SUPPORT_WORKSPACE_V1,dcpb::support_workspace::planned,rpb::local::authoritative,ASRB_050_SUPPORT_WORKSPACE_V1,rpp::local::authoritative,PCVS_050_SUPPORT_WORKSPACE_V1,partial,recovery_only,guarded,AVC_054_SUPPORT_ASSISTED_CAPTURE_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_support_ticket_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple.
FMTUP_127_SURF_SUPPORT_TICKET_WORKSPACE_V1,surf_support_ticket_workspace,audsurf_support_workspace,support,support-workspace,rf_support_ticket_workspace,support,SupportTicket,FCM_050_SUPPORT_WORKSPACE_V1,ASRC_050_SUPPORT_WORKSPACE_V1,dcpb::support_workspace::planned,rpb::local::authoritative,ASRB_050_SUPPORT_WORKSPACE_V1,rpp::local::authoritative,PCVS_050_SUPPORT_WORKSPACE_V1,partial,recovery_only,guarded,AVC_054_SUPPORT_WORKSPACE_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,Route family `rf_support_ticket_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple.
