release_ref,environment_ring,runtime_publication_bundle_id,publication_parity_record_id,tuple_stage,member_kind,member_count,member_refs,stage_state,blocking_effect
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,projection,projection_contract_version_set,9,PCVS_050_CLINICAL_WORKSPACE_V1|PCVS_050_GOVERNANCE_ADMIN_V1|PCVS_050_HUB_DESK_V1|PCVS_050_OPERATIONS_CONSOLE_V1|PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1|PCVS_050_PATIENT_PUBLIC_ENTRY_V1,exact,publishable
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,mutation,mutation_command_digest,19,mutation-command-digest::099a1bd46e1df3ba|mutation-command-digest::0c09fe70cd714a97|mutation-command-digest::2b2bc59daae819ef|mutation-command-digest::2cdd395cd0b8349f|mutation-command-digest::36ef0f11698b3b85|mutation-command-digest::409ec00bb77392f5,exact,publishable
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,live,live_update_digest,15,live-channel-digest::0bcaad6a66fbc433|live-channel-digest::1e4a919eba85bb9a|live-channel-digest::21da8a1ab4093a19|live-channel-digest::24b9cddec5e034e7|live-channel-digest::32dab9c07970723d|live-channel-digest::3bc60b6cd2659fc9,exact,publishable
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,cache,client_cache_policy_digest,19,cache-policy-digest::0183e6026c0a2022|cache-policy-digest::130c5f0b76ec4f3e|cache-policy-digest::3db37532b4daba02|cache-policy-digest::435831a018aa6bf5|cache-policy-digest::43bd2f1dbb4deeae|cache-policy-digest::46942e6b96696dd8,exact,publishable
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,provenance,build_provenance,1,bpr::run_gateway_integration_quarantined_dependency,conflict,fail_closed
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,recovery,recovery_disposition,39,RRD_ARTIFACT_HANDOFF_REQUIRED|RRD_ASSISTIVE_READ_ONLY|RRD_ASSISTIVE_SIDECAR_FROZEN|RRD_BOOKING_CONFIRMATION_PLACEHOLDER|RRD_CONVERSATION_RECOVERY_ONLY|RRD_EMBEDDED_HANDOFF_ONLY,exact,publishable
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,continuity,continuity_evidence,7,CEC_058_PATIENT_NAV_V1|CEC_058_RECORD_CONTINUATION_V1|CEC_058_WORKSPACE_TASK_COMPLETION_V1|CEC_058_PHARMACY_CONSOLE_SETTLEMENT_V1|CEC_058_MORE_INFO_REPLY_V1|CEC_058_CONVERSATION_SETTLEMENT_V1,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,topology,workload_family,8,wf_assurance_security_control|wf_command_orchestration|wf_data_stateful_plane|wf_integration_dispatch|wf_projection_read_models|wf_public_edge_ingress,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,trust,trust_zone_boundary,10,tzb_application_core_to_assurance_security|tzb_application_core_to_integration_perimeter|tzb_application_core_to_stateful_data|tzb_assurance_security_to_stateful_data|tzb_integration_perimeter_to_assurance_security|tzb_integration_perimeter_to_stateful_data,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,gateway,gateway_surface,22,gws_assistive_sidecar|gws_clinician_workspace|gws_clinician_workspace_child|gws_governance_shell|gws_hub_case_management|gws_hub_queue,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,frontend,frontend_manifest,9,FCM_050_CLINICAL_WORKSPACE_V1|FCM_050_GOVERNANCE_ADMIN_V1|FCM_050_HUB_DESK_V1|FCM_050_OPERATIONS_CONSOLE_V1|FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1|FCM_050_PATIENT_PUBLIC_ENTRY_V1,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,design,design_publication_bundle,9,dcpb::clinical_workspace::planned|dcpb::governance_admin::planned|dcpb::hub_desk::planned|dcpb::operations_console::planned|dcpb::patient_authenticated_shell::planned|dcpb::patient_public_entry::planned,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,projection,projection_contract_version_set,9,PCVS_050_CLINICAL_WORKSPACE_V1|PCVS_050_GOVERNANCE_ADMIN_V1|PCVS_050_HUB_DESK_V1|PCVS_050_OPERATIONS_CONSOLE_V1|PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1|PCVS_050_PATIENT_PUBLIC_ENTRY_V1,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,mutation,mutation_command_digest,19,mutation-command-digest::099a1bd46e1df3ba|mutation-command-digest::0c09fe70cd714a97|mutation-command-digest::2b2bc59daae819ef|mutation-command-digest::2cdd395cd0b8349f|mutation-command-digest::36ef0f11698b3b85|mutation-command-digest::409ec00bb77392f5,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,live,live_update_digest,15,live-channel-digest::0bcaad6a66fbc433|live-channel-digest::1e4a919eba85bb9a|live-channel-digest::21da8a1ab4093a19|live-channel-digest::24b9cddec5e034e7|live-channel-digest::32dab9c07970723d|live-channel-digest::3bc60b6cd2659fc9,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,cache,client_cache_policy_digest,19,cache-policy-digest::0183e6026c0a2022|cache-policy-digest::130c5f0b76ec4f3e|cache-policy-digest::3db37532b4daba02|cache-policy-digest::435831a018aa6bf5|cache-policy-digest::43bd2f1dbb4deeae|cache-policy-digest::46942e6b96696dd8,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,provenance,build_provenance,1,bpr::run_command_preprod_revoked,withdrawn,fail_closed
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,recovery,recovery_disposition,39,RRD_ARTIFACT_HANDOFF_REQUIRED|RRD_ASSISTIVE_READ_ONLY|RRD_ASSISTIVE_SIDECAR_FROZEN|RRD_BOOKING_CONFIRMATION_PLACEHOLDER|RRD_CONVERSATION_RECOVERY_ONLY|RRD_EMBEDDED_HANDOFF_ONLY,exact,publishable
RC_PREPROD_V1,preprod,rpb::preprod::authoritative,rpp::preprod::authoritative,continuity,continuity_evidence,11,CEC_058_PATIENT_NAV_V1|CEC_058_RECORD_CONTINUATION_V1|CEC_058_WORKSPACE_TASK_COMPLETION_V1|CEC_058_PHARMACY_CONSOLE_SETTLEMENT_V1|CEC_058_MORE_INFO_REPLY_V1|CEC_058_CONVERSATION_SETTLEMENT_V1,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,topology,workload_family,8,wf_assurance_security_control|wf_command_orchestration|wf_data_stateful_plane|wf_integration_dispatch|wf_projection_read_models|wf_public_edge_ingress,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,trust,trust_zone_boundary,10,tzb_application_core_to_assurance_security|tzb_application_core_to_integration_perimeter|tzb_application_core_to_stateful_data|tzb_assurance_security_to_stateful_data|tzb_integration_perimeter_to_assurance_security|tzb_integration_perimeter_to_stateful_data,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,gateway,gateway_surface,22,gws_assistive_sidecar|gws_clinician_workspace|gws_clinician_workspace_child|gws_governance_shell|gws_hub_case_management|gws_hub_queue,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,frontend,frontend_manifest,9,FCM_050_CLINICAL_WORKSPACE_V1|FCM_050_GOVERNANCE_ADMIN_V1|FCM_050_HUB_DESK_V1|FCM_050_OPERATIONS_CONSOLE_V1|FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1|FCM_050_PATIENT_PUBLIC_ENTRY_V1,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,design,design_publication_bundle,9,dcpb::clinical_workspace::planned|dcpb::governance_admin::planned|dcpb::hub_desk::planned|dcpb::operations_console::planned|dcpb::patient_authenticated_shell::planned|dcpb::patient_public_entry::planned,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,projection,projection_contract_version_set,9,PCVS_050_CLINICAL_WORKSPACE_V1|PCVS_050_GOVERNANCE_ADMIN_V1|PCVS_050_HUB_DESK_V1|PCVS_050_OPERATIONS_CONSOLE_V1|PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1|PCVS_050_PATIENT_PUBLIC_ENTRY_V1,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,mutation,mutation_command_digest,19,mutation-command-digest::099a1bd46e1df3ba|mutation-command-digest::0c09fe70cd714a97|mutation-command-digest::2b2bc59daae819ef|mutation-command-digest::2cdd395cd0b8349f|mutation-command-digest::36ef0f11698b3b85|mutation-command-digest::409ec00bb77392f5,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,live,live_update_digest,15,live-channel-digest::0bcaad6a66fbc433|live-channel-digest::1e4a919eba85bb9a|live-channel-digest::21da8a1ab4093a19|live-channel-digest::24b9cddec5e034e7|live-channel-digest::32dab9c07970723d|live-channel-digest::3bc60b6cd2659fc9,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,cache,client_cache_policy_digest,19,cache-policy-digest::0183e6026c0a2022|cache-policy-digest::130c5f0b76ec4f3e|cache-policy-digest::3db37532b4daba02|cache-policy-digest::435831a018aa6bf5|cache-policy-digest::43bd2f1dbb4deeae|cache-policy-digest::46942e6b96696dd8,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,provenance,build_provenance,1,bpr::run_release_controls_production_blocked,stale,fail_closed
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,recovery,recovery_disposition,39,RRD_ARTIFACT_HANDOFF_REQUIRED|RRD_ASSISTIVE_READ_ONLY|RRD_ASSISTIVE_SIDECAR_FROZEN|RRD_BOOKING_CONFIRMATION_PLACEHOLDER|RRD_CONVERSATION_RECOVERY_ONLY|RRD_EMBEDDED_HANDOFF_ONLY,exact,publishable
RC_PRODUCTION_V1,production,rpb::production::authoritative,rpp::production::authoritative,continuity,continuity_evidence,11,CEC_058_PATIENT_NAV_V1|CEC_058_RECORD_CONTINUATION_V1|CEC_058_WORKSPACE_TASK_COMPLETION_V1|CEC_058_PHARMACY_CONSOLE_SETTLEMENT_V1|CEC_058_MORE_INFO_REPLY_V1|CEC_058_CONVERSATION_SETTLEMENT_V1,exact,publishable
