requirement_id,requirement_title,requirement_type,canonicality,source_file,source_heading_or_logical_block,direct_quote_or_precise_paraphrase,rationale,affected_phases,affected_domains,actors_personas,audience_tiers,channels,primary_objects,preconditions,trigger,expected_behavior,failure_or_degraded_behavior,closure_blockers_or_guards,external_dependencies,FHIR_or_representation_implications,security_privacy_implications,observability_implications,acceptance_test_hint,related_requirement_ids,status,notes
REQ-OBJ-deferreduidelta,DeferredUIDelta is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,DeferredUIDelta is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,DeferredUIDelta,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume DeferredUIDelta through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7367
REQ-OBJ-evidenceprism,EvidencePrism is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,EvidencePrism is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,EvidencePrism,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume EvidencePrism through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7144
REQ-OBJ-freshnesschip,FreshnessChip is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,FreshnessChip is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,FreshnessChip,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume FreshnessChip through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7242
REQ-OBJ-inlinesidestage,InlineSideStage is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,InlineSideStage is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,InlineSideStage,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume InlineSideStage through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7550
REQ-OBJ-motionintenttoken,MotionIntentToken is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,MotionIntentToken is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,MotionIntentToken,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume MotionIntentToken through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7709
REQ-OBJ-persistentshell,PersistentShell is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,PersistentShell is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,PersistentShell,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume PersistentShell through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=6977
REQ-OBJ-projectionfreshnessenvelope,ProjectionFreshnessEnvelope is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,ProjectionFreshnessEnvelope is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,ProjectionFreshnessEnvelope,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume ProjectionFreshnessEnvelope through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Emit explicit events, projection freshness, parity, or continuity proof so operators can observe the requirement rather than infer it from UI calmness.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7275
REQ-OBJ-projectionsubscription,ProjectionSubscription is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,ProjectionSubscription is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,ProjectionSubscription,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume ProjectionSubscription through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Emit explicit events, projection freshness, parity, or continuity proof so operators can observe the requirement rather than infer it from UI calmness.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7307
REQ-OBJ-queueassignmentsuggestionsnapshot,QueueAssignmentSuggestionSnapshot is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,QueueAssignmentSuggestionSnapshot is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,triage|runtime|frontend,cross_programme,cross_audience,cross_channel,QueueAssignmentSuggestionSnapshot,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume QueueAssignmentSuggestionSnapshot through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7505
REQ-OBJ-queuechangebatch,QueueChangeBatch is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,QueueChangeBatch is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,triage|runtime|frontend,cross_programme,cross_audience,cross_channel,QueueChangeBatch,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume QueueChangeBatch through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7394
REQ-OBJ-queuelens,QueueLens is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,QueueLens is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,triage|runtime|frontend,cross_programme,cross_audience,cross_channel,QueueLens,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume QueueLens through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7523
REQ-OBJ-queuerankentry,QueueRankEntry is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,QueueRankEntry is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,triage|runtime|frontend,cross_programme,cross_audience,cross_channel,QueueRankEntry,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume QueueRankEntry through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7477
REQ-OBJ-queuerankplan,QueueRankPlan is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,QueueRankPlan is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,triage|runtime|frontend,cross_programme,cross_audience,cross_channel,QueueRankPlan,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume QueueRankPlan through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7430
REQ-OBJ-queueranksnapshot,QueueRankSnapshot is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,QueueRankSnapshot is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,triage|runtime|frontend,cross_programme,cross_audience,cross_channel,QueueRankSnapshot,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume QueueRankSnapshot through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7454
REQ-OBJ-selectedanchor,SelectedAnchor is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,SelectedAnchor is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,SelectedAnchor,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume SelectedAnchor through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7736
