row_id,environment_ring,gate_ref,gate_sequence,gate_label,gate_category,build_family_scope,failure_disposition,published_evidence_type,signing_secret_class_ref,quarantine_policy_ref,source_refs
ci-preview::build_package,ci-preview,build_package,3,Deterministic build package,build,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,artifact-bundle-manifest,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
ci-preview::sbom_dependency_policy,ci-preview,sbom_dependency_policy,4,SBOM and dependency policy,supply_chain,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,sbom-and-policy-verdict,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
ci-preview::provenance_sign,ci-preview,provenance_sign,5,Provenance sign,provenance,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,signed-provenance-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
ci-preview::provenance_verify,ci-preview,provenance_verify,6,Provenance verify,provenance,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,provenance-verification-verdict,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
ci-preview::runtime_publish_gate,ci-preview,runtime_publish_gate,7,Runtime publication gate,publication,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_publish,publish-decision-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
ci-preview::nonprod_promotion_gate,ci-preview,nonprod_promotion_gate,8,Non-production promotion gate,promotion,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_promotion,promotion-decision-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
integration::dependency_resolve,integration,dependency_resolve,1,Dependency resolve,dependency,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,dependency-resolution-manifest,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
integration::lint_type_unit,integration,lint_type_unit,2,"Lint, type, and unit",static,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,foundation-gate-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
integration::build_package,integration,build_package,3,Deterministic build package,build,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,artifact-bundle-manifest,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
integration::sbom_dependency_policy,integration,sbom_dependency_policy,4,SBOM and dependency policy,supply_chain,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,sbom-and-policy-verdict,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
integration::provenance_sign,integration,provenance_sign,5,Provenance sign,provenance,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,signed-provenance-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
integration::provenance_verify,integration,provenance_verify,6,Provenance verify,provenance,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,provenance-verification-verdict,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
integration::runtime_publish_gate,integration,runtime_publish_gate,7,Runtime publication gate,publication,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_publish,publish-decision-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
integration::nonprod_promotion_gate,integration,nonprod_promotion_gate,8,Non-production promotion gate,promotion,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_promotion,promotion-decision-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
preprod::dependency_resolve,preprod,dependency_resolve,1,Dependency resolve,dependency,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,dependency-resolution-manifest,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
preprod::lint_type_unit,preprod,lint_type_unit,2,"Lint, type, and unit",static,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,foundation-gate-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
preprod::build_package,preprod,build_package,3,Deterministic build package,build,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,artifact-bundle-manifest,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
preprod::sbom_dependency_policy,preprod,sbom_dependency_policy,4,SBOM and dependency policy,supply_chain,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,sbom-and-policy-verdict,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
preprod::provenance_sign,preprod,provenance_sign,5,Provenance sign,provenance,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,signed-provenance-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
preprod::provenance_verify,preprod,provenance_verify,6,Provenance verify,provenance,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,provenance-verification-verdict,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
preprod::runtime_publish_gate,preprod,runtime_publish_gate,7,Runtime publication gate,publication,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_publish,publish-decision-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
preprod::nonprod_promotion_gate,preprod,nonprod_promotion_gate,8,Non-production promotion gate,promotion,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_promotion,promotion-decision-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
production::dependency_resolve,production,dependency_resolve,1,Dependency resolve,dependency,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,dependency-resolution-manifest,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
production::lint_type_unit,production,lint_type_unit,2,"Lint, type, and unit",static,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,foundation-gate-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
production::build_package,production,build_package,3,Deterministic build package,build,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,artifact-bundle-manifest,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
production::sbom_dependency_policy,production,sbom_dependency_policy,4,SBOM and dependency policy,supply_chain,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,sbom-and-policy-verdict,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
production::provenance_sign,production,provenance_sign,5,Provenance sign,provenance,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,signed-provenance-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
production::provenance_verify,production,provenance_verify,6,Provenance verify,provenance,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,provenance-verification-verdict,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
production::runtime_publish_gate,production,runtime_publish_gate,7,Runtime publication gate,publication,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_publish,publish-decision-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
production::nonprod_promotion_gate,production,nonprod_promotion_gate,8,Non-production promotion gate,promotion,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_promotion,promotion-decision-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
