provider_family,dimension_id,dimension_title,dimension_class,minimum_bar_mock_now,evidence_required_mock_now,kill_switch_if_failed_mock_now,source_refs,notes
identity_auth,operational_support,Operational Support And Incident Handling,operational_support,3,"[""Runbook excerpt explaining who owns degraded or disputed the NHS login identity rail states in the mock and how they are repaired."", ""Simulator evidence for escalation, reset, or manual-review paths.""]",Reject the mock if degraded paths exist with no clear recovery owner or operator action.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Later live-provider acceptance is not just about APIs; it is about the operational recovery contract too. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,commercial_and_lock_in,Cost Governance And Lock-In Control,cost_governance,2,"[""Statement that the simulator keeps commercial assumptions out of the core contract for the NHS login identity rail."", ""Evidence that the mock does not hard-code one future vendor decision.""]",Reject the mock if it bakes one vendor's commercial model into the product contract.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Commercial ease cannot override truth, safety, audit, or portability law. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,portability_and_exit,Portability And Adapter Exit Posture,portability,3,"[""Adapter boundary proof showing the simulator can be swapped without changing Vecells core logic for the NHS login identity rail."", ""Evidence that state, hashes, or identifiers are not tied to one provider-local meaning.""]","Reject the mock if identifiers, proof objects, or UX copy become inseparable from one supplier model.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Portability guards against direct supplier coupling and protects later provider changes. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,degraded_mode_resilience,Resilience And Degraded-Mode Compatibility,resilience,4,"[""Simulator evidence showing stale, partial, or blocked the NHS login identity rail states degrade through the published recovery posture."", ""Same-shell or same-control-plane recovery proof for the affected user or operator path.""]",Reject the mock if degraded or stale states are absent or if recovery posture diverges from the blueprint.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Degraded-mode law is part of the provider scorecard, not an afterthought. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,experience_and_brand_constraints,UI / Brand / Interaction Constraints,ui_brand_constraints,4,"[""Simulator screens or artifacts showing any provider-imposed UI or message constraints for the NHS login identity rail."", ""Evidence that Vecells can preserve quiet, accurate copy without hiding provider-mandated interaction rules.""]",Reject the mock if it hides provider-driven interaction constraints that later affect UX truth.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Interaction constraints matter when they change calmness, redirect safety, or patient expectations. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,simulator_fidelity,Simulator Fidelity And State Coverage,mock_fidelity,5,"[""Named state inventory for the NHS login identity rail covering happy, degraded, replayed, stale, and blocked paths."", ""Playwright or contract-test evidence proving the simulator drives real product logic instead of a toy stub.""]","Reject the mock if it omits states that later drive patient-visible truth, safety, or closure behavior.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",This dimension exists specifically to prevent mock providers from becoming oversimplified placeholders. Mock-now is heavier because the simulator must prove this behavior before live onboarding exists. The mapped seq_021 seams are NHS login core identity rail.
telephony_voice_and_recording,contract_shape,Capability And Tuple Coverage,capability,4,"[""State and action-scope matrix for Telephony / IVR / Recording covering call-session lifecycle, webhook ordering, recording availability, transcript readiness, evidence readiness, urgent-live preemption, and bounded SMS continuation handoff."", ""Contract-test pack proving Vecells reads only the adapter-bound tuple for telephony voice capture, recording, and transcript processing.""]","Reject the mock if it collapses capability, route tuple, or actor scope into a generic success flow.","[""blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-the-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 2 - Telephony urgent branch did not enforce evidence readiness"", ""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","Capability evaluation must stay in the Vecells core and may not escape into provider-specific semantics. Mock-now is heavier because the simulator must prove this behavior before live onboarding exists. The mapped seq_021 seams are Telephony capture, transcript, and artifact-safety backplane."
telephony_voice_and_recording,authoritative_truth,Authoritative Truth Separation,proof_truth,5,"[""Simulator evidence showing accepted transport, pending proof, disputed proof, and authoritative confirmation as separate states for telephony voice capture, recording, and transcript processing."", ""Replay-safe ledger trace proving patient-visible or staff-visible calmness waits for the correct proof class.""]",Reject the mock if provider acceptance or webhook arrival is treated as authoritative truth.,"[""blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-the-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 2 - Telephony urgent branch did not enforce evidence readiness"", ""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","No provider family may pass without explicit proof-truth semantics. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are Telephony capture, transcript, and artifact-safety backplane."
telephony_voice_and_recording,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,5,"[""Fault-injection cases for stale, contradictory, duplicated, replayed, and out-of-order events within telephony voice capture, recording, and transcript processing."", ""Projection evidence proving ambiguous or degraded states stay open and block calm copy where required.""]",Reject the mock if contradictory or weak evidence collapses into silent retry or silent success.,"[""blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-the-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 2 - Telephony urgent branch did not enforce evidence readiness"", ""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","Opaque ambiguity handling is a hard architectural failure, not a scoring nicety. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are Telephony capture, transcript, and artifact-safety backplane."
telephony_voice_and_recording,security_replay,"Security, Authentication, And Replay Control",security,4,"[""Threat-model and contract tests for signed callbacks, nonce or state handling, replay protection, and environment isolation around telephony voice capture, recording, and transcript processing."", ""Evidence that browser-to-provider direct calls are impossible for this family.""]","Reject the mock if it permits direct browser calls, token reuse, or unverified callbacks.","[""blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-the-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 2 - Telephony urgent branch did not enforce evidence readiness"", ""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","Security control evidence must remain compatible with future secret ownership and vault-ingest law. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are Telephony capture, transcript, and artifact-safety backplane."
telephony_voice_and_recording,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,4,"[""Synthetic-data-only fixture pack for telephony voice capture, recording, and transcript processing with explicit PHI exclusion and redaction traces."", ""Mock data-retention statement describing what is persisted and why.""]","Reject the mock if it encourages real credentials, real patient data, or uncontrolled retention.","[""blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-the-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 2 - Telephony urgent branch did not enforce evidence readiness"", ""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","Mock-now uses synthetic data, but actual-later must still preserve the same disclosure boundaries. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are Telephony capture, transcript, and artifact-safety backplane."
