dependency_id,dependency_name,dependency_class,baseline_scope,authoritative_success_proof,accepted_or_observed_only_signals,ambiguity_modes,degraded_patient_or_staff_posture,simulator_allowed,touchpoint_ids,source_refs
dep_network_capacity_partner_feeds,Network and hub partner capacity feeds,booking_supplier,baseline_required,Current CandidateSnapshot admitted as trusted_offerable by NetworkCoordinationPolicyEvaluation for the same policy tuple and source set.,Manual site list or stale spreadsheet; Partial supplier coverage without trust admission; Diagnostic-only feed returned a candidate,degraded_diagnostic_only or quarantined_hidden source posture; Snapshot expiry or stale source version; Offer session drift after candidate snapshot changes,callback fallback or return_to_practice; read_only_provenance or callback_only recovery in the same shell; Operational escalation when partner feeds are stale or quarantined,partial,ext_network_booking_adapter,"phase-5-the-network-horizon.md#5C. Enhanced Access policy engine and network capacity ingestion; phase-5-the-network-horizon.md#Network coordination contract, case model, and state machine; phase-9-the-assurance-ledger.md#9B. Essential-functions health, queues, and assurance operations boards"
dep_cross_org_secure_messaging_mesh,Cross-organisation secure messaging rail including MESH,messaging_transport,baseline_required,Current delivery evidence or other allowed proof class accepted by the live transport assurance profile for the exact outbound effect chain.,Transport accepted or checksum acknowledged; Mailbox queued or message handed off; Duplicate callback or replay observed,Delivery evidence still pending or disputed; Transport-only evidence without current-generation acknowledgement; Duplicate or stale message correlation against superseded tuples,Retry through the same idempotent effect chain; Monitored mailbox or telephone escalation where policy allows; Keep patient or practice posture in explicit pending or recovery state,partial,ext_practice_ack_delivery_rail; ext_pharmacy_dispatch_transport,"blueprint-init.md#1. Product definition; phase-5-the-network-horizon.md#Hub commit algorithm; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract"
dep_origin_practice_ack_rail,Origin-practice acknowledgement rail,messaging_transport,baseline_required,Current-generation PracticeAcknowledgementRecord matching the live truthTupleHash and ackGeneration for the active hub visibility duty.,Transport accepted or delivered; Origin practice viewed an older message; A stale-generation acknowledgement exists,"Acknowledgement overdue or disputed; Generation drift after cancellation, reschedule, or supplier-drift update; Policy exception still pending for no-ack-required posture",Operational escalation and overdue timers; Recovery-required practice visibility posture; Explicit exception handling rather than silent debt clearance,partial,ext_practice_ack_delivery_rail,"phase-5-the-network-horizon.md#PracticeAcknowledgementRecord; phase-5-the-network-horizon.md#Hub commit algorithm; phase-5-the-network-horizon.md#Manage, reminders, and practice visibility after hub booking"
dep_pharmacy_directory_dohs,Pharmacy directory and discovery dependency,pharmacy_directory,baseline_required,Current PharmacyDirectorySnapshot and PharmacyChoiceProof over the visible choice set and selected provider explanation.,Cached provider list without current snapshot age; Convenience ranking or open-now signal alone; Deprecated EPS DoS response without current policy acceptance,Stale or partial directory snapshot; Unsafe timing or capability drift; Visible-choice set changed materially after prior selection,Same-shell directory regeneration; Warned choice or clinician fallback when no safe provider remains; Consent renewal or fresh choice before dispatch if the choice set drifted,partial,ext_pharmacy_directory,"phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; blueprint-init.md#7. Pharmacy First pathway"
dep_pharmacy_referral_transport,Pharmacy referral transport dependency,pharmacy_transport,baseline_required,Current DispatchProofEnvelope(authoritative proof satisfied) accepted by the live TransportAssuranceProfile and current ExternalConfirmationGate for the same dispatch attempt.,adapter_dispatched; transport_accepted; provider_accepted; shared-mailbox delivery observed,proof_pending at or near deadline; contradiction score above threshold; consent or package drift after the outbound attempt,Keep same-shell pending or reconciliation posture; Controlled redispatch only under a fresh tuple; manual_assisted_dispatch with attestation and secondary review where policy requires it,partial,ext_pharmacy_dispatch_transport,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; phase-0-the-foundation-protocol.md#Pharmacy dispatch and confirmation gate algorithm"
dep_pharmacy_outcome_observation,Pharmacy outcome observation and reconciliation path,pharmacy_outcome,baseline_required,"Current PharmacyOutcomeRecord or PharmacyBounceBackRecord correlated to the active PharmacyCase and, where needed, resolved through PharmacyOutcomeReconciliationGate.",Update Record transport observed; Email or inbox delivery received; Manual capture drafted but not reconciled,"Weak or conflicting match against the active case; Duplicate or replayed outcome evidence; No message arrived yet, which cannot prove completion",outcome_reconciliation_pending with explicit review placeholder; Reopen for safety when the outcome is urgent or materially different; Manual structured capture or clarification without auto-closing the request,partial,ext_pharmacy_outcome_ingest,"phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; forensic-audit-findings.md#Finding 79 - weak-source matching did not clearly stop at a case-local review state; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics"
dep_pharmacy_urgent_return_professional_routes,Pharmacy urgent-return and professional-contact routes,messaging_transport,baseline_required,Current urgent-return or bounce-back evidence acknowledged on the configured route and bound to the active PharmacyCase or reopened request lineage.,Email sent to the safety-net mailbox; Voicemail or phone transfer attempted; Mailbox accepted without operator acknowledgement,Urgent return not yet acknowledged on the current route; Stale or misconfigured monitored email or professional number; Contact-route repair blocks the expected return channel,Immediate duty-task reopen or supervisor escalation; Phone escalation if mailbox or digital route is unavailable; No use of Update Record for urgent return semantics,no,ext_pharmacy_outcome_ingest,"phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics; blueprint-init.md#7. Pharmacy First pathway"
dep_nhs_app_embedded_channel_ecosystem,NHS App embedded-channel ecosystem,embedded_channel,deferred_phase7,"Current NHSAppIntegrationManifest, PatientEmbeddedNavEligibility, and PatientEmbeddedSessionProjection under the approved manifest, release, and bridge-capability tuple.",User-agent or query hint suggests embedded mode; Raw bridge object is present; Manifest file exists without current eligibility and continuity proof,"Manifest drift across Sandpit, AOS, and live; Bridge capability mismatch or stale embedded continuity evidence; Consent denial or auth return that fails silent handoff",Safe browser handoff; read_only or placeholder-only embedded posture; Bounded recovery inside the same patient shell rather than silent route fork,partial,ext_embedded_host_bridge,"phase-7-inside-the-nhs-app.md#7A. Integration manifest and route inventory; phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline; phase-cards.md#Phase 7 - Inside the NHS App"
dep_assistive_model_vendor_family,Assistive model vendor and subprocessor family,model_vendor,future_optional,"Current AssistiveCapabilityTrustEnvelope plus AssistiveCapabilityRolloutVerdict and supplier-assurance freshness for the exact route, cohort, and watch tuple.",Model returned output successfully; Vendor status page looks healthy; Watch tuple or rollout rung appears green without current trust envelope,"trustState = degraded, quarantined, shadow_only, or frozen; Supplier assurance drifted, suspended, or stale; Route-family or cohort rollout evidence is missing or blocked","observe_only, provenance_only, placeholder_only, or hidden posture; Shadow-only or frozen rollout without widening assistive actionability; Keep core clinical and operational workflow fully complete without model dependency",partial,,phase-8-the-assistive-layer.md#8H; phase-8-the-assistive-layer.md#AssistiveCapabilityTrustEnvelope; phase-cards.md#Phase 8 - The Assistive Layer
dep_nhs_assurance_and_standards_sources,NHS standards and assurance source set,content_or_standards_source,baseline_required,Current StandardsVersionMap and StandardsDependencyWatchlist bound to the same assurance-evidence graph and release candidate under review.,Static checklist copied into local notes; Legacy documentation link still resolves somewhere; Evidence PDF exists without current standards-version mapping,"Standards version moved, refreshed, or decommissioned; Supplier assurance evidence is stale or suspended; Dependency hygiene scan still reports legacy references",Freeze affected onboarding or release step until review completes; Open explicit standards exception or evidence gap; Keep live dependency assumptions constrained to current watchlist evidence,no,,"phase-9-the-assurance-ledger.md#9D. Assurance pack factory and standards evidence pipeline; phase-9-the-assurance-ledger.md#9H. Tenant governance, config immutability, and dependency hygiene; phase-7-inside-the-nhs-app.md#What Phase 7 must prove before Phase 8 starts"
