gateway_service_ref,gateway_surface_ref,route_family_refs,boundary_scope,downstream_workload_family_ref,trust_zone_boundary_ref,boundary_rule_ref,boundary_state,allowed_protocol_refs,tenant_transfer_mode,assurance_trust_transfer_mode,adapter_egress_allowed,raw_data_plane_access_allowed
agws_patient_web,gws_patient_home,rf_patient_home,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_home,rf_patient_home,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_home,rf_patient_home,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_intake_phone,rf_intake_telephony_capture,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_patient_web,gws_patient_intake_phone,rf_intake_telephony_capture,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_intake_phone,rf_intake_telephony_capture,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_intake_phone,rf_intake_telephony_capture,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_intake_phone,rf_intake_telephony_capture,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_intake_web,rf_intake_self_service,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_patient_web,gws_patient_intake_web,rf_intake_self_service,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_intake_web,rf_intake_self_service,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_intake_web,rf_intake_self_service,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_intake_web,rf_intake_self_service,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_messages,rf_patient_messages,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_patient_web,gws_patient_messages,rf_patient_messages,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_messages,rf_patient_messages,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_messages,rf_patient_messages,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_messages,rf_patient_messages,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_requests,rf_patient_requests,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_patient_web,gws_patient_requests,rf_patient_requests,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_requests,rf_patient_requests,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_requests,rf_patient_requests,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_requests,rf_patient_requests,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_secure_link_recovery,rf_patient_secure_link_recovery,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_patient_web,gws_patient_secure_link_recovery,rf_patient_secure_link_recovery,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_secure_link_recovery,rf_patient_secure_link_recovery,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_secure_link_recovery,rf_patient_secure_link_recovery,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_secure_link_recovery,rf_patient_secure_link_recovery,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_clinical_workspace,gws_assistive_sidecar,rf_staff_workspace_child; rf_assistive_control_shell,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_clinical_workspace,gws_assistive_sidecar,rf_staff_workspace_child; rf_assistive_control_shell,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_clinical_workspace,gws_assistive_sidecar,rf_staff_workspace_child; rf_assistive_control_shell,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_clinical_workspace,gws_assistive_sidecar,rf_staff_workspace_child; rf_assistive_control_shell,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_clinical_workspace,gws_assistive_sidecar,rf_staff_workspace_child; rf_assistive_control_shell,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_clinical_workspace,gws_clinician_workspace,rf_staff_workspace,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_clinical_workspace,gws_clinician_workspace,rf_staff_workspace,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_clinical_workspace,gws_clinician_workspace,rf_staff_workspace,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_clinical_workspace,gws_clinician_workspace,rf_staff_workspace,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_clinical_workspace,gws_clinician_workspace,rf_staff_workspace,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_clinical_workspace,gws_clinician_workspace_child,rf_staff_workspace_child,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_clinical_workspace,gws_clinician_workspace_child,rf_staff_workspace_child,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_clinical_workspace,gws_clinician_workspace_child,rf_staff_workspace_child,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_clinical_workspace,gws_clinician_workspace_child,rf_staff_workspace_child,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_clinical_workspace,gws_clinician_workspace_child,rf_staff_workspace_child,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_clinical_workspace,gws_practice_ops_workspace,rf_staff_workspace,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_clinical_workspace,gws_practice_ops_workspace,rf_staff_workspace,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_clinical_workspace,gws_practice_ops_workspace,rf_staff_workspace,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_clinical_workspace,gws_practice_ops_workspace,rf_staff_workspace,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_clinical_workspace,gws_practice_ops_workspace,rf_staff_workspace,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_support_workspace,gws_support_assisted_capture,rf_support_ticket_workspace,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_support_workspace,gws_support_assisted_capture,rf_support_ticket_workspace,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_support_workspace,gws_support_assisted_capture,rf_support_ticket_workspace,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_support_workspace,gws_support_assisted_capture,rf_support_ticket_workspace,declared_downstream,wf_assurance_security_control,tzb_published_gateway_to_assurance_security,,allowed,https; grpc,explicit_scope_tuple_or_platform_scope_only,assurance_slice_tuple_only,no,no
agws_support_workspace,gws_support_assisted_capture,rf_support_ticket_workspace,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_support_workspace,gws_support_assisted_capture,rf_support_ticket_workspace,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_support_workspace,gws_support_replay_observe,rf_support_replay_observe,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_support_workspace,gws_support_replay_observe,rf_support_replay_observe,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_support_workspace,gws_support_replay_observe,rf_support_replay_observe,declared_downstream,wf_assurance_security_control,tzb_published_gateway_to_assurance_security,,allowed,https; grpc,explicit_scope_tuple_or_platform_scope_only,assurance_slice_tuple_only,no,no
agws_support_workspace,gws_support_replay_observe,rf_support_replay_observe,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_support_workspace,gws_support_replay_observe,rf_support_replay_observe,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_support_workspace,gws_support_ticket_workspace,rf_support_ticket_workspace,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_support_workspace,gws_support_ticket_workspace,rf_support_ticket_workspace,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_support_workspace,gws_support_ticket_workspace,rf_support_ticket_workspace,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_support_workspace,gws_support_ticket_workspace,rf_support_ticket_workspace,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_support_workspace,gws_support_ticket_workspace,rf_support_ticket_workspace,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_hub_desk,gws_hub_case_management,rf_hub_case_management,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_hub_desk,gws_hub_case_management,rf_hub_case_management,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_hub_desk,gws_hub_case_management,rf_hub_case_management,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_hub_desk,gws_hub_case_management,rf_hub_case_management,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_hub_desk,gws_hub_case_management,rf_hub_case_management,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_hub_desk,gws_hub_queue,rf_hub_queue,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_hub_desk,gws_hub_queue,rf_hub_queue,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_hub_desk,gws_hub_queue,rf_hub_queue,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_hub_desk,gws_hub_queue,rf_hub_queue,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_pharmacy_console,gws_pharmacy_console,rf_pharmacy_console,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_pharmacy_console,gws_pharmacy_console,rf_pharmacy_console,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_pharmacy_console,gws_pharmacy_console,rf_pharmacy_console,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_pharmacy_console,gws_pharmacy_console,rf_pharmacy_console,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_pharmacy_console,gws_pharmacy_console,rf_pharmacy_console,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_ops_console,gws_operations_board,rf_operations_board,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_ops_console,gws_operations_board,rf_operations_board,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_ops_console,gws_operations_board,rf_operations_board,declared_downstream,wf_assurance_security_control,tzb_published_gateway_to_assurance_security,,allowed,https; grpc,explicit_scope_tuple_or_platform_scope_only,assurance_slice_tuple_only,no,no
agws_ops_console,gws_operations_board,rf_operations_board,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_ops_console,gws_operations_board,rf_operations_board,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_ops_console,gws_operations_drilldown,rf_operations_drilldown,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_ops_console,gws_operations_drilldown,rf_operations_drilldown,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_ops_console,gws_operations_drilldown,rf_operations_drilldown,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_ops_console,gws_operations_drilldown,rf_operations_drilldown,declared_downstream,wf_assurance_security_control,tzb_published_gateway_to_assurance_security,,allowed,https; grpc,explicit_scope_tuple_or_platform_scope_only,assurance_slice_tuple_only,no,no
agws_ops_console,gws_operations_drilldown,rf_operations_drilldown,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_ops_console,gws_operations_drilldown,rf_operations_drilldown,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_governance_console,gws_governance_shell,rf_governance_shell,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_governance_console,gws_governance_shell,rf_governance_shell,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_governance_console,gws_governance_shell,rf_governance_shell,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_governance_console,gws_governance_shell,rf_governance_shell,declared_downstream,wf_assurance_security_control,tzb_published_gateway_to_assurance_security,,allowed,https; grpc,explicit_scope_tuple_or_platform_scope_only,assurance_slice_tuple_only,no,no
agws_governance_console,gws_governance_shell,rf_governance_shell,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_governance_console,gws_governance_shell,rf_governance_shell,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
