dependency_id,dependency_name,dependency_type,baseline_scope,source_refs,linked_external_inventory_refs,linked_adapter_profile_refs,linked_standards_watch_refs,lifecycle_state,required_for_milestone_refs,required_for_gate_refs,blast_radius_scope,monitoring_signals,degradation_mode,fallback_strategy,owner_role,next_review_ref,notes
dep_nhs_assurance_and_standards_sources,NHS standards and assurance source set,standards_baseline,current,"['phase-9-the-assurance-ledger.md#9D. Assurance pack factory and standards evidence pipeline', 'phase-9-the-assurance-ledger.md#9H. Tenant governance, config immutability, and dependency hygiene', 'phase-7-inside-the-nhs-app.md#What Phase 7 must prove before Phase 8 starts']",['dep_nhs_assurance_and_standards_sources'],['standards_watch_and_assurance_boundary'],['StandardsDependencyWatchlist'],current,"['MS_P0_0G_DCB0129_SAFETY_CASE', 'MS_P0_0G_DSPT_READINESS']",['GATE_P0_LONG_LEAD_ASSURANCE_MERGE'],"standards posture, governance evidence, and release gating","['Current StandardsVersionMap and StandardsDependencyWatchlist bound to the same assurance-evidence graph and release candidate under review.', 'Static checklist copied into local notes', 'Legacy documentation link still resolves somewhere', 'Governance sign-off on refreshed standards baselines']","Standards version moved, refreshed, or decommissioned; Supplier assurance evidence is stale or suspended",Freeze affected onboarding or release step until review completes; Open explicit standards exception or evidence gap,ROLE_PLATFORM_GOVERNANCE_LEAD,GATE_P0_LONG_LEAD_ASSURANCE_MERGE,"This row captures source-of-law dependency, not a live API. It is still operationally real because stale standards can block release and onboarding."
dep_nhs_login_rail,NHS login authentication rail,external_approval,current,"['phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine', 'blueprint-init.md#10. Identity, consent, security, and policy', 'platform-runtime-and-release-blueprint.md#AdapterContractProfile']",['dep_nhs_login_rail'],['nhs_login_oidc_bridge'],[],onboarding,"['MS_EXT_NHS_LOGIN_ONBOARDING', 'MS_P0_0G_NHS_LOGIN_ONBOARDING_EVIDENCE', 'MS_P2_DEFINITION_AND_ENTRY', 'MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY', 'MS_P2_EXTERNAL_CONFIG']","['GATE_EXTERNAL_TO_FOUNDATION', 'GATE_P0_LONG_LEAD_ASSURANCE_MERGE', 'GATE_P0_EXIT', 'GATE_P2_PARALLEL_MERGE', 'GATE_P2_EXIT']","patient authentication, writable posture, and recovery continuity","['Current SessionEstablishmentDecision plus current Session, IdentityBinding, and RouteIntentBinding showing writable authority for the same subject and lineage.', 'NHS login callback arrived', 'Token exchange completed', 'Partner approval before non-mock credentials are issued']",ConsentNotGiven or access_denied returns; Subject mismatch or stale subject binding version,bounded_recovery with explicit post-auth next step; auth_read_only or claim_pending shell posture,ROLE_INTEROPERABILITY_LEAD,GATE_EXTERNAL_TO_FOUNDATION,"NHS login remains an authentication rail only; it does not replace patient linkage, PDS, or claim ownership."
dep_origin_practice_ack_rail,Origin-practice acknowledgement rail,external_service,current,"['phase-5-the-network-horizon.md#PracticeAcknowledgementRecord', 'phase-5-the-network-horizon.md#Hub commit algorithm', 'phase-5-the-network-horizon.md#Manage, reminders, and practice visibility after hub booking']",['dep_origin_practice_ack_rail'],['practice_acknowledgement_transport_adapter'],[],onboarding,[],[],cross-organisation messaging and hub coordination,"['Current-generation PracticeAcknowledgementRecord matching the live truthTupleHash and ackGeneration for the active hub visibility duty.', 'Transport accepted or delivered', 'Origin practice viewed an older message', 'Policy review for which changes require renewed acknowledgement']","Acknowledgement overdue or disputed; Generation drift after cancellation, reschedule, or supplier-drift update",Operational escalation and overdue timers; Recovery-required practice visibility posture,ROLE_INTEROPERABILITY_LEAD,seq_040,"Transport acceptance, delivery evidence, and explicit acknowledgement are distinct facts and must stay distinct in the inventory and UI."
dep_pharmacy_directory_dohs,Pharmacy directory and discovery dependency,supplier_capability,current,"['phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction', 'phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine', 'blueprint-init.md#7. Pharmacy First pathway']",['dep_pharmacy_directory_dohs'],['pharmacy_directory_adapter'],[],onboarding,"['MS_EXT_PROVIDER_PATHS_AND_EVIDENCE', 'MS_P6_DEFINITION_AND_ENTRY', 'MS_P6_PARALLEL_PHARMACY_IMPLEMENTATION', 'MS_P6_MERGE_CONFIG_AND_PROOF', 'MS_P6_EXIT_GATE']","['GATE_P6_PARALLEL_MERGE', 'GATE_P6_EXIT']","pharmacy referral, dispatch proof, and closure posture","['Current PharmacyDirectorySnapshot and PharmacyChoiceProof over the visible choice set and selected provider explanation.', 'Cached provider list without current snapshot age', 'Convenience ranking or open-now signal alone', 'Directory access-path selection and deprecation watch review']",Stale or partial directory snapshot; Unsafe timing or capability drift,Same-shell directory regeneration; Warned choice or clinician fallback when no safe provider remains,ROLE_INTEROPERABILITY_LEAD,GATE_P6_PARALLEL_MERGE,Discovery truth must remain separate from later dispatch and outcome truth; no hidden-default provider path is allowed.
dep_pharmacy_outcome_observation,Pharmacy outcome observation and reconciliation path,supplier_capability,current,"['phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation', 'forensic-audit-findings.md#Finding 79 - weak-source matching did not clearly stop at a case-local review state', 'phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics']",['dep_pharmacy_outcome_observation'],['pharmacy_outcome_ingest_adapter'],[],onboarding,"['MS_P6_DEFINITION_AND_ENTRY', 'MS_P6_PARALLEL_PHARMACY_IMPLEMENTATION', 'MS_P6_MERGE_CONFIG_AND_PROOF', 'MS_P6_EXIT_GATE']",[],"pharmacy referral, dispatch proof, and closure posture","['Current PharmacyOutcomeRecord or PharmacyBounceBackRecord correlated to the active PharmacyCase and, where needed, resolved through PharmacyOutcomeReconciliationGate.', 'Update Record transport observed', 'Email or inbox delivery received', 'Outcome source acceptance policy review']",Weak or conflicting match against the active case; Duplicate or replayed outcome evidence,outcome_reconciliation_pending with explicit review placeholder; Reopen for safety when the outcome is urgent or materially different,ROLE_INTEROPERABILITY_LEAD,MS_P6_DEFINITION_AND_ENTRY,Outcome ingest is an observation boundary only; it cannot behave like direct pharmacy-system control or auto-close on weak evidence.
dep_pharmacy_referral_transport,Pharmacy referral transport dependency,supplier_capability,current,"['phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract', 'phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine', 'phase-0-the-foundation-protocol.md#Pharmacy dispatch and confirmation gate algorithm']",['dep_pharmacy_referral_transport'],['pharmacy_dispatch_transport_adapter'],[],onboarding,"['MS_P6_DEFINITION_AND_ENTRY', 'MS_P6_PARALLEL_PHARMACY_IMPLEMENTATION', 'MS_P6_MERGE_CONFIG_AND_PROOF', 'MS_P6_EXIT_GATE']",['GATE_P6_PARALLEL_MERGE'],"pharmacy referral, dispatch proof, and closure posture","['Current DispatchProofEnvelope(authoritative proof satisfied) accepted by the live TransportAssuranceProfile and current ExternalConfirmationGate for the same dispatch attempt.', 'adapter_dispatched', 'transport_accepted', 'Transport-path selection and data-sharing review']",proof_pending at or near deadline; contradiction score above threshold,Keep same-shell pending or reconciliation posture; Controlled redispatch only under a fresh tuple,ROLE_INTEROPERABILITY_LEAD,GATE_P6_PARALLEL_MERGE,"Vecells may dispatch through several transports, but no transport-only evidence may project calm referred truth."
dep_pharmacy_urgent_return_professional_routes,Pharmacy urgent-return and professional-contact routes,external_service,current,"['phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract', 'phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics', 'blueprint-init.md#7. Pharmacy First pathway']",['dep_pharmacy_urgent_return_professional_routes'],['pharmacy_urgent_return_route_config'],[],onboarding,[],[],cross-organisation messaging and hub coordination,"['Current urgent-return or bounce-back evidence acknowledged on the configured route and bound to the active PharmacyCase or reopened request lineage.', 'Email sent to the safety-net mailbox', 'Voicemail or phone transfer attempted', 'Practice-level route ownership sign-off']",Urgent return not yet acknowledged on the current route; Stale or misconfigured monitored email or professional number,Immediate duty-task reopen or supervisor escalation; Phone escalation if mailbox or digital route is unavailable,ROLE_INTEROPERABILITY_LEAD,seq_040,Urgent return is a human-operated safety net and therefore cannot be downgraded into a simulated healthy dependency.
dep_release_publication_tuple_pipeline,Runtime publication and release tuple pipeline,infra_component,current,"['data/analysis/release_gate_matrix.csv', 'data/analysis/supply_chain_and_provenance_matrix.json']",[],['runtime_publication_pipeline'],[],current,"['MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE', 'MS_PRG_RELEASE_READINESS']","['GATE_P0_PARALLEL_FOUNDATION_OPEN', 'GATE_RELEASE_READINESS', 'GATE_WAVE1_OBSERVATION']","all live audience surfaces, release tuples, and wave guardrails","['RuntimePublicationBundle hash matches DesignContractPublicationBundle hash set', 'ReleasePublicationParityRecord exists for the candidate']",freeze_release_and_keep_last_published_tuple,Hold promotion and route all operators to the last known-good published tuple.,ROLE_RELEASE_MANAGER,GATE_RELEASE_READINESS,
dep_restore_rehearsal_evidence,Restore rehearsal and recovery evidence pack,runbook_dependency,current,"['data/analysis/regulatory_workstreams.json#WS_OPERATIONAL_RESILIENCE_RESTORE', 'data/analysis/release_gate_matrix.csv']",[],[],[],current,"['MS_P0_0G_EXIT_PROOF_AND_FOUNDATION_SIGNOFF', 'MS_PRG_BAU_HANDOVER_AND_ARCHIVE']","['GATE_RELEASE_READINESS', 'GATE_BAU_TRANSFER']","restore authority, operational readiness, and BAU handover","['Restore rehearsal pack is current for the candidate', 'runbook steps match the current region and trust-zone topology']",recovery_posture_downgrades_to_review_required,Hold BAU transfer and widen observation until a fresh rehearsal pack is produced.,ROLE_SRE_LEAD,GATE_RELEASE_READINESS,
dep_standards_baseline_map,Standards baseline and exception map,standards_baseline,current,"['blueprint/platform-admin-and-config-blueprint.md#StandardsBaselineMap', 'blueprint/platform-admin-and-config-blueprint.md#StandardsDependencyWatchlist']",[],[],"['StandardsBaselineMap', 'StandardsDependencyWatchlist', 'StandardsExceptionRecord']",current,"['MS_EXT_SIMULATOR_AND_MANUAL_GATE_FREEZE', 'MS_PRG_RELEASE_READINESS']","['GATE_PLAN_EXTERNAL_ENTRY', 'GATE_RELEASE_READINESS']",programme-wide standards posture and release gating,"['Standards watchlist hash remains stable for the current review package', 'No open promotion-blocking compatibility alerts']",promotion_blocked_until_exception_or_baseline_updates_settle,"Keep the current published tuple and require explicit, time-bound exception evidence.",ROLE_PLATFORM_GOVERNANCE_LEAD,GATE_RELEASE_READINESS,Internal dependency row added by seq_018 so standards hygiene cannot stay ownerless.
dep_telephony_ivr_recording_provider,"Telephony, IVR, and call-recording provider",external_service,current,"['phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence', 'phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation', 'callback-and-clinician-messaging-loop.md#Callback domain']",['dep_telephony_ivr_recording_provider'],['telephony_ingress_and_callback_adapter'],[],onboarding,"['MS_EXT_COMMS_AND_SCAN_VENDORS', 'MS_P2_DEFINITION_AND_ENTRY', 'MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY']",['GATE_P2_PARALLEL_MERGE'],"telephony ingress, evidence readiness, and callback repair","['Current CallSession evidence or CallbackOutcomeEvidenceBundle linked to AdapterReceiptCheckpoint and the current lineage-bound callback or intake objects.', 'Carrier accepted a call leg', 'Callback queued or dial started', 'Contract and regulated-recording review before live call handling']",recording_missing or transcript_degraded; Duplicate or contradictory callback outcomes,Callback retry or governed manual escalation; Secure-link continuation where route authority allows,ROLE_INTEROPERABILITY_LEAD,GATE_P2_PARALLEL_MERGE,"Telephony parity is baseline, but carrier acceptance or callback initiation never equals completed clinical contact."
dep_transcription_processing_provider,Transcript and derived-facts processing provider,external_service,current,"['phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence', 'phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation', 'forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed']",['dep_transcription_processing_provider'],['transcription_readiness_adapter'],[],onboarding,"['MS_EXT_COMMS_AND_SCAN_VENDORS', 'MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY']",[],"telephony ingress, evidence readiness, and callback repair","['TelephonyTranscriptReadinessRecord with clinically sufficient coverage accepted by TelephonyEvidenceReadinessAssessment(usabilityState = safety_usable).', 'Transcript job queued or running', 'Keyword-only or partial utterance output', 'Clinical-safety review of derived-facts use before any automated promotion depends on the provider']",Coverage is partial or clinically insufficient; Contradictory transcript reruns or stale derivation packages,Manual transcription or audio review; continuation_challenge or manual_only posture,ROLE_INTEROPERABILITY_LEAD,MS_EXT_COMMS_AND_SCAN_VENDORS,Transcript completion is never enough by itself; the readiness assessment is the governing proof.
dep_nhs_app_embedded_channel_ecosystem,NHS App embedded-channel ecosystem,external_approval,deferred,"['phase-7-inside-the-nhs-app.md#7A. Integration manifest and route inventory', 'phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline', 'phase-cards.md#Phase 7 - Inside the NHS App']",['dep_nhs_app_embedded_channel_ecosystem'],['nhs_app_embedded_channel_boundary'],[],deferred,"['MS_EXT_DEFERRED_NHSAPP_ECOSYSTEM', 'MS_P7_DEFINITION_AND_ENTRY', 'MS_P7_PARALLEL_EMBEDDED_CHANNEL', 'MS_P7_MERGE_AND_PROOF', 'MS_P7_EXIT_GATE', 'MS_PRG_DEFERRED_NHSAPP_ENABLEMENT']","['GATE_P7_DEFERRED_MERGE', 'GATE_P7_EXIT', 'GATE_DEFERRED_NHSAPP_ENABLEMENT']",deferred embedded channel readiness and publication control,"['Current NHSAppIntegrationManifest, PatientEmbeddedNavEligibility, and PatientEmbeddedSessionProjection under the approved manifest, release, and bridge-capability tuple.', 'User-agent or query hint suggests embedded mode', 'Raw bridge object is present', 'NHS App suitability and demo-environment review before Sandpit or AOS access']","Manifest drift across Sandpit, AOS, and live; Bridge capability mismatch or stale embedded continuity evidence",Safe browser handoff; read_only or placeholder-only embedded posture,ROLE_INTEROPERABILITY_LEAD,GATE_P7_DEFERRED_MERGE,Deferred channel expansion only. The inventory keeps the onboarding and downgrade rules ready without rebasing current scope.
dep_assistive_model_vendor_family,Assistive model vendor and subprocessor family,external_service,optional,"['phase-8-the-assistive-layer.md#8H', 'phase-8-the-assistive-layer.md#AssistiveCapabilityTrustEnvelope', 'phase-cards.md#Phase 8 - The Assistive Layer']",['dep_assistive_model_vendor_family'],['assistive_vendor_boundary'],[],replaceable_by_simulator,"['MS_P8_DEFINITION_AND_ENTRY', 'MS_P8_PARALLEL_ASSISTIVE_IMPLEMENTATION', 'MS_P8_MERGE', 'MS_P8_PROOF_AND_EXIT_PACK', 'MS_P8_EXIT_GATE']","['GATE_P8_PARALLEL_MERGE', 'GATE_P8_EXIT', 'GATE_OPTIONAL_ASSISTIVE_ENABLEMENT']",partner-facing capability and current-baseline delivery,"['Current AssistiveCapabilityTrustEnvelope plus AssistiveCapabilityRolloutVerdict and supplier-assurance freshness for the exact route, cohort, and watch tuple.', 'Model returned output successfully', 'Vendor status page looks healthy', 'Subprocessor and assurance review before any live visible cohort']","trustState = degraded, quarantined, shadow_only, or frozen; Supplier assurance drifted, suspended, or stale","observe_only, provenance_only, placeholder_only, or hidden posture; Shadow-only or frozen rollout without widening assistive actionability",ROLE_INTEROPERABILITY_LEAD,GATE_P8_PARALLEL_MERGE,"The assistive control plane is in scope, but live model vendors remain optional and must fail to shadow, observe-only, or hidden posture."
dep_pds_fhir_enrichment,Optional PDS enrichment seam,external_service,optional,"['phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment', 'blueprint-init.md#10. Identity, consent, security, and policy', 'phase-cards.md#Phase 2 - Identity and Echoes']",['dep_pds_fhir_enrichment'],['pds_enrichment_adapter'],[],replaceable_by_simulator,['MS_EXT_OPTIONAL_PDS_ENRICHMENT'],['GATE_OPTIONAL_PDS_ENABLEMENT'],partner-facing capability and current-baseline delivery,"['A legally permitted PDS lookup correlated to the current linkage candidate set and accepted as supporting evidence by IdentityBindingAuthority.', 'NHS login contact claim', 'Single local demographic candidate without sufficient confidence', 'Legal basis and governance approval before sandbox or live access']",Legal basis or onboarding still incomplete; PDS response conflicts with local or telephony evidence,Local matching only with partial_match or review posture; Support-assisted correction without widening identity truth,ROLE_INTEROPERABILITY_LEAD,GATE_OPTIONAL_PDS_ENABLEMENT,"Optional by corpus law: PDS is an enrichment seam, not a baseline blocker and not a substitute for NHS login or local binding governance."
