provider_family,provider_family_title,dimension_id,dimension_title,dimension_class,weight_mock_now,weight_actual_later,weight_delta_actual_minus_mock,same_weight_flag,minimum_bar_mock_now,minimum_bar_actual_later,lane_priority,baseline_role,recommended_lane
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,experience_and_brand_constraints,UI / Brand / Interaction Constraints,ui_brand_constraints,2,3,1,false,3,3,actual_later_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,simulator_fidelity,Simulator Fidelity And State Coverage,mock_fidelity,12,5,-7,false,5,3,mock_now_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,contract_shape,Capability And Tuple Coverage,capability,10,10,0,true,4,4,shared_weight,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,authoritative_truth,Authoritative Truth Separation,proof_truth,10,10,0,true,4,4,shared_weight,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,11,11,0,true,5,5,shared_weight,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,security_replay,"Security, Authentication, And Replay Control",security,9,10,1,false,4,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,5,6,1,false,2,3,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,healthcare_compliance,UK Healthcare Compliance And Assurance Readiness,compliance,6,10,4,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,onboarding_and_sponsorship,Onboarding Friction And Sponsor Burden,onboarding_friction,4,9,5,false,2,3,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,sandbox_depth,Sandbox Depth And Environment Isolation,sandbox_quality,11,8,-3,false,5,4,mock_now_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,test_data_fidelity,Test Data And Synthetic Fixture Quality,test_data_quality,10,8,-2,false,4,4,mock_now_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,observability_and_audit,"Observability, Audit, And Replay Support",observability,8,9,1,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,operational_support,Operational Support And Incident Handling,operational_support,6,8,2,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,commercial_and_lock_in,Cost Governance And Lock-In Control,cost_governance,3,6,3,false,2,3,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,portability_and_exit,Portability And Adapter Exit Posture,portability,6,8,2,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,degraded_mode_resilience,Resilience And Degraded-Mode Compatibility,resilience,10,9,-1,false,4,4,mock_now_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,experience_and_brand_constraints,UI / Brand / Interaction Constraints,ui_brand_constraints,3,4,1,false,3,3,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_directory,Pharmacy Directory / Choice,simulator_fidelity,Simulator Fidelity And State Coverage,mock_fidelity,12,5,-7,false,5,3,mock_now_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,contract_shape,Capability And Tuple Coverage,capability,10,11,1,false,4,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,authoritative_truth,Authoritative Truth Separation,proof_truth,12,12,0,true,5,5,shared_weight,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,11,11,0,true,5,5,shared_weight,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,security_replay,"Security, Authentication, And Replay Control",security,10,10,0,true,4,5,shared_weight,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,7,9,2,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,healthcare_compliance,UK Healthcare Compliance And Assurance Readiness,compliance,8,10,2,false,4,5,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,onboarding_and_sponsorship,Onboarding Friction And Sponsor Burden,onboarding_friction,5,10,5,false,2,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,sandbox_depth,Sandbox Depth And Environment Isolation,sandbox_quality,10,8,-2,false,5,4,mock_now_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,test_data_fidelity,Test Data And Synthetic Fixture Quality,test_data_quality,9,8,-1,false,4,4,mock_now_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,observability_and_audit,"Observability, Audit, And Replay Support",observability,10,11,1,false,4,5,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,operational_support,Operational Support And Incident Handling,operational_support,9,10,1,false,4,5,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,commercial_and_lock_in,Cost Governance And Lock-In Control,cost_governance,3,6,3,false,2,3,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,portability_and_exit,Portability And Adapter Exit Posture,portability,6,8,2,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,degraded_mode_resilience,Resilience And Degraded-Mode Compatibility,resilience,11,11,0,true,5,5,shared_weight,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,experience_and_brand_constraints,UI / Brand / Interaction Constraints,ui_brand_constraints,1,2,1,false,2,2,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_dispatch_transport,Pharmacy Dispatch / Transport,simulator_fidelity,Simulator Fidelity And State Coverage,mock_fidelity,12,5,-7,false,5,3,mock_now_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,contract_shape,Capability And Tuple Coverage,capability,10,10,0,true,4,4,shared_weight,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,authoritative_truth,Authoritative Truth Separation,proof_truth,12,12,0,true,5,5,shared_weight,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,11,11,0,true,5,5,shared_weight,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,security_replay,"Security, Authentication, And Replay Control",security,9,10,1,false,4,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,9,10,1,false,4,5,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,healthcare_compliance,UK Healthcare Compliance And Assurance Readiness,compliance,8,10,2,false,4,5,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,onboarding_and_sponsorship,Onboarding Friction And Sponsor Burden,onboarding_friction,5,10,5,false,2,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,sandbox_depth,Sandbox Depth And Environment Isolation,sandbox_quality,11,8,-3,false,5,4,mock_now_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,test_data_fidelity,Test Data And Synthetic Fixture Quality,test_data_quality,10,8,-2,false,4,4,mock_now_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,observability_and_audit,"Observability, Audit, And Replay Support",observability,10,11,1,false,4,5,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,operational_support,Operational Support And Incident Handling,operational_support,9,10,1,false,4,5,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,commercial_and_lock_in,Cost Governance And Lock-In Control,cost_governance,3,6,3,false,2,3,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,portability_and_exit,Portability And Adapter Exit Posture,portability,6,8,2,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,degraded_mode_resilience,Resilience And Degraded-Mode Compatibility,resilience,10,10,0,true,4,4,shared_weight,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,experience_and_brand_constraints,UI / Brand / Interaction Constraints,ui_brand_constraints,1,2,1,false,2,2,actual_later_heavier,baseline_mock_required,mock_now
pharmacy_outcome_observation,Pharmacy Outcome Observation,simulator_fidelity,Simulator Fidelity And State Coverage,mock_fidelity,12,5,-7,false,5,3,mock_now_heavier,baseline_mock_required,mock_now
