checkpoint_id,action_key,action_label,provider_family,provider_family_label,source_pack_key,task_refs,stage,retry_class,retry_chip_label,idempotency_class,evidence_class,live_gate_status,approval_lanes,required_env,harness_paths,selector_refs,completion_evidence,insufficient_evidence,human_checkpoints,redaction_policy,mock_now_execution,actual_provider_strategy_later,source_refs
CHK_011,act_mesh_mailbox_application_draft,Resume MESH mailbox application drafting,mesh,MESH,mesh,seq_028,fill,resume_from_checkpoint_only,resume_only,draft_resume_safe,checkpoint_receipt,review_required,Vendor service desk; Safety / privacy assurance,MESH_NAMED_APPROVER; MESH_ENVIRONMENT_TARGET; MESH_MAILBOX_OWNER_ODS; MESH_MANAGING_PARTY_MODE; MESH_WORKFLOW_TEAM_CONTACT; MESH_API_ONBOARDING_COMPLETE; MESH_MINIMUM_NECESSARY_REVIEW_REF; ALLOW_REAL_PROVIDER_MUTATION; ALLOW_SPEND,/Users/test/Code/V/tools/browser-automation/mesh-mailbox-dry-run.spec.js,mailbox_button; field_owner_ods; field_manager_mode; field_workflow_contact,Application draft receipt linked to the mailbox row; Current owner ODS and minimum-necessary review refs on the same draft,Re-entering owner details with no checkpoint receipt; A filled form with no proof of liaison or minimum-necessary review,Mailbox owner ODS and managing-party posture must be explicitly reviewed before live submission.; Cross-organisation access approval before live mailbox use; Transport assurance and minimum-necessary payload review,Masked stills allowed before commit. ODS identifiers may appear only if the pack is still synthetic or approved.,Populate the mock application pack and preserve the current receipt for safe resume.,Live mailbox setup later must continue from the same bounded draft rather than replaying the whole application blindly.,"/Users/test/Code/V/data/analysis/mesh_execution_pack.json; blueprint-init.md#1. Product definition; phase-5-the-network-horizon.md#Hub commit algorithm; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; seq_028; mailbox_button; field_owner_ods; field_manager_mode; field_workflow_contact"
CHK_012,act_mesh_workflow_request_submit,Submit MESH workflow request once,mesh,MESH,mesh,seq_028,commit,never_auto_repeat,never_auto_repeat,non_idempotent_mutation,provider_receipt,blocked,Vendor service desk; Environment approval,MESH_NAMED_APPROVER; MESH_ENVIRONMENT_TARGET; MESH_MAILBOX_OWNER_ODS; MESH_MANAGING_PARTY_MODE; MESH_WORKFLOW_TEAM_CONTACT; MESH_API_ONBOARDING_COMPLETE; MESH_MINIMUM_NECESSARY_REVIEW_REF; ALLOW_REAL_PROVIDER_MUTATION; ALLOW_SPEND,/Users/test/Code/V/tools/browser-automation/mesh-mailbox-dry-run.spec.js,workflow_row; final_submit,Workflow request or mailbox ticket id; Named approver and environment target bound to the same attempt,A clicked submit button with no request id; A page refresh implying the workflow already exists,Supplier liaison and operator acknowledgement remain mandatory before any real workflow request.; Cross-organisation access approval before live mailbox use; Transport assurance and minimum-necessary payload review,Commit-phase capture is disabled unless a masked still is explicitly approved for the evidence pack.,Dry-run completes the draft and stops before final request submission.,The real request later must capture one workflow receipt and must never be replayed automatically.,"/Users/test/Code/V/data/analysis/mesh_execution_pack.json; blueprint-init.md#1. Product definition; phase-5-the-network-horizon.md#Hub commit algorithm; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; seq_028; workflow_row; final_submit"
CHK_013,act_telephony_account_project_draft,Resume telephony account and number plan drafting,telephony,Telephony,telephony,seq_032,fill,resume_from_checkpoint_only,resume_only,draft_resume_safe,checkpoint_receipt,review_required,Environment approval; Safety / privacy assurance,TELEPHONY_VENDOR_ID; TELEPHONY_NAMED_APPROVER; TELEPHONY_TARGET_ENVIRONMENT; TELEPHONY_CALLBACK_BASE_URL; TELEPHONY_RECORDING_POLICY_REF; TELEPHONY_NUMBER_PROFILE_REF; TELEPHONY_SPEND_CAP_GBP; TELEPHONY_WEBHOOK_SECRET_REF; ALLOW_REAL_PROVIDER_MUTATION; ALLOW_SPEND,/Users/test/Code/V/tools/browser-automation/telephony-account-and-number-dry-run.spec.js,field_vendor; field_recording_policy; field_number_profile; field_secret_ref,Draft receipt for the chosen vendor and number profile; Current recording policy and webhook security refs attached to the same draft,Re-filling the vendor console from scratch; A selected vendor with no recording or webhook evidence refs,Recording policy and environment target still need later approval before any spend-bearing mutation.; Contract and regulated-recording review before live call handling; Number ownership and urgent escalation path sign-off,"Masked draft captures only. Secret refs may appear only as vault handles, never raw secrets.",Populate the dry-run form and keep the real submit button disabled.,Later real setup continues from the checkpoint receipt and still requires the same recording and webhook pack.,"/Users/test/Code/V/data/analysis/32_telephony_lab_pack.json; phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Callback domain; seq_032; field_vendor; field_recording_policy; field_number_profile; field_secret_ref"
CHK_014,act_telephony_number_purchase,Purchase or bind a telephony number once,telephony,Telephony,telephony,seq_032,commit,never_auto_repeat,never_auto_repeat,non_idempotent_mutation,provider_receipt,blocked,Environment approval; Vendor service desk,TELEPHONY_VENDOR_ID; TELEPHONY_NAMED_APPROVER; TELEPHONY_TARGET_ENVIRONMENT; TELEPHONY_CALLBACK_BASE_URL; TELEPHONY_RECORDING_POLICY_REF; TELEPHONY_NUMBER_PROFILE_REF; TELEPHONY_SPEND_CAP_GBP; TELEPHONY_WEBHOOK_SECRET_REF; ALLOW_REAL_PROVIDER_MUTATION; ALLOW_SPEND,/Users/test/Code/V/tools/browser-automation/telephony-account-and-number-dry-run.spec.js,field_spend_cap; final_submit,Provider number or purchase receipt; Spend approval reference and named approver tied to the same action,Seeing a candidate number in the console; Assuming success because the page stayed open after submit,Procurement and spend authority must be explicit before buying or binding numbers.; Contract and regulated-recording review before live call handling; Number ownership and urgent escalation path sign-off,No unapproved commit-phase captures. Any evidence still must mask account identifiers and numbers until the receipt is archived safely.,The dry-run script must stop with the provider submit disabled while Phase 0 remains withheld.,A live number purchase later requires one provider receipt and explicit spend authority.,"/Users/test/Code/V/data/analysis/32_telephony_lab_pack.json; phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Callback domain; seq_032; field_spend_cap; final_submit"
CHK_015,act_notification_project_draft,Resume notification project and sender draft,notification,Notification,notification,seq_033,fill,resume_from_checkpoint_only,resume_only,draft_resume_safe,checkpoint_receipt,review_required,Environment approval; Vendor service desk,NOTIFICATION_VENDOR_ID; NOTIFICATION_NAMED_APPROVER; NOTIFICATION_TARGET_ENVIRONMENT; NOTIFICATION_PROJECT_SCOPE; NOTIFICATION_CALLBACK_BASE_URL; NOTIFICATION_WEBHOOK_SECRET_REF; NOTIFICATION_SENDER_REF; ALLOW_REAL_PROVIDER_MUTATION; ALLOW_SPEND,/Users/test/Code/V/tools/browser-automation/notification-project-dry-run.spec.js,field_vendor; field_project_scope; field_sender_ref; field_domain_ref,"Project draft receipt for the chosen provider family; Current repair, migration, and scope references bound to the same draft",Re-entering project details with no checkpoint receipt; A chosen sender identity with no environment or repair posture,Environment split and repair posture still need human confirmation before live widening.; Sender registration and regulated messaging review before live traffic; Wrong-recipient hazard sign-off for seeded continuation cohorts; Sender-domain verification and security review; Support ownership for bounced or disputed delivery chains,"Masked draft captures only. Sender refs may appear as identity handles, never raw credentials or tokens.",Use the dry-run studio to rehearse scope and sender choices while leaving the live posture blocked.,Real account or project work later must reuse the same checkpoint and environment split.,"/Users/test/Code/V/data/analysis/33_notification_studio_pack.json; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Delivery, callback-window, and settlement confidence model; phase-0-the-foundation-protocol.md#Command and adapter effect ledger; callback-and-clinician-messaging-loop.md#Clinician message domain; phase-5-the-network-horizon.md#Reminder and communication publication; seq_033; field_vendor; field_project_scope; field_sender_ref; field_domain_ref"
CHK_016,act_notification_sender_domain_verification,Capture sender or domain verification evidence and stop,notification,Notification,notification,seq_033,verify,capture_evidence_then_stop,capture_stop,review_checkpoint,review_reference,blocked,Ownership / rehearsal; Vendor service desk,NOTIFICATION_VENDOR_ID; NOTIFICATION_NAMED_APPROVER; NOTIFICATION_TARGET_ENVIRONMENT; NOTIFICATION_PROJECT_SCOPE; NOTIFICATION_CALLBACK_BASE_URL; NOTIFICATION_WEBHOOK_SECRET_REF; NOTIFICATION_SENDER_REF; ALLOW_REAL_PROVIDER_MUTATION; ALLOW_SPEND,/Users/test/Code/V/tools/browser-automation/notification-project-dry-run.spec.js,field_sender_ref; field_domain_ref,Ownership or DNS handoff reference; Signed webhook security reference for the same sender or domain identity,A pending verification badge with no ownership ticket; A screenshot of DNS tokens with no approval or masking,Sender or domain ownership remains a human-owned approval path before live widening.; Sender registration and regulated messaging review before live traffic; Wrong-recipient hazard sign-off for seeded continuation cohorts; Sender-domain verification and security review; Support ownership for bounced or disputed delivery chains,"Only masked stills are allowed. DNS tokens, webhook secrets, and raw sender identifiers must be obscured.",Rehearse sender/domain readiness without trying to complete real verification.,Later DNS or sender verification completes outside the repo and must not be replayed from browser automation.,"/Users/test/Code/V/data/analysis/33_notification_studio_pack.json; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Delivery, callback-window, and settlement confidence model; phase-0-the-foundation-protocol.md#Command and adapter effect ledger; callback-and-clinician-messaging-loop.md#Clinician message domain; phase-5-the-network-horizon.md#Reminder and communication publication; seq_033; field_sender_ref; field_domain_ref"
CHK_017,act_evidence_vendor_project_draft,Resume evidence-processing provider draft,evidence_processing,Evidence processing,evidence,seq_035,fill,resume_from_checkpoint_only,resume_only,draft_resume_safe,checkpoint_receipt,review_required,Safety / privacy assurance; Environment approval,EVIDENCE_PROVIDER_VENDOR_ID; EVIDENCE_PROJECT_SCOPE; EVIDENCE_TARGET_ENVIRONMENT; EVIDENCE_REGION_POLICY_REF; EVIDENCE_RETENTION_POLICY_REF; EVIDENCE_WEBHOOK_BASE_URL; EVIDENCE_WEBHOOK_SECRET_REF; EVIDENCE_STORAGE_BUCKET_REF; EVIDENCE_SCAN_POLICY_REF; EVIDENCE_NAMED_APPROVER; ALLOW_REAL_PROVIDER_MUTATION; ALLOW_SPEND,/Users/test/Code/V/tools/browser-automation/evidence-processing-project-dry-run.spec.js,EVIDENCE_REGION_POLICY_REF; EVIDENCE_RETENTION_POLICY_REF; EVIDENCE_STORAGE_BUCKET_REF; EVIDENCE_SCAN_POLICY_REF,"Draft receipt for the chosen provider and project scope; Current region, retention, storage, and quarantine references",A provider selection with no policy refs; A draft screenshot with no checkpoint receipt,"Retention, deletion, and quarantine posture must be reviewed before any live mutation.; Clinical-safety review of derived-facts use before any automated promotion depends on the provider; Retention and masking checks for recorded audio and transcript artifacts; Security review of scanner placement and quarantine policy; Known-bad test evidence before live acceptance is enabled",Masked draft captures only. Storage names and project identifiers may appear only when approved and non-secret.,Fill the evidence-processing project draft and stop before any live create action.,Later live setup must resume from the stored draft receipt and reuse the same evidence bundle.,"/Users/test/Code/V/data/analysis/35_evidence_processing_lab_pack.json; phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed; phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review; seq_035; EVIDENCE_REGION_POLICY_REF; EVIDENCE_RETENTION_POLICY_REF; EVIDENCE_STORAGE_BUCKET_REF; EVIDENCE_SCAN_POLICY_REF"
CHK_018,act_evidence_webhook_secret_capture,Capture evidence-processing webhook secret handling safely,evidence_processing,Evidence processing,evidence,seq_035,verify,secrets_redacted_only,redacted_only,secret_material_handling,vault_receipt,blocked,Safety / privacy assurance; Environment approval,EVIDENCE_PROVIDER_VENDOR_ID; EVIDENCE_PROJECT_SCOPE; EVIDENCE_TARGET_ENVIRONMENT; EVIDENCE_REGION_POLICY_REF; EVIDENCE_RETENTION_POLICY_REF; EVIDENCE_WEBHOOK_BASE_URL; EVIDENCE_WEBHOOK_SECRET_REF; EVIDENCE_STORAGE_BUCKET_REF; EVIDENCE_SCAN_POLICY_REF; EVIDENCE_NAMED_APPROVER; ALLOW_REAL_PROVIDER_MUTATION; ALLOW_SPEND,/Users/test/Code/V/tools/browser-automation/evidence-processing-project-dry-run.spec.js,EVIDENCE_WEBHOOK_SECRET_REF; EVIDENCE_WEBHOOK_BASE_URL,Vault receipt for the webhook secret reference; Current replay-control and callback security evidence,"A raw secret visible in the console, trace, or screenshot; An unmasked callback URL capture with embedded secret material",Webhook security and replay controls require human review before any live provider project is activated.; Clinical-safety review of derived-facts use before any automated promotion depends on the provider; Retention and masking checks for recorded audio and transcript artifacts; Security review of scanner placement and quarantine policy; Known-bad test evidence before live acceptance is enabled,Traces and HAR stay off. Console logs must be scrubbed. Masked stills are allowed only with redaction proof.,"Use placeholder secret refs and keep traces, HAR, and console output scrubbed.","Later live setup may proceed only with a vault receipt, current evidence bundle, and explicit live approval.","/Users/test/Code/V/data/analysis/35_evidence_processing_lab_pack.json; phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed; phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review; seq_035; EVIDENCE_WEBHOOK_SECRET_REF; EVIDENCE_WEBHOOK_BASE_URL"
CHK_019,act_pharmacy_directory_route_review,Review pharmacy directory and access path evidence,pharmacy,Pharmacy,pharmacy,seq_037,read,safe_read_retry,safe_read_retry,read_only,gate_snapshot,pass,Ownership / rehearsal,ALLOW_REAL_PROVIDER_MUTATION; PHARMACY_MVP_REF; PHARMACY_NAMED_APPROVER; PHARMACY_ROUTE_ATTEMPT; PHARMACY_RUNTIME_IMPLEMENTATION_REF; PHARMACY_TARGET_ENVIRONMENT; PHARMACY_UPDATE_RECORD_COMBINATION_REF; PHARMACY_URGENT_RETURN_REHEARSAL_REF; PHARMACY_WATCH_REGISTER_ACK,/Users/test/Code/V/tools/browser-automation/pharmacy-access-path-discovery-dry-run.spec.js,row_service_search; row_update_record; row_manual_fallback,"Fresh route snapshot showing the current preferred, fallback, and manual paths; Official label checks still match current pharmacy guidance",A remembered preferred route with no snapshot; A visual table with no captured evidence date,Patient-choice and live tuple evidence still need later sign-off before a live route opens.; Directory access-path selection and deprecation watch review; Patient-choice compliance sign-off before live rollout; Transport-path selection and data-sharing review; Manual-assisted dispatch attestation policy sign-off,"Masked stills are allowed; route data is not secret, but practice-specific identifiers still need masking if present.",Use the route observatory to inspect transport and fallback posture only.,The same read-only evidence review runs before any later provider claim so route selection starts from current facts.,"/Users/test/Code/V/data/analysis/pharmacy_referral_transport_decision_register.json; phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; blueprint-init.md#7. Pharmacy First pathway; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-0-the-foundation-protocol.md#Pharmacy dispatch and confirmation gate algorithm; seq_037; row_service_search; row_update_record; row_manual_fallback"
CHK_020,act_pharmacy_dispatch_route_commit,Commit a pharmacy dispatch route once,pharmacy,Pharmacy,pharmacy,seq_037,commit,never_auto_repeat,never_auto_repeat,non_idempotent_mutation,provider_receipt,blocked,Environment approval; Ownership / rehearsal,ALLOW_REAL_PROVIDER_MUTATION; PHARMACY_MVP_REF; PHARMACY_NAMED_APPROVER; PHARMACY_ROUTE_ATTEMPT; PHARMACY_RUNTIME_IMPLEMENTATION_REF; PHARMACY_TARGET_ENVIRONMENT; PHARMACY_UPDATE_RECORD_COMBINATION_REF; PHARMACY_URGENT_RETURN_REHEARSAL_REF; PHARMACY_WATCH_REGISTER_ACK,/Users/test/Code/V/tools/browser-automation/pharmacy-access-path-discovery-dry-run.spec.js,route_commit_dispatch,Named transport route tuple or provider receipt; Current dispatch proof thresholds and approver evidence bound to the same attempt,Transport acceptance alone; A clicked route-claim button with no tuple receipt or proof threshold record,Named approver and route-specific assurance evidence must exist before a live dispatch route opens.; Transport-path selection and data-sharing review; Manual-assisted dispatch attestation policy sign-off; Policy review for which changes require renewed acknowledgement; Origin-practice escalation path sign-off,Commit-phase screenshots are disabled unless an explicitly approved masked still is required for audit.,Keep the dispatch route in mock-only or watch posture and stop before any live claim.,A live route commit later must capture one transport tuple receipt and escalates to human reconciliation on ambiguity.,"/Users/test/Code/V/data/analysis/pharmacy_referral_transport_decision_register.json; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine; phase-0-the-foundation-protocol.md#Pharmacy dispatch and confirmation gate algorithm; phase-5-the-network-horizon.md#PracticeAcknowledgementRecord; phase-5-the-network-horizon.md#Hub commit algorithm; phase-5-the-network-horizon.md#Manage, reminders, and practice visibility after hub booking; seq_037; route_commit_dispatch"
CHK_021,act_pharmacy_manual_urgent_return_rehearsal,Capture urgent-return rehearsal evidence and stop,pharmacy,Pharmacy,pharmacy,seq_037,verify,capture_evidence_then_stop,capture_stop,review_checkpoint,review_reference,blocked,Ownership / rehearsal; Safety / privacy assurance,ALLOW_REAL_PROVIDER_MUTATION; PHARMACY_MVP_REF; PHARMACY_NAMED_APPROVER; PHARMACY_ROUTE_ATTEMPT; PHARMACY_RUNTIME_IMPLEMENTATION_REF; PHARMACY_TARGET_ENVIRONMENT; PHARMACY_UPDATE_RECORD_COMBINATION_REF; PHARMACY_URGENT_RETURN_REHEARSAL_REF; PHARMACY_WATCH_REGISTER_ACK,/Users/test/Code/V/tools/browser-automation/pharmacy-access-path-discovery-dry-run.spec.js,row_manual_fallback,Urgent-return ownership or rehearsal reference; Current manual recovery proof linked to the active route attempt,A runbook mention with no rehearsal date; A screenshot of the manual fallback row with no owner or rehearsal reference,Urgent return ownership and rehearsal evidence must be current before any live route claim.; Practice-level route ownership sign-off; Urgent-return rehearsal before the route is treated as live,"Only masked stills of rehearsal metadata are allowed. No patient, clinician, or mailbox content belongs in captures.",Model the manual urgent-return lane and store rehearsal references only.,Later live widening still depends on the manual safety net staying current and human-owned.,"/Users/test/Code/V/data/analysis/pharmacy_referral_transport_decision_register.json; phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract; phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics; blueprint-init.md#7. Pharmacy First pathway; seq_037; row_manual_fallback"
CHK_022,act_nhs_app_scope_and_eoi_draft,Resume NHS App EOI and environment pack drafting,nhs_app,NHS App,nhs_app,seq_029; seq_030,fill,resume_from_checkpoint_only,resume_only,draft_resume_safe,checkpoint_receipt,review_required,Sponsor / commercial; Environment approval,NHS_APP_NAMED_APPROVER; NHS_APP_ENVIRONMENT_TARGET; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/nhs-app-eoi-and-environment-dry-run.spec.js; /Users/test/Code/V/tools/browser-automation/site-link-registration-dry-run.spec.js,stage_rail; mode_toggle_actual; release_page_tab,"Draft receipt for the current NHS App stage pack; Current NHS login readiness, eligibility, and demo references",A completed form with no stage receipt; A design preview with no scope or demo evidence references,"Scope wording and environment posture still need sponsor-owned review before later live motion.; NHS App suitability and demo-environment review before Sandpit or AOS access; Accessibility, service-standard, and incident-rehearsal evidence before release widening",Masked draft captures only. Any service identifiers or unpublished scope text must be obscured.,Use the stage progression studio and stop before any real submit path.,A live EOI later must continue from the same scope-bound draft rather than being rebuilt from memory.,"/Users/test/Code/V/data/analysis/nhs_app_live_gate_checklist.json; phase-7-inside-the-nhs-app.md#7A. Integration manifest and route inventory; phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline; phase-cards.md#Phase 7 - Inside the NHS App; seq_029; seq_030; stage_rail; mode_toggle_actual; release_page_tab"
CHK_023,act_nhs_app_commissioning_gate_review,Review NHS App commissioning and assurance gate,nhs_app,NHS App,nhs_app,seq_029; seq_030,review,human_review_before_continue,human_review,review_checkpoint,review_reference,blocked,Sponsor / commercial; Safety / privacy assurance; Environment approval,NHS_APP_NAMED_APPROVER; NHS_APP_ENVIRONMENT_TARGET; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/nhs-app-eoi-and-environment-dry-run.spec.js; /Users/test/Code/V/tools/browser-automation/site-link-registration-dry-run.spec.js,gate_board; actual-field-named-approver; actual-field-environment-target; actual-submit-button,"Named commissioning or sponsor approval reference; Current accessibility, design, and service evidence refs; Named approver and environment target for the same path",A green-looking preview with no sponsor-approved wording; A filled approver field with no assurance evidence pack,"Commissioning, accessibility, service support, and named approver posture all remain explicit human gates.; NHS App suitability and demo-environment review before Sandpit or AOS access; Accessibility, service-standard, and incident-rehearsal evidence before release widening; Governance sign-off on refreshed standards baselines; Evidence-pack refresh before release or partner onboarding widens",Only masked stills of the gate board are allowed. No unpublished service data or live credentials belong in captures.,"Model the gate board and capture the evidence gaps, then stop for review.",Later real onboarding must reject blind progression unless commissioning and assurance evidence are current and explicitly approved.,"/Users/test/Code/V/data/analysis/nhs_app_live_gate_checklist.json; phase-7-inside-the-nhs-app.md#7A. Integration manifest and route inventory; phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline; phase-cards.md#Phase 7 - Inside the NHS App; phase-9-the-assurance-ledger.md#9D. Assurance pack factory and standards evidence pipeline; phase-9-the-assurance-ledger.md#9H. Tenant governance, config immutability, and dependency hygiene; phase-7-inside-the-nhs-app.md#What Phase 7 must prove before Phase 8 starts; seq_029; seq_030; gate_board; actual-field-named-approver; actual-field-environment-target; actual-submit-button"
