task_id,track_family,track_label,eligibility_state,capability_owned,depends_on_tasks,required_upstream_contracts,produced_downstream_artifacts,shared_packages_or_interfaces,blocking_merge_dependencies,allowed_parallel_neighbors,owned_interface_seams,consumed_interface_seams,simulator_baseline_only,live_provider_later_note
par_154,backend_outcome,Promoted-draft token supersession and resume blocking,open,"Own post-promotion draft invalidation, stale resume blocking, and replacement-token acknowledgement semantics.",par_144; par_148,SubmissionPromotionTransaction; DraftSessionLease API surface,PromotedDraftSupersessionRecord; ResumeBlockedReason map,services/command-api; packages/domains/intake_request; data/contracts/139_intake_draft_view.schema.json,MG_143_BACKEND_CONTRACT; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_148; par_155; par_157; par_163,SEAM_143_SUPERSESSION_AND_RESUME_BLOCKING,SEAM_143_DRAFT_AUTOSAVE_AND_RESUME_STATE; SEAM_143_PROMOTION_TRANSACTION_AND_SETTLEMENT_CHAIN,true,Later authenticated uplift must reuse this supersession contract rather than inventing alternate stale-token meanings.
par_155,frontend_capture,Patient intake mission frame,open,"Own the same-shell mission frame, route shell, persistent chrome, and shared state adapters for all Phase 1 intake child views.",,seq_139 journey contract; Phase1RequestTypeTaxonomy; Phase1OutcomeCopyContract,PatientIntakeMissionFrame shell; Patient-shell route/state adapters,apps/patient-web; packages/persistent-shell; packages/design-system,MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_144; par_145; par_146; par_147; par_148; par_149; par_150; par_151; par_152; par_153; par_154; par_156; par_157; par_158; par_159; par_160; par_161; par_162; par_163,SEAM_143_PATIENT_SHELL_ROUTE_AND_STATE_ADAPTERS,SEAM_143_PUBLIC_JOURNEY_AND_EVENT_SPINE; SEAM_143_REQUEST_TYPE_AND_QUESTION_SET; SEAM_143_SAFETY_RULEBOOK_AND_OUTCOME_COPY,true,"Embedded and authenticated surfaces may later narrow the shell, but they must reuse this route/state adapter seam."
par_156,frontend_capture,Request-type selection and progressive question flow,open,"Own request-type selection, progressive question rendering, and review-safe supersession of hidden answers.",par_145; par_155,Phase1QuestionDefinitionSet; Phase1QuestionnaireDecisionTableSet; SubmissionEnvelopeValidationVerdict,ProgressiveQuestionFlow UI adapter; Review-safe hidden-answer supersession UI,apps/patient-web; packages/design-system; data/contracts/140_question_definitions.json,MG_143_BACKEND_CONTRACT; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_145; par_155; par_157; par_158; par_159,,SEAM_143_PATIENT_SHELL_ROUTE_AND_STATE_ADAPTERS; SEAM_143_REQUEST_TYPE_AND_QUESTION_SET; SEAM_143_VALIDATION_AND_REQUIRED_FIELD_DISCIPLINE,true,Later provider or auth work may not alter request-type meaning or hidden-answer supersession behavior.
par_157,frontend_capture,Quiet autosave status strip and resume states,open,"Own quiet autosave feedback, save-state truth, and resume/stale banners inside the mission frame.",par_144; par_154; par_155,DraftSessionLease API surface; PromotedDraftSupersessionRecord,QuietAutosaveStatusStrip; ResumeBlocked and stale banners,apps/patient-web; packages/persistent-shell; packages/design-system,MG_143_BACKEND_CONTRACT; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_144; par_154; par_155; par_156; par_163,,SEAM_143_PATIENT_SHELL_ROUTE_AND_STATE_ADAPTERS; SEAM_143_DRAFT_AUTOSAVE_AND_RESUME_STATE; SEAM_143_SUPERSESSION_AND_RESUME_BLOCKING,true,Real auth refresh later may reuse the same stale/resume postures but may not rename or reinterpret them.
par_158,frontend_capture,File upload evidence states and error recovery,open,"Own file upload UX, quarantine-safe evidence states, duplicate replay messaging, and recovery actions.",par_146; par_155,Phase1AttachmentAcceptancePolicy; AttachmentUploadSession DTO,AttachmentEvidenceRail UI; Duplicate replay and recovery presentation,apps/patient-web; packages/design-system; data/contracts/141_attachment_acceptance_policy.json,MG_143_RUNTIME_PUBLICATION; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_146; par_155; par_156; par_157; par_159,,SEAM_143_PATIENT_SHELL_ROUTE_AND_STATE_ADAPTERS; SEAM_143_ATTACHMENT_POLICY_AND_PRESENTATION; SEAM_143_ATTACHMENT_UPLOAD_AND_SCAN_SETTLEMENT,true,Later external storage/scan engines may not change quarantine-first UX truth or duplicate replay semantics.
par_159,frontend_capture,Contact preference editor and confirmation copy,open,"Own contact preference editing, masked confirmation copy, and confirmation-channel disclosure in the capture flow.",par_147; par_153; par_155,MaskedContactPreferenceProjection; NotificationDispatchPayload,ContactPreferenceEditor UI; Confirmation copy preview,apps/patient-web; packages/design-system; data/contracts/142_outcome_copy_contract.json,MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_147; par_153; par_155; par_156; par_158; par_161,,SEAM_143_PATIENT_SHELL_ROUTE_AND_STATE_ADAPTERS; SEAM_143_CONTACT_PREFERENCE_AND_MASKED_ROUTE; SEAM_143_NOTIFICATION_PAYLOAD_AND_DISPATCH_EVIDENCE,true,"Later real delivery channels may refine labels, but not the masked copy or preference grammar."
par_160,frontend_outcome,Same-shell urgent diversion surface,open,"Own the urgent diversion surface inside the same shell, including required-versus-completed urgency truth and safe navigation handoff.",par_150; par_151; par_155,Phase1OutcomeCopyContract; UrgentDiversionSettlement,Same-shell urgent diversion view; Urgent handoff affordances,apps/patient-web; packages/persistent-shell; data/contracts/142_outcome_copy_contract.json,MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_150; par_151; par_155; par_161; par_163,,SEAM_143_PATIENT_SHELL_ROUTE_AND_STATE_ADAPTERS; SEAM_143_SAFETY_RULEBOOK_AND_OUTCOME_COPY; SEAM_143_OUTCOME_ARTIFACT_AND_URGENT_SETTLEMENT,true,"Later embedded or live handoff transports may change the grant target, not the same-shell urgent truth model."
par_161,frontend_outcome,Same-shell receipt and ETA surface,open,"Own same-shell receipt, ETA/status summary, and confirmation copy presentation after a non-urgent submit.",par_151; par_152; par_153; par_155; par_159,OutcomeArtifactSelection; TriageTaskProjection; NotificationDispatchPayload,Receipt and ETA screen; Status summary adapter,apps/patient-web; packages/persistent-shell; data/contracts/139_intake_outcome_presentation_artifact.schema.json,MG_143_RUNTIME_PUBLICATION; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_151; par_152; par_153; par_155; par_159; par_160; par_162,,SEAM_143_PATIENT_SHELL_ROUTE_AND_STATE_ADAPTERS; SEAM_143_OUTCOME_ARTIFACT_AND_URGENT_SETTLEMENT; SEAM_143_TRIAGE_STATUS_AND_ETA_PROJECTION; SEAM_143_NOTIFICATION_PAYLOAD_AND_DISPATCH_EVIDENCE,true,Live ETA updates later must reuse the same receipt/ETA projection seam rather than reworking the shell route.
par_162,frontend_outcome,Minimal track-my-request page,open,Own the minimal track-my-request page using the simulator-first status/ETA projection and exact requestPublicId semantics.,par_152; par_161,TriageTaskProjection; Status summary adapter,Minimal tracking page; Track-my-request route adapter,apps/patient-web; packages/persistent-shell; data/contracts/139_intake_submit_settlement.schema.json,MG_143_RUNTIME_PUBLICATION; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_152; par_155; par_161; par_163,,SEAM_143_PATIENT_SHELL_ROUTE_AND_STATE_ADAPTERS; SEAM_143_TRIAGE_STATUS_AND_ETA_PROJECTION,true,"Authenticated track-my-request later may add identity checks, but it must reuse the same request/status projection seam."
par_163,frontend_outcome,"Sign-in uplift, refresh, and resume postures",open,"Own sign-in uplift messaging, refresh recovery, and resume postures without changing the simulator-first browser baseline.",par_154; par_155; par_157; par_160; par_162,PromotedDraftSupersessionRecord; Track-my-request route adapter; Urgent/diversion and receipt shell routes,Authenticated uplift posture copy; Refresh and resume posture adapter,apps/patient-web; packages/persistent-shell; docs/frontend/139_patient_intake_experience_spec.md,MG_143_RUNTIME_PUBLICATION; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_154; par_155; par_157; par_160; par_162,,SEAM_143_PATIENT_SHELL_ROUTE_AND_STATE_ADAPTERS; SEAM_143_SUPERSESSION_AND_RESUME_BLOCKING,true,This track only publishes bounded placeholders for later auth/embedded work and must not make them current prerequisites.
