term_id,canonical_term,entry_type,object_id,resolution_class,bounded_context,object_kind,definition,do_not_confuse_with,source_refs,notes
ALIAS_CHILD_DOMAINS_EMIT_MILESTONES_AND_EVIDENCE_THEY_DO_NOT_WRITE_CANONICAL_REQUEST_STATE_DIRECTLY,child domains emit milestones and evidence; they do not write canonical Request state directly,alias,OBJ_BOOKINGCASE,ambiguous_phrase_requiring_context,,,child domains emit milestones and evidence; they do not write canonical Request state directly,OBJ_BOOKINGCASE; OBJ_HUBCOORDINATIONCASE; OBJ_PHARMACYCASE; OBJ_REQUEST,TRUTH_CHILD_DOMAIN_STATE_WRITES,Preferred canonical wording.
ALIAS_CHILD_WORKFLOW_OWNS_CANONICAL_MILESTONE,child workflow owns canonical milestone,alias,OBJ_BOOKINGCASE,ambiguous_phrase_requiring_context,,,child domains emit milestones and evidence; they do not write canonical Request state directly,OBJ_BOOKINGCASE; OBJ_HUBCOORDINATIONCASE; OBJ_PHARMACYCASE; OBJ_REQUEST,TRUTH_CHILD_DOMAIN_STATE_WRITES,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_COMMANDACTIONRECORD_IS_THE_CANONICAL_MUTATION_ENVELOPE,CommandActionRecord is the canonical mutation envelope,alias,OBJ_COMMANDACTIONRECORD,ambiguous_phrase_requiring_context,,,CommandActionRecord is the canonical mutation envelope,OBJ_COMMANDACTIONRECORD,MUTATION_COMMAND_ACTION_RECORD,Preferred canonical wording.
ALIAS_COMMANDSETTLEMENTRECORD_IS_THE_AUTHORITATIVE_OUTCOME_FOR_VISIBLE_MUTATION_STATE,CommandSettlementRecord is the authoritative outcome for visible mutation state,alias,OBJ_COMMANDSETTLEMENTRECORD,ambiguous_phrase_requiring_context,,,CommandSettlementRecord is the authoritative outcome for visible mutation state,OBJ_COMMANDSETTLEMENTRECORD,MUTATION_COMMAND_SETTLEMENT_RECORD,Preferred canonical wording.
ALIAS_CONTINUITY_AS_NARRATIVE_ONLY,continuity as narrative only,alias,OBJ_EXPERIENCECONTINUITYCONTROLEVIDENCE,ambiguous_phrase_requiring_context,,,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,OBJ_EXPERIENCECONTINUITYCONTROLEVIDENCE,ASSURANCE_CONTINUITY_EVIDENCE,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_CONTINUITY_SENSITIVE_CALMNESS_IS_PROVEN_BY_EXPERIENCECONTINUITYCONTROLEVIDENCE,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,alias,OBJ_EXPERIENCECONTINUITYCONTROLEVIDENCE,ambiguous_phrase_requiring_context,,,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,OBJ_EXPERIENCECONTINUITYCONTROLEVIDENCE,ASSURANCE_CONTINUITY_EVIDENCE,Preferred canonical wording.
ALIAS_COORDINATOR_OWNED_CLOSURE,coordinator-owned closure,alias,OBJ_LIFECYCLECOORDINATOR,ambiguous_phrase_requiring_context,,,LifecycleCoordinator alone derives canonical Request milestone change and closure,OBJ_LIFECYCLECOORDINATOR; OBJ_REQUEST; OBJ_REQUESTCLOSURERECORD,OWNERSHIP_LIFECYCLE_COORDINATOR,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_COUNTDOWN_COPY_AS_HOLD,countdown copy as hold,alias,,not_an_object_phrase,,,reservation truth comes from CapacityReservation and ReservationTruthProjection,,TRUTH_RESERVATION_TRUTH,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_CROSSPHASECONFORMANCESCORECARD_DEFINES_MACHINE_AUDITABLE_PROGRAMME_ALIGNMENT,CrossPhaseConformanceScorecard defines machine-auditable programme alignment,alias,,not_an_object_phrase,,,CrossPhaseConformanceScorecard defines machine-auditable programme alignment,,PROGRAMME_CONFORMANCE_SCORECARD,Preferred canonical wording.
ALIAS_CURRENT_HARD_GATE_DELIVERY,current hard-gate delivery,alias,OBJ_PATIENTEMBEDDEDSESSIONPROJECTION,ambiguous_phrase_requiring_context,,,"NHS App embedded delivery is deferred baseline scope, not a current hard gate",OBJ_PATIENTEMBEDDEDSESSIONPROJECTION,SCOPE_DEFERRED_NHS_APP,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_DELIVERY_ONLY_REASSURANCE,delivery-only reassurance,alias,OBJ_COMMANDSETTLEMENTRECORD,ambiguous_phrase_requiring_context,,,CommandSettlementRecord is the authoritative outcome for visible mutation state,OBJ_COMMANDSETTLEMENTRECORD,MUTATION_COMMAND_SETTLEMENT_RECORD,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_DETACHED_REOPEN_WORKFLOW,detached reopen workflow,alias,,not_an_object_phrase,,,"bounce-back, reopen, and fallback stay inside the same lineage with explicit recovery truth",,TRUTH_REOPEN_AND_BOUNCE_BACK,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_DOMAIN_LOCAL_REQUEST_CLOSE,domain-local request close,alias,OBJ_BOOKINGCASE,ambiguous_phrase_requiring_context,,,child domains emit milestones and evidence; they do not write canonical Request state directly,OBJ_BOOKINGCASE; OBJ_HUBCOORDINATIONCASE; OBJ_PHARMACYCASE; OBJ_REQUEST,TRUTH_CHILD_DOMAIN_STATE_WRITES,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_DRAFT_REQUEST,draft request,alias,OBJ_SUBMISSIONENVELOPE,ambiguous_phrase_requiring_context,,,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,OBJ_SUBMISSIONENVELOPE,STATE_SUBMISSION_ENVELOPE,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_EMBEDDED_SHELL_AS_SEPARATE_APP,embedded shell as separate app,alias,,not_an_object_phrase,,,channel profiles constrain shell posture without redefining the shell family,,UI_CHANNEL_PROFILE_CONSTRAINTS,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_EXPIRED_LINK_HANDLING,expired link handling,alias,,not_an_object_phrase,,,same-shell recovery uses typed recovery and continuation envelopes,,MUTATION_RECOVERY_ENVELOPES,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_EXTERNALCONFIRMATIONGATE_GOVERNS_AMBIGUOUS_BOOKING_AND_DISPATCH_TRUTH,ExternalConfirmationGate governs ambiguous booking and dispatch truth,alias,OBJ_EXTERNALCONFIRMATIONGATE,ambiguous_phrase_requiring_context,,,ExternalConfirmationGate governs ambiguous booking and dispatch truth,OBJ_EXTERNALCONFIRMATIONGATE; OBJ_BOOKINGCONFIRMATIONTRUTHPROJECTION; OBJ_HUBOFFERTOCONFIRMATIONTRUTHPROJECTION,TRUTH_EXTERNAL_CONFIRMATION_GATE,Preferred canonical wording.
ALIAS_GENERIC_BOUNCE_BACK,generic bounce-back,alias,,not_an_object_phrase,,,"bounce-back, reopen, and fallback stay inside the same lineage with explicit recovery truth",,TRUTH_REOPEN_AND_BOUNCE_BACK,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_GENERIC_CONTINUATION_LINK,generic continuation link,alias,OBJ_ROUTEINTENTBINDING,ambiguous_phrase_requiring_context,,,RouteIntentBinding is the canonical post-submit mutation fence,OBJ_ROUTEINTENTBINDING,MUTATION_ROUTE_INTENT_BINDING,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_GENERIC_RECONCILIATION_REQUIRED,generic reconciliation_required,alias,OBJ_EXTERNALCONFIRMATIONGATE,ambiguous_phrase_requiring_context,,,ExternalConfirmationGate governs ambiguous booking and dispatch truth,OBJ_EXTERNALCONFIRMATIONGATE; OBJ_BOOKINGCONFIRMATIONTRUTHPROJECTION; OBJ_HUBOFFERTOCONFIRMATIONTRUTHPROJECTION,TRUTH_EXTERNAL_CONFIRMATION_GATE,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_GENERIC_SUCCESS_TOAST,generic success toast,alias,OBJ_COMMANDSETTLEMENTRECORD,deprecated_shorthand,,,CommandSettlementRecord is the authoritative outcome for visible mutation state,OBJ_COMMANDSETTLEMENTRECORD,MUTATION_COMMAND_SETTLEMENT_RECORD,Legacy wording remains traceable but should not appear in new summary or schema language.
ALIAS_GENERIC_SUCCESS_TOAST,generic success toast,alias,OBJ_COMMANDSETTLEMENTRECORD,exact_alias_to_canonical_object,,,CommandSettlementRecord,OBJ_COMMANDSETTLEMENTRECORD,MUTATION_COMMAND_SETTLEMENT_RECORD,Local acknowledgement is not authoritative outcome; normalize calmness and recovery posture through `CommandSettlementRecord`.
ALIAS_GREEN_DASHBOARD_DESPITE_DEGRADED_TRUST,green dashboard despite degraded trust,alias,OBJ_ASSURANCESLICETRUSTRECORD,ambiguous_phrase_requiring_context,,,AssuranceSliceTrustRecord governs degraded or quarantined operational truth,OBJ_ASSURANCESLICETRUSTRECORD,RUNTIME_ASSURANCE_SLICE_TRUST,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_IDENTITY_HOLD,identity_hold,alias,OBJ_REQUEST,ambiguous_phrase_requiring_context,,,Request.workflowState is milestone-only,OBJ_REQUEST,STATE_WORKFLOW_MILESTONES,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_IDENTITY_HOLD,identity_hold,alias,OBJ_REQUEST,deprecated_shorthand,,,Request.workflowState is milestone-only,OBJ_REQUEST,STATE_WORKFLOW_MILESTONES,This wording would contradict the canonical contract if reused in new work.
ALIAS_IDENTITY_HOLD,identity_hold,alias,OBJ_REQUESTCLOSURERECORD,deprecated_shorthand,,,blockers remain orthogonal to workflow milestones,OBJ_REQUESTCLOSURERECORD; OBJ_IDENTITYREPAIRCASE; OBJ_EXTERNALCONFIRMATIONGATE,STATE_BLOCKER_ORTHOGONALITY,This wording would contradict the canonical contract if reused in new work.
ALIAS_IDENTITY_HOLD,identity_hold,alias,OBJ_REQUESTCLOSURERECORD,deprecated_shorthand,,,IdentityRepairCase + closure blocker metadata,OBJ_REQUESTCLOSURERECORD; OBJ_IDENTITYREPAIRCASE; OBJ_EXTERNALCONFIRMATIONGATE,STATE_BLOCKER_ORTHOGONALITY,"Represent wrong-patient freeze through `IdentityRepairCase`, blocker refs, and release settlement rather than a workflow state label."
ALIAS_IDENTITYSTATE_PLUS_NULLABLE_PATIENTREF_DERIVED_FROM_IDENTITYBINDING,identityState plus nullable patientRef derived from IdentityBinding,alias,OBJ_IDENTITYBINDING,ambiguous_phrase_requiring_context,,,identityState plus nullable patientRef derived from IdentityBinding,OBJ_IDENTITYBINDING; OBJ_REQUEST,STATE_IDENTITY_AXIS_PATIENTREF,Preferred canonical wording.
ALIAS_LAYOUT_RESEMBLANCE_SHELL_OWNERSHIP,layout resemblance shell ownership,alias,OBJ_PERSISTENTSHELL,ambiguous_phrase_requiring_context,,,ShellFamilyOwnershipContract plus RouteFamilyOwnershipClaim govern shell residency,OBJ_PERSISTENTSHELL; OBJ_SHELLFAMILYOWNERSHIPCONTRACT; OBJ_ROUTEFAMILYOWNERSHIPCLAIM,UI_SHELL_FAMILY_OWNERSHIP,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_LIFECYCLECOORDINATOR_ALONE_DERIVES_CANONICAL_REQUEST_MILESTONE_CHANGE_AND_CLOSURE,LifecycleCoordinator alone derives canonical Request milestone change and closure,alias,OBJ_LIFECYCLECOORDINATOR,ambiguous_phrase_requiring_context,,,LifecycleCoordinator alone derives canonical Request milestone change and closure,OBJ_LIFECYCLECOORDINATOR; OBJ_REQUEST; OBJ_REQUESTCLOSURERECORD,OWNERSHIP_LIFECYCLE_COORDINATOR,Preferred canonical wording.
ALIAS_LOCAL_ACKNOWLEDGEMENT,local acknowledgement,alias,OBJ_COMMANDSETTLEMENTRECORD,ambiguous_phrase_requiring_context,,,CommandSettlementRecord is the authoritative outcome for visible mutation state,OBJ_COMMANDSETTLEMENTRECORD,MUTATION_COMMAND_SETTLEMENT_RECORD,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_LOCAL_ACTION_RECEIPT,local action receipt,alias,OBJ_COMMANDACTIONRECORD,ambiguous_phrase_requiring_context,,,CommandActionRecord is the canonical mutation envelope,OBJ_COMMANDACTIONRECORD,MUTATION_COMMAND_ACTION_RECORD,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_MAILBOX_DELIVERED_EQUALS_REFERRED,mailbox delivered equals referred,alias,,not_an_object_phrase,,,"pharmacy calmness depends on dispatch proof, not transport acceptance alone",,TRUTH_DISPATCH_PROOF,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_MANIFEST_ONLY_CHANNEL_GUARD,manifest-only channel guard,alias,OBJ_CHANNELRELEASEFREEZERECORD,ambiguous_phrase_requiring_context,,,ChannelReleaseFreezeRecord fences mutable channel posture,OBJ_CHANNELRELEASEFREEZERECORD,RUNTIME_CHANNEL_RELEASE_FREEZE,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_NHS_APP_EMBEDDED_DELIVERY_IS_DEFERRED_BASELINE_SCOPE_NOT_A_CURRENT_HARD_GATE,"NHS App embedded delivery is deferred baseline scope, not a current hard gate",alias,OBJ_PATIENTEMBEDDEDSESSIONPROJECTION,ambiguous_phrase_requiring_context,,,"NHS App embedded delivery is deferred baseline scope, not a current hard gate",OBJ_PATIENTEMBEDDEDSESSIONPROJECTION,SCOPE_DEFERRED_NHS_APP,Preferred canonical wording.
ALIAS_NHS_APP_HARD_GATE,NHS App hard gate,alias,,not_an_object_phrase,,,channel profiles constrain shell posture without redefining the shell family,,UI_CHANNEL_PROFILE_CONSTRAINTS,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_NHS_APP_HARD_GATE,NHS App hard gate,alias,OBJ_PATIENTEMBEDDEDSESSIONPROJECTION,ambiguous_phrase_requiring_context,,,"NHS App embedded delivery is deferred baseline scope, not a current hard gate",OBJ_PATIENTEMBEDDEDSESSIONPROJECTION,SCOPE_DEFERRED_NHS_APP,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_OFFER_IMPLIES_EXCLUSIVITY,offer implies exclusivity,alias,,not_an_object_phrase,,,reservation truth comes from CapacityReservation and ReservationTruthProjection,,TRUTH_RESERVATION_TRUTH,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_OPERATIONALREADINESSSNAPSHOT_AND_RECOVERY_CONTROL_TUPLES_GOVERN_RESTORE_AND_FAILOVER_AUTHORITY,OperationalReadinessSnapshot and recovery-control tuples govern restore and failover authority,alias,OBJ_OPERATIONALREADINESSSNAPSHOT,ambiguous_phrase_requiring_context,,,OperationalReadinessSnapshot and recovery-control tuples govern restore and failover authority,OBJ_OPERATIONALREADINESSSNAPSHOT; OBJ_RUNBOOKBINDINGRECORD,ASSURANCE_OPERATIONAL_READINESS,Preferred canonical wording.
ALIAS_OWNERSHIPSTATE,ownershipState,alias,OBJ_IDENTITYBINDING,ambiguous_phrase_requiring_context,,,identityState plus nullable patientRef derived from IdentityBinding,OBJ_IDENTITYBINDING; OBJ_REQUEST,STATE_IDENTITY_AXIS_PATIENTREF,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_OWNERSHIPSTATE,ownershipState,alias,OBJ_IDENTITYBINDING,deprecated_shorthand,,,identityState plus nullable patientRef derived from IdentityBinding,OBJ_IDENTITYBINDING; OBJ_REQUEST,STATE_IDENTITY_AXIS_PATIENTREF,Legacy wording remains traceable but should not appear in new summary or schema language.
ALIAS_OWNERSHIPSTATE,ownershipState,alias,OBJ_IDENTITYBINDING,deprecated_shorthand,,,identityState,OBJ_IDENTITYBINDING; OBJ_REQUEST,STATE_IDENTITY_AXIS_PATIENTREF,Normalize one-off schema or summary wording back to the canonical `identityState` axis.
ALIAS_PARALLEL_LOCAL_EVIDENCE_LISTS,parallel local evidence lists,alias,OBJ_ASSURANCEEVIDENCEGRAPHSNAPSHOT,ambiguous_phrase_requiring_context,,,AssuranceEvidenceGraphSnapshot plus AssuranceGraphCompletenessVerdict are authoritative assurance proof,OBJ_ASSURANCEEVIDENCEGRAPHSNAPSHOT; OBJ_ASSURANCEGRAPHCOMPLETENESSVERDICT,ASSURANCE_EVIDENCE_GRAPH,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_PHARMACY_CALMNESS_DEPENDS_ON_DISPATCH_PROOF_NOT_TRANSPORT_ACCEPTANCE_ALONE,"pharmacy calmness depends on dispatch proof, not transport acceptance alone",alias,,not_an_object_phrase,,,"pharmacy calmness depends on dispatch proof, not transport acceptance alone",,TRUTH_DISPATCH_PROOF,Preferred canonical wording.
ALIAS_PREMATURE_BOOKED_STATE,premature booked state,alias,OBJ_EXTERNALCONFIRMATIONGATE,ambiguous_phrase_requiring_context,,,ExternalConfirmationGate governs ambiguous booking and dispatch truth,OBJ_EXTERNALCONFIRMATIONGATE; OBJ_BOOKINGCONFIRMATIONTRUTHPROJECTION; OBJ_HUBOFFERTOCONFIRMATIONTRUTHPROJECTION,TRUTH_EXTERNAL_CONFIRMATION_GATE,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_RECONCILIATION_WORKFLOW_STATE,reconciliation workflow state,alias,OBJ_REQUESTCLOSURERECORD,ambiguous_phrase_requiring_context,,,blockers remain orthogonal to workflow milestones,OBJ_REQUESTCLOSURERECORD; OBJ_IDENTITYREPAIRCASE; OBJ_EXTERNALCONFIRMATIONGATE,STATE_BLOCKER_ORTHOGONALITY,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_RECONCILIATION_REQUIRED,reconciliation_required,alias,OBJ_REQUEST,ambiguous_phrase_requiring_context,,,Request.workflowState is milestone-only,OBJ_REQUEST,STATE_WORKFLOW_MILESTONES,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_RECONCILIATION_REQUIRED,reconciliation_required,alias,OBJ_REQUEST,deprecated_shorthand,,,Request.workflowState is milestone-only,OBJ_REQUEST,STATE_WORKFLOW_MILESTONES,This wording would contradict the canonical contract if reused in new work.
ALIAS_RECONCILIATION_REQUIRED,reconciliation_required,alias,OBJ_REQUESTCLOSURERECORD,deprecated_shorthand,,,blockers remain orthogonal to workflow milestones,OBJ_REQUESTCLOSURERECORD; OBJ_IDENTITYREPAIRCASE; OBJ_EXTERNALCONFIRMATIONGATE,STATE_BLOCKER_ORTHOGONALITY,This wording would contradict the canonical contract if reused in new work.
ALIAS_RECONCILIATION_REQUIRED,reconciliation_required,alias,OBJ_REQUEST,deprecated_shorthand,,,"case-local gate or confirmation pending term, never canonical Request.workflowState",OBJ_REQUEST,STATE_WORKFLOW_MILESTONES,Use booking or pharmacy case-local ambiguity terms plus `ExternalConfirmationGate` instead of putting `reconciliation_required` on `Request.workflowState`.
ALIAS_RELEASEAPPROVALFREEZE_BINDS_THE_PROMOTABLE_APPROVAL_TUPLE,ReleaseApprovalFreeze binds the promotable approval tuple,alias,OBJ_RELEASEAPPROVALFREEZE,ambiguous_phrase_requiring_context,,,ReleaseApprovalFreeze binds the promotable approval tuple,OBJ_RELEASEAPPROVALFREEZE,RUNTIME_RELEASE_APPROVAL_FREEZE,Preferred canonical wording.
ALIAS_REQUEST_DRAFT_STATE,request draft state,alias,OBJ_SUBMISSIONENVELOPE,ambiguous_phrase_requiring_context,,,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,OBJ_SUBMISSIONENVELOPE,STATE_SUBMISSION_ENVELOPE,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_REQUEST_WORKFLOWSTATE_DRAFT_,Request(workflowState = draft),alias,OBJ_SUBMISSIONENVELOPE,deprecated_shorthand,,,SubmissionEnvelope.state owns draft and pre-promotion lifecycle,OBJ_SUBMISSIONENVELOPE,STATE_SUBMISSION_ENVELOPE,Legacy wording remains traceable but should not appear in new summary or schema language.
ALIAS_REQUEST_WORKFLOWSTATE_DRAFT_,Request(workflowState = draft),alias,OBJ_SUBMISSIONENVELOPE,deprecated_shorthand,,,SubmissionEnvelope.state = draft,OBJ_SUBMISSIONENVELOPE,STATE_SUBMISSION_ENVELOPE,"Pre-submit draft belongs to `SubmissionEnvelope.state`, not `Request.workflowState`."
ALIAS_REQUEST_SAFETYSTATE_IS_A_PERSISTED_ORTHOGONAL_AXIS,Request.safetyState is a persisted orthogonal axis,alias,OBJ_SAFETYDECISIONRECORD,ambiguous_phrase_requiring_context,,,Request.safetyState is a persisted orthogonal axis,OBJ_SAFETYDECISIONRECORD; OBJ_URGENTDIVERSIONSETTLEMENT; OBJ_REQUEST,STATE_SAFETY_AXIS,Preferred canonical wording.
ALIAS_REQUEST_WORKFLOWSTATE_IS_MILESTONE_ONLY,Request.workflowState is milestone-only,alias,OBJ_REQUEST,ambiguous_phrase_requiring_context,,,Request.workflowState is milestone-only,OBJ_REQUEST,STATE_WORKFLOW_MILESTONES,Preferred canonical wording.
ALIAS_RESERVATION_TRUTH_COMES_FROM_CAPACITYRESERVATION_AND_RESERVATIONTRUTHPROJECTION,reservation truth comes from CapacityReservation and ReservationTruthProjection,alias,,not_an_object_phrase,,,reservation truth comes from CapacityReservation and ReservationTruthProjection,,TRUTH_RESERVATION_TRUTH,Preferred canonical wording.
ALIAS_ROUTE_LOCAL_ACTIONABILITY,route-local actionability,alias,OBJ_ROUTEINTENTBINDING,ambiguous_phrase_requiring_context,,,RouteIntentBinding is the canonical post-submit mutation fence,OBJ_ROUTEINTENTBINDING,MUTATION_ROUTE_INTENT_BINDING,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_ROUTE_LOCAL_MANIFEST_CONVENTION,route-local manifest convention,alias,OBJ_RUNTIMEPUBLICATIONBUNDLE,ambiguous_phrase_requiring_context,,,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,OBJ_RUNTIMEPUBLICATIONBUNDLE; OBJ_DESIGNCONTRACTPUBLICATIONBUNDLE; OBJ_AUDIENCESURFACERUNTIMEBINDING; OBJ_AUDIENCESURFACEROUTECONTRACT,RUNTIME_PUBLICATION_AND_DESIGN_CONTRACT,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_ROUTE_PREFIX_SHELL_OWNERSHIP,route-prefix shell ownership,alias,OBJ_PERSISTENTSHELL,ambiguous_phrase_requiring_context,,,ShellFamilyOwnershipContract plus RouteFamilyOwnershipClaim govern shell residency,OBJ_PERSISTENTSHELL; OBJ_SHELLFAMILYOWNERSHIPCONTRACT; OBJ_ROUTEFAMILYOWNERSHIPCLAIM,UI_SHELL_FAMILY_OWNERSHIP,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_ROUTEINTENTBINDING_IS_THE_CANONICAL_POST_SUBMIT_MUTATION_FENCE,RouteIntentBinding is the canonical post-submit mutation fence,alias,OBJ_ROUTEINTENTBINDING,ambiguous_phrase_requiring_context,,,RouteIntentBinding is the canonical post-submit mutation fence,OBJ_ROUTEINTENTBINDING,MUTATION_ROUTE_INTENT_BINDING,Preferred canonical wording.
ALIAS_RUNBOOKS_AND_DASHBOARDS_ONLY,runbooks and dashboards only,alias,OBJ_OPERATIONALREADINESSSNAPSHOT,ambiguous_phrase_requiring_context,,,OperationalReadinessSnapshot and recovery-control tuples govern restore and failover authority,OBJ_OPERATIONALREADINESSSNAPSHOT; OBJ_RUNBOOKBINDINGRECORD,ASSURANCE_OPERATIONAL_READINESS,"Alias may appear in prose, but downstream work should normalize to the preferred term."
