route_family_ref,posture,step_key,order,description,source_refs
rf_patient_messages,full_restore,focus,4,Restore focus to the governed anchor target for rf_patient_messages.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_self_service,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_intake_self_service.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_self_service,full_restore,scroll,2,Restore the scroll anchor for rf_intake_self_service.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_self_service,full_restore,disclosure,3,Restore bounded disclosure posture for rf_intake_self_service.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_self_service,full_restore,focus,4,Restore focus to the governed anchor target for rf_intake_self_service.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_telephony_capture,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_intake_telephony_capture.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_telephony_capture,full_restore,scroll,2,Restore the scroll anchor for rf_intake_telephony_capture.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_telephony_capture,full_restore,disclosure,3,Restore bounded disclosure posture for rf_intake_telephony_capture.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_telephony_capture,full_restore,focus,4,Restore focus to the governed anchor target for rf_intake_telephony_capture.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_secure_link_recovery,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_patient_secure_link_recovery.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_secure_link_recovery,full_restore,disclosure,2,Restore bounded disclosure posture for rf_patient_secure_link_recovery.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_secure_link_recovery,full_restore,scroll,3,Restore the scroll anchor for rf_patient_secure_link_recovery.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_secure_link_recovery,full_restore,focus,4,Restore focus to the governed anchor target for rf_patient_secure_link_recovery.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_embedded_channel,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_patient_embedded_channel.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_embedded_channel,full_restore,disclosure,2,Restore bounded disclosure posture for rf_patient_embedded_channel.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_embedded_channel,full_restore,scroll,3,Restore the scroll anchor for rf_patient_embedded_channel.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_embedded_channel,full_restore,focus,4,Restore focus to the governed anchor target for rf_patient_embedded_channel.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_staff_workspace,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_staff_workspace.,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_staff_workspace,full_restore,scroll,2,Restore the scroll anchor for rf_staff_workspace.,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_staff_workspace,full_restore,disclosure,3,Restore bounded disclosure posture for rf_staff_workspace.,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_staff_workspace,full_restore,focus,4,Restore focus to the governed anchor target for rf_staff_workspace.,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_staff_workspace_child,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_staff_workspace_child.,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/forensic-audit-findings.md
rf_staff_workspace_child,full_restore,scroll,2,Restore the scroll anchor for rf_staff_workspace_child.,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/forensic-audit-findings.md
rf_staff_workspace_child,full_restore,disclosure,3,Restore bounded disclosure posture for rf_staff_workspace_child.,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/forensic-audit-findings.md
rf_staff_workspace_child,full_restore,focus,4,Restore focus to the governed anchor target for rf_staff_workspace_child.,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/forensic-audit-findings.md
rf_support_ticket_workspace,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_support_ticket_workspace.,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_support_ticket_workspace,full_restore,scroll,2,Restore the scroll anchor for rf_support_ticket_workspace.,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_support_ticket_workspace,full_restore,disclosure,3,Restore bounded disclosure posture for rf_support_ticket_workspace.,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_support_ticket_workspace,full_restore,focus,4,Restore focus to the governed anchor target for rf_support_ticket_workspace.,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_support_replay_observe,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_support_replay_observe.,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md
rf_support_replay_observe,full_restore,scroll,2,Restore the scroll anchor for rf_support_replay_observe.,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md
rf_support_replay_observe,full_restore,disclosure,3,Restore bounded disclosure posture for rf_support_replay_observe.,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md
rf_support_replay_observe,full_restore,focus,4,Restore focus to the governed anchor target for rf_support_replay_observe.,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md
rf_operations_board,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_operations_board.,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_operations_board,full_restore,scroll,2,Restore the scroll anchor for rf_operations_board.,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_operations_board,full_restore,disclosure,3,Restore bounded disclosure posture for rf_operations_board.,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_operations_board,full_restore,focus,4,Restore focus to the governed anchor target for rf_operations_board.,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_operations_drilldown,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_operations_drilldown.,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_operations_drilldown,full_restore,scroll,2,Restore the scroll anchor for rf_operations_drilldown.,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_operations_drilldown,full_restore,disclosure,3,Restore bounded disclosure posture for rf_operations_drilldown.,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_operations_drilldown,full_restore,focus,4,Restore focus to the governed anchor target for rf_operations_drilldown.,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_queue,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_hub_queue.,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_queue,full_restore,scroll,2,Restore the scroll anchor for rf_hub_queue.,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_queue,full_restore,disclosure,3,Restore bounded disclosure posture for rf_hub_queue.,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_queue,full_restore,focus,4,Restore focus to the governed anchor target for rf_hub_queue.,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_case_management,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_hub_case_management.,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_case_management,full_restore,scroll,2,Restore the scroll anchor for rf_hub_case_management.,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_case_management,full_restore,disclosure,3,Restore bounded disclosure posture for rf_hub_case_management.,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_case_management,full_restore,focus,4,Restore focus to the governed anchor target for rf_hub_case_management.,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_governance_shell,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_governance_shell.,blueprint/platform-frontend-blueprint.md | blueprint/governance-admin-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/governance-admin-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_governance_shell,full_restore,scroll,2,Restore the scroll anchor for rf_governance_shell.,blueprint/platform-frontend-blueprint.md | blueprint/governance-admin-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/governance-admin-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_governance_shell,full_restore,disclosure,3,Restore bounded disclosure posture for rf_governance_shell.,blueprint/platform-frontend-blueprint.md | blueprint/governance-admin-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/governance-admin-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_governance_shell,full_restore,focus,4,Restore focus to the governed anchor target for rf_governance_shell.,blueprint/platform-frontend-blueprint.md | blueprint/governance-admin-console-frontend-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/governance-admin-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_pharmacy_console,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_pharmacy_console.,blueprint/platform-frontend-blueprint.md | blueprint/pharmacy-console-frontend-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/pharmacy-console-frontend-architecture.md | blueprint/ux-quiet-clarity-redesign.md
rf_pharmacy_console,full_restore,scroll,2,Restore the scroll anchor for rf_pharmacy_console.,blueprint/platform-frontend-blueprint.md | blueprint/pharmacy-console-frontend-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/pharmacy-console-frontend-architecture.md | blueprint/ux-quiet-clarity-redesign.md
rf_pharmacy_console,full_restore,disclosure,3,Restore bounded disclosure posture for rf_pharmacy_console.,blueprint/platform-frontend-blueprint.md | blueprint/pharmacy-console-frontend-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/pharmacy-console-frontend-architecture.md | blueprint/ux-quiet-clarity-redesign.md
rf_pharmacy_console,full_restore,focus,4,Restore focus to the governed anchor target for rf_pharmacy_console.,blueprint/platform-frontend-blueprint.md | blueprint/pharmacy-console-frontend-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/pharmacy-console-frontend-architecture.md | blueprint/ux-quiet-clarity-redesign.md
