surface_authority_verdict_id,audience_surface_runtime_binding_id,inventory_surface_ref,audience_surface,route_family_ref,shell_type,binding_state,calm_truth_state,writable_truth_state,parity_state,publication_state,runtime_publication_state,route_exposure_state,browser_posture_state,runtime_publication_bundle_ref,release_publication_parity_ref,design_contract_publication_bundle_ref,design_contract_lint_verdict_ref,projection_contract_version_set_ref,reason_refs,recovery_disposition_refs,notes
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,exact,published,published,constrained,read_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::patient_authenticated_shell::planned,dclv::patient_authenticated_portal::pending,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_READ_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1; RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
ASV_130_SURF_PATIENT_HOME_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_home,audsurf_patient_authenticated_portal,rf_patient_home,patient,partial,suppressed,blocked,exact,published,published,constrained,read_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::patient_authenticated_shell::planned,dclv::patient_authenticated_portal::pending,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_READ_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1; RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
ASV_130_SURF_PATIENT_MESSAGES_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_messages,audsurf_patient_authenticated_portal,rf_patient_messages,patient,partial,suppressed,blocked,exact,published,published,constrained,read_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::patient_authenticated_shell::planned,dclv::patient_authenticated_portal::pending,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_READ_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1; RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
ASV_130_SURF_PATIENT_REQUESTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_requests,audsurf_patient_authenticated_portal,rf_patient_requests,patient,partial,suppressed,blocked,exact,published,published,constrained,read_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::patient_authenticated_shell::planned,dclv::patient_authenticated_portal::pending,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_READ_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1; RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
ASV_130_SURF_PATIENT_SECURE_LINK_RECOVERY_V1,ASRB_050_PATIENT_TRANSACTION_RECOVERY_V1,surf_patient_secure_link_recovery,audsurf_patient_transaction_recovery,rf_patient_secure_link_recovery,patient,blocked,suppressed,blocked,exact,published,published,constrained,recovery_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::patient_transaction_recovery::planned,dclv::patient_transaction_recovery::pending,PCVS_050_PATIENT_TRANSACTION_RECOVERY_V1,MFV_127_ACCESSIBILITY_BLOCKED; MFV_127_BROWSER_POSTURE_RECOVERY_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_PATIENT_TRANSACTION_RECOVERY_V1; RRD_EMBEDDED_HANDOFF_ONLY; RRD_EMBEDDED_READ_ONLY; RRD_IDENTITY_HOLD_PLACEHOLDER; RRD_SECURE_LINK_RECOVERY_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. Shell residency remains on `patient-web` while publication authority resolves through `audsurf_patient_transaction_recovery`."
ASV_130_SURF_PHARMACY_CONSOLE_V1,ASRB_050_PHARMACY_CONSOLE_V1,surf_pharmacy_console,audsurf_pharmacy_console,rf_pharmacy_console,pharmacy,partial,suppressed,blocked,exact,published,published,constrained,read_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::pharmacy_console::planned,dclv::pharmacy_console::pending,PCVS_050_PHARMACY_CONSOLE_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_READ_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_PHARMACY_CONSOLE_V1; RRD_PHARMACY_DISPATCH_RECOVERY; RRD_PHARMACY_READ_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
ASV_130_SURF_CLINICIAN_WORKSPACE_V1,ASRB_050_CLINICAL_WORKSPACE_V1,surf_clinician_workspace,audsurf_clinical_workspace,rf_staff_workspace,staff,partial,suppressed,blocked,exact,published,published,constrained,read_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::clinical_workspace::planned,dclv::clinical_workspace::pending,PCVS_050_CLINICAL_WORKSPACE_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_READ_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_CLINICAL_WORKSPACE_V1; RRD_ASSISTIVE_READ_ONLY; RRD_ASSISTIVE_SIDECAR_FROZEN; RRD_WORKSPACE_CHILD_READ_ONLY; RRD_WORKSPACE_CHILD_RECOVERY_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER; RRD_WORKSPACE_READ_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. Route family `rf_staff_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple."
ASV_130_SURF_PRACTICE_OPS_WORKSPACE_V1,ASRB_050_CLINICAL_WORKSPACE_V1,surf_practice_ops_workspace,audsurf_clinical_workspace,rf_staff_workspace,staff,partial,suppressed,blocked,exact,published,published,constrained,read_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::clinical_workspace::planned,dclv::clinical_workspace::pending,PCVS_050_CLINICAL_WORKSPACE_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_READ_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_CLINICAL_WORKSPACE_V1; RRD_ASSISTIVE_READ_ONLY; RRD_ASSISTIVE_SIDECAR_FROZEN; RRD_WORKSPACE_CHILD_READ_ONLY; RRD_WORKSPACE_CHILD_RECOVERY_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER; RRD_WORKSPACE_READ_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. Route family `rf_staff_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple."
ASV_130_SURF_ASSISTIVE_SIDECAR_V1,ASRB_050_CLINICAL_WORKSPACE_V1,surf_assistive_sidecar,audsurf_clinical_workspace,rf_staff_workspace_child,staff,partial,suppressed,blocked,exact,published,published,constrained,read_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::clinical_workspace::planned,dclv::clinical_workspace::pending,PCVS_050_CLINICAL_WORKSPACE_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_READ_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_CLINICAL_WORKSPACE_V1; RRD_ASSISTIVE_READ_ONLY; RRD_ASSISTIVE_SIDECAR_FROZEN; RRD_WORKSPACE_CHILD_READ_ONLY; RRD_WORKSPACE_CHILD_RECOVERY_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER; RRD_WORKSPACE_READ_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. Route family `rf_staff_workspace_child` fans out across 2 inventoried surfaces and reuses one published audience tuple."
ASV_130_SURF_CLINICIAN_WORKSPACE_CHILD_V1,ASRB_050_CLINICAL_WORKSPACE_V1,surf_clinician_workspace_child,audsurf_clinical_workspace,rf_staff_workspace_child,staff,partial,suppressed,blocked,exact,published,published,constrained,read_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::clinical_workspace::planned,dclv::clinical_workspace::pending,PCVS_050_CLINICAL_WORKSPACE_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_READ_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_CLINICAL_WORKSPACE_V1; RRD_ASSISTIVE_READ_ONLY; RRD_ASSISTIVE_SIDECAR_FROZEN; RRD_WORKSPACE_CHILD_READ_ONLY; RRD_WORKSPACE_CHILD_RECOVERY_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER; RRD_WORKSPACE_READ_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. Route family `rf_staff_workspace_child` fans out across 2 inventoried surfaces and reuses one published audience tuple."
ASV_130_SURF_SUPPORT_REPLAY_OBSERVE_V1,ASRB_050_SUPPORT_WORKSPACE_V1,surf_support_replay_observe,audsurf_support_workspace,rf_support_replay_observe,support,recovery_only,suppressed,recovery_only,exact,published,published,constrained,recovery_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::support_workspace::planned,dclv::support_workspace::pending,PCVS_050_SUPPORT_WORKSPACE_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_RECOVERY_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_SUPPORT_WORKSPACE_V1; RRD_SUPPORT_CAPTURE_READ_ONLY; RRD_SUPPORT_CAPTURE_RECOVERY; RRD_SUPPORT_REPLAY_MASKED; RRD_SUPPORT_REPLAY_RESTORE_FROZEN; RRD_SUPPORT_WORKSPACE_READ_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
ASV_130_SURF_SUPPORT_ASSISTED_CAPTURE_V1,ASRB_050_SUPPORT_WORKSPACE_V1,surf_support_assisted_capture,audsurf_support_workspace,rf_support_ticket_workspace,support,recovery_only,suppressed,recovery_only,exact,published,published,constrained,recovery_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::support_workspace::planned,dclv::support_workspace::pending,PCVS_050_SUPPORT_WORKSPACE_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_RECOVERY_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_SUPPORT_WORKSPACE_V1; RRD_SUPPORT_CAPTURE_READ_ONLY; RRD_SUPPORT_CAPTURE_RECOVERY; RRD_SUPPORT_REPLAY_MASKED; RRD_SUPPORT_REPLAY_RESTORE_FROZEN; RRD_SUPPORT_WORKSPACE_READ_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. Route family `rf_support_ticket_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple."
ASV_130_SURF_SUPPORT_TICKET_WORKSPACE_V1,ASRB_050_SUPPORT_WORKSPACE_V1,surf_support_ticket_workspace,audsurf_support_workspace,rf_support_ticket_workspace,support,recovery_only,suppressed,recovery_only,exact,published,published,constrained,recovery_only,rpb::local::authoritative,rpp::local::authoritative,dcpb::support_workspace::planned,dclv::support_workspace::pending,PCVS_050_SUPPORT_WORKSPACE_V1,MFV_127_ACCESSIBILITY_DEGRADED; MFV_127_BROWSER_POSTURE_RECOVERY_ONLY; MFV_127_DESIGN_LINT_PENDING,RFD_050_SUPPORT_WORKSPACE_V1; RRD_SUPPORT_CAPTURE_READ_ONLY; RRD_SUPPORT_CAPTURE_RECOVERY; RRD_SUPPORT_REPLAY_MASKED; RRD_SUPPORT_REPLAY_RESTORE_FROZEN; RRD_SUPPORT_WORKSPACE_READ_ONLY,"Release parity is exact, but calm live truth is still bounded by browser posture, design lint, or accessibility ceilings. Route family `rf_support_ticket_workspace` fans out across 2 inventoried surfaces and reuses one published audience tuple."
