mappingRowId,fhirRepresentationContractId,owningBoundedContextRef,governingAggregateType,representationPurpose,resourceType,profileCanonicalUrl,identifierPolicyRef,statusMappingPolicyRef,cardinalityPolicyRef,redactionPolicyRef,companionArtifactPolicyRef,replayPolicyRef,supersessionPolicyRef,callbackCorrelationPolicyRef,exchangeBundlePolicyRef,materializationDisposition,defectState,rationale
MAP_frc-049-evidence-snapshot-clinical-persistence-v1_documentreference,FRC_049_EVIDENCE_SNAPSHOT_CLINICAL_PERSISTENCE_V1,intake_safety,EvidenceSnapshot,clinical_persistence,DocumentReference,https://vecells.example/fhir/StructureDefinition/vecells-evidence-documentreference,IDPOL_049_SNAPSHOT_HASH_DOCUMENT,STPOL_049_EVIDENCE_DOCUMENT_REFERENCE,CARDPOL_049_SNAPSHOT_MANY_DOCREFS,REDPOL_049_REFERENCE_ONLY_ARTIFACTS,COMPPOL_049_DOCUMENT_REFERENCE_BINARY_REFS,REPLAYPOL_049_SNAPSHOT_HASH_STABLE_DOCS,SUPPOL_049_DOCUMENT_REF_SUPERSESSION_ON_SNAPSHOT_REPLACEMENT,CALLPOL_049_NONE,,allowed,watch,Evidence snapshots materialize FHIR DocumentReference rows without transferring ownership away from the frozen snapshot chain.
MAP_frc-049-evidence-snapshot-clinical-persistence-v1_provenance,FRC_049_EVIDENCE_SNAPSHOT_CLINICAL_PERSISTENCE_V1,intake_safety,EvidenceSnapshot,clinical_persistence,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-evidence-provenance,IDPOL_049_SNAPSHOT_HASH_DOCUMENT,STPOL_049_EVIDENCE_DOCUMENT_REFERENCE,CARDPOL_049_SNAPSHOT_MANY_DOCREFS,REDPOL_049_REFERENCE_ONLY_ARTIFACTS,COMPPOL_049_DOCUMENT_REFERENCE_BINARY_REFS,REPLAYPOL_049_SNAPSHOT_HASH_STABLE_DOCS,SUPPOL_049_DOCUMENT_REF_SUPERSESSION_ON_SNAPSHOT_REPLACEMENT,CALLPOL_049_NONE,,allowed,watch,Evidence snapshots materialize FHIR DocumentReference rows without transferring ownership away from the frozen snapshot chain.
MAP_frc-049-hub-case-external-interchange-v1_communication,FRC_049_HUB_CASE_EXTERNAL_INTERCHANGE_V1,hub_coordination,HubCoordinationCase,external_interchange,Communication,https://vecells.example/fhir/StructureDefinition/vecells-hub-communication,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_HUB_COMMITMENT,CARDPOL_049_SINGLE_SERVICE_REQUEST_COMMITMENT,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_COMMITMENT_PROOF_STABLE_SERVICE_REQUEST,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_HUB_PARTNER_OUTBOUND_MESSAGE,allowed,active,Hub-native exchange remains partner-safe while request closure and practice visibility stay on their owning aggregates.
MAP_frc-049-hub-case-external-interchange-v1_documentreference,FRC_049_HUB_CASE_EXTERNAL_INTERCHANGE_V1,hub_coordination,HubCoordinationCase,external_interchange,DocumentReference,https://vecells.example/fhir/StructureDefinition/vecells-hub-documentreference,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_HUB_COMMITMENT,CARDPOL_049_SINGLE_SERVICE_REQUEST_COMMITMENT,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_COMMITMENT_PROOF_STABLE_SERVICE_REQUEST,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_HUB_PARTNER_OUTBOUND_MESSAGE,allowed,active,Hub-native exchange remains partner-safe while request closure and practice visibility stay on their owning aggregates.
MAP_frc-049-hub-case-external-interchange-v1_provenance,FRC_049_HUB_CASE_EXTERNAL_INTERCHANGE_V1,hub_coordination,HubCoordinationCase,external_interchange,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-hub-provenance,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_HUB_COMMITMENT,CARDPOL_049_SINGLE_SERVICE_REQUEST_COMMITMENT,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_COMMITMENT_PROOF_STABLE_SERVICE_REQUEST,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_HUB_PARTNER_OUTBOUND_MESSAGE,allowed,active,Hub-native exchange remains partner-safe while request closure and practice visibility stay on their owning aggregates.
MAP_frc-049-hub-case-external-interchange-v1_servicerequest,FRC_049_HUB_CASE_EXTERNAL_INTERCHANGE_V1,hub_coordination,HubCoordinationCase,external_interchange,ServiceRequest,https://vecells.example/fhir/StructureDefinition/vecells-hub-service-request,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_HUB_COMMITMENT,CARDPOL_049_SINGLE_SERVICE_REQUEST_COMMITMENT,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_COMMITMENT_PROOF_STABLE_SERVICE_REQUEST,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_HUB_PARTNER_OUTBOUND_MESSAGE,allowed,active,Hub-native exchange remains partner-safe while request closure and practice visibility stay on their owning aggregates.
MAP_frc-049-hub-case-partner-callback-correlation-v1_communication,FRC_049_HUB_CASE_PARTNER_CALLBACK_CORRELATION_V1,hub_coordination,HubCoordinationCase,partner_callback_correlation,Communication,https://vecells.example/fhir/StructureDefinition/vecells-hub-callback-communication,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,CARDPOL_049_SINGLE_COMMUNICATION_PER_DISPATCH,REDPOL_049_CALLBACK_CORRELATION_MINIMAL,COMPPOL_049_CALLBACK_RECEIPT_REFS,REPLAYPOL_049_TRANSPORT_CORRELATION_STABLE_CALLBACK_SET,SUPPOL_049_CALLBACK_SUPERSESSION_ON_GATE_ROTATION,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,allowed,active,Hub confirmation and practice-visibility callbacks correlate through one declared bundle and gate policy.
MAP_frc-049-hub-case-partner-callback-correlation-v1_provenance,FRC_049_HUB_CASE_PARTNER_CALLBACK_CORRELATION_V1,hub_coordination,HubCoordinationCase,partner_callback_correlation,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-hub-callback-provenance,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,CARDPOL_049_SINGLE_COMMUNICATION_PER_DISPATCH,REDPOL_049_CALLBACK_CORRELATION_MINIMAL,COMPPOL_049_CALLBACK_RECEIPT_REFS,REPLAYPOL_049_TRANSPORT_CORRELATION_STABLE_CALLBACK_SET,SUPPOL_049_CALLBACK_SUPERSESSION_ON_GATE_ROTATION,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,allowed,active,Hub confirmation and practice-visibility callbacks correlate through one declared bundle and gate policy.
MAP_frc-049-message-dispatch-external-interchange-v1_communication,FRC_049_MESSAGE_DISPATCH_EXTERNAL_INTERCHANGE_V1,communications,MessageDispatchEnvelope,external_interchange,Communication,https://vecells.example/fhir/StructureDefinition/vecells-message-communication,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,CARDPOL_049_SINGLE_COMMUNICATION_PER_DISPATCH,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_TRANSPORT_CORRELATION_STABLE_CALLBACK_SET,SUPPOL_049_COMMUNICATION_SUPERSESSION_ON_SETTLEMENT_REVISION,CALLPOL_049_TRANSPORT_CORRELATION_KEYS,FXBP_049_SECURE_MESSAGE_OUTBOUND_MESSAGE,allowed,active,Cross-organisation messaging uses a published Communication companion so callback and delivery proofs stay deterministic.
MAP_frc-049-message-dispatch-external-interchange-v1_provenance,FRC_049_MESSAGE_DISPATCH_EXTERNAL_INTERCHANGE_V1,communications,MessageDispatchEnvelope,external_interchange,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-message-provenance,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,CARDPOL_049_SINGLE_COMMUNICATION_PER_DISPATCH,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_TRANSPORT_CORRELATION_STABLE_CALLBACK_SET,SUPPOL_049_COMMUNICATION_SUPERSESSION_ON_SETTLEMENT_REVISION,CALLPOL_049_TRANSPORT_CORRELATION_KEYS,FXBP_049_SECURE_MESSAGE_OUTBOUND_MESSAGE,allowed,active,Cross-organisation messaging uses a published Communication companion so callback and delivery proofs stay deterministic.
MAP_frc-049-pharmacy-case-external-interchange-v1_auditevent,FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,pharmacy,PharmacyCase,external_interchange,AuditEvent,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-audit-event,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,CARDPOL_049_PHARMACY_REFERRAL_PACKAGE_SET,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_DISPATCH_MANIFEST_AND_OMISSIONS,REPLAYPOL_049_PACKAGE_HASH_STABLE_REFERRAL_SET,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_DISPATCH_ATTEMPT_AND_OUTBOUND_REFERENCE_HASH,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,allowed,active,"Pharmacy referral sets are frozen, consent-gated, package-hash bound outputs, never hidden lifecycle owners."
MAP_frc-049-pharmacy-case-external-interchange-v1_communication,FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,pharmacy,PharmacyCase,external_interchange,Communication,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-communication,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,CARDPOL_049_PHARMACY_REFERRAL_PACKAGE_SET,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_DISPATCH_MANIFEST_AND_OMISSIONS,REPLAYPOL_049_PACKAGE_HASH_STABLE_REFERRAL_SET,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_DISPATCH_ATTEMPT_AND_OUTBOUND_REFERENCE_HASH,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,allowed,active,"Pharmacy referral sets are frozen, consent-gated, package-hash bound outputs, never hidden lifecycle owners."
MAP_frc-049-pharmacy-case-external-interchange-v1_consent,FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,pharmacy,PharmacyCase,external_interchange,Consent,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-consent,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,CARDPOL_049_PHARMACY_REFERRAL_PACKAGE_SET,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_DISPATCH_MANIFEST_AND_OMISSIONS,REPLAYPOL_049_PACKAGE_HASH_STABLE_REFERRAL_SET,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_DISPATCH_ATTEMPT_AND_OUTBOUND_REFERENCE_HASH,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,allowed,active,"Pharmacy referral sets are frozen, consent-gated, package-hash bound outputs, never hidden lifecycle owners."
MAP_frc-049-pharmacy-case-external-interchange-v1_documentreference,FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,pharmacy,PharmacyCase,external_interchange,DocumentReference,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-documentreference,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,CARDPOL_049_PHARMACY_REFERRAL_PACKAGE_SET,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_DISPATCH_MANIFEST_AND_OMISSIONS,REPLAYPOL_049_PACKAGE_HASH_STABLE_REFERRAL_SET,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_DISPATCH_ATTEMPT_AND_OUTBOUND_REFERENCE_HASH,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,allowed,active,"Pharmacy referral sets are frozen, consent-gated, package-hash bound outputs, never hidden lifecycle owners."
MAP_frc-049-pharmacy-case-external-interchange-v1_provenance,FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,pharmacy,PharmacyCase,external_interchange,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-provenance,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,CARDPOL_049_PHARMACY_REFERRAL_PACKAGE_SET,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_DISPATCH_MANIFEST_AND_OMISSIONS,REPLAYPOL_049_PACKAGE_HASH_STABLE_REFERRAL_SET,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_DISPATCH_ATTEMPT_AND_OUTBOUND_REFERENCE_HASH,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,allowed,active,"Pharmacy referral sets are frozen, consent-gated, package-hash bound outputs, never hidden lifecycle owners."
MAP_frc-049-pharmacy-case-external-interchange-v1_servicerequest,FRC_049_PHARMACY_CASE_EXTERNAL_INTERCHANGE_V1,pharmacy,PharmacyCase,external_interchange,ServiceRequest,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-service-request,IDPOL_049_PHARMACY_PACKAGE_FINGERPRINT,STPOL_049_PHARMACY_REFERRAL,CARDPOL_049_PHARMACY_REFERRAL_PACKAGE_SET,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_DISPATCH_MANIFEST_AND_OMISSIONS,REPLAYPOL_049_PACKAGE_HASH_STABLE_REFERRAL_SET,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_DISPATCH_ATTEMPT_AND_OUTBOUND_REFERENCE_HASH,FXBP_049_PHARMACY_REFERRAL_OUTBOUND_MESSAGE,allowed,active,"Pharmacy referral sets are frozen, consent-gated, package-hash bound outputs, never hidden lifecycle owners."
MAP_frc-049-pharmacy-consent-clinical-persistence-v1_consent,FRC_049_PHARMACY_CONSENT_CLINICAL_PERSISTENCE_V1,pharmacy,PharmacyConsentRecord,clinical_persistence,Consent,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-consent,IDPOL_049_CONSENT_SCOPE_FINGERPRINT,STPOL_049_CONSENT_CHECKPOINT,CARDPOL_049_SINGLE_CONSENT_PER_CHECKPOINT_VERSION,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_PACKAGE_HASH_STABLE_REFERRAL_SET,SUPPOL_049_CONSENT_INVALIDATION_ON_CHECKPOINT_DRIFT,CALLPOL_049_NONE,,allowed,active,"FHIR Consent is allowed only as a representation of the governed pharmacy consent checkpoint, never the owning decision itself."
MAP_frc-049-pharmacy-consent-clinical-persistence-v1_provenance,FRC_049_PHARMACY_CONSENT_CLINICAL_PERSISTENCE_V1,pharmacy,PharmacyConsentRecord,clinical_persistence,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-consent-provenance,IDPOL_049_CONSENT_SCOPE_FINGERPRINT,STPOL_049_CONSENT_CHECKPOINT,CARDPOL_049_SINGLE_CONSENT_PER_CHECKPOINT_VERSION,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_PACKAGE_HASH_STABLE_REFERRAL_SET,SUPPOL_049_CONSENT_INVALIDATION_ON_CHECKPOINT_DRIFT,CALLPOL_049_NONE,,allowed,active,"FHIR Consent is allowed only as a representation of the governed pharmacy consent checkpoint, never the owning decision itself."
MAP_frc-049-pharmacy-dispatch-partner-callback-correlation-v1_communication,FRC_049_PHARMACY_DISPATCH_PARTNER_CALLBACK_CORRELATION_V1,pharmacy,PharmacyDispatchAttempt,partner_callback_correlation,Communication,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-callback-communication,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,CARDPOL_049_SINGLE_COMMUNICATION_PER_DISPATCH,REDPOL_049_CALLBACK_CORRELATION_MINIMAL,COMPPOL_049_CALLBACK_RECEIPT_REFS,REPLAYPOL_049_TRANSPORT_CORRELATION_STABLE_CALLBACK_SET,SUPPOL_049_CALLBACK_SUPERSESSION_ON_GATE_ROTATION,CALLPOL_049_DISPATCH_ATTEMPT_AND_OUTBOUND_REFERENCE_HASH,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,allowed,active,"Pharmacy callback proof and contradiction lanes are explicit bundle-driven companions, not mailbox-local booleans."
