structural_snapshot_ref,design_contract_publication_bundle_id,audience_surface,shell_type,route_family_refs,evidence_kind,evidence_label,evidence_role,breakpoint_coverage_ref,motion_mode_ref,artifact_mode_ref,evidence_state,structural_digest_ref,captured_at
DCSN_052_AUDSURF_CLINICAL_WORKSPACE_WIDE_FRAME_V1,dcpb::clinical_workspace::planned,audsurf_clinical_workspace,staff,rf_staff_workspace|rf_staff_workspace_child,wide_frame,Wide shell frame,shell_structure,wide,motion_reduced,interactive,exact,ee3f1ad9b38a1c2f,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_CLINICAL_WORKSPACE_ARTIFACT_SUMMARY_V1,dcpb::clinical_workspace::planned,audsurf_clinical_workspace,staff,rf_staff_workspace|rf_staff_workspace_child,artifact_summary,Artifact summary posture,artifact_posture,medium,motion_reduced,summary,exact,6fa26b3acb693e63,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_SUPPORT_WORKSPACE_COMPACT_FRAME_V1,dcpb::support_workspace::planned,audsurf_support_workspace,support,rf_support_ticket_workspace|rf_support_replay_observe,compact_frame,Compact shell frame,shell_structure,compact,motion_reduced,interactive,exact,3ec4e43efc26b64a,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_SUPPORT_WORKSPACE_WIDE_FRAME_V1,dcpb::support_workspace::planned,audsurf_support_workspace,support,rf_support_ticket_workspace|rf_support_replay_observe,wide_frame,Wide shell frame,shell_structure,wide,motion_reduced,interactive,exact,3f5a3e0baf39f63d,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_SUPPORT_WORKSPACE_ARTIFACT_SUMMARY_V1,dcpb::support_workspace::planned,audsurf_support_workspace,support,rf_support_ticket_workspace|rf_support_replay_observe,artifact_summary,Artifact summary posture,artifact_posture,medium,motion_reduced,summary,exact,9f58b582fc7c7d68,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_HUB_DESK_COMPACT_FRAME_V1,dcpb::hub_desk::planned,audsurf_hub_desk,hub,rf_hub_queue|rf_hub_case_management,compact_frame,Compact shell frame,shell_structure,compact,motion_reduced,interactive,exact,7186534a42992e32,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_HUB_DESK_WIDE_FRAME_V1,dcpb::hub_desk::planned,audsurf_hub_desk,hub,rf_hub_queue|rf_hub_case_management,wide_frame,Wide shell frame,shell_structure,wide,motion_reduced,interactive,exact,e3d28ddcaa3cd191,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_HUB_DESK_ARTIFACT_SUMMARY_V1,dcpb::hub_desk::planned,audsurf_hub_desk,hub,rf_hub_queue|rf_hub_case_management,artifact_summary,Artifact summary posture,artifact_posture,medium,motion_reduced,summary,exact,4b977278d2d2e231,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PHARMACY_CONSOLE_COMPACT_FRAME_V1,dcpb::pharmacy_console::planned,audsurf_pharmacy_console,pharmacy,rf_pharmacy_console,compact_frame,Compact shell frame,shell_structure,compact,motion_reduced,interactive,exact,a53b3d45b08e7ce7,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PHARMACY_CONSOLE_WIDE_FRAME_V1,dcpb::pharmacy_console::planned,audsurf_pharmacy_console,pharmacy,rf_pharmacy_console,wide_frame,Wide shell frame,shell_structure,wide,motion_reduced,interactive,exact,04db27051cbda8c8,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_PHARMACY_CONSOLE_ARTIFACT_SUMMARY_V1,dcpb::pharmacy_console::planned,audsurf_pharmacy_console,pharmacy,rf_pharmacy_console,artifact_summary,Artifact summary posture,artifact_posture,medium,motion_reduced,summary,exact,791b00849e07a864,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_OPERATIONS_CONSOLE_COMPACT_FRAME_V1,dcpb::operations_console::planned,audsurf_operations_console,operations,rf_operations_board|rf_operations_drilldown,compact_frame,Compact shell frame,shell_structure,compact,motion_reduced,interactive,exact,13b9b92b975f1d37,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_OPERATIONS_CONSOLE_WIDE_FRAME_V1,dcpb::operations_console::planned,audsurf_operations_console,operations,rf_operations_board|rf_operations_drilldown,wide_frame,Wide shell frame,shell_structure,wide,motion_reduced,interactive,exact,bd7c133c764653e4,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_OPERATIONS_CONSOLE_ARTIFACT_SUMMARY_V1,dcpb::operations_console::planned,audsurf_operations_console,operations,rf_operations_board|rf_operations_drilldown,artifact_summary,Artifact summary posture,artifact_posture,medium,motion_reduced,summary,exact,d61bde4a2a5c0ed9,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_GOVERNANCE_ADMIN_COMPACT_FRAME_V1,dcpb::governance_admin::planned,audsurf_governance_admin,governance,rf_governance_shell,compact_frame,Compact shell frame,shell_structure,compact,motion_reduced,interactive,exact,d51f1af94498d42f,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_GOVERNANCE_ADMIN_WIDE_FRAME_V1,dcpb::governance_admin::planned,audsurf_governance_admin,governance,rf_governance_shell,wide_frame,Wide shell frame,shell_structure,wide,motion_reduced,interactive,exact,a6c90b8801e72d1e,2026-04-13T14:51:08+00:00
DCSN_052_AUDSURF_GOVERNANCE_ADMIN_ARTIFACT_SUMMARY_V1,dcpb::governance_admin::planned,audsurf_governance_admin,governance,rf_governance_shell,artifact_summary,Artifact summary posture,artifact_posture,medium,motion_reduced,summary,exact,f0b6af83120aa887,2026-04-13T14:51:08+00:00
