transition_id,machine_id,canonical_name,machine_family,phase_tags,state_axis_type,from_state,to_state,trigger,coordinator_owned,guards,authoritative_proofs,related_objects,degraded_posture,closure_blocker_interactions,source_refs,notes
SM_REQUEST_SAFETY_STATE__URGENT_DIVERSION_REQUIRED__URGENT_DIVERTED,SM_REQUEST_SAFETY_STATE,Request.safetyState,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint; phase_6_pharmacy_loop,safety,urgent_diversion_required,urgent_diverted,"Urgent advice, escalation, or contact issuance is durably settled.",no,Urgent issuance is no longer merely required; Authoritative diversion proof binds to the same lineage,UrgentDiversionSettlement,UrgentDiversionSettlement,,,phase-1-the-red-flag-gate.md; forensic-audit-findings.md#Finding 11 - Urgent diversion required and completed were collapsed,
SM_REQUEST_IDENTITY_STATE__ANONYMOUS__PARTIAL_MATCH,SM_REQUEST_IDENTITY_STATE,Request.identityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,anonymous,partial_match,IdentityBinding finds candidate matches but not yet durable patient binding.,no,IdentityBinding.bindingState is candidate or provisional_verified,IdentityBinding; CapabilityDecision,IdentityBinding,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_IDENTITY_STATE__PARTIAL_MATCH__MATCHED,SM_REQUEST_IDENTITY_STATE,Request.identityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,partial_match,matched,IdentityBinding verifies a patient but claim or writable authority is not yet complete.,no,"IdentityBinding.bindingState is verified_patient; patientRef remains derived, not hand-written",IdentityBinding(bindingState = verified_patient),IdentityBinding,,,phase-0-the-foundation-protocol.md#1.4 IdentityBinding; forensic-audit-findings.md#Finding 50 - The concrete Request schema dropped identity-binding references and treated patientRef as unconditional,
SM_REQUEST_IDENTITY_STATE__MATCHED__CLAIMED,SM_REQUEST_IDENTITY_STATE,Request.identityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,matched,claimed,Claim or continuation redemption settles writable patient identity on the current lineage.,no,Current Session and RouteIntentBinding are live; No identity repair is active,SessionEstablishmentDecision; RouteIntentBinding; IdentityBindingAuthority settlement,Session; RouteIntentBinding; IdentityBinding,,,"phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; phase-2-identity-and-echoes.md",
SM_EPISODE_STATE__OPEN__RESOLVED,SM_EPISODE_STATE,Episode.state,canonical_shared_control,phase_0_foundation,lifecycle,open,resolved,All related requests and branches satisfy closure policy.,yes,Every related RequestClosureRecord is close; Episode-level blocker refs are empty,EpisodeResolutionSettlement; RequestClosureRecord(decision = close),RequestClosureRecord; Episode,,"Identity repair, duplicate review, fallback review, and confirmation gates remain orthogonal blockers",phase-0-the-foundation-protocol.md#1.2 Episode; phase-0-the-foundation-protocol.md#Closure evaluation,
SM_EPISODE_STATE__RESOLVED__ARCHIVED,SM_EPISODE_STATE,Episode.state,canonical_shared_control,phase_0_foundation,lifecycle,resolved,archived,Retention and lifecycle policy archives the already resolved episode.,yes,Resolution is durable; Archive posture is legal for the episode scope,EpisodeArchiveRecord; DispositionEligibilityAssessment(eligibilityState = archive_only | delete_allowed),DispositionEligibilityAssessment,,,"phase-0-the-foundation-protocol.md#1.2 Episode; phase-9-the-assurance-ledger.md#Records lifecycle, retention, legal hold, and deletion engine",
SM_TELEPHONY_EVIDENCE_READINESS__AWAITING_RECORDING__AWAITING_TRANSCRIPT,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,awaiting_recording,awaiting_transcript,Recording lands but transcript is still required.,no,Recording availability is durable,CallRecordingReceipt; TelephonyEvidenceReadinessAssessment,CallSession,,,phase-0-the-foundation-protocol.md#1.3D TelephonyEvidenceReadinessAssessment; forensic-audit-findings.md#Finding 08 - Telephony evidence-readiness gate was missing,
SM_TELEPHONY_EVIDENCE_READINESS__AWAITING_TRANSCRIPT__AWAITING_STRUCTURED_CAPTURE,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,awaiting_transcript,awaiting_structured_capture,Transcript lands but required keypad or structured capture is incomplete.,no,Transcript sufficiency is settled; Required structured capture remains incomplete,TranscriptReadinessRecord; StructuredCaptureAssessment,CallSession,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_TELEPHONY_EVIDENCE_READINESS__AWAITING_RECORDING__URGENT_LIVE_ONLY,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,awaiting_recording,urgent_live_only,Urgent live branch is the only safe path before routine evidence is promotable.,no,Urgent-live assessment requires conservative diversion,UrgentLiveAssessment,UrgentLiveAssessment,urgent_live_only,,phase-0-the-foundation-protocol.md#1.3D TelephonyEvidenceReadinessAssessment; forensic-audit-findings.md#Finding 08 - Telephony evidence-readiness gate was missing,
SM_TELEPHONY_EVIDENCE_READINESS__AWAITING_STRUCTURED_CAPTURE__SAFETY_USABLE,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,awaiting_structured_capture,safety_usable,"Recording, transcript, and structured capture together clear routine safety use.",no,PromotionReadiness is ready_to_seed or ready_to_promote,TelephonyEvidenceReadinessAssessment(usabilityState = safety_usable),TelephonyContinuationEligibility; SubmissionEnvelope,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_TELEPHONY_EVIDENCE_READINESS__URGENT_LIVE_ONLY__MANUAL_REVIEW_ONLY,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,urgent_live_only,manual_review_only,Urgent live path ends without enough routine evidence for ordinary promotion.,no,Routine evidence still fails safety-usable threshold,TelephonyManualReviewDisposition(reviewState = open),TelephonyManualReviewDisposition,manual_review_only,,phase-0-the-foundation-protocol.md#1.3F TelephonyManualReviewDisposition,
SM_TELEPHONY_EVIDENCE_READINESS__MANUAL_REVIEW_ONLY__SAFETY_USABLE,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,manual_review_only,safety_usable,Manual review or transcription settles promotable evidence.,no,Manual review disposition is settled,TelephonyManualReviewDisposition(reviewState = settled); TelephonyEvidenceReadinessAssessment(usabilityState = safety_usable),TelephonyManualReviewDisposition,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_TELEPHONY_EVIDENCE_READINESS__MANUAL_REVIEW_ONLY__UNUSABLE_TERMINAL,SM_TELEPHONY_EVIDENCE_READINESS,TelephonyEvidenceReadinessAssessment.usabilityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,manual_review_only,unusable_terminal,Manual review concludes the capture cannot safely become routine intake.,no,No recoverable continuation remains,TelephonyManualReviewDisposition(reviewMode = abandon),TelephonyManualReviewDisposition,under_manual_review,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_TELEPHONY_CONTINUATION_ELIGIBILITY__NOT_ELIGIBLE__ELIGIBLE_SEEDED,SM_TELEPHONY_CONTINUATION_ELIGIBILITY,TelephonyContinuationEligibility.eligibilityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,not_eligible,eligible_seeded,Readiness and identity confidence allow seeded continuation.,no,Evidence readiness is safety_usable or ready_to_seed; Lineage scope is proven,TelephonyContinuationEligibility(eligibilityState = eligible_seeded); AccessGrant(grantFamily = continuation_seeded_verified),TelephonyEvidenceReadinessAssessment; AccessGrant,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_TELEPHONY_CONTINUATION_ELIGIBILITY__NOT_ELIGIBLE__ELIGIBLE_CHALLENGE,SM_TELEPHONY_CONTINUATION_ELIGIBILITY,TelephonyContinuationEligibility.eligibilityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,not_eligible,eligible_challenge,Continuation is allowed only after a challenge rather than seeded verification.,no,Identity or destination confidence is insufficient for seeded continuation,TelephonyContinuationEligibility(eligibilityState = eligible_challenge); AccessGrant(grantFamily = continuation_challenge),AccessGrant,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_TELEPHONY_CONTINUATION_ELIGIBILITY__NOT_ELIGIBLE__MANUAL_ONLY,SM_TELEPHONY_CONTINUATION_ELIGIBILITY,TelephonyContinuationEligibility.eligibilityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,not_eligible,manual_only,Continuation cannot be safely granted on the current evidence.,no,GrantFamilyRecommendation = manual_only,TelephonyContinuationEligibility(eligibilityState = manual_only),TelephonyEvidenceReadinessAssessment,manual_only,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_IDENTITY_BINDING_STATE__CANDIDATE__PROVISIONAL_VERIFIED,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,candidate,provisional_verified,Evidence is strong enough for controlled progress but not yet durable external consequence.,no,Link probability lower bounds meet provisional policy,IdentityBinding(bindingState = provisional_verified),IdentityBinding,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_IDENTITY_BINDING_STATE__CANDIDATE__AMBIGUOUS,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,candidate,ambiguous,Competing identity candidates remain unresolved.,no,Runner-up probability stays within ambiguity policy,IdentityBinding(bindingState = ambiguous),IdentityRepairCase,identity_hold,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_IDENTITY_BINDING_STATE__PROVISIONAL_VERIFIED__VERIFIED_PATIENT,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,provisional_verified,verified_patient,Binding is durably verified to one patient.,no,Subject proof and match evidence satisfy verified threshold,IdentityBinding(bindingState = verified_patient),IdentityBinding,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_IDENTITY_BINDING_STATE__VERIFIED_PATIENT__CORRECTION_PENDING,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,verified_patient,correction_pending,Wrong-patient correction or identity challenge freezes the active binding.,no,IdentityRepairCase is opened,IdentityRepairCase; IdentityRepairFreezeRecord,IdentityRepairCase,identity_hold,Identity repair blocks closure and writable calmness,phase-0-the-foundation-protocol.md#1.5 IdentityRepairCase; forensic-audit-findings.md#Finding 69 - Wrong-patient correction rewrote canonical workflow state instead of attaching repair metadata,
SM_IDENTITY_BINDING_STATE__CORRECTION_PENDING__CORRECTED,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,correction_pending,corrected,IdentityBindingAuthority settles corrected binding under release settlement.,no,Identity repair release settlement is current,IdentityRepairReleaseSettlement; IdentityBinding(bindingState = corrected),IdentityRepairReleaseSettlement,,,phase-0-the-foundation-protocol.md#1.5C IdentityRepairReleaseSettlement,
SM_IDENTITY_BINDING_STATE__CORRECTED__REVOKED,SM_IDENTITY_BINDING_STATE,IdentityBinding.bindingState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,corrected,revoked,The corrected binding is later superseded or revoked.,no,A newer settled binding exists or revocation policy applies,IdentityBinding(bindingState = revoked),IdentityBinding,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_STATE__ESTABLISHING__ACTIVE,SM_SESSION_STATE,Session.sessionState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,establishing,active,"Session establishment settles on the current grant, binding, and tuple.",no,SessionEstablishmentDecision is current; Identity binding and grant context still match,SessionEstablishmentDecision; Session(sessionState = active),SessionEstablishmentDecision; AccessGrant; RouteIntentBinding,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_STATE__ACTIVE__STEP_UP_REQUIRED,SM_SESSION_STATE,Session.sessionState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,active,step_up_required,"Policy, risk, or scope change requires additional assurance before continuing.",no,Higher assurance is required for the target action,CapabilityDecision; Session(sessionState = step_up_required),CapabilityDecision,claim_pending,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_STATE__STEP_UP_REQUIRED__ACTIVE,SM_SESSION_STATE,Session.sessionState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,step_up_required,active,Step-up succeeds under the current session epoch and binding version.,no,Same session fence and route tuple remain current,SessionEstablishmentDecision; Session(sessionState = active),SessionEstablishmentDecision; RouteIntentBinding,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_STATE__ACTIVE__RESTRICTED,SM_SESSION_STATE,Session.sessionState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,active,restricted,Policy or release posture narrows the session to restricted interaction.,no,Writable authority is no longer legal on the live tuple,ReleaseRecoveryDisposition; Session(sessionState = restricted),AudienceSurfaceRuntimeBinding; ReleaseRecoveryDisposition,read_only,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_STATE__RESTRICTED__RECOVERY_ONLY,SM_SESSION_STATE,Session.sessionState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,restricted,recovery_only,Session continuity drifts beyond read-only restrictions and requires recovery.,no,Tuple or subject drift invalidates the bound route posture,RouteIntentBinding(bindingState = recovery_only); Session(sessionState = recovery_only),RouteIntentBinding; AudienceSurfaceRuntimeBinding,recovery_only,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_STATE__ACTIVE__REVOKED,SM_SESSION_STATE,Session.sessionState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,active,revoked,"Logout, repair, or supersession revokes the session.",no,Revocation is authoritative on the current session epoch,SessionTerminationSettlement,SessionTerminationSettlement; AccessGrantSupersessionRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_STATE__ACTIVE__EXPIRED_IDLE,SM_SESSION_STATE,Session.sessionState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,active,expired_idle,Idle timeout elapses.,no,Idle expiry threshold has passed,SessionTerminationSettlement,SessionTerminationSettlement,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_STATE__ACTIVE__EXPIRED_ABSOLUTE,SM_SESSION_STATE,Session.sessionState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,active,expired_absolute,Absolute session lifetime elapses.,no,Absolute expiry threshold has passed,SessionTerminationSettlement,SessionTerminationSettlement,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_STATE__ACTIVE__TERMINATED,SM_SESSION_STATE,Session.sessionState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,identity,active,terminated,The session ends for an explicit terminal reason.,no,Termination settlement is authoritative,SessionTerminationSettlement,SessionTerminationSettlement,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_ROUTE_AUTHORITY__NONE__AUTH_READ_ONLY,SM_SESSION_ROUTE_AUTHORITY,Session.routeAuthorityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,none,auth_read_only,Auth succeeds but writable claim has not been settled.,no,Session is active on the current subject scope,Session(sessionState = active); CapabilityDecision(decisionState = allow),Session; CapabilityDecision,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
