transitionId,fromStatus,toStatus,predicateId,controllingObject,commandScope,truthPredicate,sourceRef
H311_023,coordinator_selecting,callback_transfer_pending,P311_CALLBACK_CHOSEN_BY_COORDINATOR,HubFallbackRecord(callback_request),hub.case.return_to_practice,Coordinator choice still routes through governed callback continuity.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_024,coordinator_selecting,escalated_back,P311_RETURN_CHOSEN_BY_COORDINATOR,HubFallbackRecord(return_to_practice),hub.case.return_to_practice,Return remains a first-class controlled branch from coordinator selection.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_025,candidate_revalidating,native_booking_pending,P311_REVALIDATION_PASSED,HubCommitAttempt + reservation fence + current truthTupleHash,hub.case.commit_native_booking,Native booking begins only after successful revalidation against the current tuple.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_026,candidate_revalidating,alternatives_offered,P311_REVALIDATION_FALLBACK_TO_OFFER,AlternativeOfferSession + AlternativeOfferRegenerationSettlement,hub.case.offer_alternatives,Direct commit failure may reopen governed open choice rather than loose local search.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_027,candidate_revalidating,callback_transfer_pending,P311_REVALIDATION_FALLBACK_TO_CALLBACK,HubFallbackRecord(callback_request),hub.case.return_to_practice,Revalidation failure may move to callback only through the governed fallback branch.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_028,candidate_revalidating,escalated_back,P311_REVALIDATION_FALLBACK_TO_RETURN,HubFallbackRecord(return_to_practice),hub.case.return_to_practice,"Unsafe revalidation outcomes must route to governed return, not silent retry.","blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_029,native_booking_pending,confirmation_pending,P311_PENDING_CONFIRMATION_ONLY,HubCommitAttempt + ExternalConfirmationGate,hub.case.commit_native_booking,Pending confirmation is the only legal state when booked truth is not yet authoritative.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_030,native_booking_pending,booked_pending_practice_ack,P311_CONFIRMED_PENDING_ACK,HubAppointmentRecord + PracticeAcknowledgementRecord + HubOfferToConfirmationTruthProjection,hub.case.commit_native_booking,Booked truth may advance before practice acknowledgement only into the explicit pending-ack state.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_031,native_booking_pending,callback_transfer_pending,P311_COMMIT_MOVED_TO_CALLBACK_RECOVERY,HubFallbackRecord(callback_request) + HubCommitSettlement,hub.case.return_to_practice,Commit failure recovery remains same-shell and governed.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_032,native_booking_pending,escalated_back,P311_COMMIT_RETURN_REQUIRED,HubFallbackRecord(return_to_practice) + HubCommitSettlement,hub.case.return_to_practice,Commit-side recovery may not bypass governed return linkage.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_033,confirmation_pending,booked_pending_practice_ack,P311_CONFIRMATION_GATE_CLEARED,ExternalConfirmationGate + HubAppointmentRecord + PracticeContinuityMessage,hub.case.commit_native_booking,Pending confirmation becomes booked-pending-ack only after authoritative confirmation and new practice visibility generation exist together.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_034,confirmation_pending,callback_transfer_pending,P311_CONFIRMATION_PENDING_TO_CALLBACK,HubFallbackRecord(callback_request) + HubCommitSettlement,hub.case.return_to_practice,Callback remains explicit recovery from pending confirmation.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_035,confirmation_pending,escalated_back,P311_CONFIRMATION_PENDING_TO_RETURN,HubFallbackRecord(return_to_practice),hub.case.return_to_practice,Pending confirmation cannot silently die; it returns through a governed branch.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_036,booked_pending_practice_ack,booked,P311_ACK_GENERATION_SATISFIED,PracticeAcknowledgementRecord + PracticeVisibilityProjection,hub.case.commit_native_booking,Only current-generation evidence may clear practice acknowledgement debt.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_037,booked_pending_practice_ack,escalated_back,P311_ACK_FAILURE_ESCALATES,PracticeAcknowledgementRecord + HubFallbackRecord(return_to_practice),hub.case.return_to_practice,Unmet acknowledgement duty may reopen escalation instead of falsely completing the case.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_038,booked,closed,P311_OPEN_BLOCKERS_EMPTY,LifecycleCoordinator + HubOfferToConfirmationTruthProjection.closureState,hub.case.close,Booked truth alone never closes the case; close needs empty blockers and coordinator decision proof.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_039,callback_transfer_pending,callback_offered,P311_CALLBACK_LINKED,HubFallbackRecord + CallbackCase + CallbackExpectationEnvelope,hub.case.return_to_practice,Callback-offered is legal only after durable callback linkage.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_040,callback_transfer_pending,escalated_back,P311_CALLBACK_LINKAGE_ABORTED_TO_RETURN,HubFallbackRecord(return_to_practice) + HubReturnToPracticeRecord,hub.case.return_to_practice,Callback-pending may still switch to governed return without hidden loss of provenance.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_041,callback_offered,closed,P311_CALLBACK_CONTINUATION_DURABLE,HubFallbackRecord.state + LifecycleCoordinator close decision,hub.case.close,"Hub close waits for durable callback linkage, not just callback selection.","blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_042,escalated_back,closed,P311_RETURN_CONTINUATION_DURABLE,HubReturnToPracticeRecord + LifecycleCoordinator close decision,hub.case.close,Escalated-back remains open until the linked return workflow is real and current.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
