route_family_id,route_family,shell_type,ownership_mode,primary_surface_name,audience_tiers,primary_personas,channel_profiles,ingress_channels,owning_blueprints,governing_objects,control_plane_rules,identity_posture,visibility_policy_posture,allowed_mutations,continuity_expectations,degraded_recovery_states,external_dependency_touchpoints,scope_posture,explicit_route_contract,notes,source_refs
rf_staff_workspace_child,"/workspace/task/:taskId/more-info, /workspace/task/:taskId/decision, /workspace/approvals, /workspace/escalations, /workspace/changed, /workspace/search",staff,same_shell_child,Clinical Workspace child review states,assistive_adjunct; origin_practice_clinical,Staff - Assistive feature consumer; Staff - Clinician or designated reviewer in Clinical Workspace,browser,Browser web,staff-workspace-interface-architecture.md; phase-0-the-foundation-protocol.md,MoreInfoStatusDigest; DecisionCommitEnvelope; WorkspaceFocusProtectionLease; ProtectedCompositionState; TaskCompletionSettlementEnvelope; RouteIntentBinding; CommandActionRecord; CommandSettlementRecord,WorkspaceRouteAdjacency; WorkspaceStatusPresentationContract; VisibilityProjectionPolicy,Role-scoped child review posture inside the current task shell.,"The same task shell with protected composition, settlement, and delta-review rules.","Request more information, compose, confirm, escalate, approve, or search within the active workspace continuity frame.",Soft child states of the same shell; autosave and settlement never invent a second task shell.,"Protected composition freeze, stale review demotion, or bounded recovery in place.",Messaging delivery rails; Audit and approval chains,baseline,yes,,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Additional route rules
rf_hub_queue,/hub/queue,hub,shell_root,Hub queue,hub_desk,Staff - Hub coordinator,browser,Browser web,phase-5-the-network-horizon.md,HubCoordinationCase; NetworkBookingRequest; NetworkCoordinationPolicyEvaluation; HubOwnershipTransition,AudienceVisibilityCoverage(hub_desk); VisibilityProjectionPolicy; ShellFamilyOwnershipContract(shellType = hub),Hub coordination actor with active ownership and cross-organisation acting context.,"Coordination-safe summary, candidate freshness, and practice-ack debt only.","Claim, release, transfer, and resume hub cases from the coordination queue.",Preserve hub queue context and selected case anchor inside the same hub shell.,"Stale-owner recovery, policy-blocked, or degraded-candidate posture in place.",Cross-site booking adapters; Policy packs,baseline,yes,,"phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
rf_hub_case_management,"/hub/case/:hubCoordinationCaseId, /hub/alternatives/:offerSessionId, /hub/exceptions, /hub/audit/:hubCoordinationCaseId",hub,same_shell_child,"Hub case, alternatives, exception, and audit work",hub_desk,Staff - Hub coordinator,browser,Browser web,phase-5-the-network-horizon.md; phase-0-the-foundation-protocol.md,HubCoordinationCase; AlternativeOfferSession; AlternativeOfferOptimisationPlan; HubOfferToConfirmationTruthProjection; PracticeAcknowledgementRecord; HubFallbackRecord,RouteFamilyOwnershipClaim; VisibilityProjectionPolicy; Continuity evidence for hub booking manage,"Hub coordination case posture with active offer, callback, return, or confirmation truth.","Hub case detail is the shell root; alternatives, exception handling, and audit stay inside the same hub shell while the case is active.","Offer alternatives, commit native booking, trigger callback fallback, or return to practice.","Keep the active hub case anchor and same shell through alternatives, confirmation, callback transfer, and audit proof review.","Confirmation pending, callback transfer pending, booked_pending_practice_ack, disputed truth, or identity-repair hold without detaching from the case.",Cross-site booking adapters; Practice acknowledgement delivery; Callback linkage,baseline,yes,,phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit
rf_pharmacy_console,"/workspace/pharmacy, /workspace/pharmacy/:pharmacyCaseId, /validate, /inventory, /resolve, /handoff, /assurance",pharmacy,shell_root,Pharmacy Console,servicing_site,Staff - Pharmacy servicing or assurance user,browser,Browser web,pharmacy-console-frontend-architecture.md; phase-6-the-pharmacy-loop.md,PharmacyConsoleContinuityEvidenceProjection; RouteIntentBinding; CommandActionRecord; CommandSettlementRecord; ProjectionContractVersionSet,ShellFamilyOwnershipContract(shellType = pharmacy); VisibilityProjectionPolicy; ClientCachePolicy,Servicing-site delivery posture inside the dedicated pharmacy mission frame.,"Case workbench, compare, inventory, handoff, and assurance remain one pharmacy shell even when the URL sits under /workspace.","Validate, inventory check, resolve, hand off, and assurance review inside the active pharmacy case.","Deep links, refresh, and browser history reopen the current pharmacy shell and selected case anchor.","Read-only, reconcile-required, or blocked settlement posture while keeping the last safe case context visible.",Pharmacy dispatch transport; Outcome ingestion,baseline,yes,,pharmacy-console-frontend-architecture.md#Mission frame; pharmacy-console-frontend-architecture.md#The recommended route family is
rf_support_ticket_workspace,"/ops/support, /ops/support/inbox/:viewKey, /ops/support/tickets/:supportTicketId, /conversation, /history, /knowledge, /actions/:actionKey, /handoff/:supportOwnershipTransferId",support,shell_root,Support ticket workspace,support,Staff - Support desk agent,browser,Browser web; Support-assisted capture,staff-operations-and-support-blueprint.md; phase-0-the-foundation-protocol.md,SupportTicket; SupportLineageBinding; SupportActionLease; SupportMutationAttempt; SupportActionSettlement; SupportActionWorkbenchProjection,SupportSurfaceRuntimeBinding; VisibilityProjectionPolicy; ArtifactPresentationContract; OutboundNavigationGrant,Masked support posture with explicit disclosure ceiling and action lease.,"Support chronology, knowledge, handoff, and action surfaces remain one support shell and one ticket anchor.","Controlled resend, reissue, recovery, identity correction, and handoff work under the current support action lease.","Ticket, conversation, history, knowledge, and action child routes preserve the same support shell and ticket anchor.","Read-only fallback, pending external, or recovery-required ticket posture without context-destroying page swaps.",Notification delivery rails; Secure-link issuance; Telephony delivery,baseline,yes,,staff-operations-and-support-blueprint.md#Support route contract; phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm
rf_support_replay_observe,/ops/support/replay/:supportReplaySessionId and /ops/support/tickets/:supportTicketId/observe/:supportObserveSessionId,support,same_shell_child,Support replay and observe,support,Staff - Support desk agent,browser,Browser web,staff-operations-and-support-blueprint.md; phase-0-the-foundation-protocol.md,SupportReplayCheckpoint; SupportReplayRestoreSettlement; SupportObserveSession; SupportReadOnlyFallbackProjection; SupportContinuityEvidenceProjection,Mask scope validation; Replay release decision; VisibilityProjectionPolicy,Support replay or observe posture under a frozen checkpoint and current mask scope.,"Replay and observe are bounded child routes of the same support shell, not detached forensic tools.","Observe only, release replay, inspect history, or pivot to escalation under current checkpoints and leases.",Replay exit and observe return must restore the same ticket anchor before live controls can re-arm.,"Read-only fallback, stale reacquire, or awaiting-external hold with the same ticket anchor preserved.",Support replay tooling; Audit evidence,baseline,yes,,staff-operations-and-support-blueprint.md#Support route contract; phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm
rf_operations_board,"/ops/overview, /ops/queues, /ops/capacity, /ops/dependencies, /ops/audit, /ops/assurance, /ops/incidents, /ops/resilience",operations,shell_root,Operations board,operations_control,Staff - Operations lead or control-room operator,browser,Browser web,operations-console-frontend-blueprint.md; platform-frontend-blueprint.md,OpsBoardStateSnapshot; OpsSelectionLease; OpsDeltaGate; OpsBoardPosture; OpsReturnToken; OpsContinuityEvidenceSlice,RouteFamilyOwnershipClaim; AudienceSurfaceRuntimeBinding; WorkspaceTrustEnvelope(workspaceFamily = ops_intervention),Purpose-of-use-specific operations control posture.,"A live control-room shell for anomaly detection, dependency posture, assurance pivots, and bounded intervention readiness.",No direct governance mutation; may prepare or issue bounded operational interventions within the current fence.,"Keep the same operations shell while filters, horizon, selected anomaly, and board tuple stay valid.","Read-only diagnostic, partial restore, stale selection freeze, or fallback lens restore inside the same shell.",Telemetry and queue health feeds; Release watch and assurance evidence,baseline,yes,,operations-console-frontend-blueprint.md#Canonical route family; platform-frontend-blueprint.md#Operations Console specialization
rf_operations_drilldown,"/ops/:opsLens/investigations/:opsRouteIntentId, /interventions/:opsRouteIntentId, /compare/:opsRouteIntentId, /health/:opsRouteIntentId",operations,same_shell_child,Operations investigation and intervention drill-down,operations_control,Staff - Operations lead or control-room operator,browser,Browser web,operations-console-frontend-blueprint.md,OpsRouteIntent; OpsActionEligibilityFence; OpsGovernanceHandoff; OpsRestoreReport; WorkspaceTrustEnvelope(workspaceFamily = ops_intervention),RouteFamilyOwnershipClaim; AudienceSurfaceRuntimeBinding; OpsDeltaGate,Operations drill-down posture on the current board scope and selected anomaly.,"Investigation, compare, health, and intervention views stay within the same operations shell unless a true governance handoff occurs.","Inspect or issue operational interventions, freeze board state, or hand off to governance.",Return to the same board snapshot and selection lease after drill-down or governance handoff.,"Read-only diagnostic, blocked guardrail, or fallback restore while the last stable board stays visible.",Governance handoff; Assurance and audit pivots,baseline,yes,,operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline
rf_governance_shell,"/ops/governance/*, /ops/access/*, /ops/config/*, /ops/comms/*, /ops/release/*",governance,shell_root,Governance and Admin shell,governance_review,"Staff - Governance, admin, config, comms, or access lead",browser,Browser web,governance-admin-console-frontend-blueprint.md; platform-frontend-blueprint.md,GovernanceContinuityFrame; GovernanceScopeToken; ChangeBaselineSnapshot; GovernanceReturnIntentToken; GovernanceFreezeDisposition; GovernanceReviewPackage; ApprovalStepper,RouteFamilyOwnershipClaim; AudienceSurfaceRuntimeBinding; ReleaseWatchTuple,"Governance review posture with exact scope, baseline, package, and watch tuple alignment.","Governance, access, config, comms, and release work stay in one dedicated shell rather than an operations subpanel.","Approve, promote, rollback, govern access, manage config, and review compliance work inside the current package.","Keep the same governance continuity frame and return intent across diff, simulation, approval, promotion watch, and evidence pivots.","Freeze disposition, blocked guardrail, or read-only evidence pivot while preserving the current governed object and scope token.",Release watch tuples; Approval evidence; Config and comms publications,baseline,yes,,governance-admin-console-frontend-blueprint.md#Shell and route topology; platform-frontend-blueprint.md#Governance/Admin specialization
rf_assistive_control_shell,"Assistive evaluation, replay, monitoring, and release-control surfaces (derived)",assistive,shell_root,Standalone assistive control shell,assistive_adjunct,Staff - Assistive feature consumer,browser,Browser web,phase-8-the-assistive-layer.md; phase-0-the-foundation-protocol.md,AssistiveInvocationGrant; AssistiveSurfaceBinding; AssistiveCapabilityTrustEnvelope; AudienceSurfaceRouteContract; RuntimePublicationBundle,VisibilityProjectionPolicy; AudienceSurfaceRuntimeBinding; UITelemetryDisclosureFence; RouteFreezeDisposition,"Standalone assistive tooling posture only for evaluation, replay, monitoring, or release-control work.","This shell is allowed by Phase 0 for non-live-care assistive control work only; live care, support, and operational assistive use remains bounded inside the owning shell.","Replay, evaluation, monitoring, or release-control work under the current assistive grant and rollout verdict.",Standalone assistive shell only where the corpus explicitly calls for it; otherwise the user returns to the owning shell.,"Shadow-only, blocked, quarantined, or regenerate-required posture under publication or rollout drift.",Model registry; Evaluation corpus; Rollout control plane,conditional,derived,"The corpus names the work classes but not concrete routes, so this route family label is intentionally derived.",phase-8-the-assistive-layer.md#Control priorities; phase-0-the-foundation-protocol.md#1.1 PersistentShell
