evidence_id,capability_family_id,capability_label,evidence_kind,artifact_class,source_task_ref,machine_state,artifact_ref,summary
EVID_138_021,identity_access_substrate,Identity/access substrate,suite_binding,verification_suite,seq_133,passed,data/test/transition_suite_results.json,Domain transition and event schema compatibility
EVID_138_022,runtime_publication_and_freeze_control,Runtime/publication and freeze control,implementation,implementation_evidence,seq_137,current,data/analysis/runtime_publication_bundles.json,Runtime/publication and freeze control implementation
EVID_138_023,runtime_publication_and_freeze_control,Runtime/publication and freeze control,implementation,implementation_evidence,seq_137,current,data/analysis/release_publication_parity_records.json,Runtime/publication and freeze control implementation
EVID_138_024,runtime_publication_and_freeze_control,Runtime/publication and freeze control,implementation,implementation_evidence,seq_131,current,data/release/release_candidate_tuple.json,Runtime/publication and freeze control implementation
EVID_138_025,runtime_publication_and_freeze_control,Runtime/publication and freeze control,automated_proof,automated_proof,seq_130,machine_verified,data/analysis/surface_authority_verdicts.json,Runtime/publication and freeze control automated proof
EVID_138_026,runtime_publication_and_freeze_control,Runtime/publication and freeze control,automated_proof,automated_proof,seq_127,machine_verified,data/analysis/manifest_fusion_verdicts.json,Runtime/publication and freeze control automated proof
EVID_138_027,runtime_publication_and_freeze_control,Runtime/publication and freeze control,automated_proof,automated_proof,seq_137,machine_verified,data/test/137_rehearsal_results.json,Runtime/publication and freeze control automated proof
EVID_138_028,runtime_publication_and_freeze_control,Runtime/publication and freeze control,suite_binding,verification_suite,seq_137,passed,data/test/137_rehearsal_results.json,"Release freeze, restore, and non-production canary rehearsals"
EVID_138_029,shell_and_continuity_infrastructure,Shell and continuity infrastructure,implementation,implementation_evidence,par_106_or_par_108,current,data/analysis/persistent_shell_contracts.json,Shell and continuity infrastructure implementation
EVID_138_030,shell_and_continuity_infrastructure,Shell and continuity infrastructure,implementation,implementation_evidence,par_106_or_par_108,current,data/analysis/frontend_contract_manifests.json,Shell and continuity infrastructure implementation
EVID_138_031,shell_and_continuity_infrastructure,Shell and continuity infrastructure,implementation,implementation_evidence,par_106_or_par_108,current,data/analysis/selected_anchor_policy_matrix.csv,Shell and continuity infrastructure implementation
EVID_138_032,shell_and_continuity_infrastructure,Shell and continuity infrastructure,automated_proof,automated_proof,seq_134,machine_verified,data/test/continuity_gate_suite_results.json,Shell and continuity infrastructure automated proof
EVID_138_033,shell_and_continuity_infrastructure,Shell and continuity infrastructure,automated_proof,automated_proof,seq_127,machine_verified,data/analysis/manifest_fusion_verdicts.json,Shell and continuity infrastructure automated proof
EVID_138_034,shell_and_continuity_infrastructure,Shell and continuity infrastructure,automated_proof,automated_proof,seq_136,machine_verified,data/test/136_preview_environment_suite_results.json,Shell and continuity infrastructure automated proof
EVID_138_035,shell_and_continuity_infrastructure,Shell and continuity infrastructure,suite_binding,verification_suite,seq_134,passed,data/test/continuity_gate_suite_results.json,"Route intent, freshness, and scoped mutation gate"
EVID_138_036,shell_and_continuity_infrastructure,Shell and continuity infrastructure,suite_binding,verification_suite,seq_136,passed,data/test/136_preview_environment_suite_results.json,"Shell accessibility, preview environment, and smoke proof"
EVID_138_037,simulator_estate_and_degraded_defaults,Simulator estate and degraded defaults,implementation,implementation_evidence,seq_129,current,data/integration/seeded_external_contract_catalog.json,Simulator estate and degraded defaults implementation
EVID_138_038,simulator_estate_and_degraded_defaults,Simulator estate and degraded defaults,implementation,implementation_evidence,seq_129,current,data/integration/live_provider_handover_matrix.csv,Simulator estate and degraded defaults implementation
EVID_138_039,simulator_estate_and_degraded_defaults,Simulator estate and degraded defaults,implementation,implementation_evidence,seq_135,current,data/analysis/dependency_simulator_strategy.json,Simulator estate and degraded defaults implementation
EVID_138_040,simulator_estate_and_degraded_defaults,Simulator estate and degraded defaults,automated_proof,automated_proof,seq_129,machine_verified,data/integration/adapter_validation_results.json,Simulator estate and degraded defaults automated proof
EVID_138_041,simulator_estate_and_degraded_defaults,Simulator estate and degraded defaults,automated_proof,automated_proof,seq_137,machine_verified,data/test/137_rehearsal_results.json,Simulator estate and degraded defaults automated proof
EVID_138_042,simulator_estate_and_degraded_defaults,Simulator estate and degraded defaults,automated_proof,automated_proof,seq_135,machine_verified,data/analysis/preview_environment_manifest.json,Simulator estate and degraded defaults automated proof
EVID_138_043,simulator_estate_and_degraded_defaults,Simulator estate and degraded defaults,suite_binding,verification_suite,seq_135,passed,data/test/exception_path_suite_results.json,"Adapter replay, duplicate, quarantine, and fallback review"
EVID_138_044,simulator_estate_and_degraded_defaults,Simulator estate and degraded defaults,suite_binding,verification_suite,seq_137,passed,data/test/137_rehearsal_results.json,"Release freeze, restore, and non-production canary rehearsals"
EVID_138_045,observability_and_audit,Observability and audit,implementation,implementation_evidence,par_093_or_seq_051,current,data/analysis/observability_signal_matrix.csv,Observability and audit implementation
EVID_138_046,observability_and_audit,Observability and audit,implementation,implementation_evidence,par_093_or_seq_051,current,data/analysis/audit_record_schema.json,Observability and audit implementation
EVID_138_047,observability_and_audit,Observability and audit,implementation,implementation_evidence,par_093_or_seq_051,current,data/analysis/worm_retention_classes.json,Observability and audit implementation
EVID_138_048,observability_and_audit,Observability and audit,automated_proof,automated_proof,par_093_or_seq_051,machine_verified,data/analysis/observability_event_schema_manifest.json,Observability and audit automated proof
EVID_138_049,observability_and_audit,Observability and audit,automated_proof,automated_proof,par_100,machine_verified,data/analysis/build_provenance_manifest.json,Observability and audit automated proof
EVID_138_050,observability_and_audit,Observability and audit,automated_proof,automated_proof,par_100,machine_verified,data/analysis/build_provenance_integrity_catalog.json,Observability and audit automated proof
EVID_138_051,backup_restore_and_canary_rehearsal,Backup/restore and canary rehearsal,implementation,implementation_evidence,par_097_or_101,current,data/analysis/release_watch_pipeline_catalog.json,Backup/restore and canary rehearsal implementation
EVID_138_052,backup_restore_and_canary_rehearsal,Backup/restore and canary rehearsal,implementation,implementation_evidence,par_097_or_101,current,data/analysis/release_watch_required_evidence.csv,Backup/restore and canary rehearsal implementation
EVID_138_053,backup_restore_and_canary_rehearsal,Backup/restore and canary rehearsal,implementation,implementation_evidence,par_097_or_101,current,data/analysis/resilience_baseline_catalog.json,Backup/restore and canary rehearsal implementation
EVID_138_054,backup_restore_and_canary_rehearsal,Backup/restore and canary rehearsal,automated_proof,automated_proof,seq_137,machine_verified,data/test/137_rehearsal_results.json,Backup/restore and canary rehearsal automated proof
EVID_138_055,backup_restore_and_canary_rehearsal,Backup/restore and canary rehearsal,automated_proof,automated_proof,seq_137,machine_verified,data/test/137_wave_observation_cases.csv,Backup/restore and canary rehearsal automated proof
EVID_138_056,backup_restore_and_canary_rehearsal,Backup/restore and canary rehearsal,automated_proof,automated_proof,seq_137,machine_verified,data/test/137_restore_readiness_cases.csv,Backup/restore and canary rehearsal automated proof
EVID_138_057,backup_restore_and_canary_rehearsal,Backup/restore and canary rehearsal,suite_binding,verification_suite,seq_137,passed,data/test/137_rehearsal_results.json,"Release freeze, restore, and non-production canary rehearsals"
EVID_138_058,accessibility_and_shell_smoke_proof,Accessibility and shell smoke proof,implementation,implementation_evidence,seq_134,current,data/analysis/accessibility_semantic_coverage_profiles.json,Accessibility and shell smoke proof implementation
EVID_138_059,accessibility_and_shell_smoke_proof,Accessibility and shell smoke proof,implementation,implementation_evidence,seq_134,current,data/analysis/preview_environment_manifest.json,Accessibility and shell smoke proof implementation
EVID_138_060,accessibility_and_shell_smoke_proof,Accessibility and shell smoke proof,implementation,implementation_evidence,seq_130,current,data/analysis/audience_surface_runtime_bindings.json,Accessibility and shell smoke proof implementation
EVID_138_061,accessibility_and_shell_smoke_proof,Accessibility and shell smoke proof,automated_proof,automated_proof,seq_136,machine_verified,data/test/136_preview_environment_suite_results.json,Accessibility and shell smoke proof automated proof
EVID_138_062,accessibility_and_shell_smoke_proof,Accessibility and shell smoke proof,automated_proof,automated_proof,seq_134,machine_verified,data/test/continuity_gate_suite_results.json,Accessibility and shell smoke proof automated proof
EVID_138_063,accessibility_and_shell_smoke_proof,Accessibility and shell smoke proof,automated_proof,automated_proof,seq_130,machine_verified,data/analysis/surface_authority_verdicts.json,Accessibility and shell smoke proof automated proof
EVID_138_064,accessibility_and_shell_smoke_proof,Accessibility and shell smoke proof,suite_binding,verification_suite,seq_134,passed,data/test/continuity_gate_suite_results.json,"Route intent, freshness, and scoped mutation gate"
EVID_138_065,accessibility_and_shell_smoke_proof,Accessibility and shell smoke proof,suite_binding,verification_suite,seq_136,passed,data/test/136_preview_environment_suite_results.json,"Shell accessibility, preview environment, and smoke proof"
EVID_138_066,assurance_privacy_and_clinical_safety_seed_artifacts,"Assurance, privacy, and clinical-safety seed artifacts",implementation,implementation_evidence,par_121,current,data/assurance/dcb0129_safety_case_outline.json,"Assurance, privacy, and clinical-safety seed artifacts implementation"
EVID_138_067,assurance_privacy_and_clinical_safety_seed_artifacts,"Assurance, privacy, and clinical-safety seed artifacts",implementation,implementation_evidence,par_123,current,data/assurance/im1_artifact_index.json,"Assurance, privacy, and clinical-safety seed artifacts implementation"
EVID_138_068,assurance_privacy_and_clinical_safety_seed_artifacts,"Assurance, privacy, and clinical-safety seed artifacts",implementation,implementation_evidence,par_126,current,data/assurance/privacy_control_traceability.json,"Assurance, privacy, and clinical-safety seed artifacts implementation"
EVID_138_069,assurance_privacy_and_clinical_safety_seed_artifacts,"Assurance, privacy, and clinical-safety seed artifacts",automated_proof,automated_proof,par_125,machine_verified,data/assurance/clinical_signoff_gate_requirements.json,"Assurance, privacy, and clinical-safety seed artifacts automated proof"
EVID_138_070,assurance_privacy_and_clinical_safety_seed_artifacts,"Assurance, privacy, and clinical-safety seed artifacts",automated_proof,automated_proof,par_122,machine_verified,data/assurance/dspt_gap_register.json,"Assurance, privacy, and clinical-safety seed artifacts automated proof"
EVID_138_071,assurance_privacy_and_clinical_safety_seed_artifacts,"Assurance, privacy, and clinical-safety seed artifacts",automated_proof,automated_proof,par_124,machine_verified,data/assurance/nhs_login_gap_register.json,"Assurance, privacy, and clinical-safety seed artifacts automated proof"
