seed_object_id,object_type,reference_case_id,tenant_scope_ref,organisation_scope_ref,route_family_ref,starting_surface_ref,seed_state,simulator_refs,continuity_control_refs,release_verification_use,phi_safe_class,requires_live_credentials,canonical_truth_refs,notes
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_REQUEST_V1,Request,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,active,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,Request; RequestClosureRecord,Canonical request truth remains domain-owned even when transport is simulated.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_ROUTE_INTENT_BINDING_V1,RouteIntentBinding,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,bound,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,RouteIntentBinding; ScopedMutationGate,Route-intent tuple keeps writable posture bound to publication and subject fences.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_SUBMISSION_ENVELOPE_V1,SubmissionEnvelope,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,captured,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,SubmissionEnvelope; SubmissionIngressRecord,Envelope fixture preserves pre-promotion evidence and continuation state.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_SUPPORT_REPLAY_RESTORE_SETTLEMENT_V1,SupportReplayRestoreSettlement,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,required_or_settled,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,SupportReplayRestoreSettlement; InvestigationTimelineReconstruction,Replay restore settlements keep support actionability subordinate to the live tuple.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_SUPPORT_TICKET_V1,SupportTicket,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,observe_or_restore,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,SupportLineageBinding; SupportContinuityEvidenceProjection,Support fixtures keep replay and resend work governed by lineage and scope fences.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_ACTING_SCOPE_TUPLE_V1,ActingScopeTuple,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,aligned,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,ActingScopeTuple; AudienceSurfaceRuntimeBinding,Acting scope stays deterministic and tenant-safe in every seeded route.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_BOOKING_CASE_V1,BookingCase,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,confirmation_pending,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,BookingCase; BookingConfirmationTruthProjection,Booking fixtures preserve ambiguity and confirmation debt rather than optimistic booking calmness.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_CAPACITY_SNAPSHOT_V1,CapacitySnapshot,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,stale_or_current,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,CapacitySnapshot; WaitlistContinuationTruthProjection,Capacity fixtures keep waitlist and hub fallback safety visible in seed mode.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_COMMAND_SETTLEMENT_RECORD_V1,CommandSettlementRecord,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,review_required,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,CommandSettlementRecord; CommandActionRecord,Command settlement rows prove same-shell write posture without transport-local shortcuts.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_EXTERNAL_CONFIRMATION_GATE_V1,ExternalConfirmationGate,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,pending,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,ExternalConfirmationGate; ConfirmationGate,External confirmation gates remain distinct from transport acknowledgement.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_HUB_CASE_V1,HubCase,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,queued_or_active,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,HubCase; HubContinuityEvidenceProjection,Hub case fixtures keep hub booking-manage truth bound to the same request lineage.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_LIFECYCLE_LEASE_V1,RequestLifecycleLease,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,held,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,RequestLifecycleLease; RequestClosureRecord,Lifecycle lease rows keep closure coordinator-owned even in seed drills.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_PATIENT_IDENTITY_SEED_V1,SyntheticPatientIdentityState,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,booking_confirmation_pending,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,IdentityBinding; ReachabilityAssessmentRecord,Synthetic patient identity state with PHI-safe names and deterministic identifiers.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_PATIENT_RECEIPT_V1,PatientReceiptEnvelope,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,blocked,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,PatientReceiptEnvelope; PatientShellConsistencyProjection,"Receipt rows keep preview shells truthful about calm, degraded, or blocked posture."
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_RELEASE_BINDING_ROW_V1,VerificationScenarioBinding,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,preprod,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,VS_058_PREPROD_V1,Release and runtime tuple binding keeps seed simulation reusable across rings.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_REQUEST_LINEAGE_V1,RequestLineage,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,active,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,RequestLineage; LineageCaseLink,Lineage rows preserve child-case links and replay-safe causality.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_REQUEST_V1,Request,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,active,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,Request; RequestClosureRecord,Canonical request truth remains domain-owned even when transport is simulated.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_ROUTE_INTENT_BINDING_V1,RouteIntentBinding,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,bound,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,RouteIntentBinding; ScopedMutationGate,Route-intent tuple keeps writable posture bound to publication and subject fences.
SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_SUBMISSION_ENVELOPE_V1,SubmissionEnvelope,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1; SEED_059_ORG_NORTH_RIVER_HUB_V1,rf_hub_case_management,audsurf_hub_desk,captured,sim_im1_principal_system_emis_twin; sim_im1_principal_system_tpp_twin; sim_booking_provider_confirmation_twin; sim_booking_capacity_feed_twin,booking_manage; hub_booking_manage,preprod,synthetic_phi_safe,no,SubmissionEnvelope; SubmissionIngressRecord,Envelope fixture preserves pre-promotion evidence and continuation state.
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_ACTING_SCOPE_TUPLE_V1,ActingScopeTuple,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,aligned,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,ActingScopeTuple; AudienceSurfaceRuntimeBinding,Acting scope stays deterministic and tenant-safe in every seeded route.
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_COMMAND_SETTLEMENT_RECORD_V1,CommandSettlementRecord,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,settled_or_pending,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,CommandSettlementRecord; CommandActionRecord,Command settlement rows prove same-shell write posture without transport-local shortcuts.
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_COMMUNICATION_ENVELOPE_V1,CommunicationEnvelope,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,prepared,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,CommunicationEnvelope; ConversationCommandSettlement,Communication fixtures carry delivery proof separately from send acceptance.
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_LIFECYCLE_LEASE_V1,RequestLifecycleLease,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,held,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,RequestLifecycleLease; RequestClosureRecord,Lifecycle lease rows keep closure coordinator-owned even in seed drills.
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_PATIENT_IDENTITY_SEED_V1,SyntheticPatientIdentityState,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,verified_self_service,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,IdentityBinding; ReachabilityAssessmentRecord,Synthetic patient identity state with PHI-safe names and deterministic identifiers.
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_PATIENT_RECEIPT_V1,PatientReceiptEnvelope,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,happy,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,PatientReceiptEnvelope; PatientShellConsistencyProjection,"Receipt rows keep preview shells truthful about calm, degraded, or blocked posture."
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_RELEASE_BINDING_ROW_V1,VerificationScenarioBinding,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,preview,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,VS_058_CI_PREVIEW_V1,Release and runtime tuple binding keeps seed simulation reusable across rings.
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_REQUEST_LINEAGE_V1,RequestLineage,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,active,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,RequestLineage; LineageCaseLink,Lineage rows preserve child-case links and replay-safe causality.
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_REQUEST_V1,Request,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,active,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,Request; RequestClosureRecord,Canonical request truth remains domain-owned even when transport is simulated.
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_ROUTE_INTENT_BINDING_V1,RouteIntentBinding,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,bound,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,RouteIntentBinding; ScopedMutationGate,Route-intent tuple keeps writable posture bound to publication and subject fences.
SEED_059_CLEAN_SELF_SERVICE_SUBMIT_SUBMISSION_ENVELOPE_V1,SubmissionEnvelope,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,tenant://vecells/phase0-primary,SEED_059_ORG_MERIDIAN_FAMILY_PRACTICE_V1,rf_intake_self_service,audsurf_patient_public_entry,captured,sim_email_notification_twin,patient_nav,preview,synthetic_phi_safe,no,SubmissionEnvelope; SubmissionIngressRecord,Envelope fixture preserves pre-promotion evidence and continuation state.
SEED_059_DUPLICATE_COLLISION_OPEN_REVIEW_ACTING_SCOPE_TUPLE_V1,ActingScopeTuple,RC_059_DUPLICATE_COLLISION_REVIEW_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_ticket_workspace,audsurf_support_workspace,aligned,sim_email_notification_twin; sim_sms_delivery_twin,workspace_task_completion,integration,synthetic_phi_safe,no,ActingScopeTuple; AudienceSurfaceRuntimeBinding,Acting scope stays deterministic and tenant-safe in every seeded route.
SEED_059_DUPLICATE_COLLISION_OPEN_REVIEW_COMMAND_SETTLEMENT_RECORD_V1,CommandSettlementRecord,RC_059_DUPLICATE_COLLISION_REVIEW_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_ticket_workspace,audsurf_support_workspace,review_required,sim_email_notification_twin; sim_sms_delivery_twin,workspace_task_completion,integration,synthetic_phi_safe,no,CommandSettlementRecord; CommandActionRecord,Command settlement rows prove same-shell write posture without transport-local shortcuts.
SEED_059_DUPLICATE_COLLISION_OPEN_REVIEW_DUPLICATE_CLUSTER_V1,DuplicateCluster,RC_059_DUPLICATE_COLLISION_REVIEW_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_ticket_workspace,audsurf_support_workspace,review_or_collapsed,sim_email_notification_twin; sim_sms_delivery_twin,workspace_task_completion,integration,synthetic_phi_safe,no,DuplicateCluster; DuplicateResolutionDecision,Duplicate clustering stays first-class rather than flattened into idempotency folklore.
SEED_059_DUPLICATE_COLLISION_OPEN_REVIEW_LIFECYCLE_LEASE_V1,RequestLifecycleLease,RC_059_DUPLICATE_COLLISION_REVIEW_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_ticket_workspace,audsurf_support_workspace,held,sim_email_notification_twin; sim_sms_delivery_twin,workspace_task_completion,integration,synthetic_phi_safe,no,RequestLifecycleLease; RequestClosureRecord,Lifecycle lease rows keep closure coordinator-owned even in seed drills.
SEED_059_DUPLICATE_COLLISION_OPEN_REVIEW_PATIENT_ACTION_RECOVERY_ENVELOPE_V1,PatientActionRecoveryEnvelope,RC_059_DUPLICATE_COLLISION_REVIEW_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_ticket_workspace,audsurf_support_workspace,active,sim_email_notification_twin; sim_sms_delivery_twin,workspace_task_completion,integration,synthetic_phi_safe,no,PatientActionRecoveryEnvelope; PatientRequestReturnBundle,Patient recovery envelope keeps shell continuity truthful through blockers and repairs.
