task_id,task_title,total_requirement_count,direct_requirement_count,test_requirement_count,gate_requirement_count,assurance_requirement_count,orphan_state,notes
seq_050,phase0 define frontend contract manifest strategy,9,9,0,0,0,none,
seq_051,phase0 define release candidate freeze and publication parity strategy,2,2,0,0,0,none,
seq_052,phase0 define design contract publication bundle strategy,236,236,0,0,0,none,
seq_053,phase0 define authoritative audit and worm ledger strategy,15,15,0,0,15,none,
seq_054,phase0 define tenant isolation and acting scope tuple model,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_055,phase0 define lifecycle coordinator and closure blocker rules,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_056,phase0 define scoped mutation gate and route intent binding rules,206,206,0,206,0,none,
seq_057,phase0 define adapter contract profile template and degradation profiles,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_058,phase0 define verification ladder and environment ring policy,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_059,phase0 define seed data and simulator strategy,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_060,phase0 define backup restore and recovery tuple baseline,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_061,phase0 open parallel foundation tracks gate,1,0,0,1,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
par_062,phase0 track backend implement submission envelope request and request lineage aggregates,9,9,0,0,0,none,
par_063,phase0 track backend implement evidence snapshot capture bundle derivation package and redaction transforms,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
par_064,phase0 track backend build fhir representation set and mapping compiler,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
par_065,phase0 track backend build api contract registry for queries mutations and live channels,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
par_066,phase0 track backend implement submission promotion record and exactly once envelope to request mapping,1,1,0,0,0,none,
par_067,phase0 track backend implement idempotency record and replay collision review services,1,1,0,0,0,none,
par_068,phase0 track backend implement identity binding access grant and supersession models,17,17,0,0,0,none,
par_069,phase0 track backend implement contact route snapshot and reachability assessment models,8,8,0,0,0,none,
par_070,phase0 track backend implement duplicate cluster and duplicate pair evidence models,6,6,0,0,3,none,
par_071,phase0 track backend implement request lifecycle lease lineage fence and command action records,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
par_072,phase0 track backend implement command settlement record and transition envelope library,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
par_073,phase0 track backend implement queue rank plan snapshot and assignment suggestion models,7,7,0,0,0,none,
par_074,phase0 track backend implement capacity reservation and external confirmation gate models,12,12,0,12,0,none,
par_075,phase0 track backend implement release approval freeze channel release freeze and assurance slice trust models,324,324,0,0,7,none,
par_076,phase0 track backend implement request closure record and exception case models,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_077,phase0 track backend build lifecycle coordinator service,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_078,phase0 track backend build access grant service,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_079,phase0 track backend build evidence assimilation coordinator and safety orchestrator,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_080,phase0 track backend build identity repair orchestrator and reachability governor,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_081,phase0 track backend build reservation authority and queue ranking coordinator,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_082,phase0 track backend build projection rebuild worker and event applier,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_083,phase0 track backend build simulator backplanes for nhs login im1 mesh telephony and notifications,7,7,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_084,phase0 track runtime provision core cloud network and private egress controls,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_085,phase0 track runtime provision domain transaction store and fhir storage,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_086,phase0 track runtime provision object storage quarantine buckets and retention controls,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_087,phase0 track runtime provision event bus queueing and outbox inbox infrastructure,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_088,phase0 track runtime provision cache and live update transport baseline,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_089,phase0 track runtime provision secrets kms and key rotation baseline,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_090,phase0 track runtime provision audience specific gateway bff surfaces,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_091,phase0 track runtime provision ci cd pipeline and signed build provenance,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_092,phase0 track runtime provision preview environments and ephemeral test data reset,5,4,5,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_093,phase0 track runtime build observability sdk and edge correlation spine,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_094,phase0 track runtime implement runtime publication bundle and release publication parity records,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_095,phase0 track runtime implement schema migration runner and projection backfill runner,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_096,phase0 track runtime implement client cache policy live update channels and recovery postures,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_097,phase0 track runtime implement wave observation policy and release watch tuple pipeline,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_098,phase0 track runtime implement dependency degradation profile execution engine,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_099,phase0 track runtime implement runtime topology publication checks in pipeline,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_100,phase0 track runtime implement supply chain sbom and signature verification,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_101,phase0 track runtime implement backup restore jobs and operational readiness snapshot baseline,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_102,phase0 track runtime implement non production canary and rollback harness,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_103,phase0 track Playwright or other appropriate tooling frontend publish design token foundation,13,13,13,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_104,phase0 track Playwright or other appropriate tooling frontend publish canonical ui contract kernel,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_105,phase0 track Playwright or other appropriate tooling frontend build shared component primitives and token bindings,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_106,phase0 track Playwright or other appropriate tooling frontend build persistent shell framework for patient staff ops hub governance and pharmacy,27,27,13,0,16,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_107,phase0 track Playwright or other appropriate tooling frontend build shared status strip case pulse and freshness chip components,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_108,phase0 track Playwright or other appropriate tooling frontend build selected anchor and return contract state manager,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_109,phase0 track Playwright or other appropriate tooling frontend build artifact presentation preview export download and outbound navigation shell,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_110,phase0 track Playwright or other appropriate tooling frontend build shared loading empty error and recovery postures,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_111,phase0 track Playwright or other appropriate tooling frontend build accessibility semantic coverage and focus management harness,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_112,phase0 track Playwright or other appropriate tooling frontend build route guard and feature flag plumbing,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_113,phase0 track Playwright or other appropriate tooling frontend build frontend contract manifest codegen and runtime validation,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_114,phase0 track Playwright or other appropriate tooling frontend build automation anchor and ui telemetry vocab layer,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_115,phase0 track Playwright or other appropriate tooling frontend build patient shell seed routes and mock projections,18,18,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_116,phase0 track Playwright or other appropriate tooling frontend build staff shell seed routes and mock projections,1,1,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_117,phase0 track Playwright or other appropriate tooling frontend build ops shell seed routes and mock projections,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_118,phase0 track Playwright or other appropriate tooling frontend build hub shell seed routes and mock projections,1,1,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_119,phase0 track Playwright or other appropriate tooling frontend build governance shell seed routes and mock projections,61,61,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_120,phase0 track Playwright or other appropriate tooling frontend build pharmacy shell seed routes and mock projections,215,215,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_121,phase0 track assurance start dcb0129 hazard log and safety case structure,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_122,phase0 track assurance start dspt gap assessment and evidence plan,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_123,phase0 track assurance start im1 prerequisite and scal readiness pack,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_124,phase0 track assurance start nhs login onboarding evidence pack,2,2,0,0,2,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_125,phase0 track assurance define clinical risk review cadence and signoff matrix,9,9,0,9,4,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_126,phase0 track assurance define privacy threat model and dpia backlog,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_127,phase0 merge Playwright or other appropriate tooling integrate domain kernel runtime and shell manifests,1,1,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_128,phase0 merge seed synthetic reference flow through api gateway command api and projection worker,1,0,0,1,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_129,phase0 merge validate adapter simulators and seeded external contracts,1,0,0,1,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_130,phase0 merge Playwright or other appropriate tooling finalize audience surface runtime bindings and publication parity,1,0,0,1,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_131,phase0 merge finalize release candidate freeze and environment compatibility evidence,1,0,0,1,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_132,phase0 merge finalize phase0 exit artifacts and happy unhappy path demonstration,1,0,0,1,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_133,phase0 Playwright or other appropriate tooling testing run domain transition and event schema compatibility suites,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_134,phase0 Playwright or other appropriate tooling testing run route intent projection freshness and scoped mutation gate suites,1,0,0,1,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_135,phase0 Playwright or other appropriate tooling testing run adapter replay duplicate cluster quarantine and fallback review suites,12,12,12,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_136,phase0 Playwright or other appropriate tooling testing run shell accessibility preview environment and smoke suites,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_137,phase0 Playwright or other appropriate tooling testing run backup restore release freeze and non production canary rehearsals,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_138,phase0 exit gate approve foundation protocol completion,1,0,0,1,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_139,phase1 freeze web intake journey contract and submission schema lock,4,4,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_140,phase1 define request type taxonomy and questionnaire decision tables,6,6,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_141,phase1 define attachment acceptance rules classification and quarantine contracts,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_142,phase1 define red flag rulebook and urgent diversion copy,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_143,phase1 open parallel intake tracks gate,1,0,0,1,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_144,phase1 track backend build draft session lease and autosave api,7,7,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_145,phase1 track backend build submission envelope validation and required field rules,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_146,phase1 track backend build attachment upload scan quarantine and document reference pipeline,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_147,phase1 track backend build contact preference capture and masked storage,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_148,phase1 track backend build submission snapshot freeze and promotion transaction,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_149,phase1 track backend build free text normalization into canonical request shape,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_150,phase1 track backend build rule based synchronous safety engine,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_151,phase1 track backend build urgent diversion settlement and receipt grammar,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_152,phase1 track backend build triage task creation eta engine and minimal status tracking,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_153,phase1 track backend build confirmation notification dispatch and observability,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_154,phase1 track backend build promoted draft token supersession and resume blocking,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_155,phase1 track Playwright or other appropriate tooling frontend build patient intake mission frame,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_156,phase1 track Playwright or other appropriate tooling frontend build request type selection and progressive question flow,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_157,phase1 track Playwright or other appropriate tooling frontend build quiet autosave status strip and resume states,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_158,phase1 track Playwright or other appropriate tooling frontend build file upload evidence states and error recovery,2,2,0,0,2,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_159,phase1 track Playwright or other appropriate tooling frontend build contact preference editor and confirmation copy,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_160,phase1 track Playwright or other appropriate tooling frontend build same shell urgent diversion surface,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_161,phase1 track Playwright or other appropriate tooling frontend build same shell receipt and eta surface,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_162,phase1 track Playwright or other appropriate tooling frontend build minimal track my request page,1,1,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_163,phase1 track Playwright or other appropriate tooling frontend build sign in uplift refresh and resume postures,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_164,phase1 merge Playwright or other appropriate tooling integrate intake backend with patient shell and notification worker,1,1,0,1,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_165,phase1 Playwright or other appropriate tooling testing run red flag decision table and malicious upload suites,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_166,phase1 Playwright or other appropriate tooling testing run duplicate submit refresh replay and collision review suites,1,1,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_167,phase1 Playwright or other appropriate tooling testing run end to end channel and accessibility regression suites,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_168,phase1 Playwright or other appropriate tooling testing run submission burst performance and resilience suites,6,5,6,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_169,phase1 exit gate approve red flag gate completion,6,6,0,6,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_170,phase2 freeze trust contract capability gates and identity authority rules,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_171,phase2 freeze nhs login auth transaction and local session contracts,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_172,phase2 freeze patient linkage match model and optional pds enrichment seam,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_173,phase2 freeze telephony call session and evidence readiness contracts,2,2,0,0,2,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_174,phase2 open parallel identity and telephony tracks gate,2,2,0,2,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_175,phase2 track identity build auth bridge service with oidc transaction tracking,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_176,phase2 track identity build session governor for session establishment rotation and logout,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_177,phase2 track identity build identity evidence vault for raw claim and telephony identifier storage,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_178,phase2 track identity build patient linker and match confidence pipeline,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_179,phase2 track identity build identity binding authority append only decision engine,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_180,phase2 track identity build capability decision engine and scope envelope rules,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_181,phase2 track identity build request claim redemption and access grant supersession workflows,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_182,phase2 track identity build wrong patient identity repair signal freeze and release chain,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_183,phase2 track identity build optional pds adapter and feature flagged enrichment flow,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_184,phase2 track identity build signed in request ownership and patient ref derivation rules,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_185,phase2 track identity build authenticated portal projection and status access controls,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_186,phase2 track identity build audit and masking for identity events and claims,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_187,phase2 track telephony build telephony edge and webhook ingestion service,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_188,phase2 track telephony build call session state machine and menu selection capture,1,1,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_189,phase2 track telephony build caller verification and captured identifier pipeline,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_190,phase2 track telephony build recording fetch worker and audio quarantine storage,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_191,phase2 track telephony build transcript readiness fact extraction and evidence readiness assessments,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_192,phase2 track telephony build seeded vs challenge sms continuation access grants,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_193,phase2 track telephony build one pipeline convergence into canonical submission promotion,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_194,phase2 track telephony build duplicate attachment and resafety trigger handling for phone followups,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_195,phase2 track Playwright or other appropriate tooling frontend build real sign in callback and signed out recovery experience,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_196,phase2 track Playwright or other appropriate tooling frontend build authenticated patient home and status tracker uplift,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_197,phase2 track Playwright or other appropriate tooling frontend build request claim resume and identity hold postures,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_198,phase2 track Playwright or other appropriate tooling frontend build mobile sms continuation flow for callers,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_199,phase2 track Playwright or other appropriate tooling frontend build signed in request creation and saved context restore,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_200,phase2 track Playwright or other appropriate tooling frontend build contact claim visibility and preference separation ui,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_201,phase2 track Playwright or other appropriate tooling frontend build cross channel receipt and status parity surfaces,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_202,phase2 use Playwright or other appropriate tooling browser automation to configure nhs login redirects scopes and test users,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_203,phase2 use Playwright or other appropriate tooling browser automation to configure telephony sms and email webhook settings,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_204,phase2 Playwright or other appropriate tooling testing run auth replay session expiry identity mismatch and logout suites,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_205,phase2 Playwright or other appropriate tooling testing run ivr webhook audio integrity and continuation access grant suites,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_206,phase2 Playwright or other appropriate tooling testing run wrong patient repair and web phone parity regression suites,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_207,phase2 Playwright or other appropriate tooling testing run pds feature flag and duplicate followup resafety suites,1,0,1,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_208,phase2 exit gate approve identity and echoes completion,1,0,0,1,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
seq_209,crosscutting open patient account and support surface tracks gate,29,29,0,29,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_210,crosscutting track backend build patient spotlight decision projection and quiet home logic,1,1,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_211,crosscutting track backend build request browsing detail and typed patient action routing projections,22,22,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_212,crosscutting track backend build more info response thread callback status and contact repair projections,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
par_213,crosscutting track backend build health record projection and record artifact parity witness,1,0,0,0,0,weakly_grounded,Prompt file is currently empty; title-level grounding only.
