transitionId,fromState,toState,predicateId,controllingObject,ownerTask,sourceRef,predicate
T278_025,commit_pending,booked,P278_COMMIT_CONFIRMED,BookingTransaction + BookingConfirmationTruthProjection + AppointmentRecord,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth","Authoritative proof exists as durable provider reference or same-commit read-after-write, an AppointmentRecord exists, and confirmation truth is confirmed."
T278_026,commit_pending,confirmation_pending,P278_COMMIT_WAITING_CONFIRMATION,BookingTransaction + BookingConfirmationTruthProjection,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Commit path is accepted for processing but confirmation truth is still pending.
T278_027,commit_pending,supplier_reconciliation_pending,P278_COMMIT_AMBIGUOUS,BookingTransaction + ExternalConfirmationGate,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Commit path observed ambiguous or disputed supplier truth and opened an external confirmation gate.
T278_028,commit_pending,waitlisted,P278_COMMIT_TO_WAITLIST,WaitlistEntry + WaitlistContinuationTruthProjection,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Commit could not settle immediately and waitlist continuation remains lawful.
T278_029,commit_pending,callback_fallback,P278_COMMIT_TO_CALLBACK,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Commit path degraded into callback fallback under the current fallback obligation.
T278_030,commit_pending,fallback_to_hub,P278_COMMIT_TO_HUB,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Commit path degraded into hub fallback under the current fallback obligation.
T278_031,commit_pending,booking_failed,P278_COMMIT_FAILED,BookingTransaction + BookingException,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Commit path failed with no active continuation path.
T278_032,booked,managed,P278_MANAGE_LIFECYCLE_OPEN,AppointmentRecord + BookingConfirmationTruthProjection,seq_280,"blueprint/phase-4-the-booking-engine.md#4F. Appointment management: cancel, reschedule, reminders, and detail updates",AppointmentRecord exists with authoritative confirmation truth and manage posture is now exposed.
T278_033,confirmation_pending,managed,P278_PENDING_TO_MANAGED,BookingConfirmationTruthProjection,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Pending confirmation settled into authoritative confirmed appointment truth.
T278_034,confirmation_pending,supplier_reconciliation_pending,P278_PENDING_TO_RECONCILIATION,ExternalConfirmationGate,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Pending confirmation degraded into ambiguous or disputed supplier truth.
T278_035,confirmation_pending,booking_failed,P278_PENDING_FAILED,BookingConfirmationTruthProjection,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Supplier or authoritative read path rejected the booking and no continuation survives.
T278_036,confirmation_pending,callback_fallback,P278_PENDING_TO_CALLBACK,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Pending confirmation crossed into callback fallback under current continuation truth.
T278_037,confirmation_pending,fallback_to_hub,P278_PENDING_TO_HUB,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Pending confirmation crossed into hub fallback under current continuation truth.
T278_038,supplier_reconciliation_pending,managed,P278_RECONCILIATION_CONFIRMED,ExternalConfirmationGate + BookingConfirmationTruthProjection,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Reconciliation produced authoritative confirmed appointment truth on the same lineage.
T278_039,supplier_reconciliation_pending,booking_failed,P278_RECONCILIATION_FAILED,ExternalConfirmationGate + BookingException,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Reconciliation closed with authoritative failure and no continuation survives.
T278_040,supplier_reconciliation_pending,callback_fallback,P278_RECONCILIATION_TO_CALLBACK,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Reconciliation requires callback fallback on the same booking lineage.
T278_041,supplier_reconciliation_pending,fallback_to_hub,P278_RECONCILIATION_TO_HUB,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Reconciliation requires hub fallback on the same booking lineage.
T278_042,waitlisted,selecting,P278_WAITLIST_OFFER_VISIBLE,WaitlistContinuationTruthProjection + WaitlistOffer,seq_280,"blueprint/phase-4-the-booking-engine.md#4E. Waitlist, fallback, and no-slot truth",WaitlistContinuationTruthProjection.patientVisibleState is offer_available and the active offer still resolves to the same booking case lineage.
T278_043,waitlisted,revalidating,P278_WAITLIST_ACCEPTED_PENDING_BOOKING,WaitlistOffer + BookingTransaction,seq_280,"blueprint/phase-4-the-booking-engine.md#4E. Waitlist, fallback, and no-slot truth",Waitlist offer was accepted and the released slot is being revalidated for booking.
T278_044,waitlisted,callback_fallback,P278_WAITLIST_TO_CALLBACK,WaitlistContinuationTruthProjection + WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4E. Waitlist, fallback, and no-slot truth",Current waitlist truth says callback_expected or fallback obligation requires callback.
T278_045,waitlisted,fallback_to_hub,P278_WAITLIST_TO_HUB,WaitlistContinuationTruthProjection + WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4E. Waitlist, fallback, and no-slot truth",Current waitlist truth says hub_review_pending or fallback obligation requires hub.
T278_046,waitlisted,booking_failed,P278_WAITLIST_EXPIRED,WaitlistContinuationTruthProjection,seq_280,"blueprint/phase-4-the-booking-engine.md#4E. Waitlist, fallback, and no-slot truth",Waitlist continuation truth is expired and no active fallback survives.
T278_047,waitlisted,managed,P278_WAITLIST_CONFIRMED,BookingConfirmationTruthProjection + AppointmentRecord,seq_280,"blueprint/phase-4-the-booking-engine.md#4E. Waitlist, fallback, and no-slot truth",Waitlist path produced authoritative appointment truth and the case entered manage posture.
T278_048,managed,searching_local,P278_MANAGE_REBOOK,AppointmentManageCommand + BookingCase,seq_280,"blueprint/phase-4-the-booking-engine.md#4F. Appointment management: cancel, reschedule, reminders, and detail updates",A reschedule or immediate rebook flow opens replacement search under the same shell and current booking lineage.
T278_049,managed,supplier_reconciliation_pending,P278_MANAGE_RECONCILIATION,BookingManageSettlement + ExternalConfirmationGate,seq_280,"blueprint/phase-4-the-booking-engine.md#4F. Appointment management: cancel, reschedule, reminders, and detail updates",Appointment manage mutation is waiting on disputed or ambiguous supplier truth.
T278_050,managed,closed,P278_MANAGE_FINISHED,BookingManageSettlement,seq_280,"blueprint/phase-4-the-booking-engine.md#4F. Appointment management: cancel, reschedule, reminders, and detail updates",Manage lifecycle is durably finished for the booking branch and no further booking mutation remains.
T278_051,callback_fallback,closed,P278_CALLBACK_BRANCH_CLOSED,CallbackCase seam + LineageCaseLink,seq_278,"blueprint/phase-4-the-booking-engine.md#4E. Waitlist, fallback, and no-slot truth",Callback transfer is durably acknowledged and the booking branch has no remaining local mutation path.
T278_052,fallback_to_hub,closed,P278_HUB_BRANCH_CLOSED,HubCoordinationCase seam + LineageCaseLink,seq_278,"blueprint/phase-4-the-booking-engine.md#4E. Waitlist, fallback, and no-slot truth",Hub transfer is durably acknowledged and the booking branch has no remaining local mutation path.
T278_053,booking_failed,closed,P278_FAILURE_BRANCH_CLOSED,BookingException,seq_278,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Failure branch has no active continuation or manage posture and remains booking-branch-local only.
